step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	p_accept_spa1	p_accept_spa2	sigma_mu1	sigma_gamma	sigma_pi	sigma_spa1	sigma_spa2	n_like_zero
1	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0.010000000000000	0.010000000000000	0
500	0.99599	0.16633	1.00000	0.11916	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0.010000000000000	0.010000000000000	0
1000	0.99200	0.23600	0.76400	0.12037	1.00000	1.00000	0.000150000000000	0.666666666666667	0.015000000000000	0.010000000000000	0.010000000000000	0
1500	0.98600	0.36400	0.56600	0.12121	1.00000	1.00000	0.000225000000000	0.444444444444444	0.022500000000000	0.010000000000000	0.010000000000000	0
2000	0.96000	0.36500	0.36600	0.13733	1.00000	1.00000	0.000337500000000	0.444444444444444	0.033750000000000	0.010000000000000	0.010000000000000	0
2500	0.78600	0.29733	0.63300	0.24801	1.00000	1.00000	0.000506250000000	0.444444444444444	0.033750000000000	0.010000000000000	0.010000000000000	0
3000	0.75200	0.27900	0.82200	0.31993	1.00000	1.00000	0.000759375000000	0.444444444444444	0.050625000000000	0.010000000000000	0.010000000000000	0
3500	0.66200	0.25760	0.77800	0.37127	1.00000	1.00000	0.001139062500000	0.444444444444444	0.075937500000000	0.010000000000000	0.010000000000000	0
4000	0.66000	0.25000	0.62400	0.41021	1.00000	1.00000	0.001708593750000	0.444444444444444	0.113906250000000	0.010000000000000	0.010000000000000	0
4500	0.70200	0.24086	0.48800	0.44024	1.00000	1.00000	0.002562890625000	0.444444444444444	0.170859375000000	0.010000000000000	0.010000000000000	0
5000	0.73200	0.24600	0.50100	0.46386	1.00000	1.00000	0.003844335937500	0.296296296296296	0.170859375000000	0.010000000000000	0.010000000000000	0
5500	0.81400	0.34000	0.37000	0.48374	1.00000	1.00000	0.005766503906250	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
6000	0.74200	0.33900	0.38800	0.49963	1.00000	1.00000	0.008649755859375	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
6500	0.73600	0.34000	0.37467	0.51350	1.00000	1.00000	0.012974633789063	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
7000	0.64600	0.33550	0.38650	0.52504	1.00000	1.00000	0.019461950683594	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
7500	0.59200	0.33960	0.38800	0.53519	1.00000	1.00000	0.029192926025391	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
8000	0.52000	0.33767	0.38333	0.54397	1.00000	1.00000	0.043789389038086	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
8500	0.47600	0.33486	0.38800	0.55180	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
9000	0.46300	0.33500	0.38550	0.55885	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
9500	0.45733	0.33467	0.38511	0.56497	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
10000	0.44850	0.33120	0.38540	0.57070	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
10500	0.45160	0.33364	0.38436	0.57556	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
11000	0.45100	0.33467	0.38483	0.58012	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
11500	0.44629	0.33000	0.38462	0.58443	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
12000	0.45300	0.32843	0.38814	0.58814	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
12500	0.45844	0.32880	0.38773	0.59171	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
13000	0.45920	0.32925	0.38712	0.59503	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
13500	0.46145	0.32800	0.38776	0.59814	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
14000	0.46283	0.32978	0.38744	0.60102	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
14500	0.46031	0.33074	0.38674	0.60355	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
15000	0.45800	0.33070	0.38680	0.60592	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
15500	0.45680	0.33038	0.38657	0.60833	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
16000	0.45737	0.33173	0.38455	0.61048	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
16500	0.45753	0.33165	0.38417	0.61257	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
17000	0.45678	0.33175	0.38633	0.61451	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
17500	0.45547	0.33208	0.38568	0.61632	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
18000	0.45530	0.33200	0.38777	0.61809	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
18500	0.45543	0.33274	0.38830	0.61967	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
19000	0.45645	0.33386	0.38793	0.62107	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
19500	0.45678	0.33338	0.38814	0.62247	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
20000	0.45792	0.33213	0.38780	0.62387	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
20500	0.45776	0.33316	0.38755	0.62522	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
21000	0.45654	0.33231	0.38769	0.62640	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
21500	0.45659	0.33224	0.38812	0.62748	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
22000	0.45593	0.33229	0.38853	0.62846	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
22500	0.45517	0.33166	0.38754	0.62946	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
23000	0.45620	0.33283	0.38683	0.63050	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
23500	0.45458	0.33314	0.38605	0.63154	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
24000	0.45425	0.33442	0.38642	0.63253	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
24500	0.45394	0.33472	0.38615	0.63352	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
25000	0.45353	0.33470	0.38680	0.63447	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
25500	0.45343	0.33434	0.38766	0.63533	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
26000	0.45300	0.33419	0.38681	0.63617	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
26500	0.45281	0.33493	0.38619	0.63691	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
27000	0.45311	0.33441	0.38614	0.63764	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
27500	0.45246	0.33458	0.38604	0.63841	1.00000	1.00000	0.065684083557129	0.197530864197531	0.256289062500000	0.010000000000000	0.010000000000000	0
