step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69
1	-1744.446348706371055	-1751.301836657330341	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.034036567994804	0	1	2	2	2	4	4	8	9	9	9	8	12	9	11	11	11	11	11	13	13	13	14	15	15	15	17	18	21	20	23	21	22	22	23	25	24	23	24	24	24	25	24	25	25	27	26	26	26	28	29	29	29	29	30	30	30	32	32	31	33	34	33	34	34	35	35	35	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	5	5	5	4	6	5	6	6	6	6	6	7	7	7	7	8	8	8	9	9	11	10	12	11	11	11	12	13	12	12	12	12	12	13	12	13	13	14	13	13	13	14	15	15	15	15	15	15	15	16	16	16	17	17	17	17	17	18	18	18	18
500	-769.826488708466627	-776.681976659426027	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.079509041377500	0	2	1	2	3	5	3	7	9	10	9	8	11	10	12	11	10	11	9	12	13	13	15	13	16	15	17	18	21	21	23	20	22	22	23	25	24	24	24	24	25	25	24	26	26	25	26	27	27	29	29	30	28	30	31	31	31	33	33	31	34	33	34	34	35	35	35	35	36	0	1	1	3	4	3	0	6	8	6	6	6	2	6	17	8	19	8	3	6	13	16	10	10	11	18	21	14	14	13	24	21	21	14	28	14	13	0	24	33	29	32	20	0	43	21	28	20	10	32	25	20	19	6	32	34	28	37	19	0	13	31	30	20	13	19	47	53	0	1	1	1	1	1	2	1	1	1	2	3	2	5	3	1	3	1	2	3	5	1	1	3	2	5	3	2	4	8	7	5	4	5	8	3	6	6	1	6	2	2	2	7	1	1	8	6	8	10	8	9	11	11	14	8	7	9	7	12	1	10	5	11	13	14	14	3	4	1
1000	-627.970834450582061	-634.826322401541461	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.235814281139859	0	1	3	2	3	4	4	8	10	7	10	9	10	9	10	10	12	11	9	14	13	14	14	16	15	15	18	17	20	21	23	20	23	21	23	26	25	23	24	23	23	25	24	24	25	27	26	26	23	28	29	30	28	29	31	30	31	33	33	32	34	34	32	35	35	36	35	34	36	0	1	2	2	4	1	0	6	3	6	6	8	1	6	8	3	10	11	10	15	14	11	11	19	14	22	28	21	25	24	30	24	28	24	14	23	29	0	32	27	28	13	31	0	31	14	40	9	16	45	14	29	9	13	31	36	41	46	49	0	49	51	56	49	9	44	57	48	0	1	1	2	1	1	3	1	2	4	2	3	1	4	3	2	4	2	1	2	2	2	2	2	3	3	1	1	2	3	2	2	2	4	2	6	6	3	1	2	2	3	5	1	1	1	9	2	6	7	2	10	7	8	12	5	2	5	3	8	1	8	4	1	7	14	10	2	3	1
1500	-554.890980735213930	-561.746468686173330	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.329033294003319	0	2	2	2	3	5	5	8	8	8	9	9	12	9	11	12	12	11	11	12	13	12	14	15	13	16	17	19	21	19	23	20	22	22	24	25	24	24	24	24	22	26	24	25	26	27	26	26	26	28	28	29	28	29	30	31	31	32	32	32	34	34	32	35	34	36	34	36	35	0	1	1	1	4	3	0	6	3	6	6	8	11	6	14	6	14	8	6	14	9	15	21	23	6	13	22	26	27	14	29	21	27	28	27	34	30	0	32	31	27	34	21	0	31	21	41	16	14	45	32	41	13	9	50	47	47	47	44	0	49	56	56	44	59	53	57	65	0	1	1	1	1	1	2	1	2	3	2	2	1	2	3	1	3	1	2	3	2	2	1	1	1	3	2	2	2	2	3	1	4	2	2	4	2	2	1	2	1	2	2	6	1	1	6	3	5	8	1	4	5	9	9	1	2	4	2	3	1	6	2	1	5	2	5	2	1	1
2000	-472.757567699791935	-479.613055650751335	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519025428136473	0	2	2	1	2	4	4	8	9	10	10	7	12	10	12	11	9	12	10	13	13	12	15	16	15	16	18	18	21	20	24	21	20	21	24	25	24	22	24	23	24	26	22	25	26	27	26	26	26	28	29	29	29	29	31	31	30	29	32	32	33	34	33	33	35	35	36	35	36	0	1	1	1	4	2	0	3	3	8	6	6	16	8	8	10	8	19	6	17	16	10	15	21	14	11	25	25	21	24	40	24	28	28	32	37	34	0	43	34	40	37	32	0	40	40	41	44	26	45	40	41	11	26	50	52	47	47	48	0	59	56	57	44	61	61	62	61	0	1	1	1	1	1	1	1	2	2	1	3	1	1	2	2	1	1	2	3	1	1	1	2	1	4	3	1	2	4	2	1	3	1	2	1	1	1	1	2	1	1	2	1	1	2	2	1	1	5	2	3	1	10	8	2	1	2	1	2	1	1	2	1	5	1	1	1	1	1
2500	-505.932616768862545	-512.788104719821945	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.462345759233732	0	1	2	2	3	4	5	6	9	7	8	8	13	9	12	12	10	11	12	13	14	14	13	15	15	16	17	18	21	19	23	21	22	21	24	24	24	23	23	25	25	25	23	24	25	26	25	25	23	29	26	28	28	29	31	30	29	33	32	31	33	34	33	32	32	35	35	36	36	0	1	1	2	4	2	0	6	8	1	8	6	8	8	11	18	8	11	9	17	23	16	14	23	23	16	24	24	27	23	24	21	27	27	28	34	29	0	32	28	28	29	32	0	31	31	30	44	22	45	28	31	15	15	50	47	47	57	48	0	48	57	52	48	48	61	56	61	0	1	1	1	1	1	1	1	1	2	3	1	2	3	2	3	1	2	2	1	1	1	2	2	1	1	2	1	2	2	3	4	4	2	2	3	2	2	1	2	4	3	2	1	1	1	2	3	1	3	2	4	2	7	8	1	3	3	2	3	1	4	2	3	3	3	1	2	1	1
3000	-418.917083000026196	-425.772570950985596	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590324598003885	0	1	3	1	3	4	5	7	9	8	9	7	9	9	11	10	11	11	11	13	14	13	11	15	15	15	18	19	21	20	24	21	22	23	23	25	23	24	25	23	24	24	24	25	25	27	26	26	26	28	30	29	29	30	30	31	29	31	33	32	33	35	34	34	33	36	34	35	35	0	1	1	1	4	3	0	6	3	8	8	3	3	6	13	8	11	11	8	16	22	15	14	21	21	15	24	24	24	24	33	30	24	30	33	29	30	0	43	28	33	37	33	0	40	31	40	44	14	40	46	47	44	48	50	57	46	47	49	0	48	57	57	61	54	59	56	61	0	1	1	2	1	1	1	1	1	2	1	1	1	3	3	1	1	2	1	1	2	1	1	1	1	1	2	2	2	3	2	1	1	3	2	1	2	2	1	1	2	1	1	1	1	1	2	1	1	9	2	2	2	2	2	2	1	1	2	4	1	4	2	2	1	1	2	2	1	1
3500	-422.492877986261760	-429.348365937221160	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.531035366421250	-1	1	2	2	3	4	3	8	7	9	10	9	12	9	11	11	11	11	12	14	13	13	14	15	15	16	17	19	20	19	23	21	22	23	24	26	24	23	24	24	25	25	24	25	24	27	27	27	25	28	29	29	29	30	29	31	30	33	32	32	33	34	34	33	34	35	34	35	36	0	1	2	1	2	2	0	6	3	9	9	9	15	6	6	10	6	9	18	13	14	10	21	8	21	21	24	14	24	24	29	28	14	24	28	31	30	0	32	31	28	34	33	0	28	40	40	44	17	45	46	47	44	48	50	47	52	52	48	0	54	57	57	59	54	54	57	61	0	1	1	1	2	2	1	1	2	2	1	2	1	1	2	2	1	5	2	1	1	3	2	1	3	1	2	1	4	2	2	2	1	6	4	2	2	2	1	2	1	3	1	2	1	3	1	2	1	6	2	1	1	3	2	1	3	1	2	3	1	2	2	2	1	2	2	2	1	1
4000	-386.336383526210909	-393.191871477170309	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581850556180833	0	1	2	2	3	4	4	7	10	8	10	9	12	10	11	10	11	12	11	14	13	13	14	15	16	15	18	19	21	19	23	21	21	22	23	26	23	22	25	25	24	24	23	25	25	27	26	27	25	27	29	30	28	29	30	30	28	32	31	30	32	34	33	32	35	34	36	36	36	0	1	1	2	4	2	0	3	8	6	10	8	9	10	9	10	11	17	3	13	14	15	14	21	23	14	24	23	10	24	33	27	21	30	33	34	29	0	43	31	33	29	32	0	31	40	41	44	19	40	46	47	49	48	50	57	47	52	49	0	54	56	57	59	54	54	62	61	0	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	5	1	2	1	2	1	1	3	2	2	6	2	1	1	5	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	1	1	2	2	1	1	3	1	2	2	2	1	3	3	1	1	1
4500	-399.998037911290339	-406.853525862249739	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.747815123209027	0	2	2	1	3	5	5	8	10	8	10	7	12	9	12	11	10	12	12	13	12	13	14	15	16	14	17	17	21	21	23	22	22	23	23	25	25	24	24	24	25	25	24	25	26	28	27	27	26	28	30	29	28	30	30	31	29	31	31	31	33	35	34	35	35	35	35	35	34	0	1	1	1	4	1	0	6	8	6	8	6	9	10	9	10	2	11	9	9	14	11	21	21	21	22	21	24	25	28	30	27	30	30	29	30	34	0	29	31	31	30	30	0	40	45	31	44	7	45	46	47	49	48	50	57	47	52	49	0	54	63	47	59	61	61	63	61	0	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	4	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	1	8	2	1	2	1	1	1	2	1	1	1	1	2	1	3	2	1	1	1	2	1
