step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.16433	1.00000	0.36344	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.25200	0.96800	0.36308	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.28100	0.95200	0.34985	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98400	0.29400	0.88800	0.34460	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99000	0.30050	0.88200	0.33722	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97000	0.30840	0.78400	0.33478	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.98000	0.31200	0.68800	0.33214	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.94800	0.31114	0.58600	0.33094	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.93400	0.30950	0.50800	0.33050	0.002562890625000	0.666666666666667	0.256289062500000	0
5000		0.92800	0.31489	0.37000	0.32952	0.003844335937500	0.666666666666667	0.384433593750000	0
5500		0.87400	0.31460	0.37300	0.32871	0.005766503906250	0.666666666666667	0.384433593750000	0
6000		0.81200	0.31491	0.36200	0.32826	0.008649755859375	0.666666666666667	0.384433593750000	0
6500		0.88600	0.31533	0.37300	0.33000	0.012974633789063	0.666666666666667	0.384433593750000	0
7000		0.92000	0.31446	0.38680	0.33219	0.019461950683594	0.666666666666667	0.384433593750000	0
7500		0.88200	0.30929	0.38967	0.33575	0.029192926025391	0.666666666666667	0.384433593750000	0
8000		0.82800	0.30533	0.39114	0.33653	0.043789389038086	0.666666666666667	0.384433593750000	0
8500		0.74400	0.30450	0.39275	0.33833	0.065684083557129	0.666666666666667	0.384433593750000	0
9000		0.62600	0.30212	0.39578	0.34075	0.098526125335693	0.666666666666667	0.384433593750000	0
9500		0.48400	0.30067	0.40120	0.34425	0.147789188003540	0.666666666666667	0.384433593750000	0
10000		0.47200	0.29874	0.40673	0.34756	0.147789188003540	0.666666666666667	0.384433593750000	0
10500		0.46933	0.29510	0.40817	0.35187	0.147789188003540	0.666666666666667	0.384433593750000	0
11000		0.46600	0.29133	0.41138	0.35590	0.147789188003540	0.666666666666667	0.384433593750000	0
11500		0.45840	0.28791	0.41386	0.35882	0.147789188003540	0.666666666666667	0.384433593750000	0
12000		0.46067	0.28504	0.41533	0.36174	0.147789188003540	0.666666666666667	0.384433593750000	0
12500		0.45657	0.28308	0.41950	0.36446	0.147789188003540	0.666666666666667	0.384433593750000	0
13000		0.45725	0.27992	0.42271	0.36726	0.147789188003540	0.666666666666667	0.384433593750000	0
13500		0.45511	0.27785	0.42411	0.36975	0.147789188003540	0.666666666666667	0.384433593750000	0
14000		0.45540	0.27474	0.42632	0.37191	0.147789188003540	0.666666666666667	0.384433593750000	0
14500		0.45618	0.27307	0.42520	0.37363	0.147789188003540	0.666666666666667	0.384433593750000	0
15000		0.45650	0.27186	0.42619	0.37540	0.147789188003540	0.666666666666667	0.384433593750000	0
15500		0.45738	0.26960	0.42736	0.37696	0.147789188003540	0.666666666666667	0.384433593750000	0
16000		0.46071	0.26665	0.42913	0.37835	0.147789188003540	0.666666666666667	0.384433593750000	0
16500		0.46067	0.26544	0.43117	0.37992	0.147789188003540	0.666666666666667	0.384433593750000	0
17000		0.45987	0.26358	0.43176	0.38128	0.147789188003540	0.666666666666667	0.384433593750000	0
17500		0.45835	0.26282	0.43138	0.38248	0.147789188003540	0.666666666666667	0.384433593750000	0
18000		0.45622	0.26126	0.43200	0.38299	0.147789188003540	0.666666666666667	0.384433593750000	0
18500		0.45558	0.25989	0.43243	0.38386	0.147789188003540	0.666666666666667	0.384433593750000	0
19000		0.45470	0.25859	0.43200	0.38495	0.147789188003540	0.666666666666667	0.384433593750000	0
19500		0.45400	0.25847	0.43367	0.38601	0.147789188003540	0.666666666666667	0.384433593750000	0
20000		0.45309	0.25774	0.43329	0.38673	0.147789188003540	0.666666666666667	0.384433593750000	0
20500		0.45287	0.25710	0.43262	0.38776	0.147789188003540	0.666666666666667	0.384433593750000	0
21000		0.45350	0.25605	0.43376	0.38866	0.147789188003540	0.666666666666667	0.384433593750000	0
21500		0.45392	0.25529	0.43471	0.38962	0.147789188003540	0.666666666666667	0.384433593750000	0
22000		0.45408	0.25405	0.43537	0.39067	0.147789188003540	0.666666666666667	0.384433593750000	0
22500		0.45296	0.25355	0.43450	0.39152	0.147789188003540	0.666666666666667	0.384433593750000	0
23000		0.45293	0.25280	0.43503	0.39212	0.147789188003540	0.666666666666667	0.384433593750000	0
23500		0.45262	0.25270	0.43421	0.39246	0.147789188003540	0.666666666666667	0.384433593750000	0
24000		0.45180	0.25238	0.43487	0.39319	0.147789188003540	0.666666666666667	0.384433593750000	0
24500		0.45110	0.25175	0.43515	0.39408	0.147789188003540	0.666666666666667	0.384433593750000	0
25000		0.45112	0.25065	0.43556	0.39460	0.147789188003540	0.666666666666667	0.384433593750000	0
25500		0.45127	0.25068	0.43519	0.39526	0.147789188003540	0.666666666666667	0.384433593750000	0
26000		0.45100	0.25004	0.43591	0.39573	0.147789188003540	0.666666666666667	0.384433593750000	0
26500		0.45057	0.24969	0.43568	0.39614	0.147789188003540	0.666666666666667	0.384433593750000	0
27000		0.45172	0.24955	0.43502	0.39667	0.147789188003540	0.666666666666667	0.384433593750000	0
27500		0.45178	0.24874	0.43509	0.39713	0.147789188003540	0.666666666666667	0.384433593750000	0
28000		0.45163	0.24811	0.43494	0.39732	0.147789188003540	0.666666666666667	0.384433593750000	0
28500		0.45118	0.24675	0.43575	0.39777	0.147789188003540	0.666666666666667	0.384433593750000	0
29000		0.45130	0.24618	0.43608	0.39805	0.147789188003540	0.666666666666667	0.384433593750000	0
29500		0.45107	0.24569	0.43620	0.39844	0.147789188003540	0.666666666666667	0.384433593750000	0
30000		0.45148	0.24542	0.43682	0.39894	0.147789188003540	0.666666666666667	0.384433593750000	0
30500		0.45107	0.24437	0.43715	0.39932	0.147789188003540	0.666666666666667	0.384433593750000	0
31000		0.45027	0.24328	0.43823	0.39986	0.147789188003540	0.666666666666667	0.384433593750000	0
31500		0.45076	0.24274	0.43811	0.40013	0.147789188003540	0.666666666666667	0.384433593750000	0
32000		0.45178	0.24235	0.43818	0.40054	0.147789188003540	0.666666666666667	0.384433593750000	0
32500		0.45157	0.24219	0.43882	0.40085	0.147789188003540	0.666666666666667	0.384433593750000	0
33000		0.45112	0.24185	0.43958	0.40124	0.147789188003540	0.666666666666667	0.384433593750000	0
33500		0.45118	0.24161	0.43959	0.40164	0.147789188003540	0.666666666666667	0.384433593750000	0
34000		0.45172	0.24072	0.43932	0.40200	0.147789188003540	0.666666666666667	0.384433593750000	0
34500		0.45118	0.24015	0.43917	0.40239	0.147789188003540	0.666666666666667	0.384433593750000	0
35000		0.45127	0.23959	0.43869	0.40295	0.147789188003540	0.666666666666667	0.384433593750000	0
35500		0.45113	0.23926	0.43945	0.40321	0.147789188003540	0.666666666666667	0.384433593750000	0
36000		0.45126	0.23910	0.43975	0.40330	0.147789188003540	0.666666666666667	0.384433593750000	0
36500		0.45182	0.23894	0.43991	0.40371	0.147789188003540	0.666666666666667	0.384433593750000	0
37000		0.45214	0.23871	0.44040	0.40398	0.147789188003540	0.666666666666667	0.384433593750000	0
37500		0.45260	0.23886	0.44085	0.40457	0.147789188003540	0.666666666666667	0.384433593750000	0
38000		0.45276	0.23848	0.44119	0.40493	0.147789188003540	0.666666666666667	0.384433593750000	0
38500		0.45295	0.23803	0.44126	0.40513	0.147789188003540	0.666666666666667	0.384433593750000	0
39000		0.45423	0.23790	0.44125	0.40535	0.147789188003540	0.666666666666667	0.384433593750000	0
39500		0.45420	0.23767	0.44071	0.40552	0.147789188003540	0.666666666666667	0.384433593750000	0
40000		0.45445	0.23759	0.44115	0.40590	0.147789188003540	0.666666666666667	0.384433593750000	0
40500		0.45451	0.23760	0.44100	0.40621	0.147789188003540	0.666666666666667	0.384433593750000	0
41000		0.45394	0.23765	0.44096	0.40627	0.147789188003540	0.666666666666667	0.384433593750000	0
41500		0.45397	0.23705	0.44068	0.40644	0.147789188003540	0.666666666666667	0.384433593750000	0
42000		0.45342	0.23643	0.44061	0.40648	0.147789188003540	0.666666666666667	0.384433593750000	0
42500		0.45325	0.23660	0.44089	0.40666	0.147789188003540	0.666666666666667	0.384433593750000	0
43000		0.45291	0.23656	0.44179	0.40686	0.147789188003540	0.666666666666667	0.384433593750000	0
43500		0.45380	0.23609	0.44179	0.40697	0.147789188003540	0.666666666666667	0.384433593750000	0
44000		0.45329	0.23570	0.44180	0.40715	0.147789188003540	0.666666666666667	0.384433593750000	0
44500		0.45290	0.23518	0.44205	0.40749	0.147789188003540	0.666666666666667	0.384433593750000	0
45000		0.45281	0.23503	0.44207	0.40761	0.147789188003540	0.666666666666667	0.384433593750000	0
45500		0.45260	0.23489	0.44205	0.40793	0.147789188003540	0.666666666666667	0.384433593750000	0
46000		0.45249	0.23457	0.44176	0.40824	0.147789188003540	0.666666666666667	0.384433593750000	0
46500		0.45189	0.23450	0.44200	0.40847	0.147789188003540	0.666666666666667	0.384433593750000	0
47000		0.45166	0.23454	0.44224	0.40862	0.147789188003540	0.666666666666667	0.384433593750000	0
47500		0.45145	0.23417	0.44223	0.40858	0.147789188003540	0.666666666666667	0.384433593750000	0
48000		0.45164	0.23406	0.44193	0.40874	0.147789188003540	0.666666666666667	0.384433593750000	0
48500		0.45157	0.23440	0.44200	0.40885	0.147789188003540	0.666666666666667	0.384433593750000	0
49000		0.45162	0.23404	0.44216	0.40894	0.147789188003540	0.666666666666667	0.384433593750000	0
49500		0.45175	0.23418	0.44242	0.40917	0.147789188003540	0.666666666666667	0.384433593750000	0
