step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17
1	-1721.732683219832097	-1720.270601135313200	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.383381955465046	1	2	5	7	8	9	12	13	11	12	12	12	13	13	14	15	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	6	6	5	6	6	6	6	6	7	7	8
500	-109.401106001268289	-106.767498820250950	-2.633607181017333	0.000010016851625	0.000041934815209	4.186426711554785	0.457793611569103	1	3	6	7	8	9	12	14	11	12	12	12	12	14	15	16	16	0	1	2	0	4	5	5	10	6	6	9	5	6	11	8	10	14	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	2	1
1000	-117.047229841259195	-114.289296770478757	-2.757933070780442	0.000009997210327	0.000046029818546	4.604266294387266	0.495244142831726	1	2	5	6	7	9	10	11	11	11	11	12	13	13	15	15	16	0	1	1	0	4	5	5	6	6	6	6	5	9	11	8	10	14	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	3	2
1500	-112.093428504984544	-109.769498087093055	-2.323930417891489	0.000010005815295	0.000032314306128	3.229552532762852	0.824227158884262	1	3	5	6	8	9	10	11	11	12	13	13	13	14	14	15	17	0	1	2	0	4	5	5	6	6	9	9	7	10	11	8	6	14	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	2
2000	-108.197900815632835	-105.980294654456088	-2.217606161176740	0.000009991561881	0.000029239571725	2.926426525896044	0.881086532334574	1	3	6	7	8	10	12	13	12	11	11	13	14	14	14	15	16	0	1	2	0	4	5	5	6	10	6	6	7	6	11	8	10	14	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1
2500	-101.272748266631211	-97.861527585490151	-3.411220681141059	0.000009992324851	0.000071565581723	7.162055156289036	0.918293634403596	1	2	4	8	9	10	11	13	12	12	12	13	13	14	14	16	15	0	1	2	0	4	5	5	9	6	6	6	7	9	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
3000	-102.086424523956154	-99.240212357553219	-2.846212166402931	0.000009917115775	0.000048727755102	4.913500679740132	0.905891386650256	1	3	4	7	8	10	12	13	11	12	12	13	13	13	15	16	16	0	1	2	0	4	5	6	9	6	6	6	7	6	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
3500	-107.756796815556115	-104.902582531934485	-2.854214283621628	0.000009839756693	0.000048628667734	4.942059976850800	0.906545593536389	1	2	4	7	8	9	10	13	12	12	12	12	13	14	14	15	16	0	1	2	0	4	5	5	6	6	6	6	5	10	11	8	9	14	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1
4000	-99.032597474095525	-95.874225487909868	-3.158371986185650	0.000010427977066	0.000063566033020	6.095720446943147	0.932619486469373	1	3	6	6	8	10	10	13	11	13	12	12	14	14	15	15	16	0	1	2	0	4	5	5	9	6	9	6	7	10	11	8	6	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
4500	-121.074876350147591	-118.204332035358163	-2.870544314789428	0.000011390271554	0.000056958390914	5.000617469306850	0.763545797815912	0	2	4	6	8	9	13	12	10	11	11	12	14	13	15	16	15	0	1	1	0	4	5	10	9	6	6	6	5	9	11	8	5	14	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	4	1
