step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
1	-908.209601292899833	-915.065089243859234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671144662658663	1	1	2	3	3	3	6	7	5	7	7	7	7	8	9	9	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	3	3	3	3	4	4	4
500	-63.564336966475821	-70.419824917435193	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688399260460649	1	2	2	3	4	3	6	8	5	7	6	7	7	7	10	9	0	1	1	3	6	3	9	5	0	5	5	9	7	9	13	14	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1
1000	-66.719951174972110	-73.575439125931481	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718390498599330	0	2	2	1	4	4	6	5	4	7	6	7	8	9	9	10	0	1	4	1	3	3	9	5	0	8	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-72.711475798744146	-79.566963749703518	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.770591091705426	-1	1	1	3	4	3	5	5	3	7	8	6	6	8	9	10	0	1	1	3	6	3	9	5	0	8	5	9	7	12	12	12	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2
2000	-69.300381902218007	-76.155869853177379	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778308393621909	1	2	2	4	4	4	6	7	3	7	7	6	8	8	9	10	0	1	1	3	3	3	9	5	0	5	5	9	7	7	7	14	1	1	1	1	1	1	2	2	1	2	2	2	1	1	2	1
2500	-65.218447321983447	-72.073935272942819	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.977259939970640	0	2	1	4	4	3	6	7	4	7	8	6	8	8	10	9	0	1	1	6	3	3	9	5	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1
3000	-55.730741716151861	-62.586229667111233	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.994292243921326	1	2	2	4	4	3	6	7	5	8	7	7	8	8	9	9	0	1	1	6	3	3	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-69.721293626903005	-76.576781577862377	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.842697799650626	-1	1	1	4	4	3	7	6	5	8	7	6	8	8	9	10	0	1	1	3	3	3	9	5	0	5	5	9	7	12	13	14	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1
4000	-57.257613571098005	-64.113101522057377	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.981758782851354	0	2	2	4	4	3	6	6	5	7	7	7	7	9	9	10	0	1	1	6	3	3	9	5	0	5	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-68.213697933188925	-75.069185884148297	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.913935290086879	0	2	2	4	4	3	5	5	4	7	7	7	7	7	8	10	0	1	1	3	3	3	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
5000	-62.040284200916332	-68.895772151875704	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.906240300268737	0	1	2	4	3	3	6	7	5	6	6	6	7	7	10	9	0	1	1	3	3	3	9	11	0	5	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
5500	-68.519701086212208	-75.375189037171580	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.903455286475426	-1	1	1	3	4	3	6	6	3	6	6	8	7	7	9	8	0	1	1	3	6	3	9	6	0	5	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
6000	-63.991532389346105	-70.847020340305477	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.918814505101579	0	2	2	4	3	1	6	5	5	8	8	7	7	9	9	10	0	1	6	3	3	1	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
6500	-64.839758183750774	-71.695246134710146	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.747973821499734	0	2	3	4	4	2	6	6	4	8	7	8	8	8	10	10	0	1	6	6	3	1	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1
7000	-71.413393382750655	-78.268881333710027	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.925904399993222	0	2	2	2	4	1	6	8	5	6	7	7	8	8	10	10	0	1	6	6	3	1	9	1	0	5	5	9	7	9	13	14	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1
7500	-54.721155041898008	-61.576642992857380	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.990079837845851	0	1	3	3	4	2	6	6	5	7	8	7	7	7	9	9	0	1	6	6	6	1	9	5	0	5	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-62.823062515431943	-69.678550466391314	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.901431911424010	1	2	2	4	4	4	5	6	4	7	8	6	7	8	9	10	0	1	1	3	3	3	9	5	0	8	5	9	7	12	13	14	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1
8500	-60.744466606843872	-67.599954557803244	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.870285099940929	0	2	1	2	3	2	5	5	4	7	7	7	7	8	9	10	0	1	1	3	3	3	9	5	0	8	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-59.510989095370235	-66.366477046329607	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.967856476835728	1	2	2	4	4	3	6	6	5	8	7	8	8	8	9	9	0	1	1	3	3	3	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
9500	-65.558140927416432	-72.413628878375803	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.766329972357462	0	2	2	4	4	3	6	5	5	8	8	8	7	8	10	10	0	1	1	3	3	3	9	5	0	5	8	9	7	9	12	14	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
