step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.12625	1.00000	0.37856	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.22000	0.90400	0.36131	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99200	0.32200	0.90600	0.35041	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.99200	0.37600	0.83200	0.34196	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.99000	0.39733	0.78400	0.33462	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.98000	0.42650	0.59000	0.33109	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.97400	0.43480	0.49800	0.32717	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.96800	0.44100	0.48800	0.32374	0.001708593750000	0.444444444444444	0.113906250000000	0
4500		0.94600	0.44971	0.48867	0.32126	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.92600	0.45000	0.49150	0.31967	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.90200	0.45111	0.49760	0.31805	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.87600	0.45480	0.49967	0.31726	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.91800	0.45636	0.50057	0.31619	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.92000	0.45833	0.38600	0.31597	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.89400	0.45785	0.39900	0.31510	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.84200	0.45743	0.39800	0.31492	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.77800	0.45627	0.39600	0.31450	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.71400	0.45625	0.39840	0.31456	0.098526125335693	0.444444444444444	0.170859375000000	0
