step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46
1	-4928.072926333431496	-4926.610844248913054	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.719466016466508	0	2	3	3	5	4	6	7	7	9	10	11	11	12	12	13	14	13	15	14	15	18	15	16	19	18	19	18	20	19	18	22	20	21	21	22	22	22	23	24	24	25	25	27	27	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	4	4	5	5	6	6	6	6	7	7	7	8	7	8	9	8	8	10	9	10	9	10	10	9	11	10	11	11	11	11	11	12	12	12	13	13	14	14	14
500	-550.049681647502553	-548.405045192397438	-1.644636455105066	0.000010013317337	0.000014631307795	1.461184870281545	0.278437572861027	0	2	4	3	6	4	7	6	7	8	11	12	10	12	12	12	14	13	16	15	15	17	16	13	19	17	19	15	19	18	19	22	20	22	22	23	23	23	24	22	24	24	26	28	28	29	0	1	2	2	2	4	4	4	0	6	9	13	10	13	13	0	14	15	20	16	0	15	18	11	22	15	15	24	28	15	15	27	24	27	24	31	24	28	24	24	24	29	24	24	28	28	1	2	2	1	2	1	2	2	1	3	3	2	1	1	1	1	1	1	1	2	1	2	1	1	1	3	3	1	2	2	4	2	6	2	4	3	6	6	9	5	9	3	11	10	10	8
1000	-451.767753838802378	-449.628501700527920	-2.139252138274481	0.000009982357890	0.000027058110942	2.710593152363749	0.358431752751692	-2	1	4	2	5	4	6	6	7	8	11	11	10	12	12	13	15	13	16	15	15	18	16	14	18	16	18	17	20	20	19	23	20	22	21	21	22	23	23	22	25	26	26	28	28	28	0	1	1	2	2	4	4	6	0	8	9	13	10	13	13	0	14	15	16	16	0	18	18	11	26	15	26	24	24	15	27	27	24	30	29	22	33	35	35	29	24	35	24	28	40	39	1	3	4	1	2	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	4	1	3	4	1	1	2	1	2	2	2	7	2	7	6	4	2
1500	-383.207136258468381	-380.584276573221473	-2.622859685246912	0.000009980995589	0.000041433605174	4.151249723103895	0.796776526868665	0	2	3	3	6	5	7	7	7	9	10	12	10	13	13	13	15	14	15	14	16	17	16	16	20	17	19	18	19	20	19	21	21	21	20	21	22	22	24	24	24	24	25	28	28	27	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	15	18	11	26	15	15	24	24	27	26	27	28	31	29	27	33	35	38	38	29	38	39	39	40	41	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	3	1	3	3	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	2	1
2000	-270.086323662095083	-268.703491851286060	-1.382831810809031	0.000009963788687	0.000007379146419	0.740596438807126	0.831366994218230	1	2	4	4	3	5	6	8	8	9	11	11	10	12	13	12	14	14	15	14	14	18	15	16	20	17	20	18	20	20	19	23	21	22	22	22	22	23	23	25	24	26	25	26	27	27	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	26	18	21	26	15	31	24	28	22	26	27	24	26	29	31	33	35	35	35	35	38	41	35	40	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	2	1	2	1	2
2500	-258.889084316383446	-257.499945254155875	-1.389139062227583	0.000009902912572	0.000007596973954	0.767145412868845	0.723132006099081	1	2	3	3	4	4	6	7	7	8	10	11	10	12	13	13	14	14	15	15	14	17	16	16	19	18	20	19	20	20	19	23	21	21	21	22	22	22	23	23	24	25	25	26	26	28	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	15	18	21	22	15	22	24	28	26	15	27	28	31	29	31	33	29	35	35	38	35	41	38	40	41	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	2	2	1
3000	-272.187355333418907	-270.769730376839391	-1.417624956579511	0.000009935949785	0.000008627377041	0.868299178943173	0.731171402357505	0	2	4	4	6	5	7	7	7	9	10	11	10	12	13	13	14	14	15	15	14	18	15	17	19	18	20	19	19	19	19	21	19	21	21	23	23	22	24	23	25	25	25	25	27	28	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	15	18	21	26	15	31	24	24	15	22	31	24	31	29	31	33	29	29	29	39	35	39	38	40	41	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	2	1	2	1	1	1	2	1	1	2	2	1	2	2	1	2	2	1	3	1	2	2	2
3500	-278.260545207128985	-276.614219063056169	-1.646326144072818	0.000010553614520	0.000015464009517	1.465280874849837	0.715332611360668	0	2	3	4	5	5	6	8	8	9	11	12	11	12	12	13	13	14	15	14	15	17	15	17	20	18	20	18	20	18	18	22	21	20	21	23	23	22	23	24	24	24	25	26	26	28	0	1	2	2	2	4	4	6	0	8	9	10	10	13	13	0	14	15	16	16	0	18	15	21	30	15	31	24	24	15	15	22	28	31	29	31	33	35	35	39	29	35	41	38	40	44	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	2	3	3	2	1	1	3	1	1	1	1	2	2	1	2	1	2
4000	-282.328534257733565	-280.370459002932819	-1.958075254800747	0.000010598809890	0.000023674504392	2.233694597685555	0.744556479402232	0	2	3	4	5	5	7	6	6	7	10	10	12	12	11	13	13	12	16	15	15	15	14	17	20	19	19	18	20	19	17	21	21	21	21	23	23	22	23	24	24	26	26	27	26	29	0	1	2	2	2	4	4	6	0	8	9	10	12	12	12	0	14	15	16	16	0	15	18	21	30	23	31	24	24	22	22	27	24	30	28	30	33	29	38	38	29	39	41	39	40	44	1	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	2	2	1	2	1	1	2	2	1	2	1	1
4500	-274.477222713755793	-272.904501194853935	-1.572721518901856	0.000011557952330	0.000014858951316	1.285604135700754	0.715628620214190	0	1	4	3	4	5	6	7	7	9	11	10	11	13	12	13	14	14	15	14	15	18	15	16	20	17	20	19	19	16	18	22	20	22	22	21	22	22	23	24	24	25	25	27	27	28	0	1	2	2	2	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	15	18	21	22	13	31	24	24	12	30	27	28	26	29	26	33	29	29	38	39	35	35	42	42	41	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	3	2	2	1	2	1	2	1	2	2	2	1	2	2	1	1	1	2	1	1	2
