step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	0.35471	0.00000	0.29813	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		1.00000	0.35636	0.97800	0.28764	0.000150000000000	1.000000000000000	0.006666666666667	0
1500		1.00000	0.35290	0.97000	0.28462	0.000225000000000	1.000000000000000	0.010000000000000	0
2000		0.99800	0.36068	0.96600	0.28464	0.000337500000000	1.000000000000000	0.015000000000000	0
2500		0.99600	0.36014	0.89600	0.28345	0.000506250000000	1.000000000000000	0.022500000000000	0
3000		0.99600	0.35679	0.85800	0.28500	0.000759375000000	1.000000000000000	0.033750000000000	0
3500		0.98800	0.35810	0.82800	0.28344	0.001139062500000	1.000000000000000	0.050625000000000	0
4000		0.97200	0.36034	0.70600	0.28534	0.001708593750000	1.000000000000000	0.075937500000000	0
4500		0.96600	0.36208	0.61400	0.28531	0.002562890625000	1.000000000000000	0.113906250000000	0
5000		0.98000	0.36707	0.54800	0.28516	0.003844335937500	1.000000000000000	0.170859375000000	0
5500		0.94800	0.36698	0.46000	0.28544	0.005766503906250	1.000000000000000	0.256289062500000	0
6000		0.93800	0.36723	0.43200	0.28529	0.008649755859375	1.000000000000000	0.256289062500000	0
6500		0.91400	0.36760	0.43867	0.28694	0.012974633789063	1.000000000000000	0.256289062500000	0
7000		0.91600	0.36748	0.43150	0.28670	0.019461950683594	1.000000000000000	0.256289062500000	0
7500		0.92600	0.36498	0.43040	0.28702	0.029192926025391	1.000000000000000	0.256289062500000	0
8000		0.90000	0.36230	0.42567	0.28753	0.043789389038086	1.000000000000000	0.256289062500000	0
8500		0.87200	0.36051	0.42657	0.28657	0.065684083557129	1.000000000000000	0.256289062500000	0
9000		0.78600	0.35937	0.42350	0.28673	0.098526125335693	1.000000000000000	0.256289062500000	0
9500		0.72600	0.35741	0.42000	0.28706	0.147789188003540	1.000000000000000	0.256289062500000	0
10000		0.55600	0.35524	0.41700	0.28739	0.221683782005310	1.000000000000000	0.256289062500000	0
10500		0.48400	0.35594	0.42036	0.28746	0.332525673007965	1.000000000000000	0.256289062500000	0
11000		0.46200	0.35558	0.42200	0.28804	0.332525673007965	1.000000000000000	0.256289062500000	0
11500		0.45000	0.35334	0.41954	0.28842	0.332525673007965	1.000000000000000	0.256289062500000	0
12000		0.45450	0.35203	0.42057	0.28867	0.332525673007965	1.000000000000000	0.256289062500000	0
12500		0.45040	0.35171	0.42240	0.28834	0.332525673007965	1.000000000000000	0.256289062500000	0
13000		0.44433	0.35118	0.42325	0.28885	0.332525673007965	1.000000000000000	0.256289062500000	0
13500		0.44543	0.35040	0.42176	0.28932	0.332525673007965	1.000000000000000	0.256289062500000	0
14000		0.44175	0.35031	0.42311	0.28962	0.332525673007965	1.000000000000000	0.256289062500000	0
14500		0.44244	0.35044	0.42305	0.28985	0.332525673007965	1.000000000000000	0.256289062500000	0
15000		0.44100	0.35009	0.42410	0.29019	0.332525673007965	1.000000000000000	0.256289062500000	0
15500		0.44000	0.35067	0.42267	0.29029	0.332525673007965	1.000000000000000	0.256289062500000	0
16000		0.44317	0.34996	0.42327	0.29035	0.332525673007965	1.000000000000000	0.256289062500000	0
16500		0.44446	0.34875	0.42278	0.29015	0.332525673007965	1.000000000000000	0.256289062500000	0
17000		0.44457	0.34855	0.42233	0.29040	0.332525673007965	1.000000000000000	0.256289062500000	0
17500		0.44613	0.34813	0.42376	0.29068	0.332525673007965	1.000000000000000	0.256289062500000	0
18000		0.44662	0.34757	0.42431	0.29094	0.332525673007965	1.000000000000000	0.256289062500000	0
18500		0.44965	0.34694	0.42422	0.29093	0.332525673007965	1.000000000000000	0.256289062500000	0
19000		0.45167	0.34586	0.42443	0.29105	0.332525673007965	1.000000000000000	0.256289062500000	0
19500		0.45158	0.34509	0.42414	0.29125	0.332525673007965	1.000000000000000	0.256289062500000	0
20000		0.45510	0.34467	0.42380	0.29137	0.332525673007965	1.000000000000000	0.256289062500000	0
20500		0.45524	0.34524	0.42458	0.29138	0.332525673007965	1.000000000000000	0.256289062500000	0
21000		0.45582	0.34459	0.42394	0.29123	0.332525673007965	1.000000000000000	0.256289062500000	0
21500		0.45452	0.34485	0.42370	0.29142	0.332525673007965	1.000000000000000	0.256289062500000	0
22000		0.45350	0.34452	0.42418	0.29141	0.332525673007965	1.000000000000000	0.256289062500000	0
22500		0.45320	0.34562	0.42474	0.29143	0.332525673007965	1.000000000000000	0.256289062500000	0
23000		0.45285	0.34541	0.42428	0.29148	0.332525673007965	1.000000000000000	0.256289062500000	0
23500		0.45200	0.34538	0.42346	0.29143	0.332525673007965	1.000000000000000	0.256289062500000	0
24000		0.45071	0.34522	0.42395	0.29168	0.332525673007965	1.000000000000000	0.256289062500000	0
24500		0.45166	0.34605	0.42364	0.29132	0.332525673007965	1.000000000000000	0.256289062500000	0
25000		0.45133	0.34509	0.42375	0.29130	0.332525673007965	1.000000000000000	0.256289062500000	0
25500		0.45206	0.34480	0.42322	0.29099	0.332525673007965	1.000000000000000	0.256289062500000	0
26000		0.45325	0.34421	0.42252	0.29073	0.332525673007965	1.000000000000000	0.256289062500000	0
26500		0.45200	0.34401	0.42228	0.29072	0.332525673007965	1.000000000000000	0.256289062500000	0
27000		0.45265	0.34412	0.42227	0.29078	0.332525673007965	1.000000000000000	0.256289062500000	0
27500		0.45200	0.34459	0.42164	0.29077	0.332525673007965	1.000000000000000	0.256289062500000	0
28000		0.45172	0.34537	0.42130	0.29083	0.332525673007965	1.000000000000000	0.256289062500000	0
28500		0.45135	0.34485	0.42034	0.29073	0.332525673007965	1.000000000000000	0.256289062500000	0
29000		0.45132	0.34418	0.42071	0.29053	0.332525673007965	1.000000000000000	0.256289062500000	0
29500		0.45190	0.34459	0.42090	0.29042	0.332525673007965	1.000000000000000	0.256289062500000	0
30000		0.45150	0.34418	0.42116	0.29069	0.332525673007965	1.000000000000000	0.256289062500000	0
30500		0.45195	0.34431	0.42110	0.29088	0.332525673007965	1.000000000000000	0.256289062500000	0
31000		0.45290	0.34440	0.42069	0.29106	0.332525673007965	1.000000000000000	0.256289062500000	0
31500		0.45209	0.34442	0.42064	0.29108	0.332525673007965	1.000000000000000	0.256289062500000	0
32000		0.45109	0.34395	0.42015	0.29129	0.332525673007965	1.000000000000000	0.256289062500000	0
32500		0.45222	0.34380	0.42011	0.29122	0.332525673007965	1.000000000000000	0.256289062500000	0
33000		0.45300	0.34395	0.41971	0.29112	0.332525673007965	1.000000000000000	0.256289062500000	0
33500		0.45353	0.34353	0.42028	0.29134	0.332525673007965	1.000000000000000	0.256289062500000	0
