step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.28800	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94200	0.28614	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.94200	0.28552	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.84600	0.27778	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.81600	0.27823	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.79600	0.27809	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.72800	0.27453	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.71000	0.27593	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.42800	0.27654	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.48800	0.27808	0.000150000000000	1.000000000000000	0.256289062500000	0
5500		-nan	-nan	0.48133	0.27615	0.000150000000000	1.000000000000000	0.256289062500000	0
6000		-nan	-nan	0.48100	0.27624	0.000150000000000	1.000000000000000	0.256289062500000	0
6500		-nan	-nan	0.48880	0.27538	0.000150000000000	1.000000000000000	0.256289062500000	0
7000		-nan	-nan	0.49367	0.27598	0.000150000000000	1.000000000000000	0.256289062500000	0
7500		-nan	-nan	0.49686	0.27527	0.000150000000000	1.000000000000000	0.256289062500000	0
8000		-nan	-nan	0.49325	0.27339	0.000150000000000	1.000000000000000	0.256289062500000	0
8500		-nan	-nan	0.49933	0.27316	0.000150000000000	1.000000000000000	0.256289062500000	0
9000		-nan	-nan	0.49620	0.27205	0.000150000000000	1.000000000000000	0.256289062500000	0
9500		-nan	-nan	0.50200	0.27259	0.000150000000000	1.000000000000000	0.256289062500000	0
10000		-nan	-nan	0.50667	0.27271	0.000150000000000	1.000000000000000	0.256289062500000	0
10500		-nan	-nan	0.50923	0.27356	0.000150000000000	1.000000000000000	0.256289062500000	0
11000		-nan	-nan	0.51257	0.27321	0.000150000000000	1.000000000000000	0.256289062500000	0
11500		-nan	-nan	0.51120	0.27337	0.000150000000000	1.000000000000000	0.256289062500000	0
12000		-nan	-nan	0.51175	0.27301	0.000150000000000	1.000000000000000	0.256289062500000	0
12500		-nan	-nan	0.51459	0.27210	0.000150000000000	1.000000000000000	0.256289062500000	0
13000		-nan	-nan	0.51233	0.27176	0.000150000000000	1.000000000000000	0.256289062500000	0
13500		-nan	-nan	0.51547	0.27151	0.000150000000000	1.000000000000000	0.256289062500000	0
14000		-nan	-nan	0.51590	0.27129	0.000150000000000	1.000000000000000	0.256289062500000	0
14500		-nan	-nan	0.51771	0.27138	0.000150000000000	1.000000000000000	0.256289062500000	0
15000		-nan	-nan	0.52036	0.27066	0.000150000000000	1.000000000000000	0.256289062500000	0
15500		-nan	-nan	0.52070	0.27026	0.000150000000000	1.000000000000000	0.256289062500000	0
16000		-nan	-nan	0.52142	0.26986	0.000150000000000	1.000000000000000	0.256289062500000	0
16500		-nan	-nan	0.52264	0.26956	0.000150000000000	1.000000000000000	0.256289062500000	0
17000		-nan	-nan	0.52192	0.26893	0.000150000000000	1.000000000000000	0.256289062500000	0
17500		-nan	-nan	0.52237	0.26907	0.000150000000000	1.000000000000000	0.256289062500000	0
18000		-nan	-nan	0.52179	0.26905	0.000150000000000	1.000000000000000	0.256289062500000	0
18500		-nan	-nan	0.52200	0.26877	0.000150000000000	1.000000000000000	0.256289062500000	0
19000		-nan	-nan	0.52100	0.26883	0.000150000000000	1.000000000000000	0.256289062500000	0
19500		-nan	-nan	0.52168	0.26895	0.000150000000000	1.000000000000000	0.256289062500000	0
20000		-nan	-nan	0.52194	0.26895	0.000150000000000	1.000000000000000	0.256289062500000	0
20500		-nan	-nan	0.52073	0.26858	0.000150000000000	1.000000000000000	0.256289062500000	0
21000		-nan	-nan	0.52071	0.26854	0.000150000000000	1.000000000000000	0.256289062500000	0
21500		-nan	-nan	0.52057	0.26876	0.000150000000000	1.000000000000000	0.256289062500000	0
22000		-nan	-nan	0.52211	0.26897	0.000150000000000	1.000000000000000	0.256289062500000	0
22500		-nan	-nan	0.52292	0.26896	0.000150000000000	1.000000000000000	0.256289062500000	0
23000		-nan	-nan	0.52211	0.26887	0.000150000000000	1.000000000000000	0.256289062500000	0
23500		-nan	-nan	0.51949	0.26846	0.000150000000000	1.000000000000000	0.256289062500000	0
24000		-nan	-nan	0.51925	0.26848	0.000150000000000	1.000000000000000	0.256289062500000	0
24500		-nan	-nan	0.51941	0.26879	0.000150000000000	1.000000000000000	0.256289062500000	0
25000		-nan	-nan	0.51886	0.26863	0.000150000000000	1.000000000000000	0.256289062500000	0
25500		-nan	-nan	0.51949	0.26837	0.000150000000000	1.000000000000000	0.256289062500000	0
26000		-nan	-nan	0.51941	0.26822	0.000150000000000	1.000000000000000	0.256289062500000	0
26500		-nan	-nan	0.51898	0.26807	0.000150000000000	1.000000000000000	0.256289062500000	0
27000		-nan	-nan	0.51770	0.26792	0.000150000000000	1.000000000000000	0.256289062500000	0
27500		-nan	-nan	0.51885	0.26751	0.000150000000000	1.000000000000000	0.256289062500000	0
28000		-nan	-nan	0.51912	0.26718	0.000150000000000	1.000000000000000	0.256289062500000	0
28500		-nan	-nan	0.51837	0.26681	0.000150000000000	1.000000000000000	0.256289062500000	0
29000		-nan	-nan	0.51696	0.26690	0.000150000000000	1.000000000000000	0.256289062500000	0
29500		-nan	-nan	0.51808	0.26681	0.000150000000000	1.000000000000000	0.256289062500000	0
30000		-nan	-nan	0.51769	0.26666	0.000150000000000	1.000000000000000	0.256289062500000	0
30500		-nan	-nan	0.51675	0.26667	0.000150000000000	1.000000000000000	0.256289062500000	0
31000		-nan	-nan	0.51670	0.26632	0.000150000000000	1.000000000000000	0.256289062500000	0
31500		-nan	-nan	0.51735	0.26601	0.000150000000000	1.000000000000000	0.256289062500000	0
32000		-nan	-nan	0.51746	0.26613	0.000150000000000	1.000000000000000	0.256289062500000	0
32500		-nan	-nan	0.51807	0.26641	0.000150000000000	1.000000000000000	0.256289062500000	0
33000		-nan	-nan	0.51662	0.26663	0.000150000000000	1.000000000000000	0.256289062500000	0
33500		-nan	-nan	0.51664	0.26636	0.000150000000000	1.000000000000000	0.256289062500000	0
34000		-nan	-nan	0.51580	0.26639	0.000150000000000	1.000000000000000	0.256289062500000	0
34500		-nan	-nan	0.51551	0.26632	0.000150000000000	1.000000000000000	0.256289062500000	0
35000		-nan	-nan	0.51419	0.26628	0.000150000000000	1.000000000000000	0.256289062500000	0
35500		-nan	-nan	0.51387	0.26610	0.000150000000000	1.000000000000000	0.256289062500000	0
36000		-nan	-nan	0.51284	0.26616	0.000150000000000	1.000000000000000	0.256289062500000	0
36500		-nan	-nan	0.51225	0.26618	0.000150000000000	1.000000000000000	0.256289062500000	0
37000		-nan	-nan	0.51203	0.26618	0.000150000000000	1.000000000000000	0.256289062500000	0
37500		-nan	-nan	0.51152	0.26619	0.000150000000000	1.000000000000000	0.256289062500000	0
38000		-nan	-nan	0.51209	0.26618	0.000150000000000	1.000000000000000	0.256289062500000	0
38500		-nan	-nan	0.51252	0.26650	0.000150000000000	1.000000000000000	0.256289062500000	0
39000		-nan	-nan	0.51246	0.26660	0.000150000000000	1.000000000000000	0.256289062500000	0
39500		-nan	-nan	0.51200	0.26660	0.000150000000000	1.000000000000000	0.256289062500000	0
40000		-nan	-nan	0.51281	0.26643	0.000150000000000	1.000000000000000	0.256289062500000	0
40500		-nan	-nan	0.51255	0.26642	0.000150000000000	1.000000000000000	0.256289062500000	0
41000		-nan	-nan	0.51181	0.26641	0.000150000000000	1.000000000000000	0.256289062500000	0
41500		-nan	-nan	0.51299	0.26645	0.000150000000000	1.000000000000000	0.256289062500000	0
42000		-nan	-nan	0.51263	0.26647	0.000150000000000	1.000000000000000	0.256289062500000	0
42500		-nan	-nan	0.51262	0.26624	0.000150000000000	1.000000000000000	0.256289062500000	0
43000		-nan	-nan	0.51318	0.26659	0.000150000000000	1.000000000000000	0.256289062500000	0
43500		-nan	-nan	0.51197	0.26649	0.000150000000000	1.000000000000000	0.256289062500000	0
44000		-nan	-nan	0.51155	0.26651	0.000150000000000	1.000000000000000	0.256289062500000	0
44500		-nan	-nan	0.51185	0.26646	0.000150000000000	1.000000000000000	0.256289062500000	0
45000		-nan	-nan	0.51178	0.26647	0.000150000000000	1.000000000000000	0.256289062500000	0
45500		-nan	-nan	0.51096	0.26652	0.000150000000000	1.000000000000000	0.256289062500000	0
46000		-nan	-nan	0.51057	0.26649	0.000150000000000	1.000000000000000	0.256289062500000	0
46500		-nan	-nan	0.51047	0.26665	0.000150000000000	1.000000000000000	0.256289062500000	0
47000		-nan	-nan	0.51049	0.26653	0.000150000000000	1.000000000000000	0.256289062500000	0
47500		-nan	-nan	0.51115	0.26670	0.000150000000000	1.000000000000000	0.256289062500000	0
48000		-nan	-nan	0.51152	0.26662	0.000150000000000	1.000000000000000	0.256289062500000	0
48500		-nan	-nan	0.51139	0.26656	0.000150000000000	1.000000000000000	0.256289062500000	0
49000		-nan	-nan	0.51158	0.26650	0.000150000000000	1.000000000000000	0.256289062500000	0
49500		-nan	-nan	0.51185	0.26648	0.000150000000000	1.000000000000000	0.256289062500000	0
50000		-nan	-nan	0.51209	0.26631	0.000150000000000	1.000000000000000	0.256289062500000	0
50500		-nan	-nan	0.51222	0.26637	0.000150000000000	1.000000000000000	0.256289062500000	0
51000		-nan	-nan	0.51304	0.26643	0.000150000000000	1.000000000000000	0.256289062500000	0
51500		-nan	-nan	0.51341	0.26641	0.000150000000000	1.000000000000000	0.256289062500000	0
52000		-nan	-nan	0.51377	0.26666	0.000150000000000	1.000000000000000	0.256289062500000	0
52500		-nan	-nan	0.51421	0.26664	0.000150000000000	1.000000000000000	0.256289062500000	0
53000		-nan	-nan	0.51443	0.26666	0.000150000000000	1.000000000000000	0.256289062500000	0
53500		-nan	-nan	0.51418	0.26664	0.000150000000000	1.000000000000000	0.256289062500000	0
54000		-nan	-nan	0.51384	0.26653	0.000150000000000	1.000000000000000	0.256289062500000	0
54500		-nan	-nan	0.51414	0.26658	0.000150000000000	1.000000000000000	0.256289062500000	0
55000		-nan	-nan	0.51306	0.26659	0.000150000000000	1.000000000000000	0.256289062500000	0
55500		-nan	-nan	0.51223	0.26640	0.000150000000000	1.000000000000000	0.256289062500000	0
56000		-nan	-nan	0.51210	0.26628	0.000150000000000	1.000000000000000	0.256289062500000	0
56500		-nan	-nan	0.51208	0.26640	0.000150000000000	1.000000000000000	0.256289062500000	0
57000		-nan	-nan	0.51281	0.26630	0.000150000000000	1.000000000000000	0.256289062500000	0
57500		-nan	-nan	0.51241	0.26628	0.000150000000000	1.000000000000000	0.256289062500000	0
58000		-nan	-nan	0.51254	0.26634	0.000150000000000	1.000000000000000	0.256289062500000	0
58500		-nan	-nan	0.51250	0.26627	0.000150000000000	1.000000000000000	0.256289062500000	0
