step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
1	-1790.698463882712758	-1789.236381798193861	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.422642460080573	-1	3	4	4	5	5	8	10	10	11	13	14	14	17	17	16	20	22	22	25	26	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	5	6	6	6	7	8	8	9	9	9	11	12	12	13	14	15
500	-519.431183985343523	-516.043694142179788	-3.387489843163731	0.000009994599790	0.000070537950768	7.057606332681442	0.349788226058953	-2	3	4	3	5	2	8	10	10	9	13	15	14	18	15	16	20	21	19	23	26	28	0	6	6	6	6	1	2	7	10	6	10	10	1	12	11	1	15	17	16	19	19	20	1	1	1	1	1	1	2	1	1	3	2	4	6	2	1	6	3	1	1	2	6	2
1000	-389.150593026190506	-387.075822688034350	-2.074770338156177	0.000009983318845	0.000025332493989	2.537482212323658	0.534275295544481	0	3	5	5	6	5	8	10	10	9	12	14	14	18	17	16	20	23	23	26	27	28	0	1	2	2	2	2	6	7	10	2	10	10	6	10	11	13	15	17	10	19	19	19	1	2	1	1	2	2	2	1	1	4	2	2	3	4	2	1	2	2	7	2	2	3
1500	-370.898991967243319	-368.438767224607659	-2.460224742635687	0.000010026250723	0.000036461045338	3.636558305287398	0.724961126578430	0	2	4	4	4	5	8	10	10	9	14	13	14	15	18	16	21	23	22	25	27	29	0	1	2	2	2	3	2	7	10	7	12	10	7	12	11	13	15	17	13	19	20	21	1	1	1	1	1	1	2	1	1	1	1	3	4	1	2	1	1	2	3	1	1	1
2000	-354.288098831184641	-351.765181386778636	-2.522917444406022	0.000009963123424	0.000038169795514	3.831107363708036	0.605095543886211	-1	3	4	5	6	5	7	11	11	10	13	14	14	17	17	16	21	23	21	25	27	29	0	1	2	2	3	3	2	7	10	2	10	10	2	12	11	13	15	17	13	19	20	21	1	2	1	1	1	1	2	2	1	2	2	2	8	2	2	1	2	1	4	2	2	1
2500	-383.050191797865864	-381.016070060166555	-2.034121737699337	0.000010090487946	0.000024523227756	2.430331207739232	0.469145434809397	0	2	5	5	5	4	8	10	11	10	13	12	15	18	17	17	20	22	21	25	27	28	0	1	2	2	2	2	6	7	10	6	10	10	10	12	11	13	15	17	13	19	20	19	1	1	2	2	1	2	1	1	1	3	2	1	4	2	2	1	2	1	3	3	2	4
3000	-394.793708214281878	-392.263746788510048	-2.529961425771804	0.000009955057796	0.000038359471367	3.853264557063881	0.584732646180405	0	3	5	5	6	5	8	10	11	10	13	15	12	17	17	16	20	23	23	25	26	28	0	1	2	2	3	2	2	7	10	6	10	10	7	12	11	13	15	17	13	19	19	19	1	1	1	2	1	1	3	1	1	2	2	2	2	1	2	2	1	1	4	1	1	4
3500	-385.126283005173036	-382.457799727550025	-2.668483277623000	0.000010005428412	0.000043039351914	4.301600105576791	0.678833264924186	-1	3	4	5	6	5	9	10	11	9	14	14	14	16	17	16	20	22	22	23	26	29	0	1	2	2	2	3	6	7	10	6	10	10	7	12	11	13	15	17	13	19	20	21	1	2	1	1	1	1	3	1	2	3	2	2	3	1	2	1	2	1	3	1	2	2
4000	-411.924480841965703	-409.404635218165652	-2.519845623800041	0.000011224084531	0.000042892433039	3.821463828118070	0.661729839081008	-1	1	3	4	3	5	9	7	10	8	13	13	12	18	17	16	20	22	22	25	26	28	0	1	2	3	2	5	8	3	10	5	10	10	8	12	11	13	15	17	6	19	20	21	1	1	2	1	2	1	1	2	1	1	3	2	2	2	2	1	2	1	7	2	1	1
4500	-367.626760788173897	-365.648624816854579	-1.978135971319307	0.000012254136235	0.000028001969550	2.285103495860902	0.476578509438058	-1	4	4	4	6	2	8	9	11	10	12	14	14	16	17	15	20	19	22	24	27	29	0	6	6	6	6	1	2	3	10	4	10	10	3	12	11	13	15	15	13	19	20	19	1	1	2	2	1	1	1	2	1	4	1	2	6	1	3	1	2	1	3	1	2	2
5000	-354.585931264840383	-352.494173088708635	-2.091758176131755	0.000014130955215	0.000036496132204	2.582708079428351	0.713171040330197	-1	2	5	4	6	5	7	9	11	10	12	13	14	18	17	16	20	22	22	24	26	28	0	1	4	2	4	2	3	7	10	1	10	10	10	12	11	13	15	17	10	19	20	21	1	1	1	1	1	2	1	1	1	5	2	1	2	3	2	1	1	1	6	1	1	1
5500	-349.981384110791851	-348.103295609538634	-1.878088501253221	0.000021906534366	0.000044508158755	2.031729803182202	0.543788279760347	0	3	3	4	5	5	8	10	10	8	14	14	13	17	16	15	21	22	23	24	26	28	0	1	1	3	2	3	6	7	10	1	10	10	8	12	11	13	15	17	2	19	20	21	1	2	1	1	1	1	1	2	1	3	2	2	2	2	1	1	2	1	12	1	1	1
6000	-268.556895660864996	-267.106416876446872	-1.450478784418117	0.000051664537631	0.000049976843202	0.967333600446657	0.521234381945878	-1	0	4	4	5	6	9	8	11	10	13	15	15	17	18	17	20	23	23	24	27	28	0	1	2	2	2	3	8	5	10	4	10	9	10	12	11	13	15	17	13	19	19	20	1	1	2	2	2	1	1	1	1	4	1	2	3	1	2	1	1	2	4	1	3	2
6500	-237.984087594322006	-236.551638147744313	-1.432449446577706	0.000149068721656	0.000052922462635	0.355020570694590	0.557141294509931	0	4	3	5	5	6	9	11	10	9	13	14	14	17	18	16	20	23	20	25	26	28	0	1	1	3	3	3	6	4	10	6	10	11	7	12	11	13	15	17	13	19	20	21	1	2	2	1	1	2	1	4	1	2	2	1	2	2	2	1	1	1	3	2	1	1
7000	-208.105767376965701	-206.594617663938749	-1.511149713026958	0.000387087612420	0.000111138076196	0.287113492216811	0.417337352328468	0	2	4	4	6	4	8	10	11	11	14	14	13	18	16	16	20	22	23	26	26	27	0	1	1	1	1	1	1	3	5	5	9	9	8	15	9	13	11	9	7	8	18	8	1	2	1	2	4	3	3	3	2	2	2	2	1	1	2	1	2	5	7	8	3	8
7500	-225.523065266451681	-223.915979709948061	-1.607085556503626	0.000437708412311	0.000103732708089	0.236990437403112	0.287411593440544	-1	1	4	3	5	5	8	10	10	11	13	14	14	17	17	16	20	23	22	25	25	28	0	1	2	2	3	1	2	3	4	6	10	11	9	10	11	9	11	10	17	14	16	9	1	1	1	1	1	4	3	3	4	2	1	1	2	4	2	4	4	3	1	5	5	10
