step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.30902	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.97200	0.30310	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93000	0.29646	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.91600	0.30345	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.90800	0.30156	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.85400	0.30157	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.73000	0.30260	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.70800	0.29922	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.54600	0.30020	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.41400	0.29630	0.000150000000000	1.000000000000000	0.384433593750000	0
5500		-nan	-nan	0.43300	0.29576	0.000150000000000	1.000000000000000	0.384433593750000	0
6000		-nan	-nan	0.41600	0.29565	0.000150000000000	1.000000000000000	0.384433593750000	0
6500		-nan	-nan	0.44100	0.29614	0.000150000000000	1.000000000000000	0.384433593750000	0
7000		-nan	-nan	0.44840	0.29350	0.000150000000000	1.000000000000000	0.384433593750000	0
7500		-nan	-nan	0.44767	0.29337	0.000150000000000	1.000000000000000	0.384433593750000	0
8000		-nan	-nan	0.45057	0.29416	0.000150000000000	1.000000000000000	0.384433593750000	0
8500		-nan	-nan	0.45400	0.29453	0.000150000000000	1.000000000000000	0.384433593750000	0
9000		-nan	-nan	0.45533	0.29519	0.000150000000000	1.000000000000000	0.384433593750000	0
9500		-nan	-nan	0.45800	0.29572	0.000150000000000	1.000000000000000	0.384433593750000	0
10000		-nan	-nan	0.46036	0.29483	0.000150000000000	1.000000000000000	0.384433593750000	0
10500		-nan	-nan	0.46450	0.29477	0.000150000000000	1.000000000000000	0.384433593750000	0
11000		-nan	-nan	0.46538	0.29335	0.000150000000000	1.000000000000000	0.384433593750000	0
11500		-nan	-nan	0.46343	0.29244	0.000150000000000	1.000000000000000	0.384433593750000	0
12000		-nan	-nan	0.46600	0.29199	0.000150000000000	1.000000000000000	0.384433593750000	0
12500		-nan	-nan	0.46963	0.29095	0.000150000000000	1.000000000000000	0.384433593750000	0
13000		-nan	-nan	0.46988	0.29167	0.000150000000000	1.000000000000000	0.384433593750000	0
13500		-nan	-nan	0.47011	0.29174	0.000150000000000	1.000000000000000	0.384433593750000	0
14000		-nan	-nan	0.46968	0.29268	0.000150000000000	1.000000000000000	0.384433593750000	0
14500		-nan	-nan	0.47060	0.29272	0.000150000000000	1.000000000000000	0.384433593750000	0
15000		-nan	-nan	0.46990	0.29287	0.000150000000000	1.000000000000000	0.384433593750000	0
15500		-nan	-nan	0.46818	0.29247	0.000150000000000	1.000000000000000	0.384433593750000	0
16000		-nan	-nan	0.46652	0.29314	0.000150000000000	1.000000000000000	0.384433593750000	0
16500		-nan	-nan	0.46642	0.29323	0.000150000000000	1.000000000000000	0.384433593750000	0
17000		-nan	-nan	0.46640	0.29337	0.000150000000000	1.000000000000000	0.384433593750000	0
17500		-nan	-nan	0.46577	0.29366	0.000150000000000	1.000000000000000	0.384433593750000	0
18000		-nan	-nan	0.46363	0.29381	0.000150000000000	1.000000000000000	0.384433593750000	0
18500		-nan	-nan	0.46407	0.29365	0.000150000000000	1.000000000000000	0.384433593750000	0
19000		-nan	-nan	0.46421	0.29380	0.000150000000000	1.000000000000000	0.384433593750000	0
19500		-nan	-nan	0.46113	0.29375	0.000150000000000	1.000000000000000	0.384433593750000	0
20000		-nan	-nan	0.46187	0.29409	0.000150000000000	1.000000000000000	0.384433593750000	0
20500		-nan	-nan	0.46175	0.29341	0.000150000000000	1.000000000000000	0.384433593750000	0
21000		-nan	-nan	0.46242	0.29227	0.000150000000000	1.000000000000000	0.384433593750000	0
21500		-nan	-nan	0.46418	0.29195	0.000150000000000	1.000000000000000	0.384433593750000	0
22000		-nan	-nan	0.46440	0.29148	0.000150000000000	1.000000000000000	0.384433593750000	0
22500		-nan	-nan	0.46433	0.29099	0.000150000000000	1.000000000000000	0.384433593750000	0
23000		-nan	-nan	0.46568	0.29049	0.000150000000000	1.000000000000000	0.384433593750000	0
