step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
1	-3084.859618590541686	-3083.397536506022789	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.278467979021108	0	1	2	3	4	4	4	6	6	7	8	8	10	9	11	10	11	12	12	12	13	16	18	19	21	20	21	22	22	21	21	21	23	24	24	24	26	25	25	25	26	25	26	25	26	28	27	27	28	28	29	29	30	30	30	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	4	4	4	5	5	6	5	6	6	6	6	7	8	9	10	11	10	11	11	11	11	11	11	12	12	12	12	13	13	13	13	13	13	13	13	13	14	14	14	14	14	15	15	15	15	15	17
500	-668.056310480081152	-666.608949553880507	-1.447360926200679	0.000010037867529	0.000009620220864	0.958392889375717	0.173302778097761	-1	1	0	2	5	4	3	6	7	7	5	8	9	9	12	8	10	13	13	12	10	13	15	17	20	17	20	21	23	21	19	18	22	24	24	25	27	26	26	26	26	25	27	26	25	27	28	28	28	29	30	30	31	31	31	34	0	1	1	3	4	4	0	11	7	3	4	11	16	11	13	11	13	13	14	21	16	21	22	23	23	21	32	23	30	24	26	23	32	24	23	32	25	24	31	23	31	26	21	32	31	32	26	26	26	22	26	37	26	26	22	26	1	1	1	1	2	2	1	1	2	4	2	1	1	2	2	3	1	2	2	2	1	2	1	2	3	5	1	3	1	2	2	2	3	3	5	6	5	5	4	9	6	6	11	6	3	6	9	8	9	11	6	3	11	6	12	12
1000	-438.254865808254806	-436.842561101976287	-1.412304706278539	0.000010044689092	0.000008547232627	0.850920575900224	0.428439120619185	-1	1	2	3	4	4	4	6	6	8	5	7	10	8	11	9	11	13	13	11	14	17	15	19	20	17	20	23	23	21	20	19	24	24	24	24	26	25	24	25	27	24	27	25	27	28	27	27	29	28	30	29	31	30	31	34	0	1	1	3	3	3	0	11	7	4	3	11	16	11	13	12	13	13	14	16	20	21	21	23	23	23	32	22	24	24	32	23	27	24	31	27	26	30	31	36	31	26	31	39	44	32	26	31	44	27	42	42	26	26	49	26	1	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	1	2	3	1	2	2	1	2	3	1	1	2	2	2	1	2	2	3	2	3	5	2	2	1	5	4	5	1	2	6	5	3	2	5	4	2	11	7	1	10
1500	-373.213987385233338	-371.743088090369838	-1.470899294863484	0.000010014560796	0.000010257623367	1.024270916782847	0.488262752720807	0	1	2	4	4	4	4	7	6	7	5	7	9	9	11	10	12	11	13	12	14	15	16	19	21	20	20	22	22	21	22	19	24	23	24	24	27	26	23	25	27	24	27	26	26	28	26	27	28	26	29	28	31	31	31	33	0	1	1	3	3	3	0	11	7	3	3	11	12	11	13	13	18	13	14	16	20	21	21	23	23	23	32	23	30	24	32	23	32	30	31	27	26	29	31	36	31	26	39	39	31	50	26	39	45	32	42	42	26	52	49	26	1	1	1	1	1	1	1	2	1	2	2	1	1	3	1	1	1	1	2	1	1	1	1	1	2	2	1	4	1	2	3	2	2	2	1	2	4	3	1	1	3	1	2	2	2	1	4	2	1	3	2	2	5	2	1	8
2000	-334.759332959592257	-332.995753680289681	-1.763579279302571	0.000009913375195	0.000017344086555	1.749564221456955	0.740176577962085	-1	2	1	3	4	5	4	6	7	8	5	7	9	9	11	10	11	11	12	11	13	16	17	19	20	19	21	22	21	21	21	20	23	24	24	24	24	25	23	25	27	24	26	25	27	27	27	27	29	28	30	30	29	30	30	33	0	1	1	3	3	3	0	11	7	3	4	11	12	8	13	13	13	13	14	16	20	21	22	23	23	23	32	25	24	24	32	23	32	24	31	32	26	34	31	36	35	26	39	39	43	27	42	39	45	46	53	42	47	47	45	52	1	1	1	1	2	2	1	1	2	4	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	2	1	1	2	3	1	2	2	1	1	1	1	2	2	2	1	2	2	2	1	1	1	3	1	2	1	2
2500	-332.873067368976251	-331.134172328178011	-1.738895040798222	0.000009738991820	0.000016454209868	1.689518809771126	0.736489890646913	-1	1	2	2	5	4	3	7	6	7	5	8	9	10	12	11	11	11	11	12	14	16	18	20	21	21	22	23	23	22	21	20	23	24	24	25	26	25	23	26	27	23	27	24	26	28	26	28	27	29	29	29	30	30	29	33	0	1	1	1	4	4	0	11	7	3	4	11	8	12	18	13	13	13	14	16	20	21	22	23	23	23	32	23	30	24	32	23	27	24	31	32	26	29	31	36	35	26	39	39	44	36	42	44	39	46	42	47	47	42	49	51	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	2	2	2	1	3	2	2	3	1	2
3000	-324.919408443027237	-323.265522079982475	-1.653886363044766	0.000009433594555	0.000013995681182	1.483600031819124	0.803322263368855	0	1	2	4	5	5	4	6	6	6	5	8	9	9	11	11	11	12	13	12	13	16	18	19	21	20	22	23	22	22	22	20	24	25	25	25	25	25	24	25	27	25	27	25	26	27	27	28	29	29	29	30	28	31	31	33	0	1	1	3	4	4	0	11	7	6	3	11	12	12	13	13	13	13	14	16	20	21	20	23	23	23	32	23	24	24	32	23	32	24	31	32	26	29	31	27	35	26	39	39	39	36	42	39	45	46	42	53	47	47	49	51	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	3	1	1	1	2	1	2	1	2	2	1	2	2	1	2	3	1	2	2	2	1	2	1	2	1	1	1	1	2	2	2	1	2	1	1	2	1	2
3500	-322.303353581037925	-320.416644802451970	-1.886708778585930	0.000009389726972	0.000019279725918	2.053278649739675	0.782678568350274	0	2	2	3	4	5	3	7	5	7	5	8	9	10	11	11	11	13	12	12	13	16	18	19	19	21	21	22	22	21	21	20	23	24	24	25	26	25	24	26	27	25	25	26	27	27	27	26	29	28	29	29	30	29	31	32	0	1	1	3	3	3	0	11	7	4	4	11	12	11	13	13	13	13	14	16	20	21	22	23	23	25	32	23	24	24	32	23	27	24	31	27	26	29	31	32	35	26	39	39	44	36	42	43	45	27	42	47	52	47	49	52	1	1	1	1	1	1	1	1	2	2	1	2	1	3	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	1	2	3	1	2	3	1	2	1	1	1	1	1	1	1	3	2	2	1	2	1	2
4000	-312.531882138608182	-310.842677836916550	-1.689204301691639	0.000009226584923	0.000014477360858	1.569092029146896	0.631017429335889	0	2	2	3	5	4	4	6	6	8	5	7	9	10	12	11	11	12	12	13	14	16	17	20	21	20	22	22	23	22	22	20	23	24	25	25	25	25	24	25	27	26	25	26	26	29	27	27	28	27	29	30	31	31	29	33	0	1	1	3	6	3	0	11	7	6	4	11	12	12	13	13	13	13	14	16	20	21	22	23	23	23	32	25	30	24	32	23	27	30	31	27	26	29	31	32	35	26	39	39	39	50	42	39	45	36	47	47	47	47	49	52	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	1	1	2	2	2	1	1	2	2	3	1	2	1	1	1	2	2	1	1	2	2	2	1	1
4500	-318.955178527029318	-317.338686386168661	-1.616492140860664	0.000009883134922	0.000013765464704	1.392823715573437	0.742160666756492	0	1	2	3	4	4	3	6	6	8	5	7	9	10	11	10	12	12	12	12	14	16	18	19	21	21	22	23	23	21	21	20	24	22	24	23	25	26	23	24	27	26	25	26	26	28	27	27	29	26	29	27	30	29	31	33	0	1	1	3	3	3	0	11	7	6	3	11	11	12	13	13	13	13	14	16	20	21	22	23	23	23	32	25	34	24	32	23	27	24	31	32	26	29	31	32	35	37	39	39	43	50	42	43	45	40	47	42	52	42	49	53	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	2	2	1	2	2	1	2	2	1	2	1	1	1	1	2	1	2	2	1	1
