step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.25251	1.00000	0.34629	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.25926	0.94800	0.32966	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99600	0.27752	0.91400	0.31728	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99600	0.29215	0.91800	0.31082	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.99400	0.30412	0.85200	0.30679	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.99600	0.31177	0.74000	0.30479	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.99000	0.31409	0.63800	0.30355	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.99000	0.32433	0.54600	0.30123	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.97400	0.32341	0.44400	0.29870	0.002562890625000	1.000000000000000	0.256289062500000	0
5000		0.96400	0.32226	0.46000	0.29761	0.003844335937500	1.000000000000000	0.256289062500000	0
5500		0.95600	0.32388	0.45933	0.29603	0.005766503906250	1.000000000000000	0.256289062500000	0
6000		0.96000	0.32405	0.46950	0.29628	0.008649755859375	1.000000000000000	0.256289062500000	0
6500		0.93200	0.32267	0.47120	0.29493	0.012974633789063	1.000000000000000	0.256289062500000	0
7000		0.94000	0.32205	0.46967	0.29551	0.019461950683594	1.000000000000000	0.256289062500000	0
7500		0.92400	0.31778	0.47457	0.29646	0.029192926025391	1.000000000000000	0.256289062500000	0
8000		0.90000	0.31579	0.47275	0.29672	0.043789389038086	1.000000000000000	0.256289062500000	0
8500		0.84400	0.31568	0.46778	0.29629	0.065684083557129	1.000000000000000	0.256289062500000	0
9000		0.78800	0.31437	0.47260	0.29643	0.098526125335693	1.000000000000000	0.256289062500000	0
9500		0.66200	0.31193	0.46618	0.29729	0.147789188003540	1.000000000000000	0.256289062500000	0
10000		0.59400	0.31023	0.46600	0.29726	0.221683782005310	1.000000000000000	0.256289062500000	0
10500		0.47200	0.30936	0.46523	0.29753	0.332525673007965	1.000000000000000	0.256289062500000	0
11000		0.44800	0.30812	0.46657	0.29780	0.332525673007965	1.000000000000000	0.256289062500000	0
11500		0.43933	0.30568	0.46587	0.29840	0.332525673007965	1.000000000000000	0.256289062500000	0
12000		0.43850	0.30553	0.46187	0.29810	0.332525673007965	1.000000000000000	0.256289062500000	0
12500		0.43640	0.30378	0.46094	0.29805	0.332525673007965	1.000000000000000	0.256289062500000	0
13000		0.44800	0.30302	0.46078	0.29835	0.332525673007965	1.000000000000000	0.256289062500000	0
13500		0.44857	0.30358	0.45800	0.29795	0.332525673007965	1.000000000000000	0.256289062500000	0
14000		0.45700	0.30416	0.45720	0.29784	0.332525673007965	1.000000000000000	0.256289062500000	0
14500		0.45533	0.30381	0.45876	0.29847	0.332525673007965	1.000000000000000	0.256289062500000	0
15000		0.45660	0.30322	0.45855	0.29838	0.332525673007965	1.000000000000000	0.256289062500000	0
15500		0.45509	0.30254	0.45974	0.29869	0.332525673007965	1.000000000000000	0.256289062500000	0
16000		0.45150	0.30171	0.46050	0.29899	0.332525673007965	1.000000000000000	0.256289062500000	0
16500		0.45077	0.30087	0.46032	0.29919	0.332525673007965	1.000000000000000	0.256289062500000	0
17000		0.45071	0.30131	0.46031	0.29895	0.332525673007965	1.000000000000000	0.256289062500000	0
17500		0.44853	0.30213	0.45763	0.29873	0.332525673007965	1.000000000000000	0.256289062500000	0
18000		0.44512	0.30079	0.45800	0.29878	0.332525673007965	1.000000000000000	0.256289062500000	0
18500		0.44518	0.29991	0.45800	0.29912	0.332525673007965	1.000000000000000	0.256289062500000	0
19000		0.44611	0.29902	0.45560	0.29931	0.332525673007965	1.000000000000000	0.256289062500000	0
19500		0.44568	0.29935	0.45568	0.29924	0.332525673007965	1.000000000000000	0.256289062500000	0
20000		0.44710	0.29911	0.45525	0.29904	0.332525673007965	1.000000000000000	0.256289062500000	0
20500		0.44571	0.29816	0.45594	0.29936	0.332525673007965	1.000000000000000	0.256289062500000	0
21000		0.44473	0.29692	0.45582	0.29996	0.332525673007965	1.000000000000000	0.256289062500000	0
21500		0.44287	0.29690	0.45571	0.30022	0.332525673007965	1.000000000000000	0.256289062500000	0
22000		0.44333	0.29620	0.45606	0.30013	0.332525673007965	1.000000000000000	0.256289062500000	0
22500		0.44472	0.29610	0.45681	0.29960	0.332525673007965	1.000000000000000	0.256289062500000	0
23000		0.44531	0.29610	0.45600	0.29960	0.332525673007965	1.000000000000000	0.256289062500000	0
23500		0.44526	0.29563	0.45585	0.29966	0.332525673007965	1.000000000000000	0.256289062500000	0
24000		0.44507	0.29568	0.45540	0.29968	0.332525673007965	1.000000000000000	0.256289062500000	0
24500		0.44372	0.29499	0.45463	0.29950	0.332525673007965	1.000000000000000	0.256289062500000	0
25000		0.44387	0.29557	0.45424	0.29939	0.332525673007965	1.000000000000000	0.256289062500000	0
25500		0.44452	0.29527	0.45391	0.29927	0.332525673007965	1.000000000000000	0.256289062500000	0
26000		0.44544	0.29413	0.45359	0.29932	0.332525673007965	1.000000000000000	0.256289062500000	0
26500		0.44606	0.29382	0.45293	0.29959	0.332525673007965	1.000000000000000	0.256289062500000	0
27000		0.44682	0.29386	0.45322	0.29951	0.332525673007965	1.000000000000000	0.256289062500000	0
27500		0.44589	0.29365	0.45319	0.29982	0.332525673007965	1.000000000000000	0.256289062500000	0
28000		0.44611	0.29383	0.45379	0.29990	0.332525673007965	1.000000000000000	0.256289062500000	0
28500		0.44611	0.29383	0.45371	0.29987	0.332525673007965	1.000000000000000	0.256289062500000	0
29000		0.44568	0.29311	0.45368	0.29981	0.332525673007965	1.000000000000000	0.256289062500000	0
29500		0.44518	0.29289	0.45333	0.30003	0.332525673007965	1.000000000000000	0.256289062500000	0
30000		0.44585	0.29258	0.45346	0.30007	0.332525673007965	1.000000000000000	0.256289062500000	0
30500		0.44454	0.29217	0.45453	0.30018	0.332525673007965	1.000000000000000	0.256289062500000	0
31000		0.44486	0.29201	0.45481	0.30015	0.332525673007965	1.000000000000000	0.256289062500000	0
31500		0.44447	0.29264	0.45476	0.30004	0.332525673007965	1.000000000000000	0.256289062500000	0
32000		0.44432	0.29201	0.45496	0.29997	0.332525673007965	1.000000000000000	0.256289062500000	0
32500		0.44480	0.29201	0.45551	0.29995	0.332525673007965	1.000000000000000	0.256289062500000	0
33000		0.44483	0.29201	0.45545	0.29987	0.332525673007965	1.000000000000000	0.256289062500000	0
33500		0.44485	0.29147	0.45586	0.29979	0.332525673007965	1.000000000000000	0.256289062500000	0
34000		0.44483	0.29119	0.45617	0.30004	0.332525673007965	1.000000000000000	0.256289062500000	0
34500		0.44522	0.29076	0.45593	0.29996	0.332525673007965	1.000000000000000	0.256289062500000	0
35000		0.44492	0.29064	0.45542	0.30000	0.332525673007965	1.000000000000000	0.256289062500000	0
35500		0.44561	0.29074	0.45530	0.29985	0.332525673007965	1.000000000000000	0.256289062500000	0
36000		0.44673	0.29073	0.45497	0.29979	0.332525673007965	1.000000000000000	0.256289062500000	0
36500		0.44649	0.29080	0.45477	0.29979	0.332525673007965	1.000000000000000	0.256289062500000	0
37000		0.44637	0.29044	0.45448	0.29969	0.332525673007965	1.000000000000000	0.256289062500000	0
37500		0.44604	0.29041	0.45436	0.29975	0.332525673007965	1.000000000000000	0.256289062500000	0
38000		0.44589	0.28988	0.45453	0.30001	0.332525673007965	1.000000000000000	0.256289062500000	0
38500		0.44589	0.29011	0.45472	0.29983	0.332525673007965	1.000000000000000	0.256289062500000	0
39000		0.44614	0.28996	0.45414	0.29970	0.332525673007965	1.000000000000000	0.256289062500000	0
39500		0.44593	0.28948	0.45346	0.29979	0.332525673007965	1.000000000000000	0.256289062500000	0
40000		0.44627	0.28908	0.45347	0.30008	0.332525673007965	1.000000000000000	0.256289062500000	0
40500		0.44607	0.28848	0.45422	0.30027	0.332525673007965	1.000000000000000	0.256289062500000	0
41000		0.44616	0.28837	0.45346	0.30043	0.332525673007965	1.000000000000000	0.256289062500000	0
41500		0.44559	0.28818	0.45365	0.30043	0.332525673007965	1.000000000000000	0.256289062500000	0
42000		0.44594	0.28751	0.45429	0.30075	0.332525673007965	1.000000000000000	0.256289062500000	0
42500		0.44628	0.28782	0.45395	0.30064	0.332525673007965	1.000000000000000	0.256289062500000	0
43000		0.44724	0.28773	0.45408	0.30069	0.332525673007965	1.000000000000000	0.256289062500000	0
43500		0.44722	0.28759	0.45443	0.30090	0.332525673007965	1.000000000000000	0.256289062500000	0
44000		0.44674	0.28737	0.45498	0.30101	0.332525673007965	1.000000000000000	0.256289062500000	0
44500		0.44690	0.28735	0.45504	0.30098	0.332525673007965	1.000000000000000	0.256289062500000	0
45000		0.44629	0.28701	0.45517	0.30129	0.332525673007965	1.000000000000000	0.256289062500000	0
45500		0.44575	0.28673	0.45561	0.30148	0.332525673007965	1.000000000000000	0.256289062500000	0
46000		0.44539	0.28705	0.45576	0.30152	0.332525673007965	1.000000000000000	0.256289062500000	0
46500		0.44515	0.28740	0.45595	0.30150	0.332525673007965	1.000000000000000	0.256289062500000	0
47000		0.44462	0.28741	0.45630	0.30162	0.332525673007965	1.000000000000000	0.256289062500000	0
47500		0.44493	0.28712	0.45655	0.30179	0.332525673007965	1.000000000000000	0.256289062500000	0
48000		0.44516	0.28665	0.45666	0.30180	0.332525673007965	1.000000000000000	0.256289062500000	0
48500		0.44543	0.28677	0.45665	0.30173	0.332525673007965	1.000000000000000	0.256289062500000	0
49000		0.44638	0.28688	0.45691	0.30149	0.332525673007965	1.000000000000000	0.256289062500000	0
49500		0.44648	0.28675	0.45657	0.30146	0.332525673007965	1.000000000000000	0.256289062500000	0
50000		0.44643	0.28687	0.45696	0.30164	0.332525673007965	1.000000000000000	0.256289062500000	0
50500		0.44632	0.28680	0.45697	0.30155	0.332525673007965	1.000000000000000	0.256289062500000	0
51000		0.44644	0.28657	0.45715	0.30167	0.332525673007965	1.000000000000000	0.256289062500000	0
