step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98597	0.17034	1.00000	0.31540	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.27000	0.86000	0.30749	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98400	0.26300	0.83600	0.30436	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98400	0.25933	0.72000	0.30181	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.96200	0.25250	0.57200	0.30050	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96000	0.25120	0.49600	0.29871	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.93200	0.25033	0.50200	0.29798	0.001139062500000	0.666666666666667	0.075937500000000	0
4000		0.89800	0.24943	0.38800	0.29710	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.89000	0.33400	0.39200	0.29707	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.84800	0.34000	0.38000	0.29726	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.83400	0.34000	0.36550	0.29730	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.84600	0.33750	0.36840	0.29689	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.90600	0.33080	0.36500	0.29654	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.86000	0.32733	0.36143	0.29589	0.019461950683594	0.444444444444444	0.113906250000000	0
7500		0.83000	0.32657	0.35650	0.29546	0.029192926025391	0.444444444444444	0.113906250000000	0
8000		0.71600	0.32800	0.35467	0.29559	0.043789389038086	0.444444444444444	0.113906250000000	0
8500		0.66800	0.32689	0.35480	0.29529	0.065684083557129	0.444444444444444	0.113906250000000	0
9000		0.50400	0.32580	0.35418	0.29538	0.098526125335693	0.444444444444444	0.113906250000000	0
9500		0.40600	0.32855	0.35400	0.29512	0.147789188003540	0.444444444444444	0.113906250000000	0
10000		0.40300	0.32967	0.35138	0.29506	0.147789188003540	0.444444444444444	0.113906250000000	0
10500		0.40733	0.32815	0.35029	0.29503	0.147789188003540	0.444444444444444	0.113906250000000	0
11000		0.41100	0.32643	0.34827	0.29480	0.147789188003540	0.444444444444444	0.113906250000000	0
11500		0.41120	0.32880	0.34575	0.29491	0.147789188003540	0.444444444444444	0.113906250000000	0
12000		0.41233	0.32712	0.34376	0.29492	0.147789188003540	0.444444444444444	0.113906250000000	0
12500		0.41629	0.32918	0.34089	0.29464	0.147789188003540	0.444444444444444	0.113906250000000	0
13000		0.41275	0.32922	0.33926	0.29429	0.147789188003540	0.444444444444444	0.113906250000000	0
13500		0.41489	0.33063	0.33710	0.29429	0.147789188003540	0.444444444444444	0.113906250000000	0
14000		0.41160	0.32860	0.33686	0.29447	0.147789188003540	0.444444444444444	0.113906250000000	0
14500		0.40818	0.32705	0.33518	0.29449	0.147789188003540	0.444444444444444	0.113906250000000	0
15000		0.40667	0.32700	0.33374	0.29448	0.147789188003540	0.444444444444444	0.113906250000000	0
15500		0.40646	0.32722	0.33275	0.29437	0.147789188003540	0.444444444444444	0.113906250000000	0
16000		0.41000	0.32800	0.33248	0.29418	0.147789188003540	0.444444444444444	0.113906250000000	0
16500		0.40893	0.32728	0.33254	0.29395	0.147789188003540	0.444444444444444	0.113906250000000	0
17000		0.40675	0.32823	0.33126	0.29392	0.147789188003540	0.444444444444444	0.113906250000000	0
17500		0.40647	0.32956	0.33264	0.29385	0.147789188003540	0.444444444444444	0.113906250000000	0
18000		0.40789	0.33043	0.33138	0.29365	0.147789188003540	0.444444444444444	0.113906250000000	0
18500		0.41074	0.33193	0.32993	0.29346	0.147789188003540	0.444444444444444	0.113906250000000	0
19000		0.41070	0.33220	0.33039	0.29333	0.147789188003540	0.444444444444444	0.113906250000000	0
19500		0.41114	0.33265	0.33006	0.29338	0.147789188003540	0.444444444444444	0.113906250000000	0
20000		0.41109	0.33231	0.33067	0.29336	0.147789188003540	0.444444444444444	0.113906250000000	0
20500		0.41052	0.33261	0.32924	0.29336	0.147789188003540	0.444444444444444	0.113906250000000	0
21000		0.41175	0.33259	0.32783	0.29328	0.147789188003540	0.444444444444444	0.113906250000000	0
21500		0.41144	0.33326	0.32844	0.29320	0.147789188003540	0.444444444444444	0.113906250000000	0
22000		0.41046	0.33294	0.32789	0.29313	0.147789188003540	0.444444444444444	0.113906250000000	0
22500		0.40933	0.33265	0.32747	0.29312	0.147789188003540	0.444444444444444	0.113906250000000	0
23000		0.40986	0.33289	0.32754	0.29291	0.147789188003540	0.444444444444444	0.113906250000000	0
23500		0.40986	0.33303	0.32835	0.29292	0.147789188003540	0.444444444444444	0.113906250000000	0
24000		0.40987	0.33310	0.32785	0.29292	0.147789188003540	0.444444444444444	0.113906250000000	0
24500		0.40916	0.33356	0.32700	0.29279	0.147789188003540	0.444444444444444	0.113906250000000	0
25000		0.40975	0.33452	0.32795	0.29272	0.147789188003540	0.444444444444444	0.113906250000000	0
25500		0.40909	0.33433	0.32764	0.29270	0.147789188003540	0.444444444444444	0.113906250000000	0
26000		0.40976	0.33427	0.32773	0.29264	0.147789188003540	0.444444444444444	0.113906250000000	0
26500		0.41017	0.33364	0.32713	0.29255	0.147789188003540	0.444444444444444	0.113906250000000	0
27000		0.41033	0.33317	0.32660	0.29246	0.147789188003540	0.444444444444444	0.113906250000000	0
27500		0.41097	0.33379	0.32617	0.29237	0.147789188003540	0.444444444444444	0.113906250000000	0
28000		0.41089	0.33329	0.32624	0.29221	0.147789188003540	0.444444444444444	0.113906250000000	0
28500		0.41185	0.33327	0.32612	0.29220	0.147789188003540	0.444444444444444	0.113906250000000	0
29000		0.41120	0.33368	0.32596	0.29210	0.147789188003540	0.444444444444444	0.113906250000000	0
29500		0.41088	0.33380	0.32577	0.29203	0.147789188003540	0.444444444444444	0.113906250000000	0
30000		0.41067	0.33388	0.32532	0.29193	0.147789188003540	0.444444444444444	0.113906250000000	0
30500		0.41135	0.33370	0.32556	0.29188	0.147789188003540	0.444444444444444	0.113906250000000	0
31000		0.41168	0.33344	0.32535	0.29185	0.147789188003540	0.444444444444444	0.113906250000000	0
31500		0.41151	0.33324	0.32554	0.29184	0.147789188003540	0.444444444444444	0.113906250000000	0
32000		0.41152	0.33371	0.32512	0.29185	0.147789188003540	0.444444444444444	0.113906250000000	0
32500		0.41128	0.33351	0.32531	0.29182	0.147789188003540	0.444444444444444	0.113906250000000	0
33000		0.41154	0.33317	0.32610	0.29185	0.147789188003540	0.444444444444444	0.113906250000000	0
33500		0.41176	0.33329	0.32547	0.29180	0.147789188003540	0.444444444444444	0.113906250000000	0
34000		0.41280	0.33383	0.32505	0.29174	0.147789188003540	0.444444444444444	0.113906250000000	0
34500		0.41271	0.33393	0.32461	0.29171	0.147789188003540	0.444444444444444	0.113906250000000	0
35000		0.41300	0.33374	0.32413	0.29168	0.147789188003540	0.444444444444444	0.113906250000000	0
35500		0.41279	0.33400	0.32431	0.29171	0.147789188003540	0.444444444444444	0.113906250000000	0
36000		0.41319	0.33453	0.32452	0.29167	0.147789188003540	0.444444444444444	0.113906250000000	0
36500		0.41327	0.33548	0.32464	0.29163	0.147789188003540	0.444444444444444	0.113906250000000	0
37000		0.41321	0.33509	0.32436	0.29167	0.147789188003540	0.444444444444444	0.113906250000000	0
37500		0.41372	0.33528	0.32382	0.29157	0.147789188003540	0.444444444444444	0.113906250000000	0
38000		0.41297	0.33515	0.32348	0.29152	0.147789188003540	0.444444444444444	0.113906250000000	0
38500		0.41359	0.33493	0.32326	0.29146	0.147789188003540	0.444444444444444	0.113906250000000	0
39000		0.41367	0.33537	0.32301	0.29143	0.147789188003540	0.444444444444444	0.113906250000000	0
39500		0.41374	0.33510	0.32256	0.29137	0.147789188003540	0.444444444444444	0.113906250000000	0
40000		0.41381	0.33533	0.32225	0.29133	0.147789188003540	0.444444444444444	0.113906250000000	0
40500		0.41359	0.33526	0.32216	0.29141	0.147789188003540	0.444444444444444	0.113906250000000	0
41000		0.41344	0.33497	0.32213	0.29140	0.147789188003540	0.444444444444444	0.113906250000000	0
41500		0.41397	0.33469	0.32218	0.29136	0.147789188003540	0.444444444444444	0.113906250000000	0
42000		0.41370	0.33424	0.32239	0.29140	0.147789188003540	0.444444444444444	0.113906250000000	0
42500		0.41403	0.33418	0.32226	0.29135	0.147789188003540	0.444444444444444	0.113906250000000	0
43000		0.41409	0.33454	0.32223	0.29135	0.147789188003540	0.444444444444444	0.113906250000000	0
43500		0.41443	0.33473	0.32193	0.29135	0.147789188003540	0.444444444444444	0.113906250000000	0
44000		0.41403	0.33505	0.32225	0.29135	0.147789188003540	0.444444444444444	0.113906250000000	0
44500		0.41459	0.33449	0.32222	0.29132	0.147789188003540	0.444444444444444	0.113906250000000	0
45000		0.41456	0.33454	0.32202	0.29131	0.147789188003540	0.444444444444444	0.113906250000000	0
45500		0.41444	0.33398	0.32229	0.29126	0.147789188003540	0.444444444444444	0.113906250000000	0
46000		0.41462	0.33407	0.32254	0.29128	0.147789188003540	0.444444444444444	0.113906250000000	0
46500		0.41459	0.33379	0.32295	0.29128	0.147789188003540	0.444444444444444	0.113906250000000	0
47000		0.41505	0.33388	0.32274	0.29125	0.147789188003540	0.444444444444444	0.113906250000000	0
47500		0.41473	0.33405	0.32255	0.29124	0.147789188003540	0.444444444444444	0.113906250000000	0
48000		0.41467	0.33386	0.32285	0.29127	0.147789188003540	0.444444444444444	0.113906250000000	0
48500		0.41446	0.33375	0.32289	0.29131	0.147789188003540	0.444444444444444	0.113906250000000	0
49000		0.41435	0.33347	0.32310	0.29132	0.147789188003540	0.444444444444444	0.113906250000000	0
49500		0.41422	0.33393	0.32307	0.29127	0.147789188003540	0.444444444444444	0.113906250000000	0
50000		0.41454	0.33359	0.32271	0.29130	0.147789188003540	0.444444444444444	0.113906250000000	0
50500		0.41470	0.33335	0.32253	0.29129	0.147789188003540	0.444444444444444	0.113906250000000	0
51000		0.41474	0.33372	0.32246	0.29130	0.147789188003540	0.444444444444444	0.113906250000000	0
51500		0.41525	0.33381	0.32221	0.29132	0.147789188003540	0.444444444444444	0.113906250000000	0
52000		0.41563	0.33367	0.32235	0.29133	0.147789188003540	0.444444444444444	0.113906250000000	0
52500		0.41543	0.33348	0.32261	0.29132	0.147789188003540	0.444444444444444	0.113906250000000	0
53000		0.41580	0.33312	0.32230	0.29125	0.147789188003540	0.444444444444444	0.113906250000000	0
53500		0.41537	0.33271	0.32270	0.29130	0.147789188003540	0.444444444444444	0.113906250000000	0
54000		0.41549	0.33282	0.32295	0.29126	0.147789188003540	0.444444444444444	0.113906250000000	0
54500		0.41549	0.33267	0.32290	0.29123	0.147789188003540	0.444444444444444	0.113906250000000	0
55000		0.41580	0.33273	0.32291	0.29120	0.147789188003540	0.444444444444444	0.113906250000000	0
55500		0.41574	0.33264	0.32298	0.29120	0.147789188003540	0.444444444444444	0.113906250000000	0
56000		0.41523	0.33256	0.32324	0.29119	0.147789188003540	0.444444444444444	0.113906250000000	0
56500		0.41543	0.33257	0.32321	0.29127	0.147789188003540	0.444444444444444	0.113906250000000	0
57000		0.41560	0.33251	0.32307	0.29123	0.147789188003540	0.444444444444444	0.113906250000000	0
57500		0.41567	0.33232	0.32309	0.29129	0.147789188003540	0.444444444444444	0.113906250000000	0
58000		0.41563	0.33211	0.32323	0.29127	0.147789188003540	0.444444444444444	0.113906250000000	0
58500		0.41549	0.33204	0.32313	0.29131	0.147789188003540	0.444444444444444	0.113906250000000	0
59000		0.41546	0.33185	0.32310	0.29130	0.147789188003540	0.444444444444444	0.113906250000000	0
59500		0.41580	0.33184	0.32336	0.29127	0.147789188003540	0.444444444444444	0.113906250000000	0
60000		0.41575	0.33184	0.32320	0.29132	0.147789188003540	0.444444444444444	0.113906250000000	0
60500		0.41608	0.33181	0.32304	0.29135	0.147789188003540	0.444444444444444	0.113906250000000	0
61000		0.41608	0.33189	0.32287	0.29133	0.147789188003540	0.444444444444444	0.113906250000000	0
61500		0.41590	0.33203	0.32262	0.29139	0.147789188003540	0.444444444444444	0.113906250000000	0
62000		0.41594	0.33222	0.32279	0.29140	0.147789188003540	0.444444444444444	0.113906250000000	0
62500		0.41606	0.33232	0.32283	0.29140	0.147789188003540	0.444444444444444	0.113906250000000	0
63000		0.41615	0.33249	0.32247	0.29139	0.147789188003540	0.444444444444444	0.113906250000000	0
63500		0.41615	0.33237	0.32260	0.29136	0.147789188003540	0.444444444444444	0.113906250000000	0
64000		0.41607	0.33223	0.32260	0.29130	0.147789188003540	0.444444444444444	0.113906250000000	0
64500		0.41573	0.33217	0.32267	0.29129	0.147789188003540	0.444444444444444	0.113906250000000	0
65000		0.41582	0.33195	0.32278	0.29128	0.147789188003540	0.444444444444444	0.113906250000000	0
65500		0.41604	0.33197	0.32258	0.29130	0.147789188003540	0.444444444444444	0.113906250000000	0
66000		0.41581	0.33181	0.32261	0.29129	0.147789188003540	0.444444444444444	0.113906250000000	0
66500		0.41579	0.33210	0.32252	0.29131	0.147789188003540	0.444444444444444	0.113906250000000	0
67000		0.41576	0.33206	0.32231	0.29133	0.147789188003540	0.444444444444444	0.113906250000000	0
67500		0.41561	0.33175	0.32219	0.29133	0.147789188003540	0.444444444444444	0.113906250000000	0
68000		0.41568	0.33191	0.32251	0.29131	0.147789188003540	0.444444444444444	0.113906250000000	0
