step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.31139	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90000	0.29952	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.77000	0.29555	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.72600	0.29290	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.61400	0.29158	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.49800	0.29113	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.50800	0.29117	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.48400	0.29143	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.48050	0.29074	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.47400	0.29005	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.47567	0.29034	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.47771	0.29007	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.48175	0.29052	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.47956	0.29015	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.47860	0.28959	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.47673	0.28963	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.47750	0.28987	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.47446	0.28961	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.47200	0.28958	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.47213	0.28944	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.47100	0.28922	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.47000	0.28910	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.46967	0.28905	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.47074	0.28884	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.47250	0.28884	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.47495	0.28892	0.000150000000000	1.000000000000000	0.075937500000000	0
