step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98998	0.18036	1.00000	0.32051	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.31200	0.87600	0.30652	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98400	0.31600	0.82600	0.29991	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.96600	0.30067	0.73200	0.29724	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97400	0.30300	0.65800	0.29330	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96400	0.29160	0.47000	0.29177	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.94200	0.28400	0.48500	0.29092	0.001139062500000	0.666666666666667	0.075937500000000	0
4000		0.91800	0.28171	0.49467	0.29004	0.001708593750000	0.666666666666667	0.075937500000000	0
4500		0.89400	0.28300	0.49050	0.28948	0.002562890625000	0.666666666666667	0.075937500000000	0
5000		0.86200	0.28378	0.48880	0.28863	0.003844335937500	0.666666666666667	0.075937500000000	0
5500		0.80600	0.28080	0.48733	0.28813	0.005766503906250	0.666666666666667	0.075937500000000	0
6000		0.82400	0.28000	0.49143	0.28810	0.008649755859375	0.666666666666667	0.075937500000000	0
6500		0.90600	0.27733	0.49100	0.28793	0.012974633789063	0.666666666666667	0.075937500000000	0
7000		0.87800	0.27231	0.48622	0.28778	0.019461950683594	0.666666666666667	0.075937500000000	0
7500		0.80800	0.27086	0.48320	0.28766	0.029192926025391	0.666666666666667	0.075937500000000	0
8000		0.70600	0.26747	0.48073	0.28787	0.043789389038086	0.666666666666667	0.075937500000000	0
8500		0.60800	0.26225	0.48133	0.28819	0.065684083557129	0.666666666666667	0.075937500000000	0
9000		0.50200	0.26000	0.48031	0.28832	0.098526125335693	0.666666666666667	0.075937500000000	0
9500		0.41800	0.25722	0.47800	0.28862	0.147789188003540	0.666666666666667	0.075937500000000	0
10000		0.40500	0.25695	0.47947	0.28889	0.147789188003540	0.666666666666667	0.075937500000000	0
10500		0.41600	0.25730	0.47950	0.28890	0.147789188003540	0.666666666666667	0.075937500000000	0
11000		0.40950	0.25390	0.48153	0.28919	0.147789188003540	0.666666666666667	0.075937500000000	0
11500		0.41200	0.25200	0.48144	0.28953	0.147789188003540	0.666666666666667	0.075937500000000	0
12000		0.41367	0.25148	0.48095	0.28943	0.147789188003540	0.666666666666667	0.075937500000000	0
12500		0.41371	0.25025	0.47890	0.28959	0.147789188003540	0.666666666666667	0.075937500000000	0
13000		0.40650	0.24824	0.48019	0.28960	0.147789188003540	0.666666666666667	0.075937500000000	0
13500		0.40667	0.24692	0.47982	0.28929	0.147789188003540	0.666666666666667	0.075937500000000	0
14000		0.40600	0.24689	0.47757	0.28923	0.147789188003540	0.666666666666667	0.075937500000000	0
14500		0.40745	0.24543	0.47708	0.28938	0.147789188003540	0.666666666666667	0.075937500000000	0
15000		0.40717	0.24538	0.47752	0.28944	0.147789188003540	0.666666666666667	0.075937500000000	0
15500		0.40585	0.24513	0.47454	0.28925	0.147789188003540	0.666666666666667	0.075937500000000	0
16000		0.40729	0.24445	0.47319	0.28922	0.147789188003540	0.666666666666667	0.075937500000000	0
16500		0.40587	0.24263	0.47336	0.28919	0.147789188003540	0.666666666666667	0.075937500000000	0
17000		0.40550	0.24255	0.47441	0.28918	0.147789188003540	0.666666666666667	0.075937500000000	0
17500		0.40541	0.24188	0.47467	0.28922	0.147789188003540	0.666666666666667	0.075937500000000	0
18000		0.40367	0.24069	0.47484	0.28922	0.147789188003540	0.666666666666667	0.075937500000000	0
18500		0.40411	0.24000	0.47544	0.28919	0.147789188003540	0.666666666666667	0.075937500000000	0
19000		0.40570	0.23881	0.47497	0.28913	0.147789188003540	0.666666666666667	0.075937500000000	0
19500		0.40590	0.23837	0.47559	0.28916	0.147789188003540	0.666666666666667	0.075937500000000	0
20000		0.40518	0.23872	0.47549	0.28915	0.147789188003540	0.666666666666667	0.075937500000000	0
20500		0.40661	0.23830	0.47544	0.28908	0.147789188003540	0.666666666666667	0.075937500000000	0
21000		0.40550	0.23785	0.47465	0.28907	0.147789188003540	0.666666666666667	0.075937500000000	0
21500		0.40488	0.23743	0.47389	0.28912	0.147789188003540	0.666666666666667	0.075937500000000	0
22000		0.40600	0.23767	0.47318	0.28906	0.147789188003540	0.666666666666667	0.075937500000000	0
22500		0.40615	0.23750	0.47415	0.28921	0.147789188003540	0.666666666666667	0.075937500000000	0
23000		0.40571	0.23693	0.47478	0.28934	0.147789188003540	0.666666666666667	0.075937500000000	0
23500		0.40483	0.23643	0.47462	0.28944	0.147789188003540	0.666666666666667	0.075937500000000	0
24000		0.40287	0.23630	0.47349	0.28939	0.147789188003540	0.666666666666667	0.075937500000000	0
24500		0.40342	0.23604	0.47223	0.28933	0.147789188003540	0.666666666666667	0.075937500000000	0
25000		0.40231	0.23571	0.47293	0.28955	0.147789188003540	0.666666666666667	0.075937500000000	0
25500		0.40255	0.23516	0.47291	0.28954	0.147789188003540	0.666666666666667	0.075937500000000	0
26000		0.40247	0.23616	0.47306	0.28952	0.147789188003540	0.666666666666667	0.075937500000000	0
26500		0.40189	0.23646	0.47421	0.28951	0.147789188003540	0.666666666666667	0.075937500000000	0
27000		0.40228	0.23623	0.47367	0.28953	0.147789188003540	0.666666666666667	0.075937500000000	0
27500		0.40168	0.23663	0.47404	0.28958	0.147789188003540	0.666666666666667	0.075937500000000	0
28000		0.40237	0.23684	0.47490	0.28957	0.147789188003540	0.666666666666667	0.075937500000000	0
28500		0.40210	0.23636	0.47492	0.28970	0.147789188003540	0.666666666666667	0.075937500000000	0
29000		0.40135	0.23593	0.47426	0.28969	0.147789188003540	0.666666666666667	0.075937500000000	0
29500		0.40049	0.23517	0.47448	0.28972	0.147789188003540	0.666666666666667	0.075937500000000	0
30000		0.40129	0.23471	0.47429	0.28979	0.147789188003540	0.666666666666667	0.075937500000000	0
30500		0.40107	0.23407	0.47382	0.28977	0.147789188003540	0.666666666666667	0.075937500000000	0
31000		0.40073	0.23423	0.47400	0.28981	0.147789188003540	0.666666666666667	0.075937500000000	0
31500		0.40120	0.23426	0.47372	0.28981	0.147789188003540	0.666666666666667	0.075937500000000	0
32000		0.40078	0.23406	0.47403	0.28981	0.147789188003540	0.666666666666667	0.075937500000000	0
32500		0.40077	0.23350	0.47390	0.28989	0.147789188003540	0.666666666666667	0.075937500000000	0
33000		0.39967	0.23289	0.47377	0.28992	0.147789188003540	0.666666666666667	0.075937500000000	0
33500		0.39922	0.23206	0.47345	0.28995	0.147789188003540	0.666666666666667	0.075937500000000	0
34000		0.39916	0.23182	0.47305	0.28992	0.147789188003540	0.666666666666667	0.075937500000000	0
34500		0.39871	0.23150	0.47231	0.28997	0.147789188003540	0.666666666666667	0.075937500000000	0
35000		0.39881	0.23122	0.47172	0.28992	0.147789188003540	0.666666666666667	0.075937500000000	0
35500		0.39811	0.23111	0.47161	0.28984	0.147789188003540	0.666666666666667	0.075937500000000	0
36000		0.39804	0.23062	0.47170	0.28991	0.147789188003540	0.666666666666667	0.075937500000000	0
36500		0.39785	0.23003	0.47182	0.28993	0.147789188003540	0.666666666666667	0.075937500000000	0
37000		0.39764	0.22904	0.47188	0.29002	0.147789188003540	0.666666666666667	0.075937500000000	0
37500		0.39712	0.22881	0.47194	0.29007	0.147789188003540	0.666666666666667	0.075937500000000	0
38000		0.39755	0.22885	0.47203	0.29008	0.147789188003540	0.666666666666667	0.075937500000000	0
38500		0.39702	0.22847	0.47192	0.29008	0.147789188003540	0.666666666666667	0.075937500000000	0
39000		0.39757	0.22803	0.47192	0.29002	0.147789188003540	0.666666666666667	0.075937500000000	0
39500		0.39800	0.22787	0.47192	0.28998	0.147789188003540	0.666666666666667	0.075937500000000	0
40000		0.39794	0.22759	0.47232	0.28997	0.147789188003540	0.666666666666667	0.075937500000000	0
40500		0.39854	0.22815	0.47218	0.28995	0.147789188003540	0.666666666666667	0.075937500000000	0
41000		0.39825	0.22783	0.47197	0.28992	0.147789188003540	0.666666666666667	0.075937500000000	0
41500		0.39723	0.22720	0.47244	0.28994	0.147789188003540	0.666666666666667	0.075937500000000	0
42000		0.39709	0.22711	0.47246	0.29001	0.147789188003540	0.666666666666667	0.075937500000000	0
42500		0.39707	0.22683	0.47273	0.29004	0.147789188003540	0.666666666666667	0.075937500000000	0
43000		0.39674	0.22692	0.47289	0.28997	0.147789188003540	0.666666666666667	0.075937500000000	0
43500		0.39623	0.22656	0.47263	0.29003	0.147789188003540	0.666666666666667	0.075937500000000	0
44000		0.39609	0.22605	0.47263	0.29008	0.147789188003540	0.666666666666667	0.075937500000000	0
44500		0.39575	0.22589	0.47231	0.29012	0.147789188003540	0.666666666666667	0.075937500000000	0
45000		0.39564	0.22501	0.47238	0.29010	0.147789188003540	0.666666666666667	0.075937500000000	0
45500		0.39616	0.22513	0.47186	0.29014	0.147789188003540	0.666666666666667	0.075937500000000	0
46000		0.39627	0.22495	0.47205	0.29016	0.147789188003540	0.666666666666667	0.075937500000000	0
46500		0.39627	0.22487	0.47250	0.29014	0.147789188003540	0.666666666666667	0.075937500000000	0
47000		0.39587	0.22460	0.47240	0.29014	0.147789188003540	0.666666666666667	0.075937500000000	0
