step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.32047	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.85000	0.30803	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.79800	0.30348	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.71000	0.30063	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.59800	0.29906	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.47000	0.29764	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.48600	0.29636	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.48333	0.29510	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.48600	0.29480	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.48360	0.29414	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.48433	0.29399	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.48286	0.29368	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.47600	0.29321	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.47644	0.29275	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.47540	0.29275	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.47364	0.29257	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.47117	0.29241	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.47108	0.29211	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.47157	0.29209	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.47080	0.29205	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.47175	0.29208	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.47035	0.29200	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.47111	0.29190	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.47105	0.29212	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.47010	0.29195	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.46781	0.29188	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.46673	0.29191	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.46722	0.29176	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.46683	0.29146	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.46568	0.29114	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.46438	0.29100	0.000150000000000	1.000000000000000	0.075937500000000	0
