step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.17435	1.00000	0.33229	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.24400	0.87800	0.31713	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98800	0.36200	0.81200	0.30828	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98400	0.37000	0.74400	0.30473	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.98400	0.37400	0.68200	0.30245	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.96600	0.37350	0.47800	0.30054	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.94200	0.37240	0.49800	0.29919	0.001139062500000	0.444444444444444	0.075937500000000	0
4000		0.92200	0.37067	0.49067	0.29746	0.001708593750000	0.444444444444444	0.075937500000000	0
4500		0.90800	0.37229	0.49450	0.29627	0.002562890625000	0.444444444444444	0.075937500000000	0
5000		0.86400	0.37825	0.49480	0.29536	0.003844335937500	0.444444444444444	0.075937500000000	0
5500		0.81800	0.37222	0.49400	0.29482	0.005766503906250	0.444444444444444	0.075937500000000	0
6000		0.85000	0.37080	0.49143	0.29414	0.008649755859375	0.444444444444444	0.075937500000000	0
6500		0.89400	0.36800	0.48875	0.29366	0.012974633789063	0.444444444444444	0.075937500000000	0
7000		0.89600	0.36450	0.49089	0.29388	0.019461950683594	0.444444444444444	0.075937500000000	0
7500		0.82800	0.36000	0.49260	0.29411	0.029192926025391	0.444444444444444	0.075937500000000	0
8000		0.75600	0.35871	0.48982	0.29434	0.043789389038086	0.444444444444444	0.075937500000000	0
8500		0.70800	0.35693	0.48750	0.29445	0.065684083557129	0.444444444444444	0.075937500000000	0
9000		0.54200	0.35537	0.48508	0.29507	0.098526125335693	0.444444444444444	0.075937500000000	0
9500		0.39000	0.35353	0.48243	0.29506	0.147789188003540	0.444444444444444	0.075937500000000	0
10000		0.38600	0.35056	0.48373	0.29512	0.147789188003540	0.444444444444444	0.075937500000000	0
10500		0.38867	0.34800	0.48488	0.29517	0.147789188003540	0.444444444444444	0.075937500000000	0
11000		0.39600	0.34550	0.48612	0.29538	0.147789188003540	0.444444444444444	0.075937500000000	0
11500		0.39640	0.34438	0.48589	0.29562	0.147789188003540	0.444444444444444	0.075937500000000	0
12000		0.40000	0.34436	0.48611	0.29539	0.147789188003540	0.444444444444444	0.075937500000000	0
12500		0.40371	0.34365	0.48520	0.29537	0.147789188003540	0.444444444444444	0.075937500000000	0
13000		0.40425	0.34375	0.48457	0.29550	0.147789188003540	0.444444444444444	0.075937500000000	0
13500		0.40600	0.34272	0.48591	0.29566	0.147789188003540	0.444444444444444	0.075937500000000	0
14000		0.40980	0.34100	0.48670	0.29592	0.147789188003540	0.444444444444444	0.075937500000000	0
14500		0.41036	0.33985	0.48650	0.29616	0.147789188003540	0.444444444444444	0.075937500000000	0
