step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.19038	1.00000	0.31919	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.29000	0.86600	0.30663	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99200	0.30500	0.84600	0.30109	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98800	0.32267	0.76400	0.29754	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97800	0.32250	0.62200	0.29705	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96600	0.31920	0.49000	0.29539	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.93800	0.32433	0.50600	0.29375	0.001139062500000	0.666666666666667	0.075937500000000	0
4000		0.91400	0.32400	0.38600	0.29322	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.87200	0.32650	0.39200	0.29409	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.82600	0.32689	0.39333	0.29424	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.75800	0.32360	0.39450	0.29377	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.83200	0.32127	0.38360	0.29392	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.89400	0.32167	0.36900	0.29325	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.88200	0.31892	0.36314	0.29253	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.80600	0.31771	0.35550	0.29198	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.73800	0.31627	0.35711	0.29160	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.63800	0.31275	0.35520	0.29174	0.065684083557129	0.666666666666667	0.113906250000000	0
9000		0.50600	0.30906	0.35673	0.29166	0.098526125335693	0.666666666666667	0.113906250000000	0
9500		0.40200	0.30456	0.35333	0.29146	0.147789188003540	0.666666666666667	0.113906250000000	0
10000		0.38600	0.30126	0.35523	0.29180	0.147789188003540	0.666666666666667	0.113906250000000	0
10500		0.39400	0.30080	0.35414	0.29186	0.147789188003540	0.666666666666667	0.113906250000000	0
11000		0.39250	0.29905	0.35253	0.29169	0.147789188003540	0.666666666666667	0.113906250000000	0
11500		0.38880	0.29855	0.35263	0.29160	0.147789188003540	0.666666666666667	0.113906250000000	0
12000		0.38700	0.29670	0.35318	0.29129	0.147789188003540	0.666666666666667	0.113906250000000	0
12500		0.39086	0.29592	0.35356	0.29124	0.147789188003540	0.666666666666667	0.113906250000000	0
13000		0.39400	0.29576	0.35179	0.29117	0.147789188003540	0.666666666666667	0.113906250000000	0
13500		0.39356	0.29408	0.35140	0.29105	0.147789188003540	0.666666666666667	0.113906250000000	0
14000		0.38940	0.29341	0.35048	0.29102	0.147789188003540	0.666666666666667	0.113906250000000	0
14500		0.38909	0.29164	0.35009	0.29112	0.147789188003540	0.666666666666667	0.113906250000000	0
15000		0.38600	0.29041	0.35070	0.29118	0.147789188003540	0.666666666666667	0.113906250000000	0
15500		0.38585	0.29040	0.35025	0.29111	0.147789188003540	0.666666666666667	0.113906250000000	0
16000		0.38800	0.29013	0.34856	0.29103	0.147789188003540	0.666666666666667	0.113906250000000	0
16500		0.38667	0.28956	0.34846	0.29093	0.147789188003540	0.666666666666667	0.113906250000000	0
