step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.15631	1.00000	0.32083	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98800	0.24800	0.91800	0.30710	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98800	0.39000	0.82200	0.30419	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98000	0.38700	0.72600	0.30092	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.98000	0.38200	0.57000	0.29780	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.95600	0.38850	0.52800	0.29663	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.92600	0.38640	0.39400	0.29572	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.93800	0.38233	0.40800	0.29567	0.001708593750000	0.444444444444444	0.113906250000000	0
4500		0.87400	0.37971	0.41533	0.29559	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.84600	0.38700	0.40850	0.29550	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.83400	0.38933	0.39680	0.29496	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.84400	0.38740	0.39533	0.29396	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.86600	0.38327	0.39029	0.29398	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.84800	0.38350	0.38600	0.29368	0.019461950683594	0.444444444444444	0.113906250000000	0
7500		0.79000	0.37646	0.37778	0.29349	0.029192926025391	0.444444444444444	0.113906250000000	0
8000		0.70800	0.37300	0.37340	0.29345	0.043789389038086	0.444444444444444	0.113906250000000	0
8500		0.62000	0.37173	0.36473	0.29310	0.065684083557129	0.444444444444444	0.113906250000000	0
9000		0.44200	0.36825	0.36250	0.29293	0.098526125335693	0.444444444444444	0.113906250000000	0
9500		0.47500	0.37035	0.36262	0.29255	0.098526125335693	0.444444444444444	0.113906250000000	0
10000		0.48600	0.36744	0.36057	0.29220	0.098526125335693	0.444444444444444	0.113906250000000	0
10500		0.47350	0.36411	0.35800	0.29233	0.098526125335693	0.444444444444444	0.113906250000000	0
11000		0.48760	0.36370	0.35325	0.29223	0.098526125335693	0.444444444444444	0.113906250000000	0
11500		0.49333	0.36495	0.35282	0.29200	0.098526125335693	0.444444444444444	0.113906250000000	0
12000		0.49657	0.36236	0.35111	0.29180	0.098526125335693	0.444444444444444	0.113906250000000	0
12500		0.49925	0.36304	0.34758	0.29179	0.098526125335693	0.444444444444444	0.113906250000000	0
13000		0.50089	0.36133	0.34770	0.29189	0.098526125335693	0.444444444444444	0.113906250000000	0
13500		0.49740	0.35928	0.34648	0.29172	0.098526125335693	0.444444444444444	0.113906250000000	0
14000		0.49764	0.35877	0.34818	0.29157	0.098526125335693	0.444444444444444	0.113906250000000	0
14500		0.49667	0.35844	0.34696	0.29172	0.098526125335693	0.444444444444444	0.113906250000000	0
15000		0.49892	0.35829	0.34658	0.29182	0.098526125335693	0.444444444444444	0.113906250000000	0
15500		0.49686	0.35766	0.34560	0.29170	0.098526125335693	0.444444444444444	0.113906250000000	0
16000		0.49680	0.35620	0.34469	0.29166	0.098526125335693	0.444444444444444	0.113906250000000	0
16500		0.49650	0.35561	0.34511	0.29163	0.098526125335693	0.444444444444444	0.113906250000000	0
17000		0.49659	0.35569	0.34443	0.29150	0.098526125335693	0.444444444444444	0.113906250000000	0
17500		0.49667	0.35642	0.34317	0.29161	0.098526125335693	0.444444444444444	0.113906250000000	0
18000		0.49516	0.35565	0.34327	0.29163	0.098526125335693	0.444444444444444	0.113906250000000	0
18500		0.49470	0.35503	0.34213	0.29154	0.098526125335693	0.444444444444444	0.113906250000000	0
19000		0.49438	0.35433	0.34256	0.29146	0.098526125335693	0.444444444444444	0.113906250000000	0
19500		0.49436	0.35357	0.34133	0.29141	0.098526125335693	0.444444444444444	0.113906250000000	0
20000		0.49400	0.35411	0.33988	0.29132	0.098526125335693	0.444444444444444	0.113906250000000	0
20500		0.49333	0.35503	0.33949	0.29136	0.098526125335693	0.444444444444444	0.113906250000000	0
21000		0.49208	0.35335	0.33928	0.29141	0.098526125335693	0.444444444444444	0.113906250000000	0
21500		0.49046	0.35332	0.33897	0.29145	0.098526125335693	0.444444444444444	0.113906250000000	0
22000		0.49096	0.35324	0.33884	0.29135	0.098526125335693	0.444444444444444	0.113906250000000	0
22500		0.48779	0.35209	0.33882	0.29118	0.098526125335693	0.444444444444444	0.113906250000000	0
23000		0.48814	0.35182	0.33845	0.29108	0.098526125335693	0.444444444444444	0.113906250000000	0
23500		0.48980	0.35133	0.33820	0.29115	0.098526125335693	0.444444444444444	0.113906250000000	0
24000		0.48910	0.35183	0.33757	0.29129	0.098526125335693	0.444444444444444	0.113906250000000	0
24500		0.48912	0.35102	0.33837	0.29123	0.098526125335693	0.444444444444444	0.113906250000000	0
25000		0.48836	0.35050	0.33786	0.29119	0.098526125335693	0.444444444444444	0.113906250000000	0
25500		0.48765	0.35012	0.33711	0.29119	0.098526125335693	0.444444444444444	0.113906250000000	0
26000		0.48766	0.34988	0.33709	0.29113	0.098526125335693	0.444444444444444	0.113906250000000	0
26500		0.48794	0.34984	0.33655	0.29112	0.098526125335693	0.444444444444444	0.113906250000000	0
27000		0.48822	0.34962	0.33608	0.29122	0.098526125335693	0.444444444444444	0.113906250000000	0
27500		0.48821	0.35042	0.33600	0.29122	0.098526125335693	0.444444444444444	0.113906250000000	0
28000		0.48810	0.35033	0.33672	0.29119	0.098526125335693	0.444444444444444	0.113906250000000	0
28500		0.48820	0.35015	0.33702	0.29131	0.098526125335693	0.444444444444444	0.113906250000000	0
29000		0.48893	0.34954	0.33715	0.29127	0.098526125335693	0.444444444444444	0.113906250000000	0
29500		0.48938	0.34933	0.33679	0.29113	0.098526125335693	0.444444444444444	0.113906250000000	0
30000		0.48921	0.34869	0.33693	0.29108	0.098526125335693	0.444444444444444	0.113906250000000	0
