step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37403	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94600	0.36650	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90200	0.35665	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.83400	0.34854	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.77600	0.34445	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.63400	0.34020	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.47000	0.33686	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.49500	0.33413	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.49067	0.33234	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.49250	0.33045	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.49600	0.32863	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.49133	0.32677	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.48800	0.32564	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.49275	0.32466	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.49333	0.32413	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.49660	0.32401	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.49727	0.32354	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.50017	0.32294	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.49908	0.32274	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.50043	0.32249	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.50107	0.32255	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.49950	0.32169	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.50106	0.32161	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.50011	0.32129	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.49874	0.32088	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.49820	0.32079	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.49771	0.32085	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.49936	0.32066	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.49843	0.32025	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.49883	0.32008	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.50024	0.32034	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.50038	0.32017	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.50044	0.32028	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.50200	0.32008	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.50276	0.31996	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.50340	0.31981	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.50490	0.31970	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.50519	0.31961	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.50485	0.31949	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.50535	0.31945	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.50549	0.31950	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.50583	0.31967	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.50486	0.31944	0.000150000000000	1.000000000000000	0.113906250000000	0
