step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.36892	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.89800	0.36372	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89200	0.35585	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81200	0.34568	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.71600	0.33874	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.60400	0.33432	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.50600	0.33169	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.41000	0.32980	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.39700	0.32848	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.39400	0.32659	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.38700	0.32502	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.38040	0.32442	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.38900	0.32384	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.38800	0.32351	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.38300	0.32334	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.38489	0.32289	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.38440	0.32236	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.38709	0.32201	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.38667	0.32167	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.38769	0.32093	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.38386	0.32056	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.38360	0.32036	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.38275	0.31994	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.38353	0.32015	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.38400	0.31999	0.000150000000000	1.000000000000000	0.170859375000000	0
