step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-2283.178884425867636	-2281.716802341348739	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.216997894712641	0	2	3	5	5	4	5	8	7	6	7	7	7	9	9	8	8	9	11	10	9	10	10	12	11	10	10	11	12	11	11	12	12	12	13	14	14	15	14	14	14	14	14	14	16	15	14	15	14	15	16	16	15	15	17	17	17	17	17	17	18	19	18	17	19	19	19	18	22	20	21	22	22	23	24	25	26	28	30	31	31	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	3	4	4	3	4	4	4	5	5	4	4	5	6	5	5	5	5	6	6	5	5	6	6	6	6	6	6	6	7	7	7	8	7	7	7	7	7	7	8	8	7	8	7	8	8	8	8	8	9	9	9	9	9	9	9	10	9	9	10	10	10	9	11	10	11	11	11	12	12	13	13	14	15	16	16	18
500	-875.394039609089418	-873.258731038494489	-2.135308570594913	0.000009988902979	0.000026968958381	2.699891913915455	0.261819803127792	0	3	2	5	3	4	4	8	7	5	7	6	7	8	8	8	8	9	9	11	10	8	10	13	11	9	10	11	12	11	12	12	12	13	13	15	14	15	13	14	15	11	15	15	16	15	13	16	14	15	16	15	16	15	18	16	17	17	16	18	18	18	19	15	19	19	19	18	23	17	18	22	22	24	25	25	26	28	31	32	32	37	0	1	1	2	3	3	5	3	6	5	5	5	10	5	5	11	12	13	15	18	13	12	15	15	26	15	18	18	13	22	23	23	26	25	30	22	23	5	18	29	30	10	26	0	21	31	32	33	26	22	25	23	24	13	22	33	47	33	15	64	38	38	42	42	18	47	70	53	32	38	42	64	71	64	71	0	71	59	71	38	77	71	1	2	1	2	1	1	1	3	2	1	2	2	1	2	3	1	1	1	1	2	2	1	1	3	2	1	1	1	3	2	1	1	1	1	1	3	2	6	2	2	2	3	3	1	3	2	1	2	4	5	3	4	2	4	6	2	3	4	4	2	1	2	6	3	4	4	1	1	10	1	4	6	3	7	4	1	5	8	7	11	5	18
1000	-735.724091992225340	-733.984663729373665	-1.739428262851628	0.000009988877963	0.000016889333629	1.690813892266084	0.405383539622339	0	2	3	5	6	4	5	9	7	6	7	8	8	9	7	8	9	9	11	10	10	9	9	11	11	11	10	11	11	11	11	12	12	10	11	15	14	13	12	14	14	13	14	14	13	15	15	15	14	16	16	15	16	14	16	18	17	16	16	17	17	20	18	16	18	19	19	17	23	18	19	23	22	23	24	26	25	29	28	32	31	36	0	1	1	2	3	3	3	5	6	6	3	3	7	10	10	11	12	10	3	13	13	12	15	15	15	15	13	18	13	22	23	23	15	15	22	30	23	25	18	29	30	15	34	0	18	31	32	42	42	35	33	23	38	39	30	48	47	42	38	64	53	59	58	48	18	32	70	38	57	38	68	64	71	64	73	0	71	73	75	65	77	71	1	1	1	2	1	1	1	2	2	1	2	3	1	2	1	1	1	1	3	1	1	1	1	2	2	2	1	1	1	2	1	2	2	2	2	2	2	1	2	2	1	3	2	1	2	2	2	1	1	3	2	2	2	1	2	2	1	2	2	1	1	2	1	1	4	4	1	2	2	2	1	4	2	4	1	1	4	6	2	10	3	13
1500	-649.627928086266479	-647.582640078857480	-2.045288007409045	0.000009980868605	0.000024549130815	2.459618675231358	0.559210899103638	0	2	2	4	5	4	6	7	7	6	7	7	7	8	8	8	8	9	11	10	9	10	9	12	12	11	10	11	12	11	11	12	11	13	13	13	13	13	13	15	13	13	14	14	16	15	14	15	14	14	16	16	15	15	18	18	17	17	18	18	17	20	19	17	19	19	20	18	23	17	20	22	22	23	24	25	25	27	29	31	30	37	0	1	1	2	3	3	3	10	6	5	10	5	7	3	10	11	12	13	5	21	13	12	15	15	15	15	18	18	13	22	23	23	15	25	22	22	23	25	28	29	22	33	34	0	28	31	32	42	33	22	42	23	38	39	41	48	47	51	53	64	53	53	51	51	45	57	70	53	57	38	68	60	71	64	73	0	75	77	78	76	78	77	1	1	1	2	2	1	2	1	1	1	1	2	1	2	1	1	1	1	4	1	2	1	1	1	3	2	1	1	2	1	1	2	1	1	2	2	2	1	2	1	2	1	1	1	3	2	2	1	2	2	2	2	1	1	3	2	2	1	2	1	2	3	1	1	2	1	2	1	3	2	1	2	1	3	1	1	1	1	2	5	1	11
2000	-617.257966451898369	-615.042621123590266	-2.215345328308081	0.000010004802017	0.000029215135887	2.920111346346858	0.584777874630389	0	2	2	5	5	3	6	8	7	7	7	7	7	10	9	8	8	10	10	10	10	10	10	13	10	10	10	11	12	11	12	12	12	12	12	14	14	13	13	15	14	14	15	12	16	16	14	15	13	16	15	16	14	16	15	18	17	17	17	18	16	18	18	16	18	18	20	17	22	19	19	22	21	21	23	24	26	28	31	31	32	37	0	1	1	2	3	3	3	7	6	5	3	7	5	7	7	11	12	13	7	13	13	12	15	15	15	15	13	3	13	22	23	23	26	26	22	22	23	26	28	29	22	33	34	0	28	31	32	33	33	35	42	23	38	39	30	48	32	48	53	64	53	38	58	48	45	57	70	38	66	62	68	60	71	64	73	0	75	77	78	76	78	81	1	1	1	2	2	1	2	1	2	1	2	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	4	2	1	2	1	1	1	1	2	2	1	1	2	2	1	2	1	2	2	2	2	1	2	1	3	1	1	3	2	4	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	1	3	1	1	1	1	2	5	2	3
2500	-592.998721099806403	-590.844576958855100	-2.154144140951344	0.000009996915141	0.000027502926414	2.751141329780304	0.677527985017169	1	3	2	5	4	4	6	8	8	6	6	7	7	9	8	8	9	9	11	11	9	10	10	12	11	10	11	11	11	11	12	12	12	12	13	14	14	14	15	15	14	15	14	13	17	15	14	14	15	15	15	15	15	16	15	18	17	18	17	18	19	18	19	16	19	19	19	19	22	17	21	19	22	23	24	25	26	27	30	32	31	37	0	1	1	2	3	3	5	7	6	5	3	3	5	7	10	11	12	5	9	18	13	12	15	15	15	15	13	13	18	22	23	23	26	26	22	30	23	26	28	29	22	33	34	0	28	31	32	33	33	30	33	37	38	39	22	48	47	48	38	64	53	38	58	48	45	57	70	59	57	38	68	60	71	72	73	0	75	77	78	76	79	79	1	1	1	1	1	1	1	1	2	1	2	3	1	1	1	1	2	3	2	1	1	2	2	2	1	2	2	3	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	1	1	1	3	2	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	3	1	4
3000	-618.034605567094445	-615.775863819983783	-2.258741747110647	0.000009911884630	0.000030154579400	3.042264970448429	0.637968275861526	0	2	2	5	4	5	5	8	7	6	7	7	8	10	8	9	9	10	12	10	9	10	10	11	11	9	10	12	12	12	12	12	12	13	14	14	13	13	13	14	13	14	15	14	17	16	15	15	15	15	16	16	15	15	16	17	17	18	17	18	18	19	19	17	20	19	20	19	23	19	20	20	21	24	23	26	26	28	31	31	31	36	0	1	1	2	3	5	3	5	6	5	7	3	10	10	7	11	12	13	21	13	13	17	3	26	26	15	13	18	13	22	23	23	15	25	30	22	23	15	13	29	22	33	34	0	28	31	32	42	33	30	33	37	38	39	41	48	47	48	38	64	53	53	58	42	45	57	70	59	57	38	59	60	71	72	73	0	75	77	78	76	78	81	1	1	1	1	1	1	2	2	1	1	1	3	1	2	2	1	2	1	1	2	1	1	3	1	2	1	1	1	2	1	2	2	2	1	1	2	1	3	2	1	2	2	1	1	3	2	2	1	3	2	3	2	1	1	2	2	1	2	3	1	2	2	1	1	1	1	1	1	3	2	1	1	1	3	2	1	1	2	2	3	1	3
3500	-591.941918923816502	-589.801692408003305	-2.140226515813184	0.000009870993479	0.000026782369940	2.713239553564363	0.591895312969924	1	3	3	5	5	4	4	6	7	6	7	7	7	9	7	8	9	9	11	11	9	9	10	12	11	10	11	10	12	11	12	12	12	11	13	14	14	14	14	14	13	15	15	14	15	16	15	15	13	16	16	16	16	16	17	17	17	16	18	18	19	19	18	17	19	19	20	18	22	18	21	21	22	23	25	23	26	28	31	31	31	36	0	1	1	2	3	3	3	3	6	5	7	3	5	5	5	11	12	9	10	21	13	12	15	26	15	15	18	18	21	22	23	23	25	15	30	30	23	26	28	29	30	33	34	0	28	31	32	33	33	35	33	23	38	39	41	48	47	48	38	64	38	38	58	48	45	57	70	53	66	53	59	60	71	72	73	0	75	77	78	76	78	81	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	1	1	2	2	1	2	2	2	2	1	2	1	4	2	1	2	1	1	1	2	1	2	3	1	1	2	1	1	1	1	2	2	2	1	2	1	1	1	1	2	4	2	2
4000	-593.577502822454903	-591.923892765268874	-1.653610057186041	0.000010627089709	0.000015759237730	1.482930714086446	0.631441013794629	1	2	3	5	5	4	6	9	7	6	6	7	7	8	10	8	9	9	9	10	9	10	10	12	10	8	11	11	12	11	11	12	12	12	13	13	14	14	13	14	15	13	14	15	17	13	15	14	14	16	16	15	15	14	17	16	15	16	18	18	18	18	19	16	19	17	20	19	23	18	21	22	22	23	24	25	26	28	31	31	32	36	0	1	2	2	3	3	3	7	6	5	3	3	10	10	26	11	12	13	10	13	13	17	7	15	26	7	18	18	21	22	23	23	26	25	22	22	23	15	18	29	22	33	34	0	28	31	32	42	42	35	42	23	38	39	41	48	32	48	53	64	38	53	58	33	45	57	70	59	57	38	38	64	71	72	73	0	75	77	78	76	79	81	1	1	1	2	1	1	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	2	1	3	1	1	1	1	2	2	2	1	1	1	2	2	1	2	2	2	2	1	2	1	1	1	1	4	2	3	3	1	1	1	1	1	1	2	3	1	1
4500	-580.717101906163862	-578.551381040386786	-2.165720865777124	0.000012287730965	0.000034194468970	2.782813936003688	0.734641326827395	1	3	3	5	6	5	4	8	7	7	7	7	8	9	7	9	8	9	10	11	9	10	10	12	9	10	11	10	13	12	12	13	12	12	13	14	14	14	13	14	14	14	15	15	17	15	15	14	15	15	16	17	15	16	18	17	16	16	18	17	18	20	18	15	19	20	20	17	22	18	21	22	22	23	23	24	26	28	30	30	32	34	0	1	1	2	7	7	3	5	6	7	5	5	6	7	5	11	12	5	5	21	13	17	15	26	15	15	18	18	21	22	23	23	26	26	30	30	23	25	28	29	30	33	25	0	28	31	32	33	42	35	42	37	38	39	41	48	32	48	53	64	53	53	58	48	45	57	70	38	66	38	68	64	71	72	73	0	75	77	78	76	79	81	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	3	1	4	2	1	1	1	2	2	2	1	1	3	2	1	1	2	1	2	2	1	1	1	2	1	3	1	2	2	5	1	1	1	1	1	1	2	3	1	1
