step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105
1	-11463.744234263705948	-11462.282152179186596	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.312799845235815	0	4	5	8	10	12	12	14	16	16	19	20	20	19	21	21	21	22	22	22	24	24	25	25	26	26	27	26	27	27	28	31	29	30	30	32	32	31	33	31	32	32	33	33	33	32	32	34	34	34	33	35	37	35	35	35	34	36	36	36	36	37	37	37	38	39	37	37	38	37	37	37	37	38	38	39	38	39	40	40	39	40	42	40	42	41	42	41	41	42	42	41	41	42	43	43	42	44	44	44	45	46	46	46	46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	6	6	7	8	8	10	10	10	10	11	11	11	11	11	11	12	12	13	13	13	13	14	13	14	14	14	16	15	15	15	16	16	16	17	16	16	16	17	17	17	16	16	17	17	17	17	18	19	18	18	18	17	18	18	18	18	19	19	19	19	20	19	19	19	19	19	19	19	19	19	20	19	20	20	20	20	20	21	20	21	21	21	21	21	21	21	21	21	21	22	22	21	22	22	22	23	23	23	23	23
500	-3168.170794658666637	-3166.221595076764515	-1.949199581902072	0.000010038236097	0.000022195046221	2.211050428327668	0.104526996562657	1	3	5	7	9	12	9	13	17	15	16	20	17	20	18	22	18	21	21	19	21	24	25	24	23	26	26	26	26	24	25	32	29	31	31	32	33	32	34	32	32	33	34	33	34	33	33	35	35	35	34	36	38	35	36	36	34	37	37	37	37	38	38	37	38	40	38	38	39	38	37	38	37	39	39	40	39	39	41	41	40	41	41	41	42	42	43	41	42	43	42	42	42	42	44	44	43	44	45	45	45	47	46	47	47	0	1	2	3	4	5	0	5	8	6	8	13	10	11	11	0	0	13	15	11	7	7	5	21	21	20	0	21	25	7	0	20	17	17	2	20	21	31	20	20	30	30	21	20	7	30	20	30	30	21	21	26	20	21	20	17	21	17	30	20	30	19	20	17	30	30	31	11	30	21	30	17	20	21	21	21	20	30	15	21	21	17	20	30	30	21	21	20	17	30	30	30	30	8	30	20	21	30	30	30	30	30	21	30	30	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	3	2	2	8	8	10	1	1	4	1	3	3	14	1	6	11	10	21	7	8	5	14	9	7	8	10	9	20	7	9	10	9	14	13	7	16	13	9	16	11	18	9	14	11	13	17	16	14	15	10	17	11	12	13	17	17	14	18	19	18	12	17	19	19	20	18	13	16	19	19	16	21	14	16	16	15	20	19	20	21	17	18	19	13	20	24	21	19
1000	-2420.597632755676386	-2418.480740568271358	-2.116892187404880	0.000010072614153	0.000026693603922	2.650116793442872	0.113740737853382	0	3	6	8	10	11	12	15	15	16	18	21	20	20	20	21	21	20	23	19	21	25	25	25	25	23	27	25	28	24	25	31	29	31	31	33	33	30	33	31	33	32	33	34	34	32	33	34	34	35	34	36	38	35	35	36	35	37	36	35	35	37	38	37	39	40	38	38	39	38	38	38	37	39	39	40	38	40	40	41	40	41	43	41	43	42	42	42	42	43	43	42	40	43	44	44	43	44	45	45	44	46	47	47	47	0	1	2	3	4	5	0	5	5	5	8	10	10	11	11	0	0	10	15	11	7	16	10	21	21	20	0	21	25	7	0	20	30	29	21	26	30	31	20	20	30	30	31	26	7	30	20	30	30	21	21	26	20	30	26	21	31	21	30	20	30	20	20	30	30	30	31	20	46	30	30	30	26	30	21	21	20	30	20	21	21	21	20	30	30	30	30	20	21	30	30	30	30	26	30	20	21	30	30	30	58	30	30	30	30	1	2	2	1	1	1	1	3	2	3	1	3	3	1	1	1	1	2	2	1	5	2	6	2	3	2	1	3	2	6	1	8	4	2	8	5	6	4	10	5	4	5	8	6	17	5	8	5	7	12	13	6	13	5	7	14	10	14	9	12	6	12	16	12	13	14	10	15	3	12	11	13	14	13	14	18	14	11	12	17	16	16	16	10	16	15	15	15	19	13	13	13	12	17	18	20	20	14	16	17	5	16	20	18	18
1500	-2157.346341468618448	-2154.592210595540564	-2.754130873078001	0.000010165784241	0.000046672995007	4.591184890659517	0.125944679466042	0	3	4	6	9	12	13	14	16	16	18	18	21	20	21	20	21	22	23	19	21	25	26	25	25	23	27	26	28	24	25	30	28	30	30	31	32	31	33	31	33	32	33	33	33	29	32	34	33	35	34	36	37	33	34	36	35	37	36	37	37	38	37	38	39	40	37	37	38	38	37	38	38	39	39	40	38	40	41	41	39	41	42	39	42	41	42	41	42	43	43	42	41	43	44	43	43	45	45	45	45	47	47	47	46	0	1	2	2	4	5	0	5	8	6	6	10	12	11	11	0	0	10	15	11	7	16	18	21	17	20	0	30	24	21	0	20	30	28	31	20	30	31	20	26	30	33	35	20	7	30	20	42	30	30	21	55	20	30	40	30	31	21	30	20	41	20	20	30	30	30	35	20	54	30	30	30	20	30	30	21	20	49	26	30	30	30	20	54	30	30	30	26	30	30	30	46	30	20	30	20	30	30	30	30	50	54	30	30	30	1	2	1	1	2	1	1	2	1	2	3	1	2	2	3	1	1	3	1	1	3	2	2	2	4	2	1	2	2	2	1	5	2	2	2	6	4	3	10	4	6	3	2	6	14	2	6	1	6	10	12	1	11	7	3	9	7	8	7	11	2	10	13	12	12	13	5	12	3	10	7	12	11	11	15	18	12	6	10	14	13	17	13	5	15	13	13	11	17	12	12	11	10	17	16	19	19	14	13	17	5	7	19	15	17
2000	-1561.762496667686037	-1559.220139486796825	-2.542357180889322	0.000010203180270	0.000039714900335	3.892404062763902	0.174397433444807	1	4	6	8	9	12	12	14	17	16	17	21	20	19	20	21	21	22	23	19	21	25	25	26	25	24	27	27	28	24	28	31	26	30	29	33	29	32	33	31	29	29	33	33	34	30	32	33	33	35	34	34	37	34	32	35	35	36	36	36	36	36	38	38	39	40	37	38	38	38	37	36	37	38	39	40	39	40	41	41	40	41	41	41	43	41	43	41	42	43	43	42	42	43	44	44	43	45	45	45	44	46	47	47	47	0	1	2	2	4	5	0	2	6	8	6	10	10	11	11	0	0	10	15	11	7	16	18	17	21	20	0	25	25	21	0	26	30	28	31	26	33	35	20	26	33	33	35	20	37	41	20	42	37	33	21	40	20	46	26	41	35	37	46	20	49	20	20	33	37	37	38	26	54	42	41	33	26	41	33	21	26	42	26	42	37	41	20	54	33	37	41	20	33	49	49	41	42	20	41	20	33	42	42	42	93	97	30	37	42	1	2	1	2	1	2	1	6	3	1	3	2	2	1	2	1	1	4	1	1	6	2	2	2	3	3	1	1	2	2	1	4	1	2	1	4	2	2	11	4	2	2	3	7	4	1	8	2	3	7	12	2	9	2	4	3	3	4	3	9	1	9	11	11	10	8	2	8	2	6	3	6	8	6	12	15	11	5	10	9	9	9	13	4	11	10	11	12	16	8	8	11	9	16	14	16	13	9	13	13	1	2	18	11	13
2500	-1224.707963510582658	-1222.372515219968363	-2.335448290614188	0.000010294384631	0.000033591900659	3.263128575795566	0.229791045750555	0	4	5	8	10	13	13	13	16	16	18	20	20	19	20	22	21	23	22	20	22	25	26	25	25	24	27	26	28	25	28	31	26	30	30	33	29	32	33	30	30	31	33	33	32	32	31	34	34	32	34	35	38	34	34	34	34	36	37	36	36	37	38	37	36	39	37	38	38	38	37	38	38	39	38	40	39	38	39	41	38	41	42	38	43	41	43	41	41	42	42	42	41	42	44	43	42	44	44	45	45	47	47	46	46	0	1	2	2	3	4	0	5	6	6	6	10	10	11	11	0	0	13	15	11	7	16	18	21	21	20	0	25	25	21	0	26	30	28	31	47	33	35	20	20	37	37	35	26	37	37	20	37	37	41	21	39	26	46	32	41	35	42	46	26	49	47	20	41	41	50	38	20	54	50	65	49	40	48	65	37	26	49	26	46	49	37	26	54	42	42	37	20	37	65	82	54	65	20	42	20	37	75	37	37	72	105	33	42	37	1	2	1	2	4	3	1	2	2	1	3	2	2	1	1	1	1	1	2	1	3	2	2	2	2	2	1	1	1	1	1	4	1	3	1	1	1	1	6	6	1	1	2	5	2	2	5	2	4	1	9	2	7	1	1	3	2	2	3	6	1	4	12	4	4	5	3	9	3	4	1	2	5	3	1	9	8	2	8	7	2	7	13	2	8	7	9	12	10	4	1	6	3	14	11	14	9	3	9	7	4	1	17	10	10
3000	-985.796635767169732	-983.724256665860480	-2.072379101309287	0.000010589696504	0.000026803978097	2.531137515419840	0.321348393793287	-1	3	5	7	9	12	12	11	17	14	18	20	17	19	22	21	20	23	20	22	22	24	25	26	25	25	25	26	26	27	26	30	28	30	30	32	29	31	32	29	32	32	34	33	34	33	32	34	33	34	34	36	38	34	34	36	33	37	36	37	33	37	36	37	36	40	35	37	38	38	35	37	38	38	37	38	38	40	40	40	39	41	43	37	42	41	42	41	41	43	42	41	42	42	43	44	42	44	44	43	45	47	47	46	46	0	1	2	2	2	8	0	5	6	6	6	13	10	8	19	0	0	10	11	19	7	16	18	21	21	20	0	25	25	25	0	26	30	28	31	20	33	35	32	26	37	37	35	20	37	37	20	42	37	42	31	39	47	46	40	50	38	45	46	26	37	39	20	48	61	50	38	32	54	56	49	42	63	64	65	49	20	65	32	54	75	49	40	54	58	42	49	26	75	89	81	54	76	20	49	20	84	81	72	76	100	105	37	42	80	1	2	1	1	2	1	1	2	3	1	4	2	2	4	1	1	1	4	1	2	6	2	1	2	2	1	1	1	1	1	1	3	1	2	2	5	1	1	1	2	1	2	3	5	3	3	6	1	2	1	6	2	2	1	3	1	1	1	3	7	1	3	10	1	1	4	2	5	3	1	1	3	1	1	1	3	9	2	3	5	1	5	9	2	3	3	4	7	2	1	3	4	2	10	8	11	4	2	5	3	2	1	13	10	3
3500	-798.945390807925946	-797.138477611146641	-1.806913196779307	0.000011316236647	0.000020997802916	1.855546465807214	0.434563072322641	1	4	6	9	11	12	13	14	16	16	19	20	21	20	22	21	21	22	21	23	23	25	26	25	25	26	28	27	28	27	27	30	28	30	30	31	30	31	33	32	32	33	34	34	33	32	32	34	33	34	33	34	37	34	35	35	35	35	36	37	36	38	35	36	37	39	35	38	38	37	35	38	38	39	37	39	38	40	41	40	38	40	42	40	42	41	43	42	42	42	43	40	41	42	42	43	42	44	45	42	46	46	47	46	44	0	1	2	2	4	4	0	6	5	8	9	10	10	11	19	0	0	10	11	19	7	16	13	21	21	20	0	25	25	21	0	26	30	28	31	20	33	35	32	32	37	37	35	36	37	37	26	42	37	41	35	39	39	46	40	50	38	42	46	26	49	39	47	48	49	50	38	53	59	56	49	58	63	64	61	58	60	65	53	54	75	75	62	69	42	72	61	53	81	82	75	54	72	62	42	26	69	75	86	86	100	105	37	42	97	1	1	1	3	2	1	1	1	2	1	2	2	3	1	1	1	1	3	2	1	4	2	2	1	1	2	1	1	2	1	1	2	1	2	2	3	2	1	2	1	1	2	3	1	2	2	2	1	1	1	3	1	2	1	2	1	2	1	2	7	2	3	2	1	2	4	2	1	1	1	1	2	2	2	1	2	1	1	2	4	1	3	3	2	5	2	6	2	2	2	2	4	2	3	5	10	2	3	2	1	3	1	13	5	1
4000	-747.513964700064889	-746.020301206177351	-1.493663493887554	0.000011589578452	0.000012577221989	1.085218245103678	0.475438316469933	0	4	6	8	10	12	12	13	15	16	19	20	18	20	22	21	21	22	21	23	24	24	25	26	26	26	27	26	27	28	28	29	29	29	29	32	31	31	33	31	32	32	34	33	33	32	32	34	33	33	34	35	34	35	35	34	34	35	36	34	36	37	38	35	38	39	38	36	39	38	36	38	37	39	38	37	38	39	40	41	39	40	42	40	42	39	43	42	41	42	42	40	41	42	42	43	43	42	45	44	45	46	46	46	45	0	1	2	3	4	5	0	5	8	8	10	13	10	11	19	0	0	12	11	19	2	16	18	21	21	20	0	21	25	28	0	26	30	28	31	40	33	35	40	26	37	37	35	47	37	37	26	37	37	37	38	39	47	46	47	50	35	42	46	20	49	68	47	48	61	50	35	53	54	56	49	42	60	64	49	42	62	65	68	54	75	81	77	69	72	58	61	68	75	75	81	54	86	62	72	26	80	82	93	86	86	105	42	76	97	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	9	2	2	1	1	2	1	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	3	1	1	1	4	2	1	1	2	1	1	2	2	1	2	2	2	7	2	1	2	1	1	3	4	2	2	3	2	2	1	2	2	2	1	1	2	4	1	1	2	1	2	2	5	2	2	2	1	2	1	2	2	10	1	1	2	4	3	1	10	4	1
4500	-714.517102123175050	-713.073986636780091	-1.443115486394945	0.000013416159360	0.000012692932346	0.946092842639094	0.534927822546670	0	2	5	8	11	10	12	14	15	17	17	21	19	19	21	21	19	23	22	23	24	24	25	25	25	26	28	26	27	27	28	30	29	31	29	32	30	32	34	31	32	33	34	34	33	31	32	34	34	35	33	35	34	32	34	36	35	36	35	37	36	36	37	37	38	39	36	36	38	38	38	38	38	39	38	39	39	39	40	39	39	41	40	41	43	40	43	41	42	43	43	42	42	43	43	43	42	44	45	44	46	46	46	46	45	0	1	2	3	6	4	0	5	5	8	8	13	10	11	11	0	0	12	15	15	7	16	18	21	21	20	0	25	25	28	0	20	30	28	31	32	33	35	32	26	37	37	35	36	37	37	20	37	37	41	38	39	47	46	26	50	35	42	54	32	49	53	47	48	61	50	51	53	54	56	49	42	63	64	49	58	62	65	68	69	75	81	62	69	76	42	61	79	75	75	75	80	86	77	58	68	80	89	93	86	100	105	86	76	97	1	1	2	2	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	6	2	1	1	1	2	1	1	1	1	1	3	1	2	1	2	1	2	2	3	1	1	2	1	1	1	6	2	2	2	1	1	1	1	3	1	4	2	1	4	2	1	3	2	1	3	2	2	2	2	1	2	1	1	2	2	1	1	2	1	1	2	3	2	2	2	5	1	2	2	2	2	1	2	4	5	1	1	2	2	2	1	5	2	1
