step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.40348	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.40851	0.33643	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.41439	0.33018	0.000150000000000	1.000000000000000	0.010000000000000	0
1500		-nan	-nan	0.42064	0.32326	0.000150000000000	1.000000000000000	0.010000000000000	0
2000		-nan	-nan	0.42661	0.31571	0.000150000000000	1.000000000000000	0.010000000000000	0
2500		-nan	-nan	0.43262	0.31310	0.000150000000000	1.000000000000000	0.010000000000000	0
3000		-nan	-nan	0.43832	0.31070	0.000150000000000	1.000000000000000	0.010000000000000	0
3500		-nan	-nan	0.44417	0.31023	0.000150000000000	1.000000000000000	0.010000000000000	0
4000		-nan	-nan	0.44988	0.30902	0.000150000000000	1.000000000000000	0.010000000000000	0
4500		-nan	-nan	0.45516	0.30786	0.000150000000000	1.000000000000000	0.010000000000000	0
5000		-nan	-nan	0.46038	0.30724	0.000150000000000	1.000000000000000	0.010000000000000	0
5500		-nan	-nan	0.46575	0.30645	0.000150000000000	1.000000000000000	0.010000000000000	0
6000		-nan	-nan	0.47024	0.30584	0.000150000000000	1.000000000000000	0.010000000000000	0
6500		-nan	-nan	0.47505	0.30543	0.000150000000000	1.000000000000000	0.010000000000000	0
7000		-nan	-nan	0.48013	0.30372	0.000150000000000	1.000000000000000	0.010000000000000	0
7500		-nan	-nan	0.48505	0.30389	0.000150000000000	1.000000000000000	0.010000000000000	0
8000		-nan	-nan	0.48957	0.30366	0.000150000000000	1.000000000000000	0.010000000000000	0
8500		-nan	-nan	0.49401	0.30295	0.000150000000000	1.000000000000000	0.010000000000000	0
9000		-nan	-nan	0.49862	0.30265	0.000150000000000	1.000000000000000	0.010000000000000	0
9500		-nan	-nan	0.50287	0.30236	0.000150000000000	1.000000000000000	0.010000000000000	0
10000		-nan	-nan	0.50733	0.30207	0.000150000000000	1.000000000000000	0.010000000000000	0
10500		-nan	-nan	0.51139	0.30164	0.000150000000000	1.000000000000000	0.010000000000000	0
11000		-nan	-nan	0.51557	0.30161	0.000150000000000	1.000000000000000	0.010000000000000	0
11500		-nan	-nan	0.51967	0.30162	0.000150000000000	1.000000000000000	0.010000000000000	0
12000		-nan	-nan	0.52343	0.30188	0.000150000000000	1.000000000000000	0.010000000000000	0
12500		-nan	-nan	0.52758	0.30177	0.000150000000000	1.000000000000000	0.010000000000000	0
13000		-nan	-nan	0.53161	0.30153	0.000150000000000	1.000000000000000	0.010000000000000	0
13500		-nan	-nan	0.53537	0.30116	0.000150000000000	1.000000000000000	0.010000000000000	0
14000		-nan	-nan	0.53914	0.30094	0.000150000000000	1.000000000000000	0.010000000000000	0
14500		-nan	-nan	0.54276	0.30059	0.000150000000000	1.000000000000000	0.010000000000000	0
15000		-nan	-nan	0.54622	0.30034	0.000150000000000	1.000000000000000	0.010000000000000	0
15500		-nan	-nan	0.54961	0.30009	0.000150000000000	1.000000000000000	0.010000000000000	0
16000		-nan	-nan	0.55295	0.30001	0.000150000000000	1.000000000000000	0.010000000000000	0
16500		-nan	-nan	0.55641	0.30026	0.000150000000000	1.000000000000000	0.010000000000000	0
17000		-nan	-nan	0.55991	0.30029	0.000150000000000	1.000000000000000	0.010000000000000	0
17500		-nan	-nan	0.56330	0.30026	0.000150000000000	1.000000000000000	0.010000000000000	0
18000		-nan	-nan	0.56661	0.30034	0.000150000000000	1.000000000000000	0.010000000000000	0
18500		-nan	-nan	0.56983	0.30044	0.000150000000000	1.000000000000000	0.010000000000000	0
19000		-nan	-nan	0.57287	0.30052	0.000150000000000	1.000000000000000	0.010000000000000	0
19500		-nan	-nan	0.57608	0.30082	0.000150000000000	1.000000000000000	0.010000000000000	0
20000		-nan	-nan	0.57900	0.30075	0.000150000000000	1.000000000000000	0.010000000000000	0
20500		-nan	-nan	0.58217	0.30079	0.000150000000000	1.000000000000000	0.010000000000000	0
21000		-nan	-nan	0.58510	0.30091	0.000150000000000	1.000000000000000	0.010000000000000	0
21500		-nan	-nan	0.58776	0.30107	0.000150000000000	1.000000000000000	0.010000000000000	0
22000		-nan	-nan	0.59072	0.30132	0.000150000000000	1.000000000000000	0.010000000000000	0
22500		-nan	-nan	0.59345	0.30134	0.000150000000000	1.000000000000000	0.010000000000000	0
23000		-nan	-nan	0.59604	0.30132	0.000150000000000	1.000000000000000	0.010000000000000	0
23500		-nan	-nan	0.59878	0.30117	0.000150000000000	1.000000000000000	0.010000000000000	0
24000		-nan	-nan	0.60157	0.30133	0.000150000000000	1.000000000000000	0.010000000000000	0
24500		-nan	-nan	0.60427	0.30145	0.000150000000000	1.000000000000000	0.010000000000000	0
25000		-nan	-nan	0.60688	0.30171	0.000150000000000	1.000000000000000	0.010000000000000	0
25500		-nan	-nan	0.60955	0.30174	0.000150000000000	1.000000000000000	0.010000000000000	0
26000		-nan	-nan	0.61180	0.30187	0.000150000000000	1.000000000000000	0.010000000000000	0
26500		-nan	-nan	0.61436	0.30165	0.000150000000000	1.000000000000000	0.010000000000000	0
27000		-nan	-nan	0.61688	0.30132	0.000150000000000	1.000000000000000	0.010000000000000	0
27500		-nan	-nan	0.61937	0.30121	0.000150000000000	1.000000000000000	0.010000000000000	0
28000		-nan	-nan	0.62175	0.30119	0.000150000000000	1.000000000000000	0.010000000000000	0
28500		-nan	-nan	0.62402	0.30109	0.000150000000000	1.000000000000000	0.010000000000000	0
29000		-nan	-nan	0.62615	0.30099	0.000150000000000	1.000000000000000	0.010000000000000	0
29500		-nan	-nan	0.62840	0.30110	0.000150000000000	1.000000000000000	0.010000000000000	0
30000		-nan	-nan	0.63068	0.30127	0.000150000000000	1.000000000000000	0.010000000000000	0
30500		-nan	-nan	0.63293	0.30124	0.000150000000000	1.000000000000000	0.010000000000000	0
31000		-nan	-nan	0.63507	0.30123	0.000150000000000	1.000000000000000	0.010000000000000	0
31500		-nan	-nan	0.63728	0.30120	0.000150000000000	1.000000000000000	0.010000000000000	0
32000		-nan	-nan	0.63948	0.30107	0.000150000000000	1.000000000000000	0.010000000000000	0
32500		-nan	-nan	0.64166	0.30113	0.000150000000000	1.000000000000000	0.010000000000000	0
