step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108
1	-8542.042119525873204	-8548.897607476832491	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.491311482358884	1	1	1	2	2	1	2	3	4	4	3	4	4	6	3	3	4	5	6	6	6	5	6	5	6	7	7	8	7	8	9	8	7	7	9	7	8	8	11	9	10	8	9	10	9	10	10	11	11	10	9	11	12	11	12	13	12	11	12	11	14	13	13	13	13	14	14	14	14	14	13	14	15	15	15	15	15	14	16	15	15	15	17	16	18	17	17	16	19	17	18	18	17	20	18	18	21	20	21	21	22	22	22	23	23	24	25	25	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	1	1	2	2	3	3	3	2	3	2	3	3	3	4	3	4	4	4	3	3	4	3	4	4	5	4	5	4	4	5	4	5	5	5	5	5	4	5	6	5	6	6	6	5	6	5	7	6	6	6	6	7	7	7	7	7	6	7	7	7	7	7	7	7	8	7	7	7	8	8	9	8	8	8	9	8	9	9	8	10	9	9	10	10	10	10	11	11	11	11	11	12	12	12
500	-737.314724813672683	-744.170212764632083	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.388729781470929	0	2	1	2	2	2	0	3	4	3	4	4	4	6	4	3	3	5	6	7	5	6	6	6	6	7	6	9	7	8	8	9	7	7	8	8	8	9	9	8	11	7	10	11	10	10	9	11	11	10	10	12	11	11	12	12	13	11	10	11	15	13	13	13	14	13	15	15	14	13	12	12	15	16	15	15	15	15	15	16	15	12	18	17	17	18	17	16	19	17	18	18	15	20	18	17	21	20	22	21	23	23	22	24	22	23	26	25	0	1	1	1	1	1	0	3	5	5	6	2	2	6	7	7	2	10	13	22	12	15	15	15	21	17	17	1	12	21	20	15	22	24	12	8	17	12	26	27	12	12	31	45	35	21	34	25	25	37	31	27	25	43	30	47	28	33	23	31	41	34	23	56	51	35	55	64	32	71	33	33	56	63	64	64	65	29	64	64	30	0	56	62	33	79	79	82	62	55	35	82	82	83	72	79	81	0	33	56	59	82	24	95	65	86	93	59	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	1	2	2	1	2	2	4	2	2	1	4	1	1	3	3	3	2	1	1	5	1	1	1	1	3	2	2	2	1	1	3	3	1	3	2	2	2	2	2	2	3	3	1	3	3	1	1	2	1	3	3	1	2	1	1	1	4	1	2	4	1	2	3	5	2	2	3	3	2	6	3	2	1	3	2	5	1	7	5	6	9	9	3	4	3	9	9
1000	-679.718439744134685	-686.573927695094085	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572478372099137	-1	2	1	1	1	1	0	3	3	3	3	4	5	6	4	2	4	5	7	7	5	4	3	5	6	7	7	9	7	9	8	8	8	7	8	7	7	8	10	9	11	7	7	10	10	11	10	10	10	11	8	12	13	12	12	12	12	10	13	11	14	13	13	14	14	13	13	14	15	15	14	15	14	15	14	15	16	13	14	15	13	13	18	16	19	17	18	15	20	17	19	19	17	21	19	19	21	21	22	22	23	23	23	23	22	24	25	25	0	1	1	1	1	1	0	4	5	5	6	3	4	6	23	7	2	9	13	22	12	23	7	23	12	2	17	21	21	12	22	20	22	24	21	25	17	13	37	27	21	12	23	8	12	44	34	25	12	37	43	37	36	51	30	34	37	51	31	51	66	47	33	47	63	35	45	56	64	31	43	56	62	71	56	75	65	30	56	56	55	0	47	73	54	79	79	82	76	78	44	82	82	83	72	72	81	0	68	96	85	82	79	95	77	100	92	59	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	2	1	1	1	2	1	1	3	2	2	1	2	2	1	2	1	2	1	2	2	2	1	4	2	2	3	3	1	2	2	3	2	1	2	2	2	2	2	3	1	3	2	1	1	3	2	1	2	2	2	1	3	6	2	1	1	1	1	2	1	1	1	1	1	3	2	4	2	2	1	2	3	5	2	2	2	2	1	4	1	3	2	2	9	4	3	3	1	4	5
1500	-608.413870674421901	-615.269358625381301	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613497234142532	0	2	1	2	2	1	-1	4	4	4	3	4	4	6	3	3	2	6	6	6	6	6	5	6	5	7	8	9	7	9	7	7	8	8	9	7	7	8	11	9	11	9	9	8	9	10	10	12	11	9	9	12	11	12	12	12	13	11	11	10	13	13	12	14	13	14	13	15	14	12	13	15	15	15	14	15	15	15	16	14	15	12	18	17	18	17	17	16	19	18	18	19	18	20	19	18	20	19	19	20	22	23	22	22	23	23	26	25	0	1	1	1	1	1	0	4	5	5	6	2	1	6	7	7	1	9	13	23	12	23	15	15	12	17	14	29	12	12	22	23	23	24	12	25	2	29	26	37	28	21	31	25	36	35	34	36	21	17	31	27	44	31	28	47	37	43	51	43	38	34	43	56	59	28	41	62	47	60	60	80	62	33	56	75	59	66	69	56	66	0	68	62	65	72	79	82	76	66	61	82	88	75	79	79	91	0	76	96	77	82	87	100	101	95	93	85	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	2	1	3	1	3	1	1	2	1	2	1	1	1	3	3	3	1	2	2	2	1	1	3	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	3	2	1	2	1	2	1	1	1	2	2	2	1	1	2	2	1	3	4	1	3	2	1	1	1	2	2	3	7	2	1	1	2	3	4
2000	-631.232963760146617	-638.088451711106018	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611746296154578	-1	0	2	2	1	1	2	3	4	4	3	4	5	5	3	4	5	6	7	6	6	5	6	4	6	7	7	8	6	9	9	9	8	8	10	7	9	9	11	9	10	8	9	11	8	10	10	12	10	10	9	11	13	11	11	12	12	12	12	12	11	12	12	13	14	14	12	14	14	15	14	15	16	15	14	16	16	14	15	14	15	12	18	16	18	17	18	16	19	18	17	19	18	20	18	19	21	20	20	21	21	23	22	23	21	25	25	24	0	1	1	1	1	1	0	4	5	5	6	2	12	6	7	7	4	9	13	15	12	15	15	15	12	2	21	25	12	29	23	23	15	24	36	25	27	12	26	27	28	29	22	21	25	28	34	36	25	37	24	27	30	33	28	51	37	31	33	32	46	34	51	56	43	41	41	62	64	71	54	64	62	31	56	56	23	41	75	56	66	0	75	62	58	79	79	82	76	78	81	82	88	83	79	79	81	0	68	96	63	82	95	103	77	103	92	105	1	1	2	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	2	1	2	2	2	1	1	1	3	2	1	1	1	2	2	1	1	1	2	2	1	3	3	2	2	2	2	2	2	2	1	1	2	1	1	5	2	1	1	1	1	2	1	2	2	2	2	4	2	1	1	1	1	2	2	2	2	2	2	2	2	2	5	1	1	1	2	3	1	3	2	5	5	2	1	2	1	3	2
2500	-595.522637058856617	-602.378125009816017	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657857515066077	-1	0	2	2	2	1	2	3	3	4	3	4	4	6	3	4	4	5	5	6	6	5	5	6	7	8	5	8	7	9	9	8	6	7	9	5	7	8	12	9	10	6	10	10	10	10	10	12	10	10	8	10	12	11	12	12	12	11	12	11	14	13	12	13	14	14	15	14	14	14	13	13	14	16	14	15	16	14	16	15	16	14	17	16	17	17	15	16	19	18	17	19	16	21	18	18	19	20	19	22	22	23	22	23	23	24	26	26	0	1	2	1	2	2	0	1	5	9	6	5	2	11	7	7	4	9	13	15	12	15	15	15	36	14	6	42	12	42	51	20	15	33	25	12	17	29	26	37	28	12	51	25	36	28	34	12	4	37	22	40	45	33	45	47	37	31	31	31	55	56	20	34	59	45	66	56	56	60	54	34	62	63	56	56	59	55	87	64	78	0	75	73	59	87	56	82	76	91	21	88	82	83	87	79	91	0	76	96	85	88	95	100	85	103	88	85	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	3	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	3	3	2	1	1	1	2	1	1	2	1	2	1	1	1	2	3	2	2	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	3	2	3	1	2	1	5	1	2	2	1	2	1	1	2	2	3	2	2	1	3	2	5	4
3000	-636.461128454723507	-643.316616405682907	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.553091154634053	-1	1	1	3	0	0	1	3	3	3	3	3	4	5	3	4	3	5	6	5	5	5	6	6	6	7	6	7	7	8	10	7	7	7	9	7	8	9	12	7	10	9	8	9	9	11	10	12	11	11	9	10	12	10	12	14	12	11	13	12	14	13	14	13	13	14	14	15	13	14	12	13	16	15	15	14	16	14	16	15	15	13	18	16	17	18	15	16	18	17	18	18	16	19	18	19	22	20	22	21	23	22	22	23	24	24	24	25	0	1	1	1	1	1	0	3	5	5	6	2	8	6	7	7	2	9	13	15	13	15	15	15	21	27	8	25	21	29	33	22	15	24	36	21	27	29	26	14	28	29	23	28	25	25	34	42	36	37	43	37	35	43	42	72	37	33	31	54	55	34	20	51	51	48	46	64	47	31	54	34	62	31	56	34	59	46	87	69	35	0	69	62	65	79	72	82	69	35	81	82	82	89	87	87	81	0	76	79	65	93	95	100	85	103	93	59	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	3	1	2	1	1	1	2	2	2	2	2	2	1	1	2	1	2	1	2	2	2	1	1	3	4	2	1	1	1	2	2	2	1	2	2	2	1	3	2	2	1	1	2	1	2	1	1	1	1	2	2	3	2	2	2	1	1	1	2	1	4	2	4	2	3	1	4	2	4	5
3500	-615.889263120332544	-622.744751071291944	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629540345337703	0	1	2	2	2	2	2	2	4	4	3	4	2	6	4	3	3	5	6	7	6	5	6	5	7	7	6	9	6	8	8	9	7	7	10	6	8	8	11	10	11	8	10	10	9	10	11	10	10	11	8	11	12	11	13	13	11	11	13	12	14	13	14	13	13	13	14	14	15	14	13	14	15	15	16	16	16	13	15	16	16	14	18	17	18	16	17	16	19	17	18	18	16	20	17	18	22	20	20	21	20	22	21	21	23	25	25	25	0	1	1	2	1	1	0	1	5	5	6	8	1	6	7	7	2	9	13	22	12	15	15	15	36	17	17	12	12	12	22	23	22	15	12	12	17	21	26	37	28	29	31	30	21	30	34	36	36	48	23	40	35	51	28	34	37	43	32	51	41	47	31	47	51	35	30	64	59	23	54	64	56	31	56	64	33	12	72	56	67	0	80	73	59	79	79	82	75	55	81	82	82	83	79	87	81	0	64	96	77	93	95	96	85	79	82	77	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	2	3	1	3	1	2	1	2	3	1	3	1	2	1	2	1	1	1	2	1	3	2	2	1	1	1	1	1	2	3	1	1	3	2	1	1	3	1	2	2	2	1	1	3	2	1	1	3	2	2	4	6	1	2	1	1	1	1	2	1	2	2	2	2	1	2	1	1	1	1	3	1	4	2	1	3	2	2	2	4	6	5
4000	-596.855092348801577	-603.710580299760977	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696559270329562	-1	1	1	2	2	1	2	3	4	3	4	3	4	7	4	3	2	5	5	6	5	6	6	5	4	6	6	9	6	8	8	8	8	8	9	6	6	8	12	9	10	8	7	10	8	11	10	11	10	10	10	11	13	11	12	13	12	12	11	11	15	12	11	14	14	13	15	13	15	13	12	15	15	15	15	15	15	14	15	15	16	15	17	16	19	17	17	17	19	17	19	19	17	19	19	18	21	18	20	19	21	22	21	23	24	25	25	25	0	1	1	2	2	1	0	4	10	5	6	4	4	13	7	7	1	8	13	15	12	15	15	15	12	17	17	29	12	12	43	22	22	24	36	25	17	29	35	27	28	29	20	36	36	28	34	45	8	37	43	37	35	22	44	47	37	51	33	31	41	47	31	56	59	55	55	47	56	54	54	56	62	63	64	56	59	49	56	64	66	0	80	68	65	79	79	82	76	28	81	88	82	56	79	79	90	0	62	96	85	93	95	96	101	79	88	101	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	2	1	2	1	2	2	1	1	1	2	1	1	1	2	4	2	2	2	2	2	1	1	3	1	1	1	3	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	2	3	1	1	1	1	1	2	2	1	1	2	2	4	2	2	1	3	1	2	3	1	3	1	1	3	1	2	2	5	3	2
4500	-583.173286740201434	-590.028774691160834	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629062602020462	0	2	2	1	3	2	1	4	4	4	3	4	3	6	3	4	3	5	5	5	7	5	6	4	6	7	5	8	7	8	9	8	8	7	9	7	8	9	12	8	10	8	9	10	10	10	10	12	11	10	8	11	12	9	12	13	13	12	11	12	14	13	13	13	13	13	14	14	14	14	13	14	16	15	15	15	15	15	15	15	14	14	16	15	18	17	18	17	19	17	18	18	17	20	18	19	21	21	20	21	21	22	22	24	23	24	25	25	0	1	1	1	4	1	0	1	5	5	6	2	1	6	7	15	1	9	13	15	10	15	20	15	12	17	17	29	12	12	22	22	15	20	25	25	27	21	26	27	28	12	22	29	25	21	34	44	25	27	20	27	21	32	41	31	52	43	20	54	42	47	20	47	59	41	55	47	64	60	51	64	62	63	64	64	59	49	72	64	41	0	75	62	65	79	79	82	75	78	78	82	82	83	79	95	91	0	76	96	85	93	95	100	85	87	92	101	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	3	2	3	1	2	1	2	1	3	2	1	2	2	1	2	1	2	1	4	3	2	3	3	1	1	2	1	2	2	2	3	1	3	2	2	2	2	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	2	1	2	2	2	1	2	1	2	3	2	1	1	1	2	1	1	3	2	1	3	2	3	2
