step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
1	-1877.939342750225933	-1884.794830701185219	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.775744405769725	-1	1	2	4	6	5	6	6	6	7	8	9	10	10	11	12	12	12	12	13	13	13	14	14	15	12	13	13	15	15	13	14	14	15	15	15	15	16	16	15	18	17	17	16	16	18	17	17	18	19	20	19	19	19	19	19	20	20	21	21	23	21	21	23	24	23	24	23	25	27	26	26	27	30	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	4	4	4	4	5	5	6	6	6	7	7	7	7	7	7	7	8	8	8	7	7	7	8	8	7	8	8	8	8	8	8	9	9	8	10	9	9	9	9	10	9	9	10	10	11	10	10	10	10	10	11	11	11	11	12	11	11	12	13	12	13	12	13	14	14	14	14	16	16
500	-511.065598921733567	-517.921086872692968	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.493464793280265	-2	1	3	4	6	5	7	5	6	6	9	9	10	10	11	11	12	11	12	11	14	12	14	14	15	13	14	13	16	15	12	14	14	15	14	16	15	16	17	12	18	17	16	16	16	18	17	17	18	19	20	20	18	19	18	19	21	20	21	21	23	22	22	23	24	22	23	23	22	28	25	23	27	31	32	0	1	2	3	4	3	6	0	4	4	7	4	10	2	3	7	6	6	3	9	22	13	7	17	15	19	31	14	17	26	15	31	0	7	22	26	12	35	40	20	32	27	34	11	12	31	34	40	31	39	34	49	35	35	37	25	55	35	55	6	58	18	47	55	67	51	44	44	39	69	34	4	67	70	69	1	2	1	1	1	1	2	1	2	1	2	3	1	4	3	2	3	3	4	2	1	1	2	1	2	1	1	2	2	1	1	1	1	4	2	2	3	1	3	1	1	2	1	4	4	2	2	2	3	1	2	1	2	2	1	1	2	3	2	7	1	4	2	3	1	1	4	3	2	3	6	10	3	2	5
1000	-467.158638410827791	-474.014126361787191	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.582541779257947	-1	1	3	5	5	4	7	7	6	7	9	8	10	10	11	13	13	12	11	12	13	14	15	14	15	12	12	13	16	15	14	14	11	15	15	16	15	16	16	15	18	17	17	16	15	19	17	17	16	18	21	20	19	20	19	18	21	20	21	21	24	22	21	24	24	22	24	21	25	28	26	26	28	29	29	0	1	2	3	6	3	9	0	6	4	9	6	9	11	10	15	7	5	12	14	9	21	22	14	18	13	13	18	15	26	27	27	0	17	22	26	14	21	31	13	32	31	44	35	17	42	23	40	32	45	34	42	44	53	47	17	55	21	47	34	53	58	37	59	51	40	66	47	51	67	67	51	72	73	34	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	3	4	2	1	2	1	1	2	2	1	1	1	2	2	2	1	1	1	1	2	3	1	2	2	2	1	1	1	1	1	1	1	1	3	2	2	2	1	1	3	1	3	3	3	2	1	3	2	2	3	1	2	2	2	1	3	1	1	7
1500	-463.548415356386727	-470.403903307346127	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703943586560977	-1	0	3	5	6	5	5	6	6	8	9	10	10	10	10	13	12	13	12	14	14	13	15	14	14	12	13	11	14	15	14	15	14	15	15	14	16	17	17	16	17	16	18	16	16	19	17	17	18	19	21	19	20	20	20	19	20	20	21	19	23	21	21	23	24	23	24	24	24	27	26	27	27	31	28	0	1	2	3	6	3	3	0	3	7	9	9	9	9	6	5	12	19	12	13	27	17	22	15	17	14	13	4	17	36	27	27	0	13	7	26	22	23	44	25	31	31	21	14	21	31	44	40	32	45	54	42	43	44	47	25	47	44	60	15	44	54	57	47	43	51	51	55	66	71	67	69	65	70	60	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	4	1	1	1	2	1	1	1	2	1	1	2	3	2	1	1	1	1	2	4	1	1	1	1	1	1	1	2	3	1	2	1	1	2	2	1	2	1	3	2	2	2	2	1	5	4	1	1	2	2	1	1	2	1	1	1	1	1	2	5
2000	-439.488529857803826	-446.344017808763226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.540180320736687	-1	1	3	4	7	6	6	5	6	8	8	10	11	10	10	13	12	13	12	13	14	13	14	14	15	13	13	14	14	15	13	13	13	15	15	15	15	16	17	15	19	17	18	14	16	19	17	17	17	19	21	20	19	19	19	20	19	21	21	20	24	20	21	24	23	23	23	23	25	28	25	27	26	29	32	0	1	2	3	3	3	3	0	4	4	9	6	6	10	3	12	13	19	12	13	14	14	15	12	13	15	9	33	17	15	15	15	0	18	22	26	44	23	25	17	32	32	44	22	25	31	37	40	32	45	35	42	21	34	47	39	47	21	57	16	58	23	47	59	43	51	12	59	67	69	65	69	51	65	74	1	1	2	1	2	1	1	1	1	2	1	2	2	1	4	2	1	1	1	1	2	1	2	2	2	2	3	1	1	2	2	1	1	2	1	1	1	1	1	1	3	1	2	1	1	3	1	2	2	2	2	1	3	3	1	2	1	3	1	4	1	5	2	2	2	1	3	1	1	2	1	2	3	3	2
2500	-426.940521195037149	-433.796009145996550	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636067704317358	-2	1	3	4	6	6	6	6	5	8	9	9	10	10	11	11	11	13	12	13	14	13	14	14	15	12	12	14	13	16	13	15	13	16	15	14	16	17	17	16	18	17	17	16	16	19	17	18	18	20	20	19	19	19	20	18	19	19	21	22	23	22	21	23	24	24	24	22	26	27	25	26	26	30	32	0	1	2	3	3	3	3	0	3	7	9	9	11	10	7	12	11	15	15	13	14	14	15	15	9	13	6	33	10	26	27	31	0	15	22	26	15	23	29	13	31	31	14	22	17	42	35	43	21	27	58	25	35	34	47	39	47	44	57	51	44	58	57	55	51	61	51	47	66	51	67	60	67	73	74	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	2	1	5	1	2	1	3	2	1	2	1	2	1	1	2	2	2	2	2	2	4	1	2	1	1	1	1	5	1	2	2	2	2	1	1	2	1	2	5	1	1	2	2	1	2	2	1	2	1	3	1	2	1
3000	-407.572318514504843	-414.427806465464244	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.689916735974183	-1	1	2	4	6	4	6	6	6	6	8	9	10	11	11	12	12	13	10	13	14	14	13	14	14	12	13	14	15	15	14	15	13	16	13	14	15	17	16	15	17	18	17	16	16	17	17	18	17	17	20	20	17	19	19	20	19	21	22	21	23	21	21	22	24	22	22	24	26	27	25	27	28	30	32	0	1	2	3	4	3	6	0	4	4	9	10	9	12	12	12	12	10	5	13	10	14	14	17	13	13	19	33	16	26	13	31	0	16	13	26	35	23	17	22	32	31	14	14	29	32	44	40	31	45	34	27	35	44	47	50	47	54	55	34	54	54	47	47	51	51	51	59	65	66	65	66	72	72	74	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	3	2	1	1	2	1	2	1	2	1	2	1	1	2	2	1	2	2	2	1	1	3	4	2	1	1	1	2	1	1	1	2	2	2	1	2	2	1	2	2	1	1	2	2	2	1	1	1	1	3	1	3	1	2	1
3500	-407.258609443439013	-414.114097394398414	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629800158345051	-1	1	3	5	5	5	6	7	7	8	8	10	11	10	11	13	12	12	12	13	13	13	14	14	14	12	14	14	14	15	13	15	13	15	15	15	15	16	17	15	17	17	18	17	14	19	18	18	17	19	20	19	17	20	20	20	21	20	22	21	23	22	20	24	24	23	23	23	25	28	27	27	27	30	31	0	1	2	3	3	2	4	0	4	7	6	10	7	7	12	10	9	10	12	17	14	14	18	19	17	13	31	33	15	26	13	31	0	19	22	26	10	23	36	17	31	32	37	35	13	41	37	40	27	40	16	42	35	37	47	50	55	35	55	34	51	58	37	47	60	58	60	57	65	65	60	69	60	71	74	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	3	2	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	3	1	1	2	2	2	1	1	2	1	2	1	1	1	4	1	1	2	1	1	1	2	1	3	2	1	1	2	2	2	2	1	1	2	4	1	3	2	1
4000	-452.680484212437023	-459.535972163396423	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.535409208962762	-2	0	3	4	6	6	5	7	6	7	8	10	9	10	10	12	13	13	12	11	12	13	14	14	15	13	14	13	16	14	14	14	12	15	15	15	16	15	15	15	19	18	17	17	17	18	17	17	18	19	19	19	20	19	20	18	21	20	22	21	23	21	22	24	25	23	24	22	25	27	27	27	27	29	31	0	1	2	3	4	7	4	0	4	7	9	13	9	7	3	12	13	14	5	6	15	10	14	12	26	13	13	33	6	26	13	17	0	7	22	30	12	23	26	27	34	31	22	12	39	31	34	40	31	27	20	31	35	43	47	40	47	23	47	51	54	34	57	68	24	51	60	55	60	67	69	69	65	70	74	1	1	2	1	1	1	1	1	1	1	1	1	1	3	3	1	2	1	3	2	2	2	2	2	2	3	2	1	5	1	2	1	1	5	1	1	3	1	1	1	2	2	2	3	2	2	1	1	2	2	3	2	2	1	2	2	2	2	2	1	2	3	1	1	4	2	2	2	2	2	1	1	1	1	1
4500	-429.929006023001762	-436.784493973961162	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636237436441227	-1	1	2	5	7	6	6	6	7	8	8	8	10	10	10	12	11	11	13	12	12	13	14	14	14	13	14	14	14	15	13	14	12	13	15	15	15	16	16	15	19	17	17	16	17	18	18	17	18	19	20	19	18	19	18	19	20	20	21	20	24	21	21	22	24	23	25	23	25	27	26	27	28	30	30	0	1	2	3	7	3	3	0	3	6	9	4	12	10	12	12	13	15	10	17	15	14	21	18	13	13	19	33	17	26	13	31	0	15	14	26	22	23	15	25	32	27	22	14	17	27	18	40	31	45	25	42	44	43	34	45	35	54	44	34	54	35	55	37	51	51	66	64	66	66	65	69	65	73	73	1	1	1	2	1	2	2	1	3	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	1	4	1	2	1	3	2	3	2	3	1	2	1	3	1	1	1	3	2	3	1	3	3	2	2	2	3	2	2	1	1	1	2	1	2	2	1	1
