step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.97996	0.16232	1.00000	0.36176	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.29000	0.94800	0.35291	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98600	0.33200	0.91800	0.34217	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99200	0.33867	0.83800	0.33548	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98200	0.34700	0.72400	0.32995	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.99000	0.35840	0.61400	0.32490	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97000	0.36367	0.51200	0.32159	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.97000	0.36914	0.34800	0.31799	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.95200	0.37100	0.35200	0.31675	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.94200	0.37533	0.35267	0.31488	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.90800	0.37300	0.35100	0.31359	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.90000	0.37109	0.36360	0.31307	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.93400	0.36967	0.36567	0.31214	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.91000	0.36708	0.36657	0.31150	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.87000	0.36514	0.37025	0.31132	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.82600	0.36240	0.37089	0.31094	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.77400	0.36088	0.37420	0.31174	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.62000	0.35871	0.37709	0.31216	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.49800	0.35633	0.38000	0.31266	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.49700	0.35463	0.37892	0.31311	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.49600	0.35600	0.38343	0.31314	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.50100	0.35486	0.38347	0.31306	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.51440	0.35545	0.38100	0.31281	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.52200	0.35678	0.37894	0.31278	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.52571	0.35767	0.37789	0.31299	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.53425	0.35808	0.37768	0.31254	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.53978	0.35800	0.37710	0.31201	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.54160	0.35711	0.37876	0.31171	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.53673	0.35686	0.37918	0.31179	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.53683	0.35559	0.38139	0.31202	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.53538	0.35520	0.38250	0.31218	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.53443	0.35439	0.38432	0.31238	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.53467	0.35287	0.38492	0.31248	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.53275	0.35315	0.38556	0.31225	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.53376	0.35376	0.38536	0.31233	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.53367	0.35446	0.38531	0.31225	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.53632	0.35450	0.38640	0.31222	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.53740	0.35573	0.38652	0.31223	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.53762	0.35605	0.38762	0.31222	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.53745	0.35554	0.38764	0.31230	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.53730	0.35540	0.38929	0.31237	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.53800	0.35615	0.39000	0.31230	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.53792	0.35676	0.39056	0.31236	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.53800	0.35670	0.38962	0.31223	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.53978	0.35714	0.39053	0.31212	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.54000	0.35760	0.39010	0.31196	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.54034	0.35696	0.39015	0.31204	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.53940	0.35694	0.39049	0.31209	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.53942	0.35704	0.39119	0.31201	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.53956	0.35694	0.39153	0.31208	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.53885	0.35728	0.39232	0.31215	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.53853	0.35749	0.39147	0.31211	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.53817	0.35685	0.39213	0.31203	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.53867	0.35675	0.39255	0.31204	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.53870	0.35633	0.39258	0.31228	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.53905	0.35622	0.39176	0.31222	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.53774	0.35607	0.39280	0.31252	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.53710	0.35519	0.39239	0.31243	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.53683	0.35497	0.39204	0.31240	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.53786	0.35498	0.39279	0.31240	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.53819	0.35443	0.39341	0.31237	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.53814	0.35423	0.39324	0.31244	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.53769	0.35342	0.39386	0.31239	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.53830	0.35343	0.39330	0.31244	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.53906	0.35337	0.39317	0.31235	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.53929	0.35274	0.39308	0.31222	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.53951	0.35294	0.39340	0.31223	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.53856	0.35254	0.39344	0.31227	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.53796	0.35235	0.39368	0.31219	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.53788	0.35270	0.39378	0.31224	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.53811	0.35220	0.39387	0.31221	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.53796	0.35270	0.39422	0.31230	0.147789188003540	0.666666666666667	0.170859375000000	0
36500		0.53800	0.35306	0.39370	0.31225	0.147789188003540	0.666666666666667	0.170859375000000	0
37000		0.53889	0.35258	0.39388	0.31215	0.147789188003540	0.666666666666667	0.170859375000000	0
37500		0.53811	0.35216	0.39365	0.31227	0.147789188003540	0.666666666666667	0.170859375000000	0
38000		0.53838	0.35200	0.39377	0.31225	0.147789188003540	0.666666666666667	0.170859375000000	0
38500		0.53820	0.35211	0.39357	0.31220	0.147789188003540	0.666666666666667	0.170859375000000	0
39000		0.53807	0.35166	0.39321	0.31221	0.147789188003540	0.666666666666667	0.170859375000000	0
39500		0.53682	0.35138	0.39403	0.31232	0.147789188003540	0.666666666666667	0.170859375000000	0
40000		0.53677	0.35122	0.39400	0.31239	0.147789188003540	0.666666666666667	0.170859375000000	0
40500		0.53714	0.35115	0.39373	0.31232	0.147789188003540	0.666666666666667	0.170859375000000	0
41000		0.53681	0.35096	0.39376	0.31237	0.147789188003540	0.666666666666667	0.170859375000000	0
41500		0.53658	0.35112	0.39389	0.31229	0.147789188003540	0.666666666666667	0.170859375000000	0
42000		0.53679	0.35120	0.39351	0.31221	0.147789188003540	0.666666666666667	0.170859375000000	0
42500		0.53693	0.35183	0.39387	0.31220	0.147789188003540	0.666666666666667	0.170859375000000	0
43000		0.53694	0.35184	0.39385	0.31222	0.147789188003540	0.666666666666667	0.170859375000000	0
43500		0.53678	0.35186	0.39380	0.31218	0.147789188003540	0.666666666666667	0.170859375000000	0
44000		0.53709	0.35170	0.39432	0.31210	0.147789188003540	0.666666666666667	0.170859375000000	0
44500		0.53746	0.35145	0.39444	0.31224	0.147789188003540	0.666666666666667	0.170859375000000	0
45000		0.53758	0.35130	0.39458	0.31240	0.147789188003540	0.666666666666667	0.170859375000000	0
45500		0.53726	0.35124	0.39467	0.31247	0.147789188003540	0.666666666666667	0.170859375000000	0
46000		0.53735	0.35130	0.39496	0.31241	0.147789188003540	0.666666666666667	0.170859375000000	0
46500		0.53677	0.35093	0.39484	0.31231	0.147789188003540	0.666666666666667	0.170859375000000	0
