step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114
1	-8027.675334842540906	-8026.213252758022463	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.082287849920338	0	2	2	4	4	4	5	9	6	7	9	9	8	8	10	9	10	10	10	10	11	13	10	11	12	11	10	14	12	13	13	14	13	12	13	13	12	13	13	13	12	14	13	13	14	14	15	14	13	13	13	13	14	15	18	15	15	16	15	15	14	15	15	17	16	16	17	16	16	16	16	16	17	17	17	17	16	18	18	18	17	18	18	18	19	19	18	18	18	20	19	19	19	21	20	20	20	19	21	20	21	21	22	21	22	22	24	22	23	27	33	33	34	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	5	3	4	5	5	4	4	5	5	5	5	5	5	6	7	5	6	6	6	5	7	6	7	7	7	7	6	7	7	6	7	7	7	6	7	7	7	7	7	8	7	7	7	7	7	7	8	9	8	8	8	8	8	7	8	8	9	8	8	9	8	8	8	8	8	9	9	9	9	8	9	9	9	9	9	9	9	10	10	9	9	9	10	10	10	10	11	10	10	10	10	11	10	11	11	11	11	11	11	12	11	12	14	17	17	17	18
500	-1348.030655332818469	-1345.732227478245022	-2.298427854573365	0.000009969533306	0.000031461173200	3.155731791434390	0.151874698037495	0	2	2	4	4	4	6	10	5	5	9	7	7	3	10	9	9	6	11	3	11	13	9	10	10	11	11	13	8	11	14	15	11	12	12	7	4	14	13	14	10	7	12	12	14	13	16	14	8	13	14	14	14	15	18	15	15	15	15	15	14	16	14	18	16	15	18	16	16	16	16	16	16	16	17	18	17	17	19	18	17	19	19	18	19	20	17	18	19	20	20	20	19	22	21	21	21	19	21	20	21	21	22	22	21	23	24	22	22	28	32	33	32	35	0	1	1	2	3	3	9	2	5	0	10	20	9	2	5	10	10	14	10	2	20	36	13	14	14	18	17	7	14	29	5	7	29	14	12	37	20	9	18	29	29	18	15	37	9	33	36	36	37	25	29	43	33	29	35	36	34	14	42	46	14	36	42	43	36	46	14	37	49	50	42	61	30	37	14	46	61	41	42	42	28	49	71	53	36	18	37	37	29	42	49	73	42	15	37	14	37	14	14	36	29	36	18	25	42	34	49	37	49	42	0	0	0	28	1	2	1	1	2	1	1	4	1	1	2	2	1	1	4	2	2	2	3	1	5	2	1	3	5	2	2	5	3	3	6	5	2	5	3	2	1	5	3	4	1	1	1	4	4	1	4	4	2	2	3	1	1	4	4	4	2	5	4	2	5	6	5	4	5	1	9	6	5	2	5	1	2	6	9	3	3	5	9	8	2	7	2	2	9	7	6	8	8	9	9	3	8	8	11	9	9	10	12	6	8	10	11	7	7	9	8	13	8	12	1	1	1	13
1000	-1089.818578952921598	-1088.062217222174240	-1.756361730747245	0.000010051752168	0.000017409497493	1.731986344445972	0.323613555530240	0	3	2	4	4	4	6	9	6	6	9	10	8	5	9	9	7	10	10	5	11	13	10	12	11	10	10	14	11	13	14	15	13	13	13	7	11	13	13	12	12	7	11	14	14	12	15	14	9	14	13	14	13	16	18	14	15	16	15	15	14	16	15	18	17	17	17	15	17	16	16	14	18	18	17	17	16	19	19	17	13	18	19	17	20	19	18	18	18	19	18	18	20	21	21	21	21	20	22	20	20	22	23	22	22	22	23	23	24	28	32	33	35	36	0	1	1	2	3	3	3	2	3	0	10	20	3	2	7	10	10	14	10	2	20	36	13	14	14	14	17	15	14	29	23	9	18	25	21	20	36	13	25	26	29	14	3	36	7	29	12	12	36	40	42	43	29	25	35	12	26	29	42	46	26	49	42	81	36	46	46	36	49	50	42	46	53	36	41	60	72	41	42	42	43	49	63	53	36	46	36	36	77	42	49	53	63	81	56	14	56	14	14	49	63	56	78	77	80	53	49	20	49	63	0	0	0	85	1	2	1	1	1	1	2	2	2	1	2	2	3	1	2	2	1	2	2	1	3	4	1	2	2	2	1	2	4	1	2	4	2	2	2	1	2	3	2	1	1	1	5	3	4	1	3	2	1	1	2	2	1	4	2	3	2	2	4	2	2	3	5	3	6	3	3	4	6	2	6	1	2	5	3	1	2	3	9	5	1	5	1	2	8	4	6	8	1	7	5	2	3	4	5	9	5	6	11	7	2	3	4	4	3	6	8	11	7	10	1	1	1	8
1500	-873.176839627825302	-871.319087249186168	-1.857752378639178	0.000010011064456	0.000019832764611	1.981084498860214	0.436141182152410	1	3	3	5	4	4	6	9	7	6	9	10	9	7	10	9	10	10	9	7	12	13	11	12	12	11	11	11	13	14	14	13	13	10	13	10	13	14	13	13	13	9	13	13	15	12	15	14	10	14	13	14	14	16	18	15	16	16	16	16	14	15	16	17	15	15	17	17	17	16	17	15	18	17	16	18	16	17	19	18	15	19	18	18	19	19	19	18	18	18	16	19	20	22	19	20	20	19	21	20	21	21	23	21	23	23	25	23	23	28	33	33	33	36	0	1	1	2	3	3	3	2	7	0	10	20	9	10	7	10	16	14	10	2	20	36	13	26	14	14	17	9	18	34	23	7	34	14	21	20	20	23	24	34	26	14	28	36	28	26	22	12	20	34	42	43	33	25	35	48	40	41	42	46	46	49	42	81	44	46	46	48	49	50	51	46	53	56	41	60	72	41	42	63	32	49	59	53	56	46	56	56	77	63	49	53	71	81	74	66	87	53	34	49	59	95	78	89	93	98	49	56	49	63	0	0	0	107	1	1	1	1	1	1	2	1	1	1	1	2	1	1	3	3	1	2	2	2	2	2	1	1	3	2	1	2	2	2	2	4	2	2	1	1	2	2	1	2	1	1	1	1	2	1	1	3	3	1	3	1	1	2	3	1	2	2	3	2	1	3	5	2	2	2	2	1	6	1	3	2	2	2	2	1	1	3	8	2	1	5	1	2	3	4	2	1	1	1	3	2	2	4	1	3	1	3	7	5	2	2	3	3	2	3	8	4	8	4	1	1	1	5
2000	-793.474204649107492	-791.673293627708631	-1.800911021398817	0.000009955226705	0.000018325743670	1.840816308171630	0.561850171390430	0	2	2	4	4	5	5	10	7	6	9	9	8	8	10	10	9	11	10	8	12	12	10	12	12	11	11	14	11	13	14	15	13	10	13	13	13	13	14	13	12	10	12	13	15	13	15	11	10	14	12	13	15	15	19	15	16	14	16	16	14	13	16	18	16	17	17	15	17	17	15	14	18	18	17	16	16	16	19	17	16	18	18	18	19	19	18	18	19	19	19	20	18	21	19	20	20	20	21	21	21	22	23	21	22	23	24	22	23	27	33	32	34	35	0	1	1	2	3	5	3	2	7	0	10	20	7	10	9	10	10	14	11	2	12	48	13	34	14	14	17	15	14	29	23	9	26	14	21	48	48	23	24	14	26	14	9	22	28	29	36	20	20	40	42	43	33	26	35	48	40	41	42	46	46	49	42	81	44	46	46	48	49	57	51	46	53	56	78	46	72	58	42	63	43	49	71	53	68	60	56	56	77	80	82	53	63	64	74	60	88	84	53	82	90	95	78	77	93	99	49	87	49	93	0	0	0	107	1	1	1	1	1	1	1	4	1	1	2	1	2	1	2	1	2	2	1	3	2	1	1	1	2	2	1	2	2	1	2	3	1	1	1	2	1	3	2	3	1	1	3	1	1	2	1	2	1	1	1	1	1	2	4	2	1	1	4	2	1	2	3	1	1	2	2	3	6	1	2	1	2	2	1	1	1	2	6	1	2	4	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	4	2	2	2	4	2	2	1	8	3	8	4	1	1	1	5
2500	-772.061374832313618	-770.264256234809181	-1.797118597504467	0.000010007772029	0.000018329416186	1.831518157380339	0.582473516952751	-1	2	2	4	5	4	5	8	6	4	8	10	9	8	11	8	10	11	10	9	11	12	11	11	11	10	11	10	12	12	14	13	12	12	14	13	12	12	13	13	12	13	13	14	15	13	16	11	13	14	14	14	14	15	18	14	14	16	16	15	14	15	16	18	16	16	17	16	17	17	17	15	18	16	18	18	16	18	18	18	17	17	19	19	20	19	17	17	18	21	18	20	20	20	19	21	20	19	20	20	22	21	22	20	21	22	23	22	23	27	33	33	34	35	0	1	1	2	3	3	3	2	7	0	10	20	7	10	7	10	16	14	11	8	12	48	13	26	14	14	17	7	14	18	38	9	26	26	21	48	48	15	24	29	26	29	15	48	28	33	22	12	37	40	42	43	25	18	35	22	40	41	42	46	46	49	42	81	44	46	60	36	49	50	51	46	53	56	41	60	72	58	63	63	43	49	71	53	56	60	56	74	77	79	69	73	80	64	56	60	87	53	84	91	79	85	58	89	93	99	49	85	49	93	0	0	0	15	1	1	1	1	2	1	2	3	1	1	2	1	2	2	2	2	1	2	1	1	1	1	2	1	3	2	1	2	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	1	2	1	2	2	1	2	1	2	1	4	1	1	1	1	2	2	2	1	2	3	2	2	1	2	2	1	2	1	1	2	3	2	2	1	1	1	1	4	1	1	2	5	1	7	3	1	1	1	4
3000	-754.340231376657130	-752.631958278642969	-1.708273098014187	0.000009916629238	0.000016017916402	1.615258170661424	0.565979163859018	0	2	2	5	3	4	6	6	7	6	10	10	7	8	11	9	10	9	10	8	11	14	10	11	11	10	11	14	12	13	14	14	13	13	13	13	13	14	14	12	12	14	12	14	15	13	15	11	14	13	12	14	15	15	17	14	15	16	16	15	14	16	15	18	16	15	18	17	17	15	16	15	17	17	17	17	17	18	16	18	15	19	18	19	18	19	17	18	19	20	19	19	19	21	20	20	20	18	20	21	22	22	22	22	23	23	24	23	24	27	32	32	34	36	0	1	1	2	3	5	3	2	7	0	16	20	7	10	9	10	10	14	10	8	20	48	13	18	14	14	17	9	26	25	23	9	14	26	21	48	48	23	24	26	26	25	9	36	32	18	36	20	37	40	24	43	29	14	35	36	40	41	42	46	46	49	42	81	44	46	60	36	49	50	51	25	53	56	58	60	72	58	63	63	43	49	71	53	56	66	56	87	77	79	49	53	63	81	85	66	88	53	92	49	79	95	78	77	93	99	100	95	69	93	0	0	0	28	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	1	2	1	1	3	2	1	2	4	2	2	1	2	1	3	2	1	1	2	2	1	1	2	1	2	1	1	1	1	2	5	2	1	2	2	1	2	1	1	1	2	2	1	1	2	2	2	3	2	1	2	1	1	1	1	1	2	1	3	1	3	3	2	2	1	1	2	2	3	1	2	1	2	1	2	1	3	3	1	2	1	2	2	2	1	4	3	1	1	1	9
3500	-722.393656338890992	-720.562448662350448	-1.831207676540520	0.000010159013524	0.000019458139250	1.915357155917156	0.576498214708727	0	3	2	4	4	5	5	8	6	6	9	9	8	8	10	9	9	10	11	8	11	14	10	12	12	10	11	15	12	14	13	14	14	11	14	13	13	14	14	13	13	13	13	14	14	12	15	12	14	14	12	14	15	15	18	16	15	16	16	15	14	16	16	18	17	16	18	16	17	15	16	16	17	15	18	17	17	18	18	19	16	18	18	17	19	16	19	18	19	21	20	19	18	21	18	18	20	18	22	20	21	21	22	21	22	23	24	22	23	27	33	34	34	37	0	1	1	2	3	3	5	2	5	0	10	20	9	10	7	10	10	14	10	2	20	48	13	26	14	14	17	31	18	18	23	15	25	14	21	48	48	31	24	18	26	51	23	48	15	34	36	20	37	40	34	43	25	29	35	74	40	41	42	46	46	49	42	81	44	46	66	36	49	50	51	46	53	22	58	66	72	58	63	63	43	49	71	53	74	46	74	74	77	79	49	53	59	81	74	86	88	53	98	69	79	95	78	77	93	84	100	85	100	105	0	0	0	32	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	2	2	1	3	3	1	1	2	1	3	2	1	1	1	2	2	3	1	2	2	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	2	2	1	3	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	3	2	3	2	1	2	3	2	1	2	2	1	1	2	1	2	2	2	2	2	2	3	2	1	2	2	1	1	1	11
4000	-743.634152740326840	-741.907272653241307	-1.726880087085560	0.000010455284606	0.000017359504505	1.660356954275402	0.562932187086843	0	2	2	4	3	4	5	9	6	7	10	10	8	8	10	9	9	9	11	9	12	14	10	11	12	10	11	13	12	13	13	15	12	11	14	13	12	14	12	12	13	12	12	14	15	13	16	12	13	13	13	14	14	15	18	14	16	17	16	15	15	15	15	17	16	16	17	16	16	16	17	16	17	17	16	17	17	19	17	17	16	16	16	18	20	19	18	17	19	20	19	19	18	21	20	19	21	18	21	20	21	21	23	22	22	23	23	22	23	27	33	33	34	35	0	1	1	2	3	3	3	2	7	0	10	20	7	10	9	10	10	14	10	2	12	36	13	18	18	14	17	15	14	26	23	15	14	14	21	48	20	23	24	18	34	26	15	48	28	26	48	20	20	18	42	43	33	29	35	48	40	41	42	46	46	49	42	81	44	46	60	22	49	50	51	60	53	56	41	33	72	58	63	63	52	49	51	53	74	46	48	22	77	79	49	53	63	64	87	60	87	53	84	91	79	95	78	89	93	99	100	95	91	105	0	0	0	20	1	1	1	1	1	2	2	2	1	1	2	1	2	1	2	1	1	1	3	3	1	1	1	1	2	1	1	2	2	2	2	3	2	2	2	1	1	2	1	2	1	2	1	1	1	1	2	2	2	2	1	1	1	2	2	1	2	2	2	1	1	1	1	1	2	2	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	4	1	2	2	3	3	2	2	1	2	2	3	1	1	2	1	2	2	2	2	2	1	2	2	1	1	1	10
4500	-710.425919492623734	-708.922668127660472	-1.503251364963256	0.000011968730727	0.000013288856649	1.110297904782397	0.644556033643768	0	3	2	4	4	4	5	8	7	6	9	9	9	8	10	9	9	10	10	11	10	13	10	11	11	12	11	14	13	14	13	14	13	11	13	13	13	13	14	12	11	12	11	13	15	15	16	11	13	13	13	14	14	15	17	15	14	16	15	14	14	15	15	18	15	17	18	16	17	17	16	15	18	17	17	18	17	19	17	19	17	17	18	19	19	20	17	18	16	19	19	18	20	20	20	20	20	19	21	20	22	20	22	20	23	22	24	22	22	27	33	33	35	35	0	1	1	2	3	3	3	2	7	0	10	8	9	10	9	10	10	14	11	12	8	48	13	14	14	14	17	15	14	25	23	7	25	14	21	48	48	23	18	14	18	18	15	48	15	60	22	12	48	40	42	43	34	34	35	36	40	41	42	26	29	49	29	81	44	46	60	36	49	50	51	60	53	56	58	46	89	58	63	63	43	49	71	53	56	46	22	87	72	79	49	53	80	81	87	60	87	53	98	91	79	48	78	89	93	99	100	95	100	105	0	0	0	32	1	2	1	1	1	1	2	2	1	1	2	1	2	1	2	1	2	2	1	1	1	1	1	1	2	2	1	2	3	1	2	4	1	2	1	2	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	2	1	2	1	2	3	2	2	2	2	2	2	1	1	2	2	2	1	1	2	3	2	3	1	1	2	5	1	1	2	1	3	1	1	2	1	1	1	9
