step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99800	0.20441	1.00000	0.34589	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.32000	0.89800	0.33540	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99800	0.34300	0.88400	0.32785	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99800	0.37200	0.86800	0.32328	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98800	0.36150	0.74600	0.31857	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98200	0.36560	0.62800	0.31505	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97800	0.36133	0.50000	0.31269	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.97800	0.36600	0.50300	0.30990	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.94600	0.36000	0.39400	0.30825	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.93600	0.36489	0.41300	0.30719	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.92400	0.36460	0.41400	0.30693	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.89000	0.36291	0.41150	0.30620	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.92000	0.35933	0.41440	0.30559	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.93600	0.35862	0.40900	0.30539	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.88000	0.35557	0.40714	0.30534	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.84000	0.35520	0.40450	0.30498	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.75600	0.35237	0.39889	0.30501	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.70200	0.35024	0.40060	0.30515	0.098526125335693	0.666666666666667	0.170859375000000	0
