step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111
1	-3706.954806928412381	-3713.810294879371668	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.898731028080124	-1	2	2	2	3	2	4	5	3	4	5	5	5	5	5	6	6	7	7	7	8	9	9	7	9	11	12	10	8	10	11	10	11	10	10	11	10	10	10	13	12	12	12	13	12	13	13	13	14	13	12	13	14	14	14	14	15	15	16	15	17	16	15	15	15	15	18	19	17	17	17	17	18	17	17	17	18	20	19	19	20	18	19	20	19	19	20	19	19	20	20	21	21	21	21	20	21	21	22	21	24	22	23	22	24	23	25	24	27	28	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	4	5	6	7	6	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	8	7	7	7	8	8	8	8	8	8	9	8	9	9	8	8	8	8	10	10	9	9	9	9	10	9	9	9	10	11	10	10	11	10	10	11	10	10	11	10	10	11	11	11	11	11	11	11	11	11	12	11	13	12	12	12	13	12	13	13	14	15	14
500	-1023.200006317583188	-1030.055494268542589	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.319417623363958	-1	0	3	1	1	3	3	6	3	4	4	5	6	5	5	7	6	7	7	7	7	8	9	7	7	11	12	9	7	9	10	10	12	10	11	11	7	11	9	13	12	9	12	14	12	13	14	13	14	13	12	13	14	15	14	15	15	15	16	15	18	15	16	13	15	15	19	20	18	14	16	16	18	16	18	18	19	20	19	20	20	19	20	20	20	19	20	19	18	21	20	21	20	21	22	20	22	22	21	21	25	22	23	23	25	24	24	25	27	28	27	0	1	5	2	1	1	2	5	4	4	5	1	11	10	1	11	3	7	5	14	0	11	15	3	1	25	20	29	6	21	16	28	13	6	18	16	10	30	29	28	28	29	6	46	18	28	29	25	37	10	23	23	28	53	19	24	40	41	52	37	49	52	44	35	51	6	37	37	46	43	43	0	71	44	37	49	45	51	50	70	30	70	73	37	61	70	28	60	70	33	89	27	27	70	67	0	74	93	42	60	37	96	25	15	94	42	25	50	42	30	42	1	1	1	1	1	2	1	2	2	2	1	3	1	1	3	2	2	2	2	1	1	2	2	2	4	2	1	1	2	2	1	1	3	3	2	1	1	1	1	2	2	1	3	1	3	3	4	2	3	6	1	2	4	1	4	3	1	1	1	4	3	1	1	1	2	7	6	8	3	1	2	1	1	1	9	4	4	3	3	2	6	4	1	7	1	3	5	2	2	4	1	7	3	4	1	1	4	1	6	4	12	2	10	10	2	9	12	10	11	11	8
1000	-859.080205184855686	-865.935693135815086	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.414138991621675	-1	1	1	2	4	3	5	6	3	4	5	3	5	5	5	6	7	7	7	7	8	9	9	8	10	11	12	11	7	10	12	11	11	8	8	11	9	10	9	14	11	12	10	13	13	12	13	12	13	14	11	14	15	14	15	13	16	14	17	12	18	17	14	15	14	15	18	20	17	16	17	17	18	17	18	17	17	20	19	18	20	19	19	20	20	18	21	20	17	21	21	21	21	22	21	19	22	21	22	22	24	23	24	20	25	24	26	24	27	28	28	0	1	1	2	1	3	2	6	4	4	12	3	12	9	3	11	11	7	13	14	0	16	29	8	29	24	20	19	13	21	18	8	12	7	7	29	4	21	5	32	7	24	29	24	43	23	39	36	37	27	23	28	40	46	33	19	52	23	40	37	50	58	24	42	41	63	27	50	40	26	45	0	66	29	60	50	44	51	75	70	72	70	71	75	76	89	65	79	64	82	82	60	79	77	75	0	33	88	89	75	60	96	30	5	90	89	5	60	70	30	63	1	1	2	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	2	2	2	2	2	3	3	3	2	1	2	3	1	2	2	3	2	3	2	2	2	1	1	2	1	1	1	1	1	2	2	1	2	2	3	2	1	3	2	2	1	4	3	2	3	2	1	2	4	4	1	2	4	1	2	1	1	1	1	2	1	4	1	2	1	1	6	1	3	1	1	5	1	2	2	9	2	8	9	2	5	14	8	8	7	8
1500	-789.509749031156161	-796.365236982115562	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.513003952932628	-1	1	3	2	1	3	4	5	4	4	6	6	6	6	5	6	6	5	7	7	8	9	7	6	8	11	13	11	9	11	11	9	11	10	10	11	11	11	10	11	13	12	13	14	13	14	14	14	15	14	13	14	14	15	13	12	15	16	14	12	17	17	12	16	15	16	17	19	17	16	18	18	18	17	16	17	18	21	20	20	20	18	19	20	19	19	21	20	18	20	20	22	19	20	21	17	21	21	21	22	25	22	24	23	24	24	25	24	28	28	26	0	1	5	2	1	5	4	5	4	4	18	3	8	4	5	1	8	2	12	4	0	16	12	6	13	17	40	23	18	21	22	23	29	24	19	25	20	21	3	24	32	29	34	40	17	29	56	36	37	37	32	28	51	41	35	17	32	46	32	37	50	46	26	34	51	44	75	76	40	44	39	0	64	56	60	50	64	65	67	70	72	70	73	75	50	64	65	67	70	82	82	67	60	82	84	0	66	93	80	84	75	96	21	97	90	89	1	75	91	96	82	1	1	1	1	1	1	1	3	1	1	1	2	1	2	2	3	1	2	1	2	1	2	1	2	1	2	2	2	2	2	1	1	1	2	2	2	3	1	3	3	2	1	1	2	4	3	1	1	2	2	3	2	1	1	2	2	3	1	2	1	1	2	1	4	2	1	1	1	3	1	3	1	1	2	2	2	1	4	1	2	1	1	1	1	2	2	2	2	1	1	1	4	3	1	1	1	2	1	1	1	7	3	8	1	2	4	14	5	3	8	3
2000	-736.193783437555453	-743.049271388514853	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500543349821310	-1	1	3	2	3	2	4	4	3	4	4	5	5	5	5	6	6	5	7	7	8	8	8	7	9	12	13	11	8	11	11	11	12	11	10	11	10	10	10	13	12	12	13	13	13	14	13	13	14	13	13	14	15	15	14	13	16	16	16	14	16	16	15	15	16	14	17	19	17	16	18	18	18	16	15	17	18	21	18	18	20	18	19	19	19	19	20	19	19	20	21	19	21	19	21	17	20	22	22	20	24	23	24	23	22	24	25	24	28	27	27	0	1	1	2	6	2	2	6	4	9	1	6	1	9	6	11	6	7	6	10	0	7	8	12	11	35	10	23	6	21	22	35	19	39	18	25	4	21	12	19	32	29	34	24	3	32	39	36	50	37	32	45	44	40	56	19	40	41	46	37	37	52	44	39	51	43	60	76	40	56	43	0	45	43	37	50	70	65	67	70	72	70	73	75	76	80	65	79	80	77	77	75	79	82	84	0	55	79	70	84	75	96	21	55	89	94	30	92	90	96	106	1	1	2	1	1	1	1	2	1	1	3	2	3	1	1	1	2	1	2	2	1	2	1	1	2	1	3	2	4	2	1	1	3	1	4	1	4	1	2	3	1	2	2	2	4	2	2	2	1	2	1	1	1	1	1	3	2	3	1	2	4	1	1	2	2	1	1	1	2	2	2	1	3	1	2	3	2	2	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	1	1	1	3	3	3	1	7	3	10	4	2	2	6	3	4	7	1
2500	-654.486871365801107	-661.342359316760508	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552545702731950	-1	1	3	2	4	2	4	6	3	4	4	5	5	4	6	7	7	7	6	7	8	9	9	7	9	10	10	8	9	11	12	10	11	10	10	11	10	11	10	14	12	12	11	13	12	11	11	12	13	14	12	13	14	14	14	14	15	15	16	15	17	16	14	15	15	14	18	19	17	17	16	18	18	17	16	17	19	18	19	18	20	18	19	20	20	19	20	20	19	21	20	21	21	20	22	17	21	21	21	21	25	21	23	21	25	21	25	24	27	29	27	0	1	6	2	3	1	2	11	4	9	2	3	5	4	11	11	5	19	5	10	0	16	24	19	12	11	10	5	13	21	22	28	24	19	19	7	20	21	17	23	32	28	29	12	5	23	24	36	37	37	23	46	32	41	12	33	40	41	58	37	37	40	29	42	51	45	75	76	62	42	55	0	55	66	60	49	80	65	60	70	72	70	73	75	76	70	78	79	80	82	82	75	79	70	84	0	56	79	86	67	75	96	96	74	70	70	96	92	90	96	82	1	2	1	1	1	2	2	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	1	3	3	3	2	2	2	2	2	1	3	2	3	2	2	2	2	1	2	1	3	4	1	2	1	2	2	1	1	2	1	3	1	1	2	1	3	3	1	2	1	2	1	1	1	1	4	1	1	2	2	1	2	1	2	2	1	1	1	1	2	2	1	1	1	1	1	2	3	1	2	1	1	3	1	1	2	6	2	3	2	4	3	5	2	2	6	4
3000	-647.631366508905671	-654.486854459865071	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614155520571502	-1	2	1	3	4	3	4	4	4	5	5	5	5	5	5	7	6	6	8	7	6	10	9	7	9	11	11	9	9	11	11	11	11	10	10	11	10	11	11	13	13	12	12	13	11	13	14	14	14	13	12	14	14	15	14	15	16	12	16	13	18	16	14	14	15	16	18	20	18	17	16	18	18	18	17	17	18	20	19	19	20	17	19	20	20	19	21	19	19	21	20	22	22	21	21	18	20	21	21	21	25	23	22	21	24	23	24	24	27	28	27	0	1	1	2	6	3	2	3	4	9	7	5	6	4	3	12	8	2	6	9	0	19	12	6	17	15	18	24	24	21	22	25	17	24	29	25	20	21	5	28	28	34	33	45	29	28	44	36	37	37	23	23	46	46	43	39	52	23	52	37	50	40	35	39	51	43	75	61	53	64	55	0	66	56	60	50	64	65	60	64	72	35	73	75	76	82	78	67	77	70	80	67	67	77	84	0	74	88	77	75	75	96	96	74	94	91	96	79	91	102	105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	2	2	3	3	1	1	2	1	1	3	2	1	1	1	4	3	2	2	1	1	1	1	2	1	2	2	2	1	2	1	1	2	2	1	2	1	2	3	2	2	2	2	3	1	1	4	2	1	1	1	1	2	2	2	2	5	3	1	3	1	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	2	2	6	2	3	3	2	2	5	3	4	3	2
3500	-659.848638945706284	-666.704126896665684	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568404699401689	-1	2	3	2	3	1	3	4	3	5	5	5	5	5	6	6	6	6	6	7	5	10	8	7	9	11	12	10	8	10	11	10	11	10	10	11	9	11	8	12	12	12	11	13	11	12	13	14	13	13	10	13	14	14	14	14	15	14	16	15	18	14	15	15	15	16	18	19	18	18	17	17	19	17	17	17	17	20	20	20	20	17	20	20	19	20	21	19	19	21	20	19	21	22	21	17	21	21	21	22	25	22	22	22	24	23	26	25	27	28	26	0	1	1	6	1	1	2	3	4	9	7	3	6	9	13	7	6	5	6	14	0	19	17	3	12	19	10	23	24	21	16	23	24	8	24	25	14	30	17	23	23	29	29	29	13	23	45	36	45	37	23	28	40	46	15	39	40	41	58	49	76	41	35	45	51	42	60	76	62	64	63	0	66	63	60	50	64	65	37	77	72	64	73	92	50	89	78	67	77	82	82	75	79	91	84	0	66	79	70	92	75	96	96	74	90	70	96	79	111	102	70	1	1	2	1	2	2	1	1	1	2	2	1	2	1	1	2	3	1	3	1	1	2	1	1	2	2	3	1	1	3	2	1	2	3	1	1	2	1	1	2	3	2	2	2	4	2	1	1	2	2	1	2	1	1	4	3	2	1	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	3	1	2	5	2	1	1	1	1	3	1	1	1	1	2	2	1	1	2	1	1	3	1	1	2	6	2	3	2	2	3	6	4	1	3	4
4000	-631.161884284914777	-638.017372235874177	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583879125285812	-1	1	3	2	3	2	5	5	4	5	5	4	6	5	6	7	6	8	8	7	6	8	8	7	9	10	12	11	8	11	11	10	11	11	10	11	11	8	10	13	13	11	12	14	12	10	13	13	14	13	13	13	14	14	14	15	15	13	15	15	17	16	16	15	16	15	18	19	17	17	18	17	17	17	18	16	19	20	20	19	19	17	17	20	20	19	21	20	19	20	21	22	21	21	22	18	21	22	23	22	25	22	23	22	23	22	25	25	27	28	27	0	1	6	2	6	1	2	5	4	4	1	6	12	4	12	7	6	13	17	14	0	11	13	13	8	19	14	23	24	21	11	11	24	29	29	25	20	21	29	28	28	32	8	19	29	23	43	36	50	37	46	28	17	43	43	35	28	32	40	37	50	32	35	42	53	45	60	76	62	64	66	0	43	63	60	49	63	65	67	70	72	64	66	75	76	64	78	67	64	89	82	75	88	89	84	0	66	88	89	75	75	96	96	43	90	82	96	92	90	102	105	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	3	2	1	2	4	3	2	1	1	1	3	1	1	2	1	1	3	3	2	2	1	2	1	2	1	1	4	1	1	2	2	2	1	2	2	3	2	2	2	2	2	2	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	2	3	1	1	1	1	3	1	2	2	5	2	3	5	2	2	3	3	3	2	3
4500	-616.262774836637732	-623.118262787597132	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633935094191922	-1	1	3	2	3	1	4	3	3	4	5	6	5	5	4	6	6	6	8	7	8	10	9	7	9	10	11	10	8	10	10	11	12	10	11	11	9	11	10	13	13	12	12	13	12	12	14	14	13	13	13	13	14	14	14	15	14	16	16	15	18	16	15	15	15	14	18	19	17	16	17	17	18	15	17	15	17	18	19	20	20	19	19	20	18	18	20	20	20	21	20	21	21	21	22	19	21	22	22	22	24	22	24	22	23	24	25	25	27	29	26	0	1	6	2	6	1	2	6	4	4	2	8	8	10	8	7	15	15	15	4	0	16	24	12	6	19	14	23	5	21	16	23	39	29	26	25	20	21	8	23	28	34	24	12	34	32	44	36	37	20	28	23	41	40	33	43	52	44	46	49	50	53	35	42	46	43	75	76	40	64	44	0	55	66	60	50	70	65	60	77	72	70	66	75	76	77	78	79	77	91	70	79	79	89	84	0	71	88	80	92	60	96	102	44	90	80	102	92	106	96	105	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	1	1	4	2	2	1	2	2	2	1	1	1	1	1	1	2	3	2	1	1	1	4	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	2	1	2	2	1	1	1	2	2	1	2	1	2	1	1	1	1	2	2	2	2	3	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	4	2	1	5	2	1	2	1	2	4	2
