step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.93788	0.11222	1.00000	0.33464	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.94000	0.08800	0.82200	0.30665	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.93000	0.17400	0.89200	0.29970	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.91600	0.22800	0.85800	0.29390	0.000337500000000	0.296296296296296	0.033750000000000	0
2500		0.87000	0.38000	0.81200	0.29762	0.000506250000000	0.197530864197531	0.050625000000000	0
3000		0.79400	0.37800	0.74200	0.30036	0.000759375000000	0.197530864197531	0.075937500000000	0
3500		0.76600	0.37400	0.59400	0.30179	0.001139062500000	0.197530864197531	0.113906250000000	0
4000		0.72000	0.37550	0.49200	0.30222	0.001708593750000	0.197530864197531	0.170859375000000	0
4500		0.65200	0.38600	0.48300	0.30419	0.002562890625000	0.197530864197531	0.170859375000000	0
5000		0.59600	0.38733	0.48733	0.30682	0.003844335937500	0.197530864197531	0.170859375000000	0
5500		0.64200	0.38886	0.48500	0.30997	0.005766503906250	0.197530864197531	0.170859375000000	0
6000		0.72200	0.38600	0.49080	0.31511	0.008649755859375	0.197530864197531	0.170859375000000	0
6500		0.79000	0.37667	0.48467	0.31992	0.012974633789063	0.197530864197531	0.170859375000000	0
7000		0.70800	0.36900	0.47771	0.32395	0.019461950683594	0.197530864197531	0.170859375000000	0
7500		0.65200	0.36455	0.47700	0.32740	0.029192926025391	0.197530864197531	0.170859375000000	0
8000		0.49600	0.36483	0.47622	0.32994	0.043789389038086	0.197530864197531	0.170859375000000	0
8500		0.51800	0.36231	0.47480	0.33288	0.043789389038086	0.197530864197531	0.170859375000000	0
9000		0.52467	0.35900	0.47582	0.33533	0.043789389038086	0.197530864197531	0.170859375000000	0
9500		0.52700	0.35853	0.47467	0.33749	0.043789389038086	0.197530864197531	0.170859375000000	0
10000		0.52360	0.35725	0.47446	0.33953	0.043789389038086	0.197530864197531	0.170859375000000	0
10500		0.51867	0.35271	0.47243	0.34139	0.043789389038086	0.197530864197531	0.170859375000000	0
11000		0.52200	0.34978	0.47120	0.34294	0.043789389038086	0.197530864197531	0.170859375000000	0
11500		0.52425	0.34811	0.47175	0.34448	0.043789389038086	0.197530864197531	0.170859375000000	0
