step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.97595	0.09820	1.00000	0.35928	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.97400	0.17200	0.94000	0.35411	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.94800	0.21800	0.90400	0.35175	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.91800	0.36600	0.84600	0.34675	0.000337500000000	0.296296296296296	0.033750000000000	0
2500		0.89600	0.33000	0.75400	0.34534	0.000506250000000	0.296296296296296	0.050625000000000	0
3000		0.86000	0.32133	0.69000	0.34268	0.000759375000000	0.296296296296296	0.075937500000000	0
3500		0.82000	0.32100	0.58000	0.34108	0.001139062500000	0.296296296296296	0.113906250000000	0
4000		0.77400	0.31120	0.41200	0.34028	0.001708593750000	0.296296296296296	0.170859375000000	0
4500		0.73600	0.31500	0.42900	0.33838	0.002562890625000	0.296296296296296	0.170859375000000	0
5000		0.69200	0.31857	0.42667	0.33709	0.003844335937500	0.296296296296296	0.170859375000000	0
5500		0.69400	0.32025	0.41850	0.33679	0.005766503906250	0.296296296296296	0.170859375000000	0
6000		0.75600	0.31956	0.42160	0.33746	0.008649755859375	0.296296296296296	0.170859375000000	0
6500		0.84600	0.30900	0.42900	0.33989	0.012974633789063	0.296296296296296	0.170859375000000	0
7000		0.76800	0.30218	0.43029	0.34176	0.019461950683594	0.296296296296296	0.170859375000000	0
7500		0.63200	0.29983	0.42825	0.34312	0.029192926025391	0.296296296296296	0.170859375000000	0
8000		0.57000	0.29154	0.42644	0.34450	0.043789389038086	0.296296296296296	0.170859375000000	0
8500		0.39000	0.28871	0.42760	0.34614	0.065684083557129	0.296296296296296	0.170859375000000	0
9000		0.39500	0.28640	0.42891	0.34739	0.065684083557129	0.296296296296296	0.170859375000000	0
9500		0.41600	0.28487	0.42617	0.34847	0.065684083557129	0.296296296296296	0.170859375000000	0
10000		0.41450	0.28188	0.42585	0.34893	0.065684083557129	0.296296296296296	0.170859375000000	0
10500		0.41840	0.28178	0.42486	0.34977	0.065684083557129	0.296296296296296	0.170859375000000	0
11000		0.42033	0.28000	0.42093	0.35052	0.065684083557129	0.296296296296296	0.170859375000000	0
11500		0.41829	0.27870	0.42075	0.35133	0.065684083557129	0.296296296296296	0.170859375000000	0
12000		0.42300	0.27838	0.42059	0.35162	0.065684083557129	0.296296296296296	0.170859375000000	0
12500		0.42667	0.27873	0.41967	0.35193	0.065684083557129	0.296296296296296	0.170859375000000	0
13000		0.42660	0.27739	0.41916	0.35241	0.065684083557129	0.296296296296296	0.170859375000000	0
13500		0.43000	0.27625	0.42000	0.35282	0.065684083557129	0.296296296296296	0.170859375000000	0
14000		0.43150	0.27736	0.41876	0.35331	0.065684083557129	0.296296296296296	0.170859375000000	0
14500		0.43077	0.27592	0.41955	0.35379	0.065684083557129	0.296296296296296	0.170859375000000	0
15000		0.43043	0.27444	0.41930	0.35390	0.065684083557129	0.296296296296296	0.170859375000000	0
15500		0.42627	0.27371	0.41858	0.35420	0.065684083557129	0.296296296296296	0.170859375000000	0
16000		0.42675	0.27193	0.41824	0.35438	0.065684083557129	0.296296296296296	0.170859375000000	0
16500		0.42741	0.27067	0.41762	0.35472	0.065684083557129	0.296296296296296	0.170859375000000	0
17000		0.42767	0.26994	0.41889	0.35498	0.065684083557129	0.296296296296296	0.170859375000000	0
17500		0.42863	0.26937	0.41886	0.35527	0.065684083557129	0.296296296296296	0.170859375000000	0
18000		0.42750	0.26879	0.41979	0.35568	0.065684083557129	0.296296296296296	0.170859375000000	0
18500		0.42714	0.26929	0.42100	0.35576	0.065684083557129	0.296296296296296	0.170859375000000	0
19000		0.42655	0.26920	0.42174	0.35582	0.065684083557129	0.296296296296296	0.170859375000000	0
19500		0.42591	0.26800	0.42137	0.35622	0.065684083557129	0.296296296296296	0.170859375000000	0
20000		0.42617	0.26795	0.42261	0.35647	0.065684083557129	0.296296296296296	0.170859375000000	0
20500		0.42688	0.26811	0.42229	0.35676	0.065684083557129	0.296296296296296	0.170859375000000	0
21000		0.42538	0.26790	0.42251	0.35727	0.065684083557129	0.296296296296296	0.170859375000000	0
21500		0.42526	0.26820	0.42200	0.35751	0.065684083557129	0.296296296296296	0.170859375000000	0
22000		0.42514	0.26712	0.42232	0.35772	0.065684083557129	0.296296296296296	0.170859375000000	0
22500		0.42566	0.26700	0.42163	0.35780	0.065684083557129	0.296296296296296	0.170859375000000	0
23000		0.42647	0.26702	0.42236	0.35791	0.065684083557129	0.296296296296296	0.170859375000000	0
23500		0.42619	0.26627	0.42355	0.35800	0.065684083557129	0.296296296296296	0.170859375000000	0
24000		0.42638	0.26591	0.42351	0.35811	0.065684083557129	0.296296296296296	0.170859375000000	0
24500		0.42606	0.26557	0.42362	0.35835	0.065684083557129	0.296296296296296	0.170859375000000	0
25000		0.42618	0.26494	0.42423	0.35852	0.065684083557129	0.296296296296296	0.170859375000000	0
25500		0.42617	0.26496	0.42377	0.35855	0.065684083557129	0.296296296296296	0.170859375000000	0
26000		0.42511	0.26412	0.42302	0.35859	0.065684083557129	0.296296296296296	0.170859375000000	0
26500		0.42481	0.26424	0.42291	0.35885	0.065684083557129	0.296296296296296	0.170859375000000	0
27000		0.42437	0.26400	0.42277	0.35896	0.065684083557129	0.296296296296296	0.170859375000000	0
27500		0.42328	0.26385	0.42188	0.35912	0.065684083557129	0.296296296296296	0.170859375000000	0
28000		0.42280	0.26306	0.42184	0.35913	0.065684083557129	0.296296296296296	0.170859375000000	0
28500		0.42244	0.26370	0.42164	0.35931	0.065684083557129	0.296296296296296	0.170859375000000	0
29000		0.42176	0.26378	0.42235	0.35940	0.065684083557129	0.296296296296296	0.170859375000000	0
29500		0.42140	0.26314	0.42262	0.35950	0.065684083557129	0.296296296296296	0.170859375000000	0
30000		0.42123	0.26326	0.42298	0.35976	0.065684083557129	0.296296296296296	0.170859375000000	0
30500		0.42098	0.26328	0.42296	0.35997	0.065684083557129	0.296296296296296	0.170859375000000	0
31000		0.42096	0.26292	0.42298	0.36008	0.065684083557129	0.296296296296296	0.170859375000000	0
31500		0.42149	0.26297	0.42321	0.36013	0.065684083557129	0.296296296296296	0.170859375000000	0
32000		0.42146	0.26243	0.42344	0.36014	0.065684083557129	0.296296296296296	0.170859375000000	0
32500		0.42176	0.26219	0.42310	0.36018	0.065684083557129	0.296296296296296	0.170859375000000	0
33000		0.42188	0.26175	0.42298	0.36022	0.065684083557129	0.296296296296296	0.170859375000000	0
33500		0.42200	0.26125	0.42303	0.36034	0.065684083557129	0.296296296296296	0.170859375000000	0
34000		0.42246	0.26071	0.42338	0.36046	0.065684083557129	0.296296296296296	0.170859375000000	0
34500		0.42253	0.26085	0.42287	0.36035	0.065684083557129	0.296296296296296	0.170859375000000	0
35000		0.42267	0.26084	0.42248	0.36038	0.065684083557129	0.296296296296296	0.170859375000000	0
35500		0.42338	0.26082	0.42203	0.36038	0.065684083557129	0.296296296296296	0.170859375000000	0
36000		0.42404	0.26078	0.42132	0.36033	0.065684083557129	0.296296296296296	0.170859375000000	0
36500		0.42414	0.26023	0.42112	0.36041	0.065684083557129	0.296296296296296	0.170859375000000	0
37000		0.42414	0.25963	0.42093	0.36044	0.065684083557129	0.296296296296296	0.170859375000000	0
37500		0.42427	0.25933	0.42115	0.36044	0.065684083557129	0.296296296296296	0.170859375000000	0
38000		0.42390	0.25901	0.42145	0.36040	0.065684083557129	0.296296296296296	0.170859375000000	0
38500		0.42377	0.25927	0.42114	0.36039	0.065684083557129	0.296296296296296	0.170859375000000	0
39000		0.42394	0.25907	0.42028	0.36041	0.065684083557129	0.296296296296296	0.170859375000000	0
39500		0.42387	0.25884	0.42050	0.36047	0.065684083557129	0.296296296296296	0.170859375000000	0
40000		0.42378	0.25865	0.42055	0.36045	0.065684083557129	0.296296296296296	0.170859375000000	0
40500		0.42317	0.25851	0.42019	0.36050	0.065684083557129	0.296296296296296	0.170859375000000	0
41000		0.42336	0.25838	0.42048	0.36059	0.065684083557129	0.296296296296296	0.170859375000000	0
41500		0.42367	0.25812	0.42089	0.36065	0.065684083557129	0.296296296296296	0.170859375000000	0
42000		0.42365	0.25778	0.42081	0.36068	0.065684083557129	0.296296296296296	0.170859375000000	0
42500		0.42380	0.25768	0.42105	0.36069	0.065684083557129	0.296296296296296	0.170859375000000	0
43000		0.42374	0.25745	0.42132	0.36073	0.065684083557129	0.296296296296296	0.170859375000000	0
43500		0.42420	0.25750	0.42097	0.36079	0.065684083557129	0.296296296296296	0.170859375000000	0
44000		0.42461	0.25769	0.42096	0.36088	0.065684083557129	0.296296296296296	0.170859375000000	0
44500		0.42444	0.25770	0.42056	0.36095	0.065684083557129	0.296296296296296	0.170859375000000	0
45000		0.42514	0.25763	0.42024	0.36104	0.065684083557129	0.296296296296296	0.170859375000000	0
45500		0.42469	0.25739	0.42017	0.36109	0.065684083557129	0.296296296296296	0.170859375000000	0
46000		0.42442	0.25737	0.42012	0.36117	0.065684083557129	0.296296296296296	0.170859375000000	0
46500		0.42475	0.25711	0.42040	0.36116	0.065684083557129	0.296296296296296	0.170859375000000	0
47000		0.42500	0.25697	0.42014	0.36127	0.065684083557129	0.296296296296296	0.170859375000000	0
47500		0.42468	0.25683	0.42064	0.36137	0.065684083557129	0.296296296296296	0.170859375000000	0
48000		0.42423	0.25746	0.42092	0.36142	0.065684083557129	0.296296296296296	0.170859375000000	0
48500		0.42417	0.25730	0.42082	0.36144	0.065684083557129	0.296296296296296	0.170859375000000	0
49000		0.42385	0.25739	0.42086	0.36149	0.065684083557129	0.296296296296296	0.170859375000000	0
49500		0.42364	0.25723	0.42050	0.36161	0.065684083557129	0.296296296296296	0.170859375000000	0
50000		0.42319	0.25691	0.42019	0.36168	0.065684083557129	0.296296296296296	0.170859375000000	0
50500		0.42296	0.25692	0.41981	0.36169	0.065684083557129	0.296296296296296	0.170859375000000	0
51000		0.42251	0.25651	0.41975	0.36166	0.065684083557129	0.296296296296296	0.170859375000000	0
51500		0.42230	0.25624	0.41994	0.36169	0.065684083557129	0.296296296296296	0.170859375000000	0
52000		0.42230	0.25616	0.41988	0.36174	0.065684083557129	0.296296296296296	0.170859375000000	0
52500		0.42189	0.25592	0.42031	0.36175	0.065684083557129	0.296296296296296	0.170859375000000	0
53000		0.42211	0.25584	0.42026	0.36175	0.065684083557129	0.296296296296296	0.170859375000000	0
53500		0.42191	0.25579	0.42006	0.36170	0.065684083557129	0.296296296296296	0.170859375000000	0
54000		0.42170	0.25566	0.42012	0.36173	0.065684083557129	0.296296296296296	0.170859375000000	0
54500		0.42131	0.25532	0.41996	0.36177	0.065684083557129	0.296296296296296	0.170859375000000	0
55000		0.42166	0.25536	0.41975	0.36181	0.065684083557129	0.296296296296296	0.170859375000000	0
55500		0.42147	0.25548	0.41965	0.36187	0.065684083557129	0.296296296296296	0.170859375000000	0
56000		0.42183	0.25565	0.41960	0.36178	0.065684083557129	0.296296296296296	0.170859375000000	0
56500		0.42200	0.25585	0.41928	0.36175	0.065684083557129	0.296296296296296	0.170859375000000	0
57000		0.42231	0.25569	0.41946	0.36177	0.065684083557129	0.296296296296296	0.170859375000000	0
57500		0.42204	0.25562	0.41963	0.36183	0.065684083557129	0.296296296296296	0.170859375000000	0
58000		0.42182	0.25559	0.41952	0.36188	0.065684083557129	0.296296296296296	0.170859375000000	0
58500		0.42208	0.25539	0.41940	0.36188	0.065684083557129	0.296296296296296	0.170859375000000	0
59000		0.42188	0.25572	0.41966	0.36185	0.065684083557129	0.296296296296296	0.170859375000000	0
59500		0.42200	0.25538	0.41971	0.36185	0.065684083557129	0.296296296296296	0.170859375000000	0
60000		0.42213	0.25513	0.41986	0.36187	0.065684083557129	0.296296296296296	0.170859375000000	0
60500		0.42257	0.25531	0.42002	0.36193	0.065684083557129	0.296296296296296	0.170859375000000	0
61000		0.42281	0.25533	0.41991	0.36198	0.065684083557129	0.296296296296296	0.170859375000000	0
61500		0.42269	0.25545	0.42016	0.36199	0.065684083557129	0.296296296296296	0.170859375000000	0
62000		0.42263	0.25539	0.42005	0.36203	0.065684083557129	0.296296296296296	0.170859375000000	0
62500		0.42266	0.25536	0.42024	0.36204	0.065684083557129	0.296296296296296	0.170859375000000	0
63000		0.42247	0.25537	0.41982	0.36213	0.065684083557129	0.296296296296296	0.170859375000000	0
63500		0.42227	0.25519	0.41965	0.36215	0.065684083557129	0.296296296296296	0.170859375000000	0
64000		0.42254	0.25507	0.41975	0.36221	0.065684083557129	0.296296296296296	0.170859375000000	0
64500		0.42242	0.25540	0.41967	0.36224	0.065684083557129	0.296296296296296	0.170859375000000	0
65000		0.42230	0.25572	0.41985	0.36231	0.065684083557129	0.296296296296296	0.170859375000000	0
65500		0.42242	0.25569	0.42005	0.36230	0.065684083557129	0.296296296296296	0.170859375000000	0
66000		0.42264	0.25580	0.42013	0.36232	0.065684083557129	0.296296296296296	0.170859375000000	0
66500		0.42258	0.25565	0.41998	0.36237	0.065684083557129	0.296296296296296	0.170859375000000	0
67000		0.42251	0.25585	0.41980	0.36240	0.065684083557129	0.296296296296296	0.170859375000000	0
67500		0.42254	0.25594	0.41980	0.36241	0.065684083557129	0.296296296296296	0.170859375000000	0
68000		0.42270	0.25580	0.41986	0.36243	0.065684083557129	0.296296296296296	0.170859375000000	0
68500		0.42236	0.25587	0.42005	0.36244	0.065684083557129	0.296296296296296	0.170859375000000	0
69000		0.42251	0.25591	0.41969	0.36249	0.065684083557129	0.296296296296296	0.170859375000000	0
69500		0.42257	0.25578	0.41979	0.36256	0.065684083557129	0.296296296296296	0.170859375000000	0
70000		0.42263	0.25561	0.41989	0.36256	0.065684083557129	0.296296296296296	0.170859375000000	0
70500		0.42243	0.25600	0.42006	0.36254	0.065684083557129	0.296296296296296	0.170859375000000	0
71000		0.42254	0.25601	0.41999	0.36254	0.065684083557129	0.296296296296296	0.170859375000000	0
71500		0.42254	0.25589	0.42022	0.36255	0.065684083557129	0.296296296296296	0.170859375000000	0
72000		0.42264	0.25623	0.42053	0.36263	0.065684083557129	0.296296296296296	0.170859375000000	0
72500		0.42271	0.25620	0.42052	0.36264	0.065684083557129	0.296296296296296	0.170859375000000	0
73000		0.42278	0.25639	0.42035	0.36267	0.065684083557129	0.296296296296296	0.170859375000000	0
73500		0.42261	0.25625	0.42023	0.36270	0.065684083557129	0.296296296296296	0.170859375000000	0
74000		0.42259	0.25637	0.42037	0.36269	0.065684083557129	0.296296296296296	0.170859375000000	0
74500		0.42268	0.25644	0.42032	0.36268	0.065684083557129	0.296296296296296	0.170859375000000	0
75000		0.42299	0.25648	0.42049	0.36270	0.065684083557129	0.296296296296296	0.170859375000000	0
75500		0.42299	0.25634	0.42058	0.36275	0.065684083557129	0.296296296296296	0.170859375000000	0
76000		0.42284	0.25635	0.42043	0.36276	0.065684083557129	0.296296296296296	0.170859375000000	0
76500		0.42291	0.25627	0.42070	0.36278	0.065684083557129	0.296296296296296	0.170859375000000	0
77000		0.42281	0.25624	0.42078	0.36278	0.065684083557129	0.296296296296296	0.170859375000000	0
77500		0.42302	0.25629	0.42055	0.36276	0.065684083557129	0.296296296296296	0.170859375000000	0
78000		0.42289	0.25622	0.42081	0.36277	0.065684083557129	0.296296296296296	0.170859375000000	0
78500		0.42264	0.25629	0.42097	0.36276	0.065684083557129	0.296296296296296	0.170859375000000	0
79000		0.42245	0.25648	0.42099	0.36277	0.065684083557129	0.296296296296296	0.170859375000000	0
79500		0.42249	0.25646	0.42071	0.36276	0.065684083557129	0.296296296296296	0.170859375000000	0
80000		0.42250	0.25642	0.42085	0.36281	0.065684083557129	0.296296296296296	0.170859375000000	0
80500		0.42265	0.25644	0.42100	0.36283	0.065684083557129	0.296296296296296	0.170859375000000	0
81000		0.42256	0.25662	0.42085	0.36290	0.065684083557129	0.296296296296296	0.170859375000000	0
81500		0.42263	0.25651	0.42079	0.36293	0.065684083557129	0.296296296296296	0.170859375000000	0
82000		0.42254	0.25661	0.42074	0.36296	0.065684083557129	0.296296296296296	0.170859375000000	0
82500		0.42260	0.25651	0.42065	0.36301	0.065684083557129	0.296296296296296	0.170859375000000	0
83000		0.42235	0.25629	0.42089	0.36307	0.065684083557129	0.296296296296296	0.170859375000000	0
83500		0.42242	0.25613	0.42102	0.36307	0.065684083557129	0.296296296296296	0.170859375000000	0
84000		0.42254	0.25608	0.42096	0.36308	0.065684083557129	0.296296296296296	0.170859375000000	0
84500		0.42269	0.25601	0.42106	0.36314	0.065684083557129	0.296296296296296	0.170859375000000	0
85000		0.42265	0.25601	0.42099	0.36317	0.065684083557129	0.296296296296296	0.170859375000000	0
85500		0.42263	0.25614	0.42118	0.36323	0.065684083557129	0.296296296296296	0.170859375000000	0
86000		0.42262	0.25594	0.42115	0.36327	0.065684083557129	0.296296296296296	0.170859375000000	0
86500		0.42266	0.25593	0.42094	0.36330	0.065684083557129	0.296296296296296	0.170859375000000	0
87000		0.42242	0.25581	0.42083	0.36332	0.065684083557129	0.296296296296296	0.170859375000000	0
87500		0.42226	0.25603	0.42074	0.36331	0.065684083557129	0.296296296296296	0.170859375000000	0
88000		0.42229	0.25573	0.42066	0.36334	0.065684083557129	0.296296296296296	0.170859375000000	0
88500		0.42268	0.25582	0.42064	0.36336	0.065684083557129	0.296296296296296	0.170859375000000	0
89000		0.42238	0.25571	0.42062	0.36339	0.065684083557129	0.296296296296296	0.170859375000000	0
89500		0.42237	0.25564	0.42066	0.36344	0.065684083557129	0.296296296296296	0.170859375000000	0
90000		0.42216	0.25582	0.42058	0.36349	0.065684083557129	0.296296296296296	0.170859375000000	0
90500		0.42213	0.25567	0.42072	0.36350	0.065684083557129	0.296296296296296	0.170859375000000	0
91000		0.42222	0.25579	0.42069	0.36354	0.065684083557129	0.296296296296296	0.170859375000000	0
91500		0.42206	0.25589	0.42093	0.36355	0.065684083557129	0.296296296296296	0.170859375000000	0
92000		0.42225	0.25597	0.42095	0.36357	0.065684083557129	0.296296296296296	0.170859375000000	0
92500		0.42218	0.25590	0.42090	0.36362	0.065684083557129	0.296296296296296	0.170859375000000	0
93000		0.42209	0.25568	0.42114	0.36358	0.065684083557129	0.296296296296296	0.170859375000000	0
93500		0.42208	0.25560	0.42092	0.36362	0.065684083557129	0.296296296296296	0.170859375000000	0
94000		0.42200	0.25589	0.42093	0.36367	0.065684083557129	0.296296296296296	0.170859375000000	0
94500		0.42208	0.25568	0.42109	0.36367	0.065684083557129	0.296296296296296	0.170859375000000	0
95000		0.42221	0.25568	0.42125	0.36367	0.065684083557129	0.296296296296296	0.170859375000000	0
95500		0.42227	0.25567	0.42145	0.36371	0.065684083557129	0.296296296296296	0.170859375000000	0
96000		0.42230	0.25568	0.42147	0.36371	0.065684083557129	0.296296296296296	0.170859375000000	0
96500		0.42245	0.25576	0.42144	0.36377	0.065684083557129	0.296296296296296	0.170859375000000	0
97000		0.42240	0.25571	0.42135	0.36381	0.065684083557129	0.296296296296296	0.170859375000000	0
97500		0.42242	0.25569	0.42150	0.36384	0.065684083557129	0.296296296296296	0.170859375000000	0
98000		0.42250	0.25566	0.42154	0.36386	0.065684083557129	0.296296296296296	0.170859375000000	0
98500		0.42267	0.25551	0.42133	0.36388	0.065684083557129	0.296296296296296	0.170859375000000	0
99000		0.42266	0.25545	0.42126	0.36391	0.065684083557129	0.296296296296296	0.170859375000000	0
99500		0.42282	0.25538	0.42136	0.36396	0.065684083557129	0.296296296296296	0.170859375000000	0
100000		0.42280	0.25515	0.42149	0.36403	0.065684083557129	0.296296296296296	0.170859375000000	0
