step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-8100.474123008805691	-8099.012040924287248	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.696091263959157	0	5	6	8	7	7	9	11	10	9	10	10	12	11	13	12	12	12	12	12	13	13	14	15	15	13	14	15	15	15	15	15	14	16	17	16	18	20	20	19	18	20	21	20	22	22	24	22	23	23	23	23	24	25	25	27	25	25	26	26	26	27	27	28	28	28	29	30	30	30	31	31	33	33	34	34	39	41	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	4	4	5	6	5	5	5	5	6	6	7	6	6	6	6	6	7	7	7	8	8	7	7	8	8	8	8	8	7	8	9	8	9	10	10	10	9	10	11	10	11	11	12	11	12	12	12	12	12	13	13	14	13	13	13	13	13	14	14	14	14	14	15	15	15	15	16	16	17	17	17	17	20	21
500	-1966.210090707963900	-1963.362162029773117	-2.847928678190845	0.000010015099923	0.000049270479632	4.919619375841246	0.188904313072596	0	2	7	7	6	6	9	11	10	8	7	10	12	11	10	13	11	13	12	13	14	14	14	15	15	13	14	16	16	16	14	14	14	13	18	13	18	20	20	19	15	20	20	20	22	23	25	23	23	24	24	23	24	25	26	26	24	26	26	27	26	28	27	27	28	26	30	31	30	31	32	32	34	33	34	33	40	41	0	0	6	2	2	2	4	4	5	4	5	10	4	9	11	8	11	12	15	4	14	17	4	17	12	19	19	11	12	27	36	15	0	15	27	17	34	34	36	41	15	17	41	36	41	41	43	43	36	15	17	36	0	41	34	23	4	34	17	48	0	34	4	43	4	5	23	41	4	9	5	4	9	28	4	4	23	4	1	1	1	3	1	2	1	2	2	1	1	1	2	1	2	1	2	1	1	3	2	2	4	3	2	1	1	7	3	2	1	2	1	2	3	1	2	3	5	3	5	5	3	3	5	6	2	2	6	9	11	5	1	6	12	8	7	7	12	2	1	7	8	4	8	11	11	11	7	12	9	13	16	11	16	13	20	21
1000	-1780.403066513554677	-1777.245058602539530	-3.158007911015130	0.000010024650226	0.000061092799383	6.094257455722895	0.242171420908469	0	4	5	6	7	8	10	11	9	8	10	11	13	8	11	12	12	12	13	12	13	14	14	16	16	14	14	16	14	16	16	13	15	16	17	15	18	19	19	20	18	21	21	20	23	23	24	23	23	23	22	23	24	25	25	27	22	26	27	26	25	27	27	27	25	27	29	31	30	31	32	30	34	34	33	35	39	42	0	0	2	2	2	3	4	4	14	4	14	7	8	5	11	8	11	12	15	8	9	17	16	17	12	15	15	22	18	26	36	15	0	15	32	22	19	34	36	34	34	31	41	36	41	34	43	43	44	34	43	36	0	46	11	7	21	43	49	55	0	40	5	46	4	3	4	47	5	57	57	4	5	65	5	57	2	4	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	2	1	1	2	1	2	2	1	2	1	2	2	1	4	1	2	3	4	2	1	3	3	1	5	1	1	8	7	6	3	3	1	1	3	11	3	9	8	12	5	11	8	9	14	14	7	14	12	20	21
1500	-1581.101664360511904	-1578.270720586458992	-2.830943774052922	0.000010074426532	0.000048954198331	4.859254090015392	0.277574556847938	0	4	6	8	7	8	10	10	10	9	10	10	12	11	11	12	11	13	13	13	14	13	15	16	16	13	13	15	15	16	16	15	14	17	18	14	18	20	20	18	18	19	20	18	22	22	24	22	24	23	23	23	25	25	24	26	22	26	26	27	27	27	28	29	29	28	29	31	28	30	32	31	34	33	35	34	39	42	0	0	2	3	2	3	4	4	5	4	5	10	8	9	11	8	11	12	15	8	14	17	16	17	18	15	15	22	12	26	36	19	0	27	19	22	32	27	36	34	34	31	41	36	40	43	43	43	44	32	43	44	0	43	48	2	4	46	52	55	0	50	4	46	4	2	2	46	4	56	57	4	57	70	57	57	4	57	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	4	3	1	1	1	3	1	2	1	1	2	3	1	2	3	3	1	1	3	1	3	2	2	2	1	4	4	2	3	1	2	1	11	7	2	1	2	1	3	11	3	12	11	15	5	12	3	7	12	12	2	11	8	17	14
2000	-1214.162444858008030	-1212.184588537353420	-1.977856320654684	0.000010183494776	0.000023263018941	2.284384629579484	0.328145773538159	0	4	6	7	7	7	8	10	11	9	9	10	12	12	12	12	12	13	13	12	13	13	13	16	15	14	15	16	15	15	16	16	14	15	17	15	18	19	18	19	17	20	21	19	22	23	25	22	23	23	24	24	23	25	25	24	23	25	27	27	27	27	25	26	28	28	30	30	29	30	31	31	34	32	35	33	39	42	0	0	2	2	2	3	4	4	5	7	5	10	8	9	11	8	11	12	15	8	9	17	8	22	12	19	19	17	12	15	36	26	0	15	27	17	19	34	36	34	34	36	38	36	38	43	43	43	44	38	43	44	0	43	48	29	29	43	49	55	0	50	29	46	2	29	2	64	18	63	65	29	63	69	56	65	56	72	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	2	3	1	1	2	1	2	2	2	1	1	2	4	2	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	3	2	1	4	1	2	2	7	3	2	2	2	1	3	8	2	13	6	15	3	7	2	1	12	7	2	9	3	9	8
2500	-1266.344415139546982	-1264.350213831708061	-1.994201307838808	0.000010442890127	0.000024295467776	2.326508033820800	0.422985661358925	0	5	6	7	7	8	8	10	10	9	9	11	12	11	11	12	11	13	13	13	12	14	15	16	15	14	14	16	15	15	16	15	14	16	16	15	19	20	20	20	17	19	19	20	21	21	23	22	22	24	23	22	23	26	24	27	24	26	26	27	23	27	24	27	28	28	28	31	28	29	32	29	33	33	35	34	40	42	0	0	2	2	2	3	4	4	5	7	5	10	8	5	11	8	11	12	15	13	9	17	16	17	12	15	15	22	10	15	36	15	0	32	15	17	32	34	36	34	34	36	41	36	38	43	43	43	44	45	43	44	0	47	48	18	9	46	49	55	0	45	8	47	9	29	18	64	9	69	65	5	67	69	63	65	72	72	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	2	1	1	2	2	3	2	1	2	1	3	2	1	2	1	1	3	2	2	2	2	2	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1	10	6	2	2	1	1	3	6	2	12	8	8	2	12	1	2	11	3	2	10	3	8	8
3000	-1167.972532494774214	-1165.926838808666162	-2.045693686107990	0.000010715951636	0.000026368579150	2.460684785252603	0.399104626239554	-1	5	6	7	6	8	8	9	11	9	10	10	11	9	12	11	12	13	13	13	13	13	13	14	16	14	15	16	15	15	16	16	14	16	18	15	17	20	20	20	18	20	19	21	22	23	24	22	24	23	23	23	24	25	24	28	24	23	26	27	26	27	26	28	29	28	29	31	31	31	30	32	33	33	35	34	38	38	0	0	2	2	2	3	4	4	14	7	14	10	8	5	11	8	11	12	15	13	14	17	16	17	29	15	15	17	12	19	36	15	0	15	32	17	27	34	36	34	34	36	34	42	38	43	58	43	52	45	43	44	0	58	48	23	2	43	49	55	0	50	21	58	2	29	29	64	14	65	67	57	66	65	63	66	57	57	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1	2	2	2	3	1	1	2	1	3	1	2	1	2	3	2	1	2	2	1	1	2	1	2	1	1	1	2	1	1	1	8	9	2	2	1	1	2	6	2	12	4	7	2	17	1	1	4	3	2	8	4	6	5
3500	-1093.322241053658217	-1091.335681777092304	-1.986559276565816	0.000010891119165	0.000025123482753	2.306786141364619	0.455821836214188	0	4	6	6	6	8	8	11	10	9	10	11	12	8	12	12	12	13	13	13	13	13	14	16	16	14	14	15	14	15	16	16	15	15	17	14	18	20	20	19	19	19	20	21	22	22	25	22	24	23	23	22	25	24	26	24	25	25	25	27	27	28	28	27	27	28	30	31	30	30	32	30	34	33	34	34	39	41	0	0	2	2	2	3	4	4	14	7	14	10	8	5	11	8	11	12	15	8	9	17	16	17	12	15	15	22	10	19	36	26	0	26	26	17	27	34	36	34	34	36	41	42	38	43	46	43	52	38	46	44	0	46	54	2	2	43	52	55	0	50	2	58	14	65	29	64	4	66	63	57	66	67	63	66	57	57	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	2	2	1	1	1	2	3	2	2	2	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	11	10	3	2	1	1	2	9	1	8	1	10	1	18	1	2	3	2	1	2	3	6	6
4000	-1113.584501230948717	-1111.945525609623928	-1.638975621324764	0.000012274429840	0.000017766708713	1.447456944623449	0.350897552093908	0	4	6	7	7	7	10	10	11	9	9	11	12	12	10	13	11	13	13	13	14	13	13	14	15	12	14	15	15	15	15	15	15	16	16	13	18	20	20	20	19	20	19	21	23	22	24	22	24	22	24	23	24	26	25	27	25	25	26	26	25	28	27	27	28	28	30	31	29	31	32	30	33	32	34	33	39	40	0	0	2	2	2	3	10	4	5	4	5	10	8	5	11	8	11	12	15	8	14	17	8	17	12	15	15	22	12	19	36	15	0	27	32	17	27	34	31	34	34	31	32	42	50	43	43	43	52	34	43	44	0	47	48	18	14	46	52	55	0	45	3	58	12	63	4	64	2	66	67	57	66	63	69	63	67	57	1	1	1	1	2	1	1	1	2	1	2	2	1	3	1	2	1	1	2	2	1	2	2	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	2	2	2	2	1	1	2	3	1	1	2	2	1	1	1	2	6	6	2	1	1	1	2	9	1	10	1	12	2	13	1	1	3	3	2	2	3	4	8
4500	-1004.787704876951580	-1003.017202561964609	-1.770502314987006	0.000015925947566	0.000028132276308	1.766442856365452	0.425659626287109	0	5	6	7	7	8	9	10	9	10	10	11	12	12	11	12	12	12	12	12	13	13	15	16	16	13	15	16	15	15	16	14	15	16	17	15	18	20	19	20	19	20	21	21	22	22	23	22	23	24	24	23	25	25	25	26	26	25	27	26	25	25	26	29	29	27	29	31	29	31	31	31	33	33	33	34	40	41	0	0	2	2	2	3	4	4	5	7	9	10	8	9	11	8	11	12	15	8	9	17	16	22	18	19	32	17	12	19	36	19	0	27	19	17	32	34	36	34	34	36	41	42	34	43	43	43	44	40	43	44	0	46	48	2	4	43	49	55	0	45	23	58	8	63	29	64	21	66	67	57	66	69	70	70	69	57	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	2	1	1	2	2	2	1	1	1	1	3	1	2	2	2	2	2	2	1	1	3	1	1	1	2	2	2	2	1	2	2	6	7	2	2	1	1	1	5	1	11	1	8	1	10	2	1	3	4	2	2	1	5	7
