step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37580	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94000	0.37200	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91400	0.36826	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86200	0.36288	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.78000	0.35944	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.66000	0.35649	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.60600	0.35342	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.45200	0.35241	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.43800	0.35335	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.44467	0.35200	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.44250	0.35085	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.43400	0.34975	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.43833	0.34851	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.43829	0.34729	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.43325	0.34728	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.43578	0.34703	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.44020	0.34649	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.43855	0.34615	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.43750	0.34617	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.43785	0.34600	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.43686	0.34586	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.43707	0.34531	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.43525	0.34486	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.43341	0.34508	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.43344	0.34518	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.43232	0.34534	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.43150	0.34494	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.43229	0.34448	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.43227	0.34437	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.43165	0.34439	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.43025	0.34389	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.42912	0.34331	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.42846	0.34287	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.42926	0.34286	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.42807	0.34275	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.42924	0.34280	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.42873	0.34249	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.42755	0.34234	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.42769	0.34257	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.42915	0.34253	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.42941	0.34235	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.42971	0.34233	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.42950	0.34243	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.43097	0.34255	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.43005	0.34255	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.42979	0.34257	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.43040	0.34248	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.43151	0.34249	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.43214	0.34254	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.43326	0.34258	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.43332	0.34265	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.43324	0.34261	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.43387	0.34272	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.43391	0.34275	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.43346	0.34277	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.43371	0.34264	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.43336	0.34271	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.43337	0.34266	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.43265	0.34271	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.43223	0.34253	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.43181	0.34243	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.43182	0.34244	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.43236	0.34250	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.43288	0.34257	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.43279	0.34265	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.43292	0.34285	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.43290	0.34281	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.43338	0.34278	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.43329	0.34279	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.43340	0.34301	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.43312	0.34290	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.43317	0.34283	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.43306	0.34269	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.43266	0.34264	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.43194	0.34248	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.43165	0.34247	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.43137	0.34246	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.43141	0.34245	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.43156	0.34243	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.43170	0.34239	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.43189	0.34230	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.43160	0.34231	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.43166	0.34228	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.43138	0.34232	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.43174	0.34228	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.43197	0.34220	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.43200	0.34220	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.43168	0.34228	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.43117	0.34233	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.43087	0.34226	0.000150000000000	1.000000000000000	0.170859375000000	0
45500		-nan	-nan	0.43107	0.34231	0.000150000000000	1.000000000000000	0.170859375000000	0
46000		-nan	-nan	0.43078	0.34231	0.000150000000000	1.000000000000000	0.170859375000000	0
46500		-nan	-nan	0.43084	0.34229	0.000150000000000	1.000000000000000	0.170859375000000	0
47000		-nan	-nan	0.43108	0.34233	0.000150000000000	1.000000000000000	0.170859375000000	0
47500		-nan	-nan	0.43091	0.34225	0.000150000000000	1.000000000000000	0.170859375000000	0
48000		-nan	-nan	0.43106	0.34212	0.000150000000000	1.000000000000000	0.170859375000000	0
48500		-nan	-nan	0.43073	0.34210	0.000150000000000	1.000000000000000	0.170859375000000	0
49000		-nan	-nan	0.43062	0.34205	0.000150000000000	1.000000000000000	0.170859375000000	0
49500		-nan	-nan	0.43120	0.34200	0.000150000000000	1.000000000000000	0.170859375000000	0
50000		-nan	-nan	0.43135	0.34202	0.000150000000000	1.000000000000000	0.170859375000000	0
50500		-nan	-nan	0.43123	0.34196	0.000150000000000	1.000000000000000	0.170859375000000	0
51000		-nan	-nan	0.43160	0.34191	0.000150000000000	1.000000000000000	0.170859375000000	0
51500		-nan	-nan	0.43202	0.34192	0.000150000000000	1.000000000000000	0.170859375000000	0
52000		-nan	-nan	0.43241	0.34190	0.000150000000000	1.000000000000000	0.170859375000000	0
52500		-nan	-nan	0.43227	0.34191	0.000150000000000	1.000000000000000	0.170859375000000	0
53000		-nan	-nan	0.43246	0.34182	0.000150000000000	1.000000000000000	0.170859375000000	0
53500		-nan	-nan	0.43214	0.34180	0.000150000000000	1.000000000000000	0.170859375000000	0
54000		-nan	-nan	0.43208	0.34177	0.000150000000000	1.000000000000000	0.170859375000000	0
54500		-nan	-nan	0.43173	0.34176	0.000150000000000	1.000000000000000	0.170859375000000	0
55000		-nan	-nan	0.43163	0.34178	0.000150000000000	1.000000000000000	0.170859375000000	0
55500		-nan	-nan	0.43146	0.34170	0.000150000000000	1.000000000000000	0.170859375000000	0
56000		-nan	-nan	0.43175	0.34166	0.000150000000000	1.000000000000000	0.170859375000000	0
56500		-nan	-nan	0.43185	0.34157	0.000150000000000	1.000000000000000	0.170859375000000	0
57000		-nan	-nan	0.43193	0.34157	0.000150000000000	1.000000000000000	0.170859375000000	0
57500		-nan	-nan	0.43157	0.34156	0.000150000000000	1.000000000000000	0.170859375000000	0
58000		-nan	-nan	0.43176	0.34151	0.000150000000000	1.000000000000000	0.170859375000000	0
58500		-nan	-nan	0.43169	0.34154	0.000150000000000	1.000000000000000	0.170859375000000	0
59000		-nan	-nan	0.43142	0.34153	0.000150000000000	1.000000000000000	0.170859375000000	0
59500		-nan	-nan	0.43152	0.34149	0.000150000000000	1.000000000000000	0.170859375000000	0
60000		-nan	-nan	0.43147	0.34152	0.000150000000000	1.000000000000000	0.170859375000000	0
60500		-nan	-nan	0.43153	0.34151	0.000150000000000	1.000000000000000	0.170859375000000	0
61000		-nan	-nan	0.43132	0.34146	0.000150000000000	1.000000000000000	0.170859375000000	0
