step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.97796	0.11222	1.00000	0.36979	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.95800	0.10600	0.79400	0.36827	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.94800	0.22800	0.91800	0.35995	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.94600	0.30000	0.82200	0.35726	0.000337500000000	0.296296296296296	0.033750000000000	0
2500		0.91800	0.31700	0.80200	0.35552	0.000506250000000	0.296296296296296	0.050625000000000	0
3000		0.91800	0.32800	0.68400	0.35100	0.000759375000000	0.296296296296296	0.075937500000000	0
3500		0.86000	0.32400	0.55800	0.34824	0.001139062500000	0.296296296296296	0.113906250000000	0
4000		0.79200	0.32520	0.41200	0.34607	0.001708593750000	0.296296296296296	0.170859375000000	0
4500		0.76000	0.32600	0.42500	0.34486	0.002562890625000	0.296296296296296	0.170859375000000	0
5000		0.70000	0.33086	0.44800	0.34418	0.003844335937500	0.296296296296296	0.170859375000000	0
5500		0.71800	0.33525	0.45450	0.34374	0.005766503906250	0.296296296296296	0.170859375000000	0
6000		0.64000	0.33156	0.45040	0.34411	0.008649755859375	0.296296296296296	0.170859375000000	0
6500		0.83200	0.32700	0.45467	0.34528	0.012974633789063	0.296296296296296	0.170859375000000	0
7000		0.79600	0.31673	0.45000	0.34674	0.019461950683594	0.296296296296296	0.170859375000000	0
7500		0.66800	0.31117	0.44950	0.34860	0.029192926025391	0.296296296296296	0.170859375000000	0
8000		0.58200	0.30985	0.45222	0.34954	0.043789389038086	0.296296296296296	0.170859375000000	0
8500		0.47800	0.30700	0.45160	0.35008	0.065684083557129	0.296296296296296	0.170859375000000	0
9000		0.48000	0.30587	0.45073	0.35013	0.065684083557129	0.296296296296296	0.170859375000000	0
9500		0.49867	0.30488	0.44950	0.35070	0.065684083557129	0.296296296296296	0.170859375000000	0
10000		0.49100	0.30153	0.44985	0.35110	0.065684083557129	0.296296296296296	0.170859375000000	0
10500		0.48520	0.29822	0.44900	0.35193	0.065684083557129	0.296296296296296	0.170859375000000	0
11000		0.48200	0.29653	0.45027	0.35252	0.065684083557129	0.296296296296296	0.170859375000000	0
11500		0.48086	0.29350	0.44775	0.35306	0.065684083557129	0.296296296296296	0.170859375000000	0
12000		0.47800	0.29114	0.44671	0.35316	0.065684083557129	0.296296296296296	0.170859375000000	0
12500		0.47667	0.28809	0.44667	0.35351	0.065684083557129	0.296296296296296	0.170859375000000	0
13000		0.47340	0.28609	0.44832	0.35449	0.065684083557129	0.296296296296296	0.170859375000000	0
13500		0.47218	0.28383	0.44860	0.35511	0.065684083557129	0.296296296296296	0.170859375000000	0
14000		0.46833	0.28288	0.44829	0.35560	0.065684083557129	0.296296296296296	0.170859375000000	0
14500		0.47200	0.28223	0.44782	0.35574	0.065684083557129	0.296296296296296	0.170859375000000	0
15000		0.46986	0.28230	0.44800	0.35578	0.065684083557129	0.296296296296296	0.170859375000000	0
15500		0.47440	0.28193	0.44742	0.35564	0.065684083557129	0.296296296296296	0.170859375000000	0
16000		0.47575	0.28317	0.44624	0.35553	0.065684083557129	0.296296296296296	0.170859375000000	0
16500		0.47859	0.28253	0.44623	0.35541	0.065684083557129	0.296296296296296	0.170859375000000	0
17000		0.48022	0.28277	0.44526	0.35495	0.065684083557129	0.296296296296296	0.170859375000000	0
17500		0.48263	0.28169	0.44421	0.35454	0.065684083557129	0.296296296296296	0.170859375000000	0
18000		0.48290	0.28036	0.44586	0.35438	0.065684083557129	0.296296296296296	0.170859375000000	0
18500		0.48238	0.28024	0.44680	0.35442	0.065684083557129	0.296296296296296	0.170859375000000	0
19000		0.48209	0.27943	0.44619	0.35456	0.065684083557129	0.296296296296296	0.170859375000000	0
19500		0.48165	0.27839	0.44606	0.35489	0.065684083557129	0.296296296296296	0.170859375000000	0
20000		0.48258	0.27724	0.44745	0.35512	0.065684083557129	0.296296296296296	0.170859375000000	0
20500		0.48144	0.27600	0.44776	0.35529	0.065684083557129	0.296296296296296	0.170859375000000	0
21000		0.47885	0.27559	0.44777	0.35525	0.065684083557129	0.296296296296296	0.170859375000000	0
21500		0.47837	0.27435	0.44878	0.35537	0.065684083557129	0.296296296296296	0.170859375000000	0
22000		0.47636	0.27376	0.44865	0.35564	0.065684083557129	0.296296296296296	0.170859375000000	0
22500		0.47648	0.27305	0.44805	0.35585	0.065684083557129	0.296296296296296	0.170859375000000	0
23000		0.47573	0.27167	0.44836	0.35601	0.065684083557129	0.296296296296296	0.170859375000000	0
23500		0.47613	0.27109	0.44745	0.35609	0.065684083557129	0.296296296296296	0.170859375000000	0
24000		0.47581	0.27147	0.44683	0.35595	0.065684083557129	0.296296296296296	0.170859375000000	0
24500		0.47661	0.27070	0.44729	0.35587	0.065684083557129	0.296296296296296	0.170859375000000	0
25000		0.47682	0.27047	0.44772	0.35581	0.065684083557129	0.296296296296296	0.170859375000000	0
25500		0.47651	0.26996	0.44795	0.35596	0.065684083557129	0.296296296296296	0.170859375000000	0
26000		0.47500	0.26980	0.44782	0.35601	0.065684083557129	0.296296296296296	0.170859375000000	0
26500		0.47416	0.26908	0.44748	0.35609	0.065684083557129	0.296296296296296	0.170859375000000	0
27000		0.47389	0.26902	0.44821	0.35621	0.065684083557129	0.296296296296296	0.170859375000000	0
27500		0.47364	0.26892	0.44767	0.35642	0.065684083557129	0.296296296296296	0.170859375000000	0
28000		0.47440	0.26909	0.44771	0.35634	0.065684083557129	0.296296296296296	0.170859375000000	0
28500		0.47420	0.26900	0.44852	0.35640	0.065684083557129	0.296296296296296	0.170859375000000	0
29000		0.47362	0.26851	0.44847	0.35658	0.065684083557129	0.296296296296296	0.170859375000000	0
29500		0.47349	0.26796	0.44869	0.35659	0.065684083557129	0.296296296296296	0.170859375000000	0
30000		0.47405	0.26761	0.44875	0.35668	0.065684083557129	0.296296296296296	0.170859375000000	0
30500		0.47369	0.26717	0.44948	0.35691	0.065684083557129	0.296296296296296	0.170859375000000	0
31000		0.47387	0.26668	0.44975	0.35699	0.065684083557129	0.296296296296296	0.170859375000000	0
31500		0.47417	0.26623	0.44896	0.35712	0.065684083557129	0.296296296296296	0.170859375000000	0
32000		0.47450	0.26580	0.44905	0.35727	0.065684083557129	0.296296296296296	0.170859375000000	0
