step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.96994	0.15230	1.00000	0.31109	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.19400	0.93400	0.32741	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98600	0.34000	0.88800	0.33333	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.96600	0.33600	0.82600	0.33327	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.96000	0.36067	0.77800	0.33137	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.96600	0.37650	0.63000	0.32951	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.94200	0.37360	0.50200	0.32575	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.93000	0.37567	0.34800	0.32293	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.91800	0.38057	0.35900	0.31997	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.88200	0.38350	0.35933	0.31848	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.82400	0.38844	0.36600	0.31848	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.79200	0.38740	0.36400	0.31779	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.86400	0.38436	0.36167	0.31720	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.87600	0.37700	0.36257	0.31815	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.77000	0.36554	0.36800	0.31983	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.69400	0.35871	0.37733	0.32107	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.60000	0.35413	0.38440	0.32267	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.47600	0.34925	0.38964	0.32431	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.48600	0.34529	0.39250	0.32573	0.098526125335693	0.444444444444444	0.170859375000000	0
10000		0.47200	0.33978	0.39308	0.32701	0.098526125335693	0.444444444444444	0.170859375000000	0
10500		0.46550	0.33726	0.39271	0.32777	0.098526125335693	0.444444444444444	0.170859375000000	0
11000		0.47080	0.33390	0.39253	0.32870	0.098526125335693	0.444444444444444	0.170859375000000	0
11500		0.47500	0.33162	0.39237	0.32925	0.098526125335693	0.444444444444444	0.170859375000000	0
12000		0.47229	0.32818	0.39129	0.32979	0.098526125335693	0.444444444444444	0.170859375000000	0
12500		0.46925	0.32548	0.39144	0.33048	0.098526125335693	0.444444444444444	0.170859375000000	0
13000		0.47156	0.32492	0.39411	0.33123	0.098526125335693	0.444444444444444	0.170859375000000	0
13500		0.46920	0.32136	0.39570	0.33175	0.098526125335693	0.444444444444444	0.170859375000000	0
14000		0.47309	0.32015	0.39743	0.33199	0.098526125335693	0.444444444444444	0.170859375000000	0
14500		0.46917	0.32030	0.39745	0.33212	0.098526125335693	0.444444444444444	0.170859375000000	0
15000		0.46708	0.31721	0.39774	0.33274	0.098526125335693	0.444444444444444	0.170859375000000	0
15500		0.46857	0.31662	0.39858	0.33309	0.098526125335693	0.444444444444444	0.170859375000000	0
16000		0.46787	0.31527	0.39824	0.33361	0.098526125335693	0.444444444444444	0.170859375000000	0
16500		0.46863	0.31303	0.39700	0.33412	0.098526125335693	0.444444444444444	0.170859375000000	0
17000		0.46847	0.31119	0.39837	0.33441	0.098526125335693	0.444444444444444	0.170859375000000	0
17500		0.46767	0.30933	0.39800	0.33465	0.098526125335693	0.444444444444444	0.170859375000000	0
18000		0.46674	0.30824	0.39814	0.33513	0.098526125335693	0.444444444444444	0.170859375000000	0
18500		0.46810	0.30754	0.39880	0.33548	0.098526125335693	0.444444444444444	0.170859375000000	0
19000		0.46924	0.30611	0.39865	0.33571	0.098526125335693	0.444444444444444	0.170859375000000	0
19500		0.46818	0.30541	0.39856	0.33586	0.098526125335693	0.444444444444444	0.170859375000000	0
20000		0.46983	0.30537	0.39903	0.33605	0.098526125335693	0.444444444444444	0.170859375000000	0
20500		0.46917	0.30426	0.39818	0.33645	0.098526125335693	0.444444444444444	0.170859375000000	0
21000		0.46920	0.30315	0.39863	0.33658	0.098526125335693	0.444444444444444	0.170859375000000	0
21500		0.46869	0.30224	0.39894	0.33689	0.098526125335693	0.444444444444444	0.170859375000000	0
22000		0.46963	0.30076	0.39908	0.33712	0.098526125335693	0.444444444444444	0.170859375000000	0
22500		0.46871	0.30060	0.40032	0.33719	0.098526125335693	0.444444444444444	0.170859375000000	0
23000		0.46779	0.29909	0.40097	0.33732	0.098526125335693	0.444444444444444	0.170859375000000	0
