step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98998	0.12224	1.00000	0.35800	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98400	0.17000	0.89600	0.34864	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98400	0.29800	0.88800	0.34081	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.97200	0.29100	0.81800	0.33531	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.96600	0.27667	0.76000	0.33065	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.94200	0.29700	0.58000	0.32710	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.93200	0.30120	0.47000	0.32416	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.91800	0.31200	0.49000	0.32140	0.001708593750000	0.444444444444444	0.113906250000000	0
4500		0.89000	0.31000	0.49133	0.32058	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.83800	0.31475	0.48750	0.31971	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.80400	0.31711	0.48800	0.31860	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.77400	0.31500	0.48233	0.31789	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.84600	0.30855	0.48229	0.31860	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.82000	0.29950	0.48475	0.31983	0.019461950683594	0.444444444444444	0.113906250000000	0
7500		0.75600	0.29508	0.48956	0.32119	0.029192926025391	0.444444444444444	0.113906250000000	0
8000		0.62000	0.28771	0.49420	0.32244	0.043789389038086	0.444444444444444	0.113906250000000	0
8500		0.57000	0.28187	0.49891	0.32359	0.065684083557129	0.444444444444444	0.113906250000000	0
9000		0.43600	0.27850	0.50083	0.32460	0.098526125335693	0.444444444444444	0.113906250000000	0
9500		0.43100	0.27400	0.49400	0.32557	0.098526125335693	0.444444444444444	0.170859375000000	0
10000		0.43000	0.27011	0.45300	0.32660	0.098526125335693	0.444444444444444	0.170859375000000	0
10500		0.42450	0.26589	0.43733	0.32724	0.098526125335693	0.444444444444444	0.170859375000000	0
11000		0.42520	0.26420	0.42450	0.32806	0.098526125335693	0.444444444444444	0.170859375000000	0
11500		0.42667	0.26067	0.42400	0.32871	0.098526125335693	0.444444444444444	0.170859375000000	0
12000		0.42571	0.25918	0.41600	0.32917	0.098526125335693	0.444444444444444	0.170859375000000	0
12500		0.42525	0.25678	0.41429	0.32974	0.098526125335693	0.444444444444444	0.170859375000000	0
13000		0.42311	0.25358	0.41500	0.33011	0.098526125335693	0.444444444444444	0.170859375000000	0
13500		0.42360	0.25104	0.41111	0.33024	0.098526125335693	0.444444444444444	0.170859375000000	0
14000		0.42018	0.24777	0.40580	0.33066	0.098526125335693	0.444444444444444	0.170859375000000	0
14500		0.41883	0.24652	0.40400	0.33091	0.098526125335693	0.444444444444444	0.170859375000000	0
15000		0.42062	0.24543	0.40250	0.33122	0.098526125335693	0.444444444444444	0.170859375000000	0
15500		0.42271	0.24372	0.40554	0.33172	0.098526125335693	0.444444444444444	0.170859375000000	0
16000		0.42440	0.24233	0.40586	0.33192	0.098526125335693	0.444444444444444	0.170859375000000	0
16500		0.42450	0.24058	0.40840	0.33202	0.098526125335693	0.444444444444444	0.170859375000000	0
17000		0.42247	0.23850	0.40813	0.33239	0.098526125335693	0.444444444444444	0.170859375000000	0
17500		0.41944	0.23752	0.40741	0.33273	0.098526125335693	0.444444444444444	0.170859375000000	0
18000		0.41621	0.23547	0.40667	0.33304	0.098526125335693	0.444444444444444	0.170859375000000	0
18500		0.41580	0.23383	0.40695	0.33340	0.098526125335693	0.444444444444444	0.170859375000000	0
19000		0.41352	0.23267	0.40530	0.33358	0.098526125335693	0.444444444444444	0.170859375000000	0
19500		0.41409	0.23086	0.40600	0.33381	0.098526125335693	0.444444444444444	0.170859375000000	0
20000		0.41322	0.23105	0.40782	0.33418	0.098526125335693	0.444444444444444	0.170859375000000	0
20500		0.41258	0.23010	0.40852	0.33431	0.098526125335693	0.444444444444444	0.170859375000000	0
