step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98397	0.10020	1.00000	0.34282	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98600	0.20200	0.91400	0.34239	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98000	0.36600	0.89400	0.33519	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98600	0.35200	0.84200	0.33004	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.95000	0.35000	0.81600	0.32772	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.96000	0.34100	0.65000	0.32493	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.92000	0.35440	0.54400	0.32281	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.88600	0.36567	0.41200	0.32074	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.87000	0.37029	0.42400	0.32021	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.85800	0.37400	0.41800	0.31863	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.82800	0.37311	0.40900	0.31777	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.79800	0.37340	0.40800	0.31640	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.92800	0.37764	0.40000	0.31630	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.88800	0.37733	0.39829	0.31628	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.80600	0.37738	0.39975	0.31784	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.68200	0.37514	0.40200	0.31938	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.62200	0.37200	0.40580	0.32058	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.42800	0.36938	0.40836	0.32137	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.45600	0.36424	0.40917	0.32292	0.098526125335693	0.444444444444444	0.170859375000000	0
10000		0.46867	0.36089	0.41108	0.32436	0.098526125335693	0.444444444444444	0.170859375000000	0
10500		0.47050	0.35968	0.40957	0.32550	0.098526125335693	0.444444444444444	0.170859375000000	0
11000		0.46600	0.35630	0.40853	0.32680	0.098526125335693	0.444444444444444	0.170859375000000	0
11500		0.46067	0.35248	0.41113	0.32784	0.098526125335693	0.444444444444444	0.170859375000000	0
12000		0.45886	0.34709	0.41165	0.32887	0.098526125335693	0.444444444444444	0.170859375000000	0
12500		0.45850	0.34461	0.41178	0.32938	0.098526125335693	0.444444444444444	0.170859375000000	0
13000		0.46289	0.34217	0.41211	0.32997	0.098526125335693	0.444444444444444	0.170859375000000	0
13500		0.46360	0.33960	0.41200	0.33050	0.098526125335693	0.444444444444444	0.170859375000000	0
14000		0.46345	0.33715	0.41200	0.33117	0.098526125335693	0.444444444444444	0.170859375000000	0
14500		0.46350	0.33452	0.41164	0.33164	0.098526125335693	0.444444444444444	0.170859375000000	0
15000		0.46554	0.33379	0.41061	0.33182	0.098526125335693	0.444444444444444	0.170859375000000	0
15500		0.46900	0.33393	0.41142	0.33162	0.098526125335693	0.444444444444444	0.170859375000000	0
16000		0.46920	0.33453	0.41240	0.33197	0.098526125335693	0.444444444444444	0.170859375000000	0
16500		0.46875	0.33271	0.41185	0.33204	0.098526125335693	0.444444444444444	0.170859375000000	0
17000		0.46988	0.33306	0.41096	0.33220	0.098526125335693	0.444444444444444	0.170859375000000	0
17500		0.47067	0.33309	0.41250	0.33245	0.098526125335693	0.444444444444444	0.170859375000000	0
18000		0.47200	0.33418	0.41145	0.33215	0.098526125335693	0.444444444444444	0.170859375000000	0
18500		0.47420	0.33474	0.41207	0.33185	0.098526125335693	0.444444444444444	0.170859375000000	0
19000		0.47590	0.33383	0.41265	0.33207	0.098526125335693	0.444444444444444	0.170859375000000	0
19500		0.47709	0.33276	0.41194	0.33218	0.098526125335693	0.444444444444444	0.170859375000000	0
20000		0.47661	0.33168	0.41285	0.33250	0.098526125335693	0.444444444444444	0.170859375000000	0
20500		0.47708	0.33149	0.41347	0.33278	0.098526125335693	0.444444444444444	0.170859375000000	0
21000		0.47816	0.33055	0.41423	0.33318	0.098526125335693	0.444444444444444	0.170859375000000	0
21500		0.47608	0.32868	0.41500	0.33358	0.098526125335693	0.444444444444444	0.170859375000000	0
22000		0.47511	0.32714	0.41649	0.33415	0.098526125335693	0.444444444444444	0.170859375000000	0
22500		0.47579	0.32614	0.41600	0.33440	0.098526125335693	0.444444444444444	0.170859375000000	0
23000		0.47510	0.32445	0.41579	0.33477	0.098526125335693	0.444444444444444	0.170859375000000	0
23500		0.47593	0.32431	0.41535	0.33510	0.098526125335693	0.444444444444444	0.170859375000000	0
24000		0.47477	0.32335	0.41634	0.33532	0.098526125335693	0.444444444444444	0.170859375000000	0
24500		0.47487	0.32409	0.41576	0.33529	0.098526125335693	0.444444444444444	0.170859375000000	0
25000		0.47491	0.32321	0.41688	0.33542	0.098526125335693	0.444444444444444	0.170859375000000	0
25500		0.47500	0.32204	0.41718	0.33562	0.098526125335693	0.444444444444444	0.170859375000000	0
26000		0.47606	0.32244	0.41738	0.33566	0.098526125335693	0.444444444444444	0.170859375000000	0
26500		0.47744	0.32290	0.41626	0.33568	0.098526125335693	0.444444444444444	0.170859375000000	0
27000		0.47795	0.32315	0.41630	0.33571	0.098526125335693	0.444444444444444	0.170859375000000	0
27500		0.47905	0.32325	0.41617	0.33566	0.098526125335693	0.444444444444444	0.170859375000000	0
28000		0.48051	0.32304	0.41506	0.33569	0.098526125335693	0.444444444444444	0.170859375000000	0
28500		0.48200	0.32378	0.41476	0.33563	0.098526125335693	0.444444444444444	0.170859375000000	0
29000		0.48356	0.32404	0.41384	0.33549	0.098526125335693	0.444444444444444	0.170859375000000	0
29500		0.48510	0.32358	0.41381	0.33565	0.098526125335693	0.444444444444444	0.170859375000000	0
30000		0.48549	0.32310	0.41408	0.33565	0.098526125335693	0.444444444444444	0.170859375000000	0
30500		0.48545	0.32298	0.41437	0.33575	0.098526125335693	0.444444444444444	0.170859375000000	0
31000		0.48462	0.32303	0.41447	0.33592	0.098526125335693	0.444444444444444	0.170859375000000	0
31500		0.48422	0.32243	0.41518	0.33607	0.098526125335693	0.444444444444444	0.170859375000000	0
32000		0.48319	0.32235	0.41502	0.33634	0.098526125335693	0.444444444444444	0.170859375000000	0
32500		0.48337	0.32168	0.41521	0.33657	0.098526125335693	0.444444444444444	0.170859375000000	0
33000		0.48384	0.32138	0.41475	0.33662	0.098526125335693	0.444444444444444	0.170859375000000	0
33500		0.48496	0.32129	0.41493	0.33674	0.098526125335693	0.444444444444444	0.170859375000000	0
34000		0.48475	0.32109	0.41416	0.33682	0.098526125335693	0.444444444444444	0.170859375000000	0
34500		0.48481	0.32104	0.41461	0.33681	0.098526125335693	0.444444444444444	0.170859375000000	0
35000		0.48472	0.32062	0.41486	0.33682	0.098526125335693	0.444444444444444	0.170859375000000	0
35500		0.48396	0.31994	0.41503	0.33703	0.098526125335693	0.444444444444444	0.170859375000000	0
36000		0.48364	0.31969	0.41523	0.33733	0.098526125335693	0.444444444444444	0.170859375000000	0
36500		0.48271	0.31901	0.41558	0.33752	0.098526125335693	0.444444444444444	0.170859375000000	0
