step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115
1	-5284.634290339687141	-5283.172208255168698	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.559184001770239	-1	1	3	4	3	4	6	6	5	6	7	7	9	8	8	9	9	9	10	11	10	9	9	11	9	11	10	12	12	11	10	10	12	12	12	12	11	12	12	14	13	13	14	12	12	13	12	14	13	14	13	16	14	14	16	15	16	16	14	15	14	15	17	18	16	15	16	17	16	15	17	16	17	16	18	19	17	18	18	18	18	17	18	19	18	19	18	18	19	19	20	20	21	19	20	20	21	21	22	21	21	23	22	23	25	24	24	24	24	24	24	26	29	30	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	4	4	3	4	4	4	5	5	5	5	5	5	6	6	6	5	5	6	5	6	6	7	7	6	6	6	7	7	7	7	6	7	7	8	7	7	8	7	7	7	7	8	7	8	7	9	8	8	9	8	9	9	8	8	8	8	9	10	9	8	9	9	9	8	9	9	9	9	10	10	9	10	10	10	10	9	10	10	10	10	10	10	10	10	11	11	11	10	11	11	11	11	12	11	11	12	12	12	13	13	13	13	13	13	13	14	15	16	17
500	-1662.989698898201823	-1660.561661995336181	-2.428036902865653	0.000009961634972	0.000035249225989	3.538498056750967	0.256454076517355	-1	1	3	3	4	4	5	6	4	7	6	7	7	8	7	10	6	9	10	11	10	8	6	9	8	12	10	13	12	11	7	11	11	10	11	9	11	13	11	14	10	14	11	13	12	10	13	14	14	15	11	15	14	13	16	15	13	16	14	13	11	15	18	18	17	16	14	17	15	16	16	17	16	16	18	19	18	18	19	17	19	18	18	20	18	19	18	18	20	19	21	21	20	20	21	20	21	21	23	22	22	24	22	23	25	24	25	24	25	25	24	27	30	30	33	0	1	1	1	1	1	3	1	3	9	0	5	3	11	5	11	5	11	7	12	13	13	5	17	17	10	17	30	30	18	23	25	22	23	17	17	27	31	25	46	36	28	23	23	31	5	46	5	35	17	36	39	34	34	34	46	13	23	35	24	17	34	39	48	61	23	60	51	61	23	50	43	59	61	39	22	23	67	60	61	52	25	57	39	36	23	34	23	74	80	34	60	41	32	23	0	46	23	61	57	0	5	17	61	24	23	57	4	41	46	41	57	17	41	46	1	1	2	2	3	2	1	4	1	2	1	2	3	2	1	2	2	3	3	1	2	1	2	2	1	3	2	2	1	2	1	2	2	3	2	2	1	3	1	1	1	1	2	5	2	2	2	6	2	5	1	3	1	2	4	2	4	6	2	4	2	2	4	2	4	3	1	4	3	8	1	4	1	3	4	8	9	4	5	3	3	9	3	5	3	10	5	6	3	2	5	6	5	7	9	1	6	12	11	5	1	8	9	7	10	14	10	13	10	10	8	11	13	15	17
1000	-1412.021169467507434	-1409.582956007180655	-2.438213460326703	0.000009955515150	0.000035534905053	3.569368788829605	0.289763378699717	-1	2	3	4	4	5	6	6	4	7	5	7	8	8	8	10	8	8	10	11	10	10	7	11	9	10	10	10	13	10	10	10	12	13	11	12	11	13	11	12	13	12	11	12	11	10	10	14	14	14	13	16	13	15	17	15	13	16	14	13	13	15	18	19	15	16	16	17	15	16	16	15	17	15	19	19	18	19	18	16	18	17	17	19	18	19	19	18	19	19	21	21	22	20	19	20	21	22	23	22	22	22	21	23	26	25	24	25	23	24	25	27	30	31	33	0	1	1	1	3	3	3	9	3	9	0	6	10	11	8	11	8	11	7	12	13	10	8	17	17	10	17	18	18	18	23	17	22	23	27	17	17	31	25	46	27	28	23	23	31	3	6	22	35	24	27	39	43	43	43	46	17	23	35	24	39	53	32	33	39	34	60	60	61	23	50	34	35	61	82	48	23	67	60	69	52	65	57	65	50	23	43	43	74	80	43	60	36	52	23	0	46	23	80	57	0	6	57	69	57	43	57	46	57	46	57	57	57	57	46	1	2	2	2	1	1	2	2	1	1	1	1	1	2	2	2	1	2	2	2	1	2	1	2	1	1	1	1	3	1	2	2	1	4	1	2	2	2	1	1	1	2	2	4	1	4	2	2	2	2	2	3	1	2	3	2	4	5	2	2	1	1	5	5	2	1	1	3	1	7	1	1	3	2	1	2	8	2	3	1	1	1	2	2	3	8	6	5	2	2	6	5	5	2	10	1	5	11	6	5	1	5	5	5	8	11	8	9	5	8	6	11	12	16	13
1500	-1370.495176854384454	-1367.906107794480704	-2.589069059903685	0.000009944120933	0.000040190245826	4.041608715080321	0.327325151525584	-1	2	2	4	3	3	7	7	5	5	6	7	8	8	8	9	8	9	10	11	10	10	7	9	10	12	10	12	13	10	10	11	12	12	12	12	12	12	12	14	13	14	13	13	13	11	13	15	14	14	13	16	14	15	16	15	15	14	15	14	15	16	17	18	14	15	16	18	16	15	18	17	17	17	18	19	18	19	19	17	18	16	18	19	18	18	18	19	19	19	19	21	21	18	20	20	20	22	23	21	21	23	21	24	25	23	24	24	25	25	25	26	30	29	33	0	1	1	1	3	3	2	9	5	5	0	9	10	11	9	11	9	14	7	12	13	13	10	17	24	10	17	18	18	18	23	25	22	23	17	24	17	31	32	46	27	28	23	34	38	5	10	22	35	36	17	39	43	43	23	46	41	43	35	51	65	53	39	33	39	34	60	60	61	43	50	58	35	61	82	33	23	67	60	69	82	65	41	65	50	58	58	23	74	80	55	79	57	65	23	0	40	23	90	57	0	5	57	90	27	58	57	46	100	12	83	41	57	17	102	1	2	2	2	1	1	3	2	2	2	1	1	1	2	2	2	1	1	2	2	1	1	2	1	1	4	2	1	2	1	2	1	1	2	2	1	2	1	1	2	1	1	2	1	1	3	5	2	1	1	3	2	1	1	5	2	1	1	2	1	1	1	3	3	1	2	1	2	1	2	2	2	2	1	2	3	6	2	3	1	1	1	3	4	2	2	4	6	1	2	2	1	4	2	7	1	3	11	4	4	1	10	4	4	8	4	6	6	2	9	5	8	11	12	8
2000	-1168.252973325309995	-1166.074383532077263	-2.178589793232767	0.000010064286514	0.000028362959775	2.818178887932672	0.415180949454755	0	2	3	4	4	5	5	7	3	5	6	7	7	8	7	9	7	9	10	12	10	8	8	10	10	9	10	11	12	11	10	11	12	12	12	11	11	11	12	15	14	14	11	10	13	12	9	14	13	12	13	16	13	14	16	15	16	15	15	14	14	15	17	19	13	15	16	16	16	16	17	16	17	16	17	18	17	19	18	19	18	14	19	20	19	19	18	19	20	17	20	21	21	18	19	20	18	22	22	18	20	23	22	23	25	23	25	24	24	25	25	26	30	31	33	0	1	1	1	9	1	2	5	1	9	0	6	10	11	6	11	10	14	7	12	13	13	13	17	17	10	17	18	18	18	23	25	22	23	36	17	24	23	36	46	17	28	23	23	38	6	6	22	35	36	36	65	43	43	34	46	41	43	35	51	65	53	41	48	32	34	60	60	61	43	50	43	35	61	82	48	66	67	68	90	82	39	41	65	71	72	58	72	74	69	77	79	57	52	43	0	40	43	90	41	0	6	100	90	100	87	57	101	103	2	100	24	100	100	102	1	1	1	2	1	3	2	2	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	1	1	1	2	2	1	2	1	2	1	2	5	2	2	2	2	2	2	3	1	1	1	2	1	2	2	2	1	2	1	1	1	1	1	2	1	2	1	1	1	3	2	2	2	1	2	2	1	2	2	2	2	1	3	4	1	1	2	1	2	1	3	2	2	1	6	1	1	10	2	2	1	9	3	2	5	3	4	3	1	14	3	8	9	10	7
2500	-1083.461798517522539	-1081.145466780239076	-2.316331737283383	0.000010096541011	0.000032384474380	3.207482081664095	0.505130779718192	-1	1	2	4	3	4	6	6	5	6	5	6	7	8	8	9	8	8	9	11	10	9	9	10	9	11	10	10	13	11	10	10	12	11	12	12	12	11	12	15	13	14	13	12	13	11	12	14	14	14	13	16	14	15	16	15	15	17	15	13	14	15	17	18	13	15	16	17	17	16	16	15	17	17	18	19	17	19	18	19	19	16	18	19	17	20	18	17	18	18	19	21	21	18	21	20	18	21	23	18	22	23	22	23	25	24	22	25	24	24	25	26	29	31	32	0	1	1	3	3	3	2	5	5	9	0	5	10	11	8	11	13	11	7	12	13	17	13	17	17	10	17	18	18	18	23	25	22	23	27	27	24	31	32	46	36	28	23	23	38	6	6	22	35	27	27	65	43	43	23	46	41	72	49	36	65	53	39	48	39	34	60	60	61	62	50	43	35	61	82	64	66	67	68	90	82	65	41	65	71	72	72	55	74	69	66	79	57	52	53	0	46	34	90	57	0	46	100	90	100	98	100	101	103	46	103	107	100	107	110	1	1	2	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	3	1	2	3	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	2	4	3	3	1	2	2	2	1	1	3	2	1	1	1	1	1	1	3	2	1	2	2	3	1	1	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	3	2	1	1	1	2	2	3	1	4	1	3	8	2	2	1	4	2	3	5	2	2	2	1	13	2	4	8	8	4
3000	-971.532394439993709	-969.514408587542789	-2.017985852450959	0.000010107616536	0.000024139027022	2.388201702651380	0.545979777263856	-2	2	3	5	3	1	6	6	5	5	7	8	7	8	8	9	8	9	10	11	10	9	9	12	9	10	9	13	12	11	10	10	13	12	11	12	12	11	13	15	13	14	11	13	12	14	11	14	13	14	13	16	12	14	16	16	14	16	14	14	15	14	18	16	14	15	16	18	17	15	18	14	17	16	18	19	17	19	19	19	18	17	17	19	18	18	16	18	19	18	21	21	21	19	20	20	21	22	22	18	21	23	21	22	24	24	22	23	23	25	24	26	30	30	32	0	6	1	3	6	1	2	5	5	5	0	8	10	11	8	11	13	14	7	12	13	13	13	17	17	10	13	18	18	18	23	25	22	23	17	17	17	31	32	46	24	28	23	34	38	3	8	22	35	27	24	65	43	43	34	46	36	72	49	24	65	53	39	48	39	34	60	60	61	62	50	43	59	61	82	64	66	67	68	90	82	52	57	65	50	72	72	72	74	69	77	68	57	52	88	0	46	58	90	57	0	97	100	80	100	98	100	101	103	7	100	107	103	112	46	1	1	3	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	2	2	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	8	2	2	1	2	1	2	1	2	3	2	1	1	1	1	1	2	3	2	1	2	1	3	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	3	2	2	1	2	2	1	2	2	3	1	1	1	4	5	2	2	1	1	2	2	4	2	2	1	1	11	4	3	6	4	5
3500	-990.473387203404400	-988.098091382293433	-2.375295821110990	0.000010432549787	0.000035266588730	3.380438095097949	0.543251037191748	-2	2	3	3	3	2	5	6	5	6	5	6	7	9	8	9	10	9	11	11	10	10	9	12	8	11	11	12	13	12	11	10	12	11	12	12	12	11	12	14	14	13	11	12	13	11	13	15	14	15	13	16	13	14	17	14	17	16	15	14	14	14	18	16	14	16	16	17	16	15	17	14	17	16	19	20	17	19	19	19	18	16	18	20	18	18	17	18	19	18	21	20	21	19	20	20	21	21	22	20	21	23	22	22	26	24	24	25	24	24	25	26	29	30	29	0	1	1	1	6	1	2	5	5	5	0	5	10	11	8	11	25	11	7	12	13	13	13	17	13	8	17	18	18	18	23	25	21	23	17	17	17	23	32	46	27	28	23	23	38	6	4	22	35	36	24	65	43	43	34	46	24	72	35	27	39	53	39	33	39	34	60	60	61	62	50	43	59	61	82	64	66	67	68	90	82	65	57	65	50	72	72	58	74	69	66	68	83	52	87	0	46	86	90	83	0	97	100	90	100	98	100	101	103	46	100	107	107	107	46	1	2	2	2	1	3	2	1	2	1	1	2	1	2	1	2	1	2	3	2	1	2	2	1	1	3	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	4	6	2	1	1	1	2	1	1	3	1	3	2	2	2	1	1	2	2	1	2	1	3	1	1	2	1	1	1	2	2	1	2	2	1	1	2	1	3	2	2	2	1	2	1	3	1	2	1	2	1	5	2	2	1	1	2	2	2	4	2	3	2	1	9	3	2	3	2	6
4000	-933.116343748276904	-931.123323228293884	-1.993020519983051	0.000011460562779	0.000026628131765	2.323457606684220	0.539197449955747	-1	1	2	4	4	5	6	6	5	6	7	7	6	9	8	9	7	10	11	10	9	8	9	11	9	11	11	12	13	11	10	10	12	13	13	12	12	12	12	15	13	14	13	12	13	13	13	12	14	15	13	15	14	14	16	14	16	17	14	15	14	14	16	18	13	16	16	18	16	16	17	14	17	16	19	20	18	18	17	19	19	17	19	19	18	19	17	19	19	18	20	20	21	17	20	20	20	21	23	20	21	23	23	24	25	24	24	25	24	25	25	26	29	31	32	0	1	1	1	3	3	2	6	1	9	0	8	5	11	8	11	13	14	7	12	13	13	13	17	17	10	17	18	18	18	23	25	22	23	27	17	27	31	27	46	27	28	23	23	38	7	4	22	35	36	27	65	34	34	34	46	24	72	35	51	65	43	39	48	39	43	60	60	61	62	50	43	59	61	82	64	34	67	60	90	82	52	57	65	50	72	72	72	74	69	55	68	57	52	88	0	46	88	80	57	0	97	100	90	100	98	100	101	103	46	100	107	107	113	46	1	1	1	3	1	3	2	1	3	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	2	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	2	2	1	5	5	2	1	2	1	1	1	1	2	1	3	2	1	1	1	1	2	3	1	2	1	2	2	1	2	1	2	1	1	1	2	1	2	1	1	1	1	3	2	2	2	2	1	1	2	1	3	1	1	1	3	1	2	2	1	1	2	2	4	1	2	2	1	9	3	1	2	1	6
4500	-959.041582485060758	-957.209274523700060	-1.832307961360740	0.000013565293884	0.000026019230443	1.918073479722318	0.617547355072454	0	2	2	4	2	3	7	7	5	6	7	6	9	8	8	9	7	9	11	11	11	9	9	11	10	11	10	12	13	11	11	11	13	11	12	12	12	12	12	14	14	13	13	13	13	13	13	14	14	13	14	15	15	15	15	15	16	17	15	15	14	15	17	18	13	16	16	17	16	16	17	15	17	16	18	20	18	19	19	18	18	16	18	19	18	19	18	19	19	20	20	21	22	19	20	21	21	20	21	20	20	24	21	23	25	23	24	24	23	25	25	27	30	30	31	0	1	1	3	1	3	2	5	5	9	0	5	17	11	8	11	10	11	7	12	13	17	17	17	17	8	17	18	18	18	23	25	22	23	27	27	24	31	25	46	24	28	34	34	38	8	3	22	35	24	36	65	43	43	34	46	41	72	35	27	65	43	39	33	39	55	60	60	61	62	50	43	59	61	82	64	34	67	68	69	82	65	57	52	71	72	72	72	74	80	66	79	83	39	58	0	46	87	80	83	0	97	100	90	107	98	103	101	103	46	100	107	107	107	46	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	2	5	3	1	1	1	2	1	1	2	1	2	2	2	1	1	1	3	3	1	1	1	1	1	1	2	1	2	1	1	1	4	2	1	1	1	2	1	2	1	2	2	2	2	1	2	2	2	3	1	1	4	1	2	1	1	2	1	2	1	1	2	2	2	8	3	1	4	2	6
