step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94
1	-10361.417207065218463	-10359.955124980699111	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.873785381575342	-1	1	1	2	3	3	5	5	5	7	6	5	5	6	7	8	11	10	9	9	9	9	8	10	10	11	11	11	12	10	14	11	12	14	14	14	13	14	13	15	14	14	13	14	17	16	18	16	15	15	17	15	15	16	16	17	18	16	17	19	18	17	18	19	17	19	19	19	18	19	20	23	22	21	19	21	21	20	21	21	21	23	21	25	23	24	24	25	27	32	36	35	37	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	4	3	3	4	4	5	6	6	5	5	5	5	5	6	6	6	6	6	7	6	8	6	7	8	8	8	7	8	7	8	8	8	7	8	9	9	10	9	8	8	9	8	8	9	9	9	10	9	9	10	10	9	10	10	9	10	10	10	10	10	11	12	12	11	10	11	11	11	11	11	11	12	11	13	12	13	13	13	14	17	19	18	19	20
500	-1603.127038623815224	-1600.215459100667886	-2.911579523147405	0.000009997970681	0.000051483678237	5.149412803921742	0.335961313811690	0	2	1	1	4	2	5	5	3	8	7	6	5	5	8	6	12	10	9	9	9	9	9	10	9	11	11	10	12	10	14	11	12	15	12	14	14	14	14	12	15	14	13	13	17	16	18	15	16	15	15	15	16	16	16	18	17	14	16	19	18	17	19	19	16	20	20	19	18	20	19	23	23	21	19	22	20	20	18	21	21	24	21	24	23	25	25	24	28	32	37	36	38	39	0	1	0	0	2	4	3	4	0	7	7	8	0	9	9	9	12	10	10	12	14	14	14	15	14	10	22	21	24	14	23	24	24	35	30	40	29	25	29	9	30	43	32	22	39	27	31	25	36	38	42	42	40	50	38	39	35	28	23	37	48	34	51	38	31	38	23	58	40	31	40	51	79	79	57	58	58	40	42	48	15	75	58	5	31	79	71	40	40	81	88	40	40	40	1	1	1	1	2	1	2	2	1	2	1	1	1	1	2	2	4	2	1	2	2	1	2	1	2	2	1	1	1	2	3	1	1	2	1	1	1	3	1	4	3	1	1	2	1	2	3	3	2	1	1	1	2	1	1	2	2	2	5	3	1	1	3	2	1	3	7	3	4	3	3	6	3	2	1	7	5	7	4	3	5	3	5	12	3	5	4	8	8	6	11	16	18	18
1000	-1261.262861902562463	-1258.587905271051341	-2.674956631511172	0.000010090935616	0.000043624634530	4.323150616739079	0.321097918139396	-2	1	0	1	3	4	4	3	4	7	6	5	5	5	6	9	9	10	9	9	8	9	9	10	10	11	11	12	12	9	14	12	12	14	15	14	14	14	14	13	13	14	13	14	17	16	16	17	16	15	16	15	14	17	16	18	18	14	17	20	17	18	17	18	14	18	20	18	19	20	21	24	23	21	19	22	21	21	19	22	21	24	22	26	24	25	25	23	25	32	37	35	38	39	0	1	0	0	2	4	3	4	0	7	7	8	0	9	9	9	12	10	10	12	14	15	14	22	14	10	22	25	22	9	25	24	24	30	23	21	29	30	29	9	30	32	32	33	39	27	25	28	36	38	42	42	40	50	38	39	35	40	40	37	34	48	51	38	21	54	57	58	65	40	47	63	79	63	48	58	58	65	51	75	47	80	68	65	81	79	81	28	40	89	89	40	88	40	1	2	1	1	1	2	2	2	1	2	1	2	1	1	1	2	3	2	2	2	2	2	2	1	2	2	1	2	1	4	1	1	1	3	3	4	1	4	1	7	3	1	1	2	2	4	3	3	1	1	1	1	1	1	2	3	2	1	1	3	1	1	1	2	3	1	1	2	2	4	3	5	3	2	1	6	3	6	2	2	3	1	4	7	2	4	3	5	9	4	10	12	13	17
1500	-1204.479500978752867	-1201.936756315903494	-2.542744662849434	0.000010093375621	0.000039299876035	3.893630585937756	0.414953426474947	-2	1	1	1	3	3	5	5	4	7	7	6	5	7	7	8	11	11	10	8	10	10	8	9	10	11	10	10	11	10	14	11	12	14	13	11	14	15	13	15	14	13	13	13	16	15	16	15	15	16	16	15	14	16	17	18	18	17	17	19	19	18	17	20	15	18	19	19	18	20	19	24	23	20	19	21	21	21	21	21	21	22	22	24	24	24	23	22	25	29	37	36	38	39	0	1	0	0	2	4	3	6	0	7	7	8	0	9	9	9	12	10	7	12	23	15	9	15	9	10	15	9	15	23	21	24	24	28	28	28	33	30	29	9	25	32	32	22	39	27	9	34	36	38	42	42	23	23	38	39	48	48	40	37	48	48	51	38	25	30	57	58	65	47	16	63	79	63	48	68	58	65	63	67	71	80	58	69	81	79	81	25	47	88	90	89	88	88	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	3	2	2	2	1	1	1	2	2	3	2	2	2	2	2	1	1	2	2	2	1	1	3	1	4	1	1	1	1	2	2	6	1	2	1	2	1	3	2	2	4	2	1	1	3	3	1	1	3	2	3	1	1	2	3	5	4	1	2	2	2	2	6	2	1	1	1	3	6	2	3	1	8	6	4	4	9	12	14
2000	-1171.588678152641933	-1168.759226013842408	-2.829452138799453	0.000010116654208	0.000049105953756	4.853971752560739	0.522717628459960	-1	1	-1	2	3	3	4	4	5	7	6	6	5	6	6	8	11	10	9	9	9	9	8	8	9	11	12	10	11	11	14	11	12	14	14	13	14	14	13	16	14	15	14	14	17	15	19	15	15	15	16	16	15	16	16	17	18	17	18	18	19	18	17	20	17	19	18	19	18	19	20	24	23	20	17	20	21	20	21	21	21	23	22	24	23	25	22	24	24	30	37	34	38	39	0	1	0	0	2	4	3	4	0	7	7	8	0	9	9	9	12	10	10	12	9	15	14	15	14	18	22	23	24	23	14	24	24	28	28	28	29	30	29	35	25	33	32	32	39	27	31	28	28	38	42	42	30	38	38	39	48	48	35	37	48	48	51	54	41	38	48	58	65	31	47	63	79	63	28	68	68	69	63	75	47	80	77	69	81	79	81	41	41	89	90	89	89	89	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	2	3	2	1	2	3	2	1	1	2	1	2	2	2	2	3	2	2	2	2	2	2	2	1	1	5	1	2	2	2	2	2	3	2	1	1	1	2	1	1	3	2	1	2	2	3	1	1	2	2	2	1	1	1	2	1	3	1	1	4	1	2	2	2	2	1	1	1	3	1	2	1	3	7	2	4	6	11	13
2500	-1177.504828079754816	-1175.162060140930635	-2.342767938824176	0.000010145048824	0.000033321851217	3.284543208740619	0.486493473252384	0	1	1	2	4	3	5	4	5	7	6	6	5	6	7	7	11	10	10	9	10	9	8	10	9	12	11	10	12	11	13	12	13	14	14	15	13	14	14	13	13	14	13	13	17	17	19	15	16	16	17	16	15	17	17	16	19	17	17	20	18	17	18	20	17	18	19	19	18	18	20	23	22	20	19	21	21	20	21	21	21	23	20	25	23	24	24	22	28	29	37	36	38	38	0	1	0	0	2	4	3	4	0	7	3	8	0	9	9	9	12	10	10	12	14	15	14	15	9	18	15	23	24	23	23	24	22	21	28	31	29	14	29	23	25	32	32	24	39	27	31	34	36	38	42	42	25	38	38	39	48	48	7	37	48	34	51	38	53	54	34	58	65	44	47	63	79	51	48	68	68	69	63	67	71	75	68	78	47	73	85	53	64	88	90	90	88	88	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	2	2	2	1	2	1	1	1	3	1	2	2	2	1	1	3	1	3	2	1	1	2	2	3	3	1	1	1	1	1	3	2	1	1	3	1	4	3	2	2	1	4	1	1	2	1	1	2	1	2	1	1	2	2	2	2	2	1	1	2	1	2	3	1	1	4	4	4	4	5	13	12
3000	-1062.574294568682944	-1060.179117599813026	-2.395176968869972	0.000010219981356	0.000035153082872	3.439642563689649	0.555309937503956	-1	1	0	1	3	3	5	5	5	6	6	6	4	6	7	8	11	10	8	8	9	9	9	8	11	11	12	11	11	10	15	11	12	15	15	14	13	14	14	14	14	13	13	14	17	16	18	14	16	15	17	14	15	17	16	18	18	17	17	19	18	17	19	20	16	18	17	19	18	20	20	22	22	22	19	21	21	20	21	21	22	23	22	26	20	24	24	23	27	30	36	35	38	39	0	1	0	0	2	4	3	6	0	7	7	8	0	9	9	14	12	10	10	12	9	15	14	15	14	10	22	23	24	16	9	24	24	28	28	28	29	25	29	30	25	32	32	24	39	27	23	28	36	38	43	42	26	38	38	39	35	48	21	37	48	35	51	66	7	38	48	58	65	65	47	63	79	63	48	68	68	69	63	67	71	75	77	78	47	73	81	41	88	88	90	90	89	90	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	3	2	1	1	2	2	2	1	2	3	2	1	2	2	3	2	2	2	2	1	1	1	1	2	2	1	1	2	1	2	4	2	1	1	3	1	2	2	1	2	2	1	2	3	2	2	1	1	6	2	1	1	1	4	1	1	1	2	3	1	1	1	1	2	1	1	1	3	1	1	1	4	2	3	3	5	9	6
3500	-994.685005905020716	-992.531708395858118	-2.153297509162617	0.000010541386165	0.000028976481225	2.748830255518480	0.529003204810216	-1	1	1	2	3	4	4	5	4	6	7	6	5	7	7	8	11	11	9	9	9	10	9	9	11	10	11	11	12	9	12	11	13	14	13	14	14	13	14	14	15	14	13	13	17	15	18	15	16	15	17	15	16	17	17	18	18	17	17	19	18	17	19	19	16	19	20	19	18	20	20	21	22	22	20	22	21	20	20	21	22	23	22	25	22	24	23	25	27	32	36	36	38	39	0	1	0	0	2	4	3	6	0	7	7	8	0	9	9	9	12	10	10	12	9	15	9	15	30	10	16	16	24	14	14	24	24	28	28	16	29	25	29	15	31	43	32	24	39	27	31	23	36	38	42	24	26	38	38	39	48	28	26	37	34	48	51	38	21	54	57	58	65	47	47	63	79	63	48	68	58	69	63	75	71	75	77	78	71	79	81	40	88	88	90	90	88	90	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	1	1	4	1	1	2	1	2	1	2	2	1	3	1	1	1	4	2	1	1	2	1	2	3	2	2	1	2	3	3	2	1	1	2	3	4	2	2	1	2	2	3	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	1	2	1	2	1	5	1	3	2	3	9	4
4000	-924.253859469492909	-922.049720998719408	-2.204138470773542	0.000012574742546	0.000036326988532	2.888885271315817	0.614776964399794	-2	2	-1	2	2	3	5	5	5	7	6	6	6	7	7	9	12	10	8	9	9	9	9	9	11	12	11	10	11	10	14	11	12	13	14	13	14	13	13	15	15	15	14	14	16	16	17	16	16	15	17	16	15	15	17	17	18	16	17	19	19	17	19	19	18	20	18	19	19	18	19	23	23	21	20	20	20	21	21	22	21	24	21	25	23	24	25	25	27	31	35	34	38	39	0	1	0	0	1	4	3	6	0	7	7	8	0	9	9	9	12	10	10	12	14	15	14	15	14	18	22	21	24	9	30	24	24	28	34	28	29	23	29	30	16	32	32	33	39	27	25	23	36	38	42	42	7	25	54	39	48	34	53	37	35	40	51	54	53	54	48	58	65	53	40	63	79	63	67	68	58	69	63	75	71	75	77	78	71	79	81	53	88	88	90	90	88	92	1	2	1	1	2	1	3	1	1	2	1	1	1	1	1	2	2	2	1	2	1	2	1	1	2	1	1	1	1	2	2	1	1	2	1	2	2	2	1	3	2	1	2	1	2	2	2	5	1	1	1	1	5	1	1	2	1	1	2	2	2	1	1	2	1	2	2	2	1	1	3	2	1	1	1	1	2	1	1	1	1	2	1	2	2	2	2	3	1	2	2	2	10	2
4500	-961.246194918139281	-959.196553386524783	-2.049641531614470	0.000016050153616	0.000039661008715	2.471067234850460	0.528725141995231	-1	1	1	2	3	4	4	5	5	7	6	6	6	6	8	9	12	10	9	9	10	9	8	10	10	12	12	11	12	10	15	11	13	13	14	14	14	13	13	15	14	15	13	13	17	16	19	15	15	15	17	16	16	16	16	18	18	16	18	18	19	17	19	19	17	20	20	19	19	20	19	24	23	22	19	21	21	20	21	21	22	23	21	24	23	23	24	23	26	32	37	35	38	38	0	1	0	0	2	4	3	4	0	7	7	8	0	9	9	23	12	10	10	12	14	15	14	15	23	10	21	25	24	23	34	24	24	28	28	28	29	16	29	22	21	32	32	24	39	27	54	28	36	38	42	42	25	38	38	39	48	34	40	37	48	48	51	54	25	38	57	58	65	53	21	63	79	63	35	68	58	69	63	75	71	80	68	78	71	79	81	71	88	53	92	90	88	90	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	3	2	1	1	2	1	1	1	2	2	1	1	2	1	1	1	2	1	2	2	1	2	1	3	2	2	2	1	2	3	1	2	1	1	1	1	4	2	1	3	2	1	3	2	2	2	1	2	4	2	2	2	1	2	3	3	1	2	3	2	3	1	2	1	1	1	1	2	3	1	1	2	2	5	2	1	10	3
5000	-855.155056914344982	-853.546139018571466	-1.608917895773570	0.000025675234961	0.000035287191172	1.374366825689878	0.480057499815070	-1	2	0	2	3	3	5	5	5	7	6	6	6	7	8	8	11	11	9	10	10	9	7	10	10	11	10	12	12	10	12	12	12	13	15	14	14	13	13	15	13	14	14	13	17	16	19	15	16	16	17	15	16	17	15	17	18	16	16	19	17	17	19	19	16	19	20	18	18	20	19	24	23	21	20	21	20	19	22	21	21	23	22	24	23	24	24	24	27	32	37	34	37	37	0	1	0	0	2	4	3	4	0	7	7	8	0	9	9	9	12	10	7	12	9	16	9	15	9	19	15	25	24	9	14	24	24	28	28	21	29	21	33	30	21	32	32	15	39	27	40	28	31	38	42	42	31	55	38	39	28	48	31	37	48	48	51	38	21	54	48	58	65	31	21	63	79	63	48	68	68	69	63	57	47	80	77	78	71	79	81	71	88	70	92	90	71	90	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	2	4	1	2	1	1	2	2	2	1	2	1	1	2	3	2	3	3	2	2	1	2	1	3	1	1	2	3	1	1	2	1	1	1	3	2	1	2	1	1	6	6	2	1	1	3	2	1	1	1	2	1	1	1	2	2	1	2	2	2	3	2	1	14	3
5500	-797.653065570847275	-796.286151742245806	-1.366913828601512	0.000054606448281	0.000035712909442	0.654005352222334	0.542318383693992	0	1	0	0	4	4	5	5	5	8	7	6	6	6	7	9	11	10	8	9	8	9	8	11	10	12	10	12	11	10	14	12	12	13	15	13	14	13	14	16	14	14	13	14	17	16	18	15	16	15	16	15	15	17	16	16	17	16	16	19	19	16	19	18	17	18	19	17	18	19	20	23	23	21	20	20	20	21	21	21	22	24	22	25	23	25	24	24	28	32	37	33	38	37	0	1	0	0	2	4	3	6	0	7	7	8	0	9	14	9	12	10	7	12	14	15	9	22	9	10	15	23	22	14	21	24	24	21	27	22	25	30	29	31	16	32	32	24	39	27	31	28	36	38	43	32	7	25	38	39	25	34	7	29	48	48	51	38	28	38	48	48	65	7	47	63	79	63	34	68	68	69	63	61	71	80	76	69	81	79	64	28	88	88	92	90	88	92	1	1	1	1	2	2	3	1	1	2	1	1	1	1	1	2	4	2	2	1	1	1	2	1	3	2	2	2	1	2	2	1	1	3	2	3	3	1	1	1	3	1	1	1	2	2	2	2	1	1	2	1	4	4	2	1	3	1	3	4	2	1	1	3	3	2	2	2	1	6	1	3	1	1	4	2	1	2	1	1	1	1	1	4	1	2	3	5	2	3	2	1	11	3
6000	-743.985746663971668	-742.527220713018437	-1.458525950953240	0.000155391277926	0.000050953464320	0.327904274935572	0.528729909854623	-2	1	2	2	3	4	5	5	4	8	6	6	5	6	7	9	11	10	9	8	9	9	9	10	10	11	11	11	11	10	13	10	13	14	13	14	14	14	14	16	14	14	13	15	18	16	18	16	15	16	18	15	15	17	17	18	18	16	18	18	17	17	19	20	17	19	18	20	18	19	21	21	22	19	18	21	21	20	21	20	22	22	22	24	23	24	25	26	27	31	37	34	38	39	0	1	0	0	1	4	3	6	0	3	7	4	0	9	14	9	8	7	7	8	9	9	15	21	14	19	15	22	32	9	28	22	14	35	28	35	23	22	29	24	31	31	32	30	61	41	31	35	36	31	42	27	16	31	40	22	48	21	36	37	21	48	42	61	53	58	58	57	65	53	56	63	51	42	44	68	58	69	63	75	47	48	77	69	74	74	85	18	88	88	92	90	88	90	1	1	1	1	2	2	2	1	1	4	1	2	1	1	1	3	3	2	2	1	3	2	1	1	3	1	2	1	1	3	1	1	3	1	1	1	2	3	1	3	1	1	1	2	1	1	2	1	1	1	3	2	4	3	1	4	2	3	3	2	4	1	2	1	1	2	1	1	1	3	1	1	1	2	2	1	2	2	1	1	2	3	1	3	1	4	2	7	1	3	2	2	6	4
6500	-771.516977291551370	-769.920571404849966	-1.596405886701415	0.000275028346964	0.000066444815723	0.241592608386224	0.436602362345081	0	2	1	2	4	3	5	5	5	7	7	4	4	7	7	9	11	9	8	9	10	9	9	11	10	12	11	10	12	11	15	11	11	14	14	14	13	13	14	16	14	13	12	13	16	17	18	15	16	13	16	15	15	15	17	17	17	17	17	19	18	17	18	18	17	18	18	18	18	19	19	22	22	20	19	21	20	19	21	20	20	22	21	26	23	23	24	25	27	32	37	34	36	39	0	1	0	0	2	4	3	4	0	3	3	6	0	9	9	14	6	3	11	12	9	15	9	23	14	19	21	16	15	9	44	15	22	28	23	29	32	30	15	22	14	27	17	33	35	48	45	24	36	32	35	42	17	14	48	30	14	54	11	32	24	45	48	56	17	55	44	40	17	59	31	57	35	33	30	22	34	17	39	58	66	58	63	60	40	76	31	76	60	84	92	89	41	91	1	1	1	1	1	1	2	1	1	3	3	1	1	1	1	1	4	3	1	2	2	1	2	2	2	3	1	1	3	2	1	2	1	2	2	1	1	1	3	3	4	1	1	1	2	1	2	3	1	1	1	1	3	4	1	3	4	1	5	5	2	1	2	1	3	1	3	1	3	1	3	3	3	4	4	5	3	3	3	2	1	3	2	5	3	2	3	1	5	3	1	2	11	1
