step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98998	0.14228	1.00000	0.35613	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.26600	0.95200	0.34263	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.29300	0.88200	0.32875	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98400	0.30467	0.83200	0.32210	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98600	0.31150	0.73800	0.31713	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97800	0.32000	0.62000	0.31475	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96600	0.32333	0.43400	0.31196	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.96200	0.32857	0.49000	0.30979	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.92000	0.33375	0.48267	0.30824	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.89000	0.33578	0.49000	0.30624	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.87400	0.33460	0.48840	0.30622	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.89600	0.33636	0.47967	0.30573	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.90000	0.33617	0.48486	0.30569	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.94200	0.33462	0.48900	0.30610	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.87000	0.33286	0.49467	0.30691	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.83600	0.33253	0.49700	0.30725	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.71600	0.33137	0.50000	0.30752	0.065684083557129	0.666666666666667	0.113906250000000	0
9000		0.60400	0.32800	0.50067	0.30762	0.098526125335693	0.666666666666667	0.113906250000000	0
9500		0.47800	0.32500	0.37800	0.30853	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.50300	0.32463	0.39500	0.30919	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.50133	0.32310	0.39067	0.30936	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.49750	0.32343	0.38200	0.30958	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.49840	0.32091	0.38040	0.30930	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.49933	0.31974	0.38767	0.30927	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.49886	0.31742	0.39143	0.30952	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.49475	0.31584	0.39575	0.30940	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.49711	0.31485	0.39956	0.30970	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.49820	0.31422	0.39560	0.30959	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.50091	0.31393	0.39418	0.30979	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.50017	0.31366	0.39283	0.30979	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.50200	0.31340	0.39262	0.30969	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.50186	0.31310	0.39200	0.30974	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.50200	0.31250	0.39413	0.30981	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.50175	0.31200	0.39150	0.30985	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.50376	0.31341	0.39212	0.30992	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.50267	0.31240	0.39300	0.30997	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.50116	0.31122	0.39263	0.31013	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.50010	0.31022	0.39190	0.31016	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.49829	0.30984	0.39257	0.31030	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.49664	0.30985	0.39282	0.31035	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.49522	0.30860	0.39165	0.31026	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.49408	0.30702	0.39292	0.31046	0.147789188003540	0.666666666666667	0.170859375000000	0
