step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.12826	1.00000	0.35576	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98800	0.23000	0.95600	0.34109	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98400	0.32800	0.93600	0.33515	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98800	0.34200	0.88000	0.32959	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.97600	0.36133	0.83000	0.32480	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.98000	0.38850	0.74000	0.32268	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.98000	0.39640	0.57000	0.32023	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.96400	0.41633	0.46600	0.31960	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.95800	0.43143	0.42300	0.31720	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.91200	0.44225	0.41733	0.31535	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.91400	0.45311	0.40700	0.31330	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.89800	0.46060	0.41160	0.31263	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.93200	0.46000	0.41333	0.31230	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.91200	0.46100	0.41057	0.31201	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.90800	0.45831	0.41275	0.31191	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.85000	0.45786	0.41644	0.31218	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.78600	0.45907	0.41560	0.31252	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.70000	0.46200	0.41800	0.31191	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.56200	0.46200	0.41867	0.31147	0.147789188003540	0.444444444444444	0.170859375000000	0
10000		0.43200	0.46144	0.41585	0.31154	0.221683782005310	0.444444444444444	0.170859375000000	0
10500		0.44200	0.46200	0.42000	0.31178	0.221683782005310	0.444444444444444	0.170859375000000	0
11000		0.44267	0.46030	0.42027	0.31197	0.221683782005310	0.444444444444444	0.170859375000000	0
11500		0.44150	0.45981	0.42212	0.31214	0.221683782005310	0.444444444444444	0.170859375000000	0
12000		0.44680	0.46064	0.42094	0.31191	0.221683782005310	0.444444444444444	0.170859375000000	0
12500		0.44167	0.46287	0.42311	0.31168	0.221683782005310	0.444444444444444	0.170859375000000	0
13000		0.44200	0.46367	0.42316	0.31180	0.221683782005310	0.444444444444444	0.170859375000000	0
13500		0.43825	0.46464	0.42330	0.31160	0.221683782005310	0.444444444444444	0.170859375000000	0
14000		0.43711	0.46400	0.42267	0.31155	0.221683782005310	0.444444444444444	0.170859375000000	0
14500		0.43620	0.46526	0.42291	0.31147	0.221683782005310	0.444444444444444	0.170859375000000	0
15000		0.43709	0.46521	0.42261	0.31151	0.221683782005310	0.444444444444444	0.170859375000000	0
15500		0.43483	0.46434	0.42250	0.31169	0.221683782005310	0.444444444444444	0.170859375000000	0
16000		0.43554	0.46593	0.42144	0.31179	0.221683782005310	0.444444444444444	0.170859375000000	0
16500		0.43500	0.46658	0.42292	0.31165	0.221683782005310	0.444444444444444	0.170859375000000	0
17000		0.43920	0.46675	0.42104	0.31160	0.221683782005310	0.444444444444444	0.170859375000000	0
17500		0.43988	0.46558	0.42129	0.31163	0.221683782005310	0.444444444444444	0.170859375000000	0
18000		0.44376	0.46712	0.42166	0.31146	0.221683782005310	0.444444444444444	0.170859375000000	0
18500		0.44633	0.46846	0.42100	0.31148	0.221683782005310	0.444444444444444	0.170859375000000	0
19000		0.45074	0.46883	0.42058	0.31132	0.221683782005310	0.444444444444444	0.170859375000000	0
19500		0.44920	0.46886	0.42044	0.31125	0.221683782005310	0.444444444444444	0.170859375000000	0
20000		0.44867	0.47016	0.41976	0.31126	0.221683782005310	0.444444444444444	0.170859375000000	0
20500		0.44736	0.47031	0.41971	0.31154	0.221683782005310	0.444444444444444	0.170859375000000	0
21000		0.44713	0.47085	0.41983	0.31153	0.221683782005310	0.444444444444444	0.170859375000000	0
21500		0.44592	0.47127	0.41983	0.31170	0.221683782005310	0.444444444444444	0.170859375000000	0
22000		0.44664	0.47181	0.41962	0.31157	0.221683782005310	0.444444444444444	0.170859375000000	0
22500		0.44408	0.47098	0.42042	0.31188	0.221683782005310	0.444444444444444	0.170859375000000	0
23000		0.44281	0.47100	0.42051	0.31190	0.221683782005310	0.444444444444444	0.170859375000000	0
23500		0.44421	0.47129	0.42075	0.31189	0.221683782005310	0.444444444444444	0.170859375000000	0
24000		0.44269	0.47230	0.42020	0.31169	0.221683782005310	0.444444444444444	0.170859375000000	0
24500		0.44253	0.47247	0.42005	0.31177	0.221683782005310	0.444444444444444	0.170859375000000	0
25000		0.44277	0.47242	0.41940	0.31177	0.221683782005310	0.444444444444444	0.170859375000000	0
25500		0.44281	0.47306	0.41914	0.31182	0.221683782005310	0.444444444444444	0.170859375000000	0
26000		0.44352	0.47396	0.41773	0.31159	0.221683782005310	0.444444444444444	0.170859375000000	0
26500		0.44376	0.47392	0.41822	0.31161	0.221683782005310	0.444444444444444	0.170859375000000	0
27000		0.44389	0.47354	0.41762	0.31168	0.221683782005310	0.444444444444444	0.170859375000000	0
27500		0.44378	0.47340	0.41733	0.31167	0.221683782005310	0.444444444444444	0.170859375000000	0
28000		0.44341	0.47389	0.41661	0.31166	0.221683782005310	0.444444444444444	0.170859375000000	0
28500		0.44195	0.47469	0.41676	0.31196	0.221683782005310	0.444444444444444	0.170859375000000	0
29000		0.44256	0.47493	0.41698	0.31195	0.221683782005310	0.444444444444444	0.170859375000000	0
29500		0.44300	0.47509	0.41615	0.31191	0.221683782005310	0.444444444444444	0.170859375000000	0
30000		0.44298	0.47559	0.41551	0.31178	0.221683782005310	0.444444444444444	0.170859375000000	0
30500		0.44252	0.47620	0.41526	0.31173	0.221683782005310	0.444444444444444	0.170859375000000	0
31000		0.44233	0.47630	0.41596	0.31165	0.221683782005310	0.444444444444444	0.170859375000000	0
31500		0.44250	0.47639	0.41557	0.31176	0.221683782005310	0.444444444444444	0.170859375000000	0
32000		0.44280	0.47623	0.41530	0.31179	0.221683782005310	0.444444444444444	0.170859375000000	0
32500		0.44352	0.47702	0.41583	0.31159	0.221683782005310	0.444444444444444	0.170859375000000	0
33000		0.44353	0.47728	0.41569	0.31153	0.221683782005310	0.444444444444444	0.170859375000000	0
33500		0.44321	0.47809	0.41563	0.31145	0.221683782005310	0.444444444444444	0.170859375000000	0
34000		0.44269	0.47788	0.41620	0.31164	0.221683782005310	0.444444444444444	0.170859375000000	0
34500		0.44252	0.47800	0.41626	0.31164	0.221683782005310	0.444444444444444	0.170859375000000	0
35000		0.44231	0.47871	0.41629	0.31160	0.221683782005310	0.444444444444444	0.170859375000000	0
35500		0.44235	0.47846	0.41581	0.31166	0.221683782005310	0.444444444444444	0.170859375000000	0
36000		0.44230	0.47811	0.41618	0.31160	0.221683782005310	0.444444444444444	0.170859375000000	0
36500		0.44322	0.47811	0.41594	0.31159	0.221683782005310	0.444444444444444	0.170859375000000	0
37000		0.44269	0.47850	0.41594	0.31167	0.221683782005310	0.444444444444444	0.170859375000000	0
37500		0.44304	0.47874	0.41518	0.31155	0.221683782005310	0.444444444444444	0.170859375000000	0
38000		0.44358	0.47911	0.41510	0.31153	0.221683782005310	0.444444444444444	0.170859375000000	0
38500		0.44421	0.47880	0.41480	0.31143	0.221683782005310	0.444444444444444	0.170859375000000	0
39000		0.44386	0.47868	0.41465	0.31153	0.221683782005310	0.444444444444444	0.170859375000000	0
39500		0.44400	0.47857	0.41494	0.31134	0.221683782005310	0.444444444444444	0.170859375000000	0
40000		0.44357	0.47895	0.41556	0.31123	0.221683782005310	0.444444444444444	0.170859375000000	0
40500		0.44374	0.47949	0.41505	0.31118	0.221683782005310	0.444444444444444	0.170859375000000	0
41000		0.44422	0.47950	0.41483	0.31115	0.221683782005310	0.444444444444444	0.170859375000000	0
41500		0.44425	0.47923	0.41537	0.31118	0.221683782005310	0.444444444444444	0.170859375000000	0
42000		0.44489	0.47898	0.41558	0.31126	0.221683782005310	0.444444444444444	0.170859375000000	0
