step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.13026	0.99998	0.34253	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99000	0.21000	0.93800	0.33889	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99200	0.38400	0.91000	0.33155	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.99000	0.40300	0.80400	0.32798	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.98600	0.40267	0.72400	0.32094	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.98400	0.41250	0.61600	0.31768	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.96400	0.41120	0.48600	0.31303	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.97400	0.41567	0.48700	0.31026	0.001708593750000	0.444444444444444	0.113906250000000	0
4500		0.95200	0.41371	0.47867	0.30900	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.93200	0.41675	0.48250	0.30860	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.88600	0.41800	0.47600	0.30826	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.90200	0.41820	0.47900	0.30767	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.92800	0.41291	0.48686	0.30834	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.90400	0.40950	0.49450	0.30865	0.019461950683594	0.444444444444444	0.113906250000000	0
7500		0.86800	0.40908	0.49822	0.30845	0.029192926025391	0.444444444444444	0.113906250000000	0
8000		0.80600	0.40571	0.49880	0.30855	0.043789389038086	0.444444444444444	0.113906250000000	0
8500		0.73600	0.40440	0.50218	0.30827	0.065684083557129	0.444444444444444	0.113906250000000	0
9000		0.62600	0.40650	0.35800	0.30871	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.58400	0.40588	0.36700	0.30907	0.147789188003540	0.444444444444444	0.170859375000000	0
10000		0.41600	0.40378	0.36800	0.30882	0.221683782005310	0.444444444444444	0.170859375000000	0
10500		0.40800	0.40400	0.37350	0.30871	0.221683782005310	0.444444444444444	0.170859375000000	0
11000		0.40800	0.40210	0.36640	0.30842	0.221683782005310	0.444444444444444	0.170859375000000	0
11500		0.41850	0.39990	0.36367	0.30812	0.221683782005310	0.444444444444444	0.170859375000000	0
12000		0.41840	0.39955	0.36371	0.30833	0.221683782005310	0.444444444444444	0.170859375000000	0
12500		0.41300	0.39991	0.36875	0.30808	0.221683782005310	0.444444444444444	0.170859375000000	0
13000		0.41171	0.40100	0.37111	0.30763	0.221683782005310	0.444444444444444	0.170859375000000	0
13500		0.41000	0.39968	0.36820	0.30774	0.221683782005310	0.444444444444444	0.170859375000000	0
14000		0.40378	0.39969	0.37236	0.30778	0.221683782005310	0.444444444444444	0.170859375000000	0
14500		0.40620	0.39978	0.37217	0.30743	0.221683782005310	0.444444444444444	0.170859375000000	0
15000		0.40436	0.39857	0.37185	0.30716	0.221683782005310	0.444444444444444	0.170859375000000	0
15500		0.40450	0.39938	0.36986	0.30683	0.221683782005310	0.444444444444444	0.170859375000000	0
16000		0.40492	0.40007	0.37240	0.30682	0.221683782005310	0.444444444444444	0.170859375000000	0
16500		0.40257	0.39987	0.37288	0.30674	0.221683782005310	0.444444444444444	0.170859375000000	0
17000		0.40253	0.40006	0.37376	0.30658	0.221683782005310	0.444444444444444	0.170859375000000	0
17500		0.40050	0.40018	0.37511	0.30671	0.221683782005310	0.444444444444444	0.170859375000000	0
18000		0.40153	0.39941	0.37632	0.30664	0.221683782005310	0.444444444444444	0.170859375000000	0
18500		0.40267	0.39971	0.37880	0.30654	0.221683782005310	0.444444444444444	0.170859375000000	0
19000		0.40189	0.39961	0.37876	0.30643	0.221683782005310	0.444444444444444	0.170859375000000	0
19500		0.40180	0.39859	0.37855	0.30675	0.221683782005310	0.444444444444444	0.170859375000000	0
20000		0.40019	0.39863	0.37913	0.30681	0.221683782005310	0.444444444444444	0.170859375000000	0
20500		0.39918	0.39759	0.37858	0.30693	0.221683782005310	0.444444444444444	0.170859375000000	0
21000		0.40017	0.39730	0.37856	0.30684	0.221683782005310	0.444444444444444	0.170859375000000	0
21500		0.40000	0.39771	0.37777	0.30680	0.221683782005310	0.444444444444444	0.170859375000000	0
22000		0.39952	0.39757	0.37785	0.30676	0.221683782005310	0.444444444444444	0.170859375000000	0
22500		0.39700	0.39805	0.37914	0.30681	0.221683782005310	0.444444444444444	0.170859375000000	0
23000		0.39719	0.39677	0.38076	0.30700	0.221683782005310	0.444444444444444	0.170859375000000	0
23500		0.39736	0.39680	0.38207	0.30716	0.221683782005310	0.444444444444444	0.170859375000000	0
24000		0.39648	0.39591	0.38168	0.30720	0.221683782005310	0.444444444444444	0.170859375000000	0
24500		0.39573	0.39511	0.38138	0.30733	0.221683782005310	0.444444444444444	0.170859375000000	0
25000		0.39471	0.39508	0.38164	0.30729	0.221683782005310	0.444444444444444	0.170859375000000	0
