step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98798	0.14028	1.00000	0.36152	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.21600	0.89800	0.35788	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99200	0.36800	0.93600	0.35332	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98800	0.37600	0.84000	0.34236	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.98000	0.38333	0.75600	0.33645	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.97800	0.38900	0.65800	0.33125	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.97000	0.40160	0.54800	0.32689	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.96600	0.41467	0.37200	0.32186	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.94000	0.41543	0.37800	0.31788	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.92600	0.42050	0.38667	0.31644	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.88200	0.41956	0.38250	0.31458	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.89000	0.42120	0.37960	0.31381	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.87600	0.42145	0.37933	0.31264	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.92800	0.41500	0.38286	0.31216	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.88000	0.41508	0.38900	0.31160	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.79800	0.41271	0.38800	0.31146	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.75000	0.40920	0.38860	0.31128	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.60800	0.40863	0.38491	0.31142	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.52400	0.40718	0.38933	0.31079	0.147789188003540	0.444444444444444	0.170859375000000	0
10000		0.42200	0.40700	0.39123	0.31101	0.221683782005310	0.444444444444444	0.170859375000000	0
10500		0.40400	0.40474	0.39229	0.31164	0.221683782005310	0.444444444444444	0.170859375000000	0
11000		0.39733	0.40290	0.39293	0.31151	0.221683782005310	0.444444444444444	0.170859375000000	0
11500		0.38950	0.40124	0.39387	0.31137	0.221683782005310	0.444444444444444	0.170859375000000	0
12000		0.39520	0.39936	0.39612	0.31199	0.221683782005310	0.444444444444444	0.170859375000000	0
12500		0.40067	0.39930	0.39478	0.31190	0.221683782005310	0.444444444444444	0.170859375000000	0
13000		0.39657	0.39933	0.39484	0.31201	0.221683782005310	0.444444444444444	0.170859375000000	0
13500		0.38925	0.39760	0.39840	0.31261	0.221683782005310	0.444444444444444	0.170859375000000	0
14000		0.38556	0.39746	0.39829	0.31255	0.221683782005310	0.444444444444444	0.170859375000000	0
14500		0.38520	0.39807	0.40055	0.31293	0.221683782005310	0.444444444444444	0.170859375000000	0
15000		0.38273	0.39714	0.40035	0.31301	0.221683782005310	0.444444444444444	0.170859375000000	0
15500		0.38450	0.39641	0.40092	0.31316	0.221683782005310	0.444444444444444	0.170859375000000	0
16000		0.38646	0.39713	0.39976	0.31349	0.221683782005310	0.444444444444444	0.170859375000000	0
16500		0.38757	0.39458	0.40077	0.31375	0.221683782005310	0.444444444444444	0.170859375000000	0
17000		0.39027	0.39481	0.40141	0.31405	0.221683782005310	0.444444444444444	0.170859375000000	0
17500		0.38712	0.39182	0.40329	0.31464	0.221683782005310	0.444444444444444	0.170859375000000	0
18000		0.38588	0.38982	0.40531	0.31502	0.221683782005310	0.444444444444444	0.170859375000000	0
18500		0.38433	0.38846	0.40520	0.31540	0.221683782005310	0.444444444444444	0.170859375000000	0
19000		0.38305	0.38761	0.40658	0.31579	0.221683782005310	0.444444444444444	0.170859375000000	0
19500		0.38230	0.38632	0.40644	0.31616	0.221683782005310	0.444444444444444	0.170859375000000	0
20000		0.38067	0.38632	0.40661	0.31636	0.221683782005310	0.444444444444444	0.170859375000000	0
20500		0.37909	0.38590	0.40647	0.31624	0.221683782005310	0.444444444444444	0.170859375000000	0
21000		0.37887	0.38550	0.40766	0.31609	0.221683782005310	0.444444444444444	0.170859375000000	0
21500		0.37833	0.38444	0.40839	0.31637	0.221683782005310	0.444444444444444	0.170859375000000	0
22000		0.37896	0.38395	0.40903	0.31656	0.221683782005310	0.444444444444444	0.170859375000000	0
22500		0.37954	0.38330	0.40847	0.31647	0.221683782005310	0.444444444444444	0.170859375000000	0
23000		0.37904	0.38282	0.40938	0.31635	0.221683782005310	0.444444444444444	0.170859375000000	0
23500		0.37879	0.38267	0.40900	0.31635	0.221683782005310	0.444444444444444	0.170859375000000	0
24000		0.37897	0.38235	0.40839	0.31638	0.221683782005310	0.444444444444444	0.170859375000000	0
24500		0.37773	0.38234	0.40786	0.31647	0.221683782005310	0.444444444444444	0.170859375000000	0
25000		0.37858	0.38142	0.40800	0.31665	0.221683782005310	0.444444444444444	0.170859375000000	0
25500		0.37969	0.38159	0.40800	0.31660	0.221683782005310	0.444444444444444	0.170859375000000	0
26000		0.38103	0.38124	0.40769	0.31655	0.221683782005310	0.444444444444444	0.170859375000000	0
26500		0.37988	0.38094	0.40826	0.31650	0.221683782005310	0.444444444444444	0.170859375000000	0
