step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113
1	-6365.141490263102241	-6363.679408178583799	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.409329405134108	0	1	2	2	3	4	6	6	5	6	7	7	8	9	8	8	9	9	9	9	11	9	10	9	12	10	12	12	10	10	12	13	13	12	14	12	12	15	14	14	15	14	15	16	15	16	16	15	17	18	18	17	18	18	19	18	18	20	18	18	20	19	20	21	22	23	22	22	21	23	23	24	24	23	23	23	25	24	26	26	26	26	27	28	28	28	28	29	29	30	31	32	34	32	33	34	34	36	35	35	38	41	40	41	42	42	44	44	45	44	45	44	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	4	4	5	4	4	5	5	5	5	6	5	5	5	6	5	6	6	5	5	6	7	7	6	7	6	6	8	7	7	8	7	8	8	8	8	8	8	9	9	9	9	9	9	10	9	9	10	9	9	10	10	10	11	11	12	11	11	11	12	12	12	12	12	12	12	13	12	13	13	13	13	14	14	14	14	14	15	15	15	16	16	17	16	17	17	17	18	18	18	19	21	20	21	21	21	22	22	23	22	23	22	23
500	-1997.206605028897684	-1995.084987955323868	-2.121617073573907	0.000010011842725	0.000026660094194	2.662855872361614	0.147547712810035	-2	1	2	3	4	4	5	6	5	6	8	7	9	9	9	8	8	8	9	10	10	7	10	9	12	10	13	13	11	7	12	13	11	11	15	10	9	12	14	11	15	15	14	17	14	17	16	15	18	18	19	14	17	18	19	18	17	20	18	18	21	16	20	22	23	24	22	21	18	24	24	24	25	24	20	23	26	24	26	26	27	26	28	25	28	28	29	30	30	31	31	33	35	33	34	35	35	36	35	35	38	42	41	41	43	41	45	44	45	45	46	45	46	0	1	2	1	3	2	2	1	6	6	3	6	8	4	8	9	12	10	6	13	30	7	9	12	18	18	33	34	12	7	24	24	19	19	29	30	30	36	36	12	21	37	36	35	38	38	41	36	57	40	37	36	43	43	43	41	43	40	37	52	40	38	40	37	37	37	60	40	36	21	52	60	40	40	62	52	40	62	42	40	40	62	62	62	69	68	52	40	50	62	69	62	84	62	69	84	62	62	69	62	69	84	84	62	62	69	84	78	69	87	69	69	84	1	2	1	2	2	1	3	4	1	1	3	2	1	2	2	2	1	1	3	1	2	1	2	1	2	1	1	2	2	1	1	2	2	1	2	2	1	1	2	3	3	2	3	1	1	3	1	3	1	5	5	3	2	3	3	2	1	4	5	3	8	4	5	8	7	9	3	8	6	9	9	3	8	10	2	8	10	7	7	12	10	7	9	8	6	3	14	11	10	12	12	16	7	14	14	9	16	13	15	16	15	16	14	23	25	19	15	18	21	15	17	21	19
1000	-1889.200071005334166	-1887.109818544874088	-2.090252460459997	0.000010025704129	0.000025853169646	2.578688669974746	0.173214950034157	-3	1	2	2	3	4	5	7	5	6	8	6	7	7	9	8	9	10	9	8	10	10	11	8	13	11	12	13	11	9	12	13	14	10	13	12	11	13	14	11	15	15	15	15	14	17	16	15	17	15	18	14	19	18	20	18	18	20	18	17	21	16	21	22	22	22	23	23	18	23	24	22	24	23	23	24	26	21	27	27	26	27	28	25	26	27	28	30	30	31	32	33	35	32	34	35	35	36	35	36	39	41	41	42	43	43	44	45	46	45	46	45	46	0	1	2	1	3	3	4	7	6	6	6	6	4	1	7	9	12	10	12	4	30	14	9	12	12	10	19	34	19	13	24	24	27	12	29	30	30	36	36	34	36	37	38	29	38	38	36	36	43	40	42	38	54	49	43	41	49	50	37	52	40	52	40	42	59	37	60	50	62	59	52	60	40	50	78	60	50	69	70	40	50	69	62	62	78	81	52	50	74	78	69	69	84	62	69	84	62	84	62	78	78	84	87	62	62	84	87	87	78	84	84	84	87	1	2	1	3	1	1	2	1	1	1	2	2	3	5	2	2	2	2	2	2	1	2	2	1	5	2	2	2	1	1	3	2	2	2	1	3	1	1	2	1	3	2	1	2	1	2	2	2	1	3	2	1	1	1	2	2	1	2	4	2	7	1	5	5	2	7	2	5	2	2	7	2	9	8	1	6	7	2	2	11	7	6	9	8	3	1	14	10	5	9	12	14	7	11	14	7	14	11	12	15	14	11	11	21	25	18	12	15	21	14	14	20	17
1500	-1585.989366367898583	-1584.079462623436257	-1.909903744462397	0.000010125540548	0.000021380198076	2.111511773026353	0.264982705432032	-1	1	2	2	4	3	6	6	5	5	7	7	8	8	8	9	9	7	9	10	10	10	10	8	13	10	12	13	11	9	13	13	13	11	14	12	12	13	15	13	15	14	15	16	15	16	16	15	16	15	18	14	18	19	19	18	19	18	18	18	20	17	21	21	22	24	23	22	18	23	24	24	25	23	20	23	26	22	25	26	27	26	27	25	29	28	28	30	30	31	31	33	34	32	33	35	35	37	36	35	39	40	41	42	43	43	44	45	46	45	46	45	45	0	1	2	1	3	3	1	1	6	6	10	6	7	7	8	9	12	6	10	13	30	7	9	12	18	18	6	34	19	13	24	24	27	19	29	21	21	36	36	34	30	37	38	29	38	38	48	36	43	40	37	38	43	49	43	41	49	50	42	52	40	52	58	37	59	51	60	50	62	59	60	67	58	50	62	60	50	75	65	50	61	78	75	69	78	74	52	61	73	75	75	75	84	75	75	91	69	84	94	75	87	84	87	84	69	84	87	87	84	87	84	84	87	1	1	1	1	1	1	3	4	1	2	1	2	2	1	1	2	1	2	3	1	1	2	3	1	4	2	3	2	1	1	3	3	1	1	2	2	1	1	2	1	4	2	1	2	1	1	1	2	1	1	2	1	1	2	2	1	1	2	2	3	6	1	2	5	2	3	2	3	1	2	5	1	4	5	2	4	6	1	2	7	6	3	7	5	5	3	14	8	3	8	9	9	7	10	10	2	14	10	3	12	11	8	11	17	20	16	12	14	19	12	14	17	15
2000	-1272.911196375478767	-1271.278733751222262	-1.632462624256481	0.000010021687411	0.000014347555351	1.431650655449039	0.250816293485346	-2	0	2	1	4	3	6	5	5	6	8	7	7	10	8	8	10	8	9	9	11	8	11	9	13	10	10	11	11	10	11	14	13	12	14	13	12	14	14	14	15	14	15	15	15	17	16	14	17	16	17	16	18	19	18	17	19	18	18	18	21	17	19	19	21	23	22	23	21	24	23	23	25	22	20	23	24	22	26	24	26	26	27	25	29	29	25	30	29	31	31	33	35	33	33	35	35	37	36	36	39	41	40	42	43	43	44	45	45	45	46	44	46	0	1	2	1	4	3	1	1	6	6	6	6	8	22	7	9	12	10	12	13	30	7	9	10	18	10	19	12	19	7	24	24	27	28	29	30	30	36	36	34	48	37	38	29	38	38	48	36	52	40	21	38	43	49	43	36	49	50	37	52	58	52	58	51	59	51	60	74	62	65	60	67	74	50	62	60	68	75	70	68	80	75	62	75	78	74	7	81	74	84	75	87	87	75	75	94	75	87	95	84	87	87	87	84	75	87	87	87	87	87	87	87	87	1	1	1	2	3	1	5	3	1	2	2	2	1	1	1	2	2	1	1	1	1	1	3	3	3	2	1	3	1	2	1	3	2	1	2	2	2	1	1	1	1	2	1	2	1	2	1	1	1	1	3	1	2	2	1	3	1	2	4	1	2	1	1	2	2	2	2	1	3	2	3	1	1	3	3	3	1	1	1	1	1	4	6	3	4	3	11	3	3	4	7	4	6	9	10	1	14	9	2	8	10	8	9	14	21	13	10	14	19	12	12	16	14
2500	-1161.935642145906968	-1160.231691293079166	-1.703950852827879	0.000009949059536	0.000015966155806	1.604790457748233	0.304489383118021	0	1	2	2	4	4	7	7	5	6	8	7	7	9	8	9	8	8	9	10	12	9	10	10	12	11	11	11	10	10	13	13	13	13	14	13	11	14	14	13	16	15	16	15	15	16	17	16	17	17	18	16	18	19	20	18	18	20	18	18	20	17	21	22	22	21	22	22	22	23	23	23	23	21	20	24	25	24	25	24	26	26	27	25	29	29	25	29	29	27	31	32	34	32	33	34	35	36	35	36	39	42	41	42	43	42	44	45	46	44	45	44	45	0	1	2	1	3	3	4	1	6	6	12	6	4	4	8	9	12	10	10	7	30	1	9	12	18	10	19	29	10	13	24	24	27	28	19	30	30	36	21	28	36	37	38	29	38	38	48	36	43	40	37	38	43	49	38	36	49	50	42	52	50	52	50	51	51	59	60	74	62	51	60	60	68	50	62	71	68	75	70	74	80	75	75	75	82	80	62	81	80	87	84	90	87	84	87	92	75	87	95	90	97	91	95	87	75	87	87	87	87	87	87	87	87	1	1	1	1	1	1	2	4	1	2	1	2	2	4	1	2	1	1	2	2	2	5	3	1	2	2	1	1	2	2	1	2	2	1	3	2	1	1	1	1	2	2	1	3	1	1	1	2	1	2	4	1	1	2	3	2	1	2	2	2	2	1	2	2	1	2	2	1	2	2	3	3	1	2	2	1	2	2	1	1	1	3	4	3	2	3	6	2	2	2	6	3	7	6	6	1	14	7	1	6	4	5	6	14	21	12	10	14	18	11	13	16	14
3000	-1090.999589313920296	-1088.984303764172864	-2.015285549747433	0.000010173487375	0.000024224837273	2.381173375626504	0.329032508316087	0	1	2	2	3	4	5	5	6	6	8	8	8	10	9	8	9	8	9	9	12	9	10	10	12	10	12	10	11	9	13	13	13	12	14	12	10	14	13	14	14	14	15	16	15	17	17	15	16	19	17	17	19	18	20	18	18	21	17	18	21	18	20	22	21	23	23	23	21	23	23	23	25	21	21	24	25	23	25	26	25	26	27	28	28	29	25	28	29	27	30	32	35	32	33	34	35	37	35	36	39	42	41	42	42	42	44	44	46	44	45	44	46	0	1	2	1	3	3	1	1	6	6	6	6	1	22	8	9	12	10	12	13	30	7	9	17	18	18	19	19	19	13	24	24	27	28	29	30	13	36	36	34	36	37	38	29	38	38	36	21	43	40	37	49	43	49	43	41	49	50	42	52	50	52	50	51	51	51	60	74	62	51	60	60	68	50	62	71	68	75	65	74	74	78	78	87	83	80	75	80	81	87	87	90	87	90	87	92	78	93	95	90	97	98	97	87	75	94	91	87	87	91	87	87	87	1	1	1	1	1	1	3	2	1	1	1	2	4	1	2	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	2	1	2	3	3	1	2	4	1	2	1	2	4	1	1	1	1	2	1	1	3	2	2	3	1	2	2	3	2	1	1	2	1	1	1	2	3	2	2	3	2	1	2	2	2	2	2	3	3	7	4	4	1	11	2	1	6	3	2	3	13	19	9	8	14	16	9	12	14	13
3500	-974.667985544623548	-972.758116055853066	-1.909869488770459	0.000010689140617	0.000022569324009	2.111425494115644	0.379222656932984	0	1	2	3	3	3	5	5	5	6	6	6	6	10	9	8	8	10	9	9	11	9	10	9	12	10	11	11	11	9	12	14	14	13	14	12	12	14	14	14	16	15	15	15	15	16	16	16	16	18	17	17	18	18	19	18	17	20	18	18	21	18	20	21	22	23	22	23	21	21	23	25	25	21	22	24	25	24	26	26	27	27	28	29	28	28	25	27	29	27	30	31	35	33	30	33	35	36	35	36	36	40	40	42	43	43	45	44	46	44	45	45	46	0	1	2	1	3	3	1	4	6	6	6	6	4	7	8	10	10	10	12	13	30	7	9	12	18	10	19	12	19	13	24	24	27	28	29	30	30	36	36	28	36	37	38	29	38	38	36	36	43	40	37	49	43	49	49	36	49	50	42	52	50	52	50	51	51	59	60	74	62	59	60	67	68	50	62	67	68	75	65	74	74	78	78	87	82	74	78	74	88	87	87	90	87	87	87	92	90	91	95	96	95	93	101	91	90	95	93	95	95	93	90	91	98	1	1	1	2	1	1	2	1	1	1	2	1	1	3	2	1	1	2	2	2	2	2	2	1	2	2	1	3	1	2	2	2	2	2	2	1	1	1	1	2	2	2	1	2	1	1	2	2	1	2	3	1	2	2	1	2	1	1	2	1	1	1	1	2	3	2	3	1	2	2	2	2	1	2	2	1	1	1	2	3	3	2	2	3	1	2	1	4	1	2	5	2	6	5	4	1	7	3	3	2	3	3	2	10	11	9	6	11	13	7	9	12	9
4000	-853.217544772961560	-851.452617940049777	-1.764926832911762	0.000011821252121	0.000020720860398	1.752848191170044	0.497421097702692	0	1	2	1	3	4	6	6	5	7	6	7	8	8	8	9	9	8	9	9	11	10	10	9	12	11	13	11	10	10	11	13	12	13	12	12	13	14	15	14	16	15	15	16	16	16	16	15	18	17	17	17	19	16	19	18	19	20	18	18	20	19	20	21	22	23	22	23	21	24	23	24	25	22	23	24	26	24	26	25	26	26	28	28	29	28	26	28	29	28	30	30	35	33	30	35	34	36	35	35	37	42	40	41	43	43	45	45	46	43	46	45	46	0	1	2	1	3	3	4	4	6	6	6	6	7	7	8	9	12	10	10	7	30	14	9	6	18	18	33	19	19	13	24	24	19	28	29	21	21	36	36	34	36	37	38	35	38	38	39	36	54	40	37	54	43	43	43	36	49	50	42	52	50	52	50	59	59	59	60	74	62	59	60	67	68	61	69	71	68	75	65	74	74	78	78	87	82	80	78	74	80	87	87	90	91	90	90	92	92	93	94	92	95	93	101	91	95	94	93	95	95	93	93	95	93	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	3	1	1	1	2	1	1	4	3	2	2	1	1	1	1	2	2	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	2	1	2	2	1	2	2	1	2	1	1	1	2	2	3	1	2	3	3	1	1	1	1	1	1	1	2	2	2	1	3	1	1	1	1	4	2	1	2	1	3	3	2	2	3	1	1	2	4	3	1	6	10	5	4	8	12	4	9	9	7
4500	-827.551864137351686	-825.871600359170998	-1.680263778180724	0.000013543955803	0.000020958661723	1.547454970210306	0.491860596556248	-3	0	2	2	4	4	6	5	6	6	6	7	5	9	8	8	8	9	8	9	12	9	9	9	12	11	12	11	10	10	12	13	10	13	14	12	12	14	14	14	15	15	15	16	15	16	17	15	18	18	18	17	17	16	20	18	19	20	19	18	20	18	20	21	22	24	20	22	21	24	22	25	24	23	24	24	26	25	26	25	27	27	28	29	28	28	27	28	29	28	31	30	34	31	31	35	34	36	36	34	37	40	40	41	43	42	43	45	46	45	45	44	46	0	1	2	1	3	3	13	4	6	6	6	6	4	7	4	9	6	11	6	13	30	7	16	17	18	18	33	19	6	13	24	24	12	28	29	30	30	30	21	28	36	37	38	35	38	38	41	36	54	40	37	54	43	38	43	41	43	50	42	52	50	52	50	51	51	59	60	61	62	65	67	67	68	50	62	71	68	75	70	74	80	78	78	87	75	80	78	74	80	87	87	90	91	92	90	92	95	93	95	92	97	93	101	93	97	97	102	101	95	104	93	95	93	1	1	1	2	1	1	1	1	2	1	2	2	2	2	2	1	2	1	2	2	1	2	1	1	3	1	1	2	3	4	2	2	1	2	2	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	3	1	1	1	4	2	2	1	2	1	1	1	2	1	3	2	2	1	2	1	1	2	1	2	3	1	2	1	1	1	2	2	2	1	2	2	1	3	3	1	2	1	2	1	2	3	3	1	2	2	2	3	1	4	8	6	2	5	10	2	7	7	7
