step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111
1	-6324.569577498416947	-6323.107495413898505	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.908762538891981	0	1	2	2	4	3	5	4	6	6	8	7	7	8	9	10	10	10	10	12	12	12	13	13	13	13	13	14	13	15	14	14	15	15	14	17	16	16	17	16	15	15	17	18	19	18	18	18	19	17	18	18	19	20	20	20	21	19	21	20	20	19	21	21	22	20	22	24	22	22	22	22	22	24	23	25	23	23	22	24	26	26	26	24	25	24	27	26	27	27	29	26	27	28	28	29	27	27	28	29	28	31	29	31	31	32	37	38	39	40	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	4	4	4	4	5	5	5	5	5	6	6	6	7	7	7	7	7	7	7	8	7	7	8	8	7	9	8	8	9	8	8	8	9	9	10	9	9	9	10	9	9	9	10	10	10	10	11	10	11	10	10	10	11	11	11	10	11	12	11	11	11	11	11	12	12	13	12	12	11	12	13	13	13	12	13	12	14	13	14	14	15	13	14	14	14	15	14	14	14	15	14	16	15	16	16	16	19	19	20	20	20
500	-1476.223250873727238	-1474.338611594014083	-1.884639279713126	0.000009987799558	0.000020456020690	2.048100842462774	0.216232974194433	0	2	1	1	4	4	3	4	7	6	8	7	5	7	10	11	10	9	9	11	9	12	13	10	10	14	11	14	11	15	14	15	16	16	15	18	16	17	17	13	14	14	16	15	19	18	19	18	20	16	19	18	19	18	19	20	21	16	22	20	18	19	22	22	22	21	23	25	23	21	23	23	20	25	23	25	23	24	23	24	27	27	27	24	25	25	27	27	28	28	30	25	27	29	28	30	27	28	28	30	28	31	30	32	32	33	37	38	40	40	41	0	1	1	1	4	4	3	7	13	6	7	8	7	7	12	12	12	14	12	25	13	16	14	19	14	20	8	22	24	18	22	20	20	41	28	42	24	25	21	29	21	29	42	11	24	24	38	25	55	29	43	29	39	24	34	44	3	25	29	43	13	24	61	44	44	29	20	25	40	44	24	73	44	58	21	27	27	29	61	25	25	75	77	13	44	39	63	48	61	58	58	27	44	8	25	21	58	27	44	25	58	21	58	70	73	44	7	77	75	61	75	1	1	1	1	2	1	1	1	1	1	3	2	1	2	2	2	1	1	1	1	1	1	3	1	1	3	4	1	1	5	1	2	5	1	1	4	3	3	4	2	2	2	1	3	4	3	2	5	1	3	1	6	1	4	1	2	12	4	7	2	8	4	2	5	4	9	9	9	10	5	6	2	3	9	10	9	6	9	4	9	12	4	3	8	6	6	3	5	9	6	11	6	6	12	10	13	9	12	10	14	7	17	12	9	7	12	17	10	10	13	12
1000	-1104.509592187613634	-1102.713459935602941	-1.796132252010618	0.000009971878507	0.000018239572759	1.829100980998353	0.274417812014576	0	2	2	3	5	4	5	4	7	7	7	7	8	8	10	9	10	11	10	10	11	12	13	12	12	13	14	14	13	15	15	14	15	13	15	17	16	13	16	16	16	14	16	19	19	19	18	17	19	16	19	19	18	20	21	21	21	16	21	20	20	19	19	22	23	21	22	23	23	19	23	23	22	25	23	25	23	23	19	25	26	27	26	22	25	24	28	26	28	28	29	26	27	28	28	29	27	27	28	30	28	30	30	32	32	33	38	39	40	40	40	0	1	1	1	1	4	3	3	7	6	7	8	9	7	12	12	16	14	12	14	9	12	18	19	20	20	21	22	24	18	28	38	20	7	28	42	24	18	27	29	9	29	42	27	37	37	33	25	21	29	43	43	21	37	49	27	13	38	50	43	53	24	53	49	34	43	38	58	50	34	37	63	63	58	34	63	41	50	53	58	25	70	76	79	79	84	76	58	79	58	58	70	70	84	58	13	58	34	70	58	47	7	38	84	75	72	75	76	102	75	77	1	1	1	2	3	1	2	1	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	1	2	2	1	1	2	1	1	2	3	1	2	2	2	1	2	3	1	2	2	2	2	2	2	3	1	1	2	3	2	2	4	6	1	3	2	1	3	1	2	5	4	5	4	6	2	5	2	2	7	6	3	5	3	1	7	11	5	1	2	4	1	2	3	5	4	9	5	4	3	10	11	6	10	6	9	4	13	11	6	3	5	11	7	7	12	11
1500	-924.268221252746798	-922.478006083024979	-1.790215169721762	0.000010021266883	0.000018184689271	1.814609817557538	0.309089092301282	-1	0	3	2	4	4	4	4	6	5	5	7	8	8	10	10	11	11	10	10	12	11	13	12	13	13	13	13	14	15	14	14	16	16	15	17	16	17	16	17	15	15	17	19	19	19	19	16	19	16	18	19	17	21	19	20	21	16	21	20	20	20	19	22	23	20	23	24	22	22	22	23	22	25	24	25	24	23	19	24	26	27	26	24	24	24	27	26	25	27	29	26	28	28	28	30	28	28	29	29	28	31	30	30	30	32	38	39	39	40	40	0	1	2	2	4	4	3	3	8	6	7	9	8	11	12	12	16	14	12	14	13	12	18	19	18	20	21	22	24	18	28	20	20	41	28	42	24	25	27	29	27	29	42	41	24	37	38	25	34	29	43	51	34	45	27	13	34	25	50	51	53	45	53	41	13	51	58	58	50	79	45	63	63	58	63	72	63	69	53	58	58	70	57	79	79	79	77	68	79	58	58	79	79	86	58	63	58	89	79	58	90	72	58	89	64	87	72	105	105	72	105	1	1	1	1	2	1	1	1	2	1	1	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	1	1	1	3	1	2	2	1	1	1	2	2	2	2	1	1	1	2	4	1	1	2	2	1	1	1	1	2	2	7	3	2	3	1	1	1	1	4	7	2	5	4	5	1	2	3	2	6	3	1	2	1	1	6	6	4	2	2	2	3	2	2	4	7	6	5	3	3	10	10	5	3	6	10	1	3	11	3	4	2	7	7	5	10	5
2000	-822.862782759235984	-821.152652183676992	-1.710130575559020	0.000010113001406	0.000016380609569	1.619757469737557	0.389702790560852	0	1	2	2	5	3	6	4	6	7	7	6	8	8	9	10	11	10	10	11	12	12	13	12	13	14	14	14	14	15	15	15	14	16	15	18	16	16	18	17	15	15	16	18	20	18	18	18	19	17	18	19	19	21	20	20	22	16	22	21	20	18	20	20	20	18	22	25	22	23	20	22	22	25	23	25	24	23	19	24	26	27	24	23	26	25	27	26	25	27	30	27	27	28	29	30	28	28	28	30	28	31	29	31	32	33	37	38	40	40	40	0	1	2	1	4	4	3	3	8	6	9	8	9	11	12	15	12	14	12	18	8	15	18	19	20	20	13	22	24	18	28	20	20	27	28	43	24	25	34	29	21	29	42	34	62	37	25	25	41	37	43	43	34	62	49	49	27	25	50	66	53	37	44	41	41	43	58	58	50	79	37	63	63	58	72	73	72	69	21	58	58	79	73	79	84	79	73	68	79	58	58	79	79	86	58	21	67	89	84	58	81	72	58	98	87	96	102	76	105	105	105	1	1	1	1	2	1	2	2	1	2	1	2	1	1	2	1	2	1	1	1	5	2	2	1	1	2	3	1	1	2	1	2	2	1	1	1	3	2	1	2	2	1	1	2	1	1	2	2	2	1	2	2	1	2	1	1	4	2	2	2	1	1	1	2	3	1	3	4	3	2	2	2	2	5	1	2	1	1	3	4	5	3	1	3	2	4	2	1	4	6	6	5	5	2	8	9	3	2	3	8	1	6	10	2	3	1	4	5	4	4	3
2500	-780.908701090183968	-779.254077077456714	-1.654624012727214	0.000010057239374	0.000014938890947	1.485386833432317	0.447274130845211	-1	1	2	3	4	4	6	4	6	6	8	7	8	8	8	11	10	10	11	11	12	11	14	12	14	13	13	13	14	15	14	14	16	16	15	16	16	16	15	17	15	15	17	18	20	19	19	18	19	15	19	19	19	20	20	20	22	16	21	20	19	17	18	22	22	19	21	24	23	22	22	22	21	25	24	25	23	23	20	23	25	26	26	25	26	25	27	26	26	27	29	27	27	28	28	29	28	28	29	30	28	31	30	32	32	33	36	37	38	40	41	0	1	2	2	4	4	3	3	8	6	7	8	9	3	12	15	12	14	12	18	9	15	14	19	20	20	21	22	24	26	28	26	20	27	28	42	24	25	27	29	27	29	42	27	62	37	25	25	39	29	43	43	41	62	49	49	41	26	50	66	41	37	41	61	49	43	58	58	59	79	62	73	63	58	72	72	63	59	53	67	58	70	77	79	79	79	76	68	70	58	58	79	79	86	58	83	88	89	89	58	74	87	58	98	77	102	105	105	105	105	107	1	1	1	1	1	1	2	1	1	1	1	2	1	4	1	2	1	1	2	1	3	1	4	1	2	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	1	2	3	2	2	2	2	2	1	2	1	2	2	1	1	4	2	3	1	2	1	2	2	1	1	2	5	2	2	3	1	2	4	1	2	2	1	1	1	4	2	2	3	3	2	1	1	3	5	8	4	4	2	7	2	2	1	1	8	2	2	10	2	5	2	3	3	4	4	2
3000	-756.415136108664342	-754.708362453118525	-1.706773655545833	0.000010363441684	0.000016701997214	1.611626496520201	0.510443402470222	0	1	2	2	4	4	5	5	7	5	7	7	7	9	9	9	11	10	9	13	12	11	14	11	13	12	13	13	13	15	15	15	16	14	15	17	15	16	17	16	16	15	17	18	19	19	17	17	18	17	18	19	19	20	21	20	21	18	20	21	20	20	20	22	21	20	21	24	22	22	23	22	22	25	24	24	23	22	20	24	26	26	26	23	26	24	26	26	28	28	30	27	27	29	28	29	27	28	29	30	29	28	28	32	30	33	34	39	38	39	40	0	1	2	1	4	4	3	3	8	6	7	8	8	11	12	12	15	14	12	26	8	16	18	19	26	18	21	22	24	18	28	20	20	13	28	42	24	25	41	29	27	29	42	21	24	37	38	25	34	29	43	43	27	37	56	41	41	47	50	66	41	37	44	53	49	43	58	58	59	79	62	63	63	58	72	63	63	59	53	67	68	70	76	79	79	84	73	74	85	58	58	79	79	86	58	83	88	85	89	81	80	87	58	98	87	105	105	107	105	107	108	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	3	2	2	1	1	1	1	1	2	3	2	1	2	4	1	1	2	2	1	2	2	2	1	3	4	2	1	2	3	3	1	1	2	3	1	2	4	1	2	1	2	3	1	2	1	2	2	3	1	1	2	2	1	4	1	3	1	1	1	2	1	3	1	2	4	1	2	1	1	5	7	4	4	2	5	2	1	1	1	2	2	1	8	2	3	2	2	3	4	3	1
3500	-751.756214702074544	-750.160907886426230	-1.595306815648363	0.000010507684425	0.000014091973776	1.341111248253674	0.497592062800441	-1	1	2	2	4	4	5	4	6	7	9	7	7	7	8	10	9	10	10	13	12	11	13	12	12	10	14	12	13	14	13	15	14	16	15	17	16	16	17	16	16	16	17	18	18	19	17	18	18	17	18	19	19	21	20	19	20	18	21	20	19	19	20	21	23	19	21	25	23	23	22	22	22	23	23	24	21	23	21	23	26	27	27	23	25	24	27	25	27	27	29	27	26	28	28	30	28	28	29	30	29	31	30	31	30	31	35	38	39	41	41	0	1	2	2	4	4	3	3	8	6	13	9	8	3	12	12	12	14	12	26	7	12	18	19	26	14	21	22	24	18	28	14	26	27	28	42	24	25	27	29	27	29	42	34	37	37	38	25	21	40	43	43	44	45	49	34	41	47	50	66	44	37	53	53	56	51	58	58	59	79	54	63	63	58	72	63	63	59	53	58	68	70	76	79	79	79	72	80	93	80	58	79	79	86	58	87	88	93	89	81	68	87	58	98	76	87	105	107	107	108	109	1	1	1	1	1	1	2	1	1	2	1	1	1	3	1	2	1	2	2	2	2	3	1	1	1	1	1	1	1	2	1	3	2	1	2	1	2	2	2	2	1	2	1	2	1	2	1	4	2	1	1	1	1	2	1	2	3	1	2	1	1	2	1	1	2	1	2	3	1	1	1	1	1	3	1	2	1	1	1	2	1	2	2	1	2	1	2	2	1	2	6	4	4	2	6	2	2	2	1	2	2	3	8	2	2	2	2	3	3	2	1
4000	-682.434116509694491	-680.795530362871318	-1.638586146823187	0.000011177517628	0.000016168414615	1.446512110559253	0.660869960495207	-1	1	2	2	4	4	6	4	6	6	8	8	7	7	9	11	10	10	10	13	11	12	13	13	14	12	13	14	14	15	15	15	16	15	15	16	16	15	18	17	16	15	17	18	17	18	16	18	19	18	18	19	19	20	20	20	21	19	21	21	20	19	20	21	22	20	21	24	23	22	22	23	22	24	23	25	24	23	21	23	25	27	26	23	25	24	27	25	26	25	29	26	27	29	28	30	27	28	28	27	28	31	29	31	31	32	35	38	39	41	40	0	1	2	1	4	4	3	3	8	6	7	7	8	7	12	15	12	14	12	26	9	15	18	19	26	18	21	22	24	18	28	20	26	27	28	42	24	25	27	29	27	29	36	34	37	37	38	25	34	40	43	43	34	62	21	49	41	25	50	66	53	45	53	53	55	51	58	58	59	79	54	73	63	58	73	63	73	59	53	58	80	70	77	79	79	79	73	58	79	80	100	84	79	86	58	87	88	93	89	81	100	87	74	98	87	72	105	105	107	111	109	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	3	2	2	1	1	1	1	2	1	2	1	2	2	1	1	1	2	1	2	2	1	1	1	1	1	2	1	2	2	1	1	1	2	1	5	1	2	3	2	1	1	1	1	1	2	1	1	3	1	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	2	2	2	3	2	1	2	1	4	2	7	2	1	1	1	1	1	2	2	2	2	5	2	4	3	1	1
4500	-695.509634518956886	-693.910333459845333	-1.599301059111595	0.000012142979983	0.000016403748929	1.350883304698709	0.709002479493196	1	2	3	2	4	4	5	4	6	6	8	5	8	9	8	9	11	11	10	13	12	12	13	12	13	12	13	13	13	15	15	14	16	16	15	17	15	16	17	17	15	16	17	19	17	18	18	18	18	18	19	19	19	21	20	19	20	19	21	21	21	20	20	20	20	20	21	25	22	23	22	23	22	23	23	25	22	22	21	24	26	24	25	24	25	25	26	25	26	26	29	27	28	27	27	29	28	28	28	26	29	32	30	31	31	32	34	38	38	39	40	0	1	2	1	2	4	3	3	8	6	3	8	8	7	12	12	16	14	16	26	9	16	14	19	26	18	9	22	24	18	28	14	20	41	28	42	24	25	21	29	27	29	42	41	37	24	25	25	41	40	43	43	39	45	56	49	41	25	50	66	39	45	53	53	39	51	58	74	59	61	54	63	63	67	63	63	63	59	39	58	80	70	73	79	79	79	76	74	84	68	100	85	84	86	58	83	88	89	89	80	100	105	95	98	72	76	102	107	105	109	110	1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	2	1	1	1	1	4	2	2	2	1	1	3	1	1	2	1	2	1	1	1	1	1	2	3	2	1	1	1	2	1	2	3	3	1	1	1	1	1	2	1	1	2	3	2	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	1	2	2	1	1	1	1	2	1	2	1	4	2	2	1	1	1	1	1	2	2	3	3	1	3	3	1	1
