step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.19038	1.00000	0.33482	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98200	0.25400	0.95400	0.33031	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98600	0.27500	0.91400	0.32789	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98400	0.28667	0.85200	0.32539	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97800	0.29850	0.77400	0.32476	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96600	0.30800	0.67600	0.32123	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.95600	0.30667	0.52200	0.31937	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.94400	0.31029	0.40800	0.31625	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.93200	0.31275	0.39600	0.31261	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.90400	0.31822	0.40067	0.31061	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.87800	0.31940	0.39450	0.30853	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.85400	0.32164	0.38600	0.30775	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.90400	0.31967	0.37400	0.30656	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.89800	0.31492	0.37771	0.30680	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.85800	0.31471	0.38025	0.30746	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.80000	0.31373	0.38467	0.30758	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.73000	0.31325	0.38760	0.30795	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.57800	0.31353	0.38855	0.30808	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.49800	0.31244	0.38667	0.30766	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.48300	0.31116	0.38785	0.30797	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.47800	0.30840	0.38957	0.30873	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.48000	0.30905	0.38893	0.30896	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.49000	0.31145	0.38900	0.30867	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.50367	0.30965	0.38894	0.30904	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.49829	0.30875	0.38856	0.30865	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.49750	0.30592	0.38905	0.30874	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.49222	0.30469	0.38930	0.30886	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.49040	0.30415	0.38943	0.30926	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.49018	0.30407	0.39182	0.30938	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.48733	0.30317	0.39209	0.30941	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.48446	0.30193	0.39200	0.30924	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.48200	0.29923	0.39344	0.30966	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.47800	0.29869	0.39523	0.30971	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.47925	0.29679	0.39363	0.31007	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.47929	0.29571	0.39657	0.31037	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.47889	0.29577	0.39814	0.31078	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.47674	0.29544	0.39807	0.31069	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.47620	0.29562	0.39761	0.31070	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.47648	0.29611	0.39600	0.31062	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.47709	0.29641	0.39576	0.31071	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.47704	0.29650	0.39529	0.31057	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.47900	0.29683	0.39606	0.31040	0.147789188003540	0.666666666666667	0.170859375000000	0
