step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101
1	-2291.211282280098658	-2289.749200195579760	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.473091547371469	0	0	3	3	3	6	5	5	6	6	5	6	8	7	8	8	8	9	8	8	9	9	8	8	13	9	10	11	13	11	10	9	10	12	12	10	10	10	11	11	10	12	13	13	11	11	12	13	13	12	12	11	13	13	13	12	12	13	15	13	15	14	13	13	13	13	13	15	15	15	14	14	15	15	14	15	15	15	16	16	16	15	16	17	16	18	16	17	15	18	18	19	18	18	19	19	20	22	20	22	26	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	5	4	4	5	5	4	4	7	5	5	6	7	6	5	5	5	6	6	5	5	5	6	6	5	6	7	7	6	6	6	7	7	6	6	6	7	7	7	6	6	7	8	7	8	7	7	7	7	7	7	8	8	8	7	7	8	8	7	8	8	8	8	8	8	8	8	9	8	9	8	9	8	9	9	10	9	9	10	10	10	11	10	11	13
500	-859.061789357078510	-856.976649317068677	-2.085140040009844	0.000009990969277	0.000025627407234	2.565057155522767	0.254840542036218	-1	1	3	3	3	7	5	5	5	7	5	4	8	7	8	8	7	8	8	6	9	9	9	8	14	10	10	12	14	12	11	9	10	12	10	11	9	8	10	12	7	13	12	14	11	12	9	13	13	12	13	9	13	13	13	11	13	12	16	14	14	14	13	14	12	13	14	16	15	16	11	15	16	15	15	16	14	15	17	17	14	14	16	18	16	18	15	17	13	18	18	19	17	19	19	17	20	22	21	23	26	0	1	2	2	2	8	5	5	5	7	5	2	2	9	3	7	20	7	5	7	9	38	14	7	35	17	20	19	47	35	22	14	24	17	14	9	9	12	14	24	11	33	17	34	41	47	5	24	17	37	58	41	56	32	56	9	56	23	71	39	65	7	26	52	41	43	63	41	41	41	39	82	16	89	54	54	2	71	52	65	52	39	41	49	49	52	52	82	47	79	71	41	89	89	52	47	47	89	74	89	89	1	1	2	1	1	1	1	2	1	1	1	2	6	1	2	2	1	1	3	1	2	1	2	2	2	2	2	2	3	1	2	1	1	3	2	4	3	2	1	2	2	2	3	1	3	1	3	1	4	2	1	1	2	2	1	2	1	2	3	2	1	4	1	2	3	1	1	6	6	4	1	1	3	2	1	2	7	2	5	4	2	3	5	4	2	7	5	2	2	1	2	7	3	3	6	4	5	7	3	8	8
1000	-748.224439194865226	-746.198363005484680	-2.026076189380531	0.000010021108100	0.000024143822749	2.409296707396179	0.459790337191436	0	1	3	3	2	5	5	3	7	6	5	5	8	8	8	8	6	7	8	8	8	10	7	8	13	9	10	11	10	11	11	8	10	11	12	10	9	9	10	10	8	12	14	14	12	11	13	13	11	12	12	10	14	13	13	11	11	13	15	11	15	15	13	14	12	12	13	14	16	15	13	15	16	15	14	15	13	14	16	16	15	14	16	16	17	19	17	18	13	19	18	19	15	18	19	18	20	20	21	23	26	0	1	2	2	2	2	3	5	6	7	5	2	2	23	3	18	7	7	8	7	9	38	6	7	23	17	18	19	19	21	22	23	24	17	9	9	19	13	14	24	11	33	66	26	41	19	29	24	26	37	37	41	30	32	36	14	32	15	71	39	41	42	49	52	41	26	49	52	52	52	14	71	42	89	54	54	37	71	52	81	52	39	65	67	67	52	52	72	46	69	71	65	47	74	52	46	89	47	96	93	93	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	1	2	3	2	1	1	2	1	3	2	2	2	1	2	1	1	1	3	3	2	1	1	1	1	2	2	2	4	2	2	1	3	1	2	2	1	2	3	2	3	2	4	1	1	3	2	1	3	2	2	1	2	5	2	2	1	2	2	1	1	3	1	3	1	2	2	3	2	2	5	3	1	2	1	2	5	2	2	5	3	3	4	2	4	8
1500	-624.552447152594027	-622.550982670699000	-2.001464481895054	0.000010041497237	0.000023550294536	2.345297118473296	0.631074436757382	-1	1	2	3	3	4	5	5	6	6	5	7	8	8	8	8	8	7	7	7	8	10	7	8	11	10	10	11	13	12	11	9	10	11	10	9	10	9	11	11	10	12	13	13	11	12	13	13	12	12	12	12	13	13	13	12	10	14	15	12	15	15	13	14	12	12	14	16	14	15	14	15	15	16	15	15	13	16	14	17	15	15	16	17	16	18	16	17	15	18	18	19	17	18	20	17	20	22	19	22	26	0	1	2	2	2	3	3	5	6	7	5	2	2	23	3	20	7	7	11	7	9	38	9	18	23	17	18	5	46	35	22	14	24	17	9	21	21	13	35	33	8	33	66	34	19	15	46	33	34	36	37	41	30	57	21	57	9	56	71	39	41	42	49	52	41	26	63	79	52	52	39	71	42	89	54	54	36	71	52	69	52	60	65	67	67	69	52	72	47	79	59	83	47	74	87	89	94	94	93	96	100	1	1	1	2	1	1	2	2	1	1	1	3	4	1	2	1	2	2	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	2	3	1	2	1	2	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	3	3	1	2	2	1	2	1	3	3
2000	-610.680081317298800	-608.879869918831332	-1.800211398467499	0.000010076272667	0.000018531277873	1.839100477447368	0.719364983780742	-1	0	2	3	3	3	4	5	6	7	5	6	6	8	5	9	8	9	8	7	8	10	7	9	14	9	11	9	10	10	11	10	10	12	12	9	10	9	11	11	11	11	14	14	11	12	12	13	11	13	13	11	14	13	14	13	12	14	15	13	14	14	13	14	13	13	12	15	15	16	13	15	15	16	15	14	16	16	13	16	16	16	16	18	17	17	16	18	15	19	18	18	18	17	19	18	21	22	20	22	26	0	1	2	2	2	2	3	5	6	7	5	6	6	23	6	20	7	20	11	7	9	38	9	7	57	17	18	5	19	9	22	23	24	17	21	9	21	13	14	24	28	24	66	34	28	29	29	24	17	37	37	28	30	32	35	37	21	9	71	39	41	42	49	52	52	26	49	79	52	52	39	71	42	89	54	54	57	59	52	69	68	60	65	67	67	79	79	59	47	68	71	83	74	89	87	89	94	94	96	99	100	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	2	1	1	1	3	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	3	2	1	1	2	1	2	1	2	1	1	2	2	1	1	3	1	1	1	2	1	1	1	1	2	1	3	3	2	1	2	1	2	2	2	1	2	2	2	1	3	1	1	2
2500	-613.274567927889507	-611.349684563239180	-1.924883364650307	0.000010313630024	0.000022167305561	2.149321384413203	0.660222383458448	0	1	3	3	3	4	5	5	6	7	5	6	6	7	7	8	7	9	9	7	8	10	8	8	14	9	11	11	13	11	11	10	11	11	9	10	9	9	11	11	9	12	12	13	11	10	12	13	12	12	12	12	13	13	13	12	13	14	14	13	15	14	14	14	13	14	13	16	15	14	12	13	15	15	14	15	15	15	15	16	15	13	16	18	17	18	16	17	13	19	17	20	17	18	19	19	20	22	20	22	26	0	1	2	2	2	2	3	5	6	7	5	6	6	9	3	7	7	7	11	7	9	38	14	7	82	17	16	15	11	35	22	23	24	16	14	9	21	13	14	18	6	24	26	26	41	5	46	33	17	37	37	41	30	32	56	9	36	56	71	39	41	42	67	52	41	43	49	70	52	52	39	71	42	89	54	54	58	59	52	70	52	39	65	67	67	79	70	72	47	81	59	83	29	74	87	93	94	94	93	99	100	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	3	1	2	2	1	1	1	1	1	1	1	2	2	4	1	1	2	2	2	1	2	1	2	2	1	3	2	2	2	1	4	1	2	2	1	2	1	1	1	1	2	2	1	2	1	2	1	1	1	2	2	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	2	2	3	4	2	1	2	1	2	2	2	2	2	2	1	1	2	1	1	2
3000	-607.182048148233889	-605.397808861433191	-1.784239286800704	0.000010580426996	0.000019044670046	1.799990685899820	0.577680184344587	-1	1	3	4	3	4	5	5	5	7	6	6	7	7	8	9	8	8	8	8	8	10	8	9	13	10	10	12	14	11	10	10	10	12	13	9	10	9	11	12	9	11	12	13	10	11	10	14	10	12	11	11	14	12	14	12	11	13	15	13	16	13	14	13	13	14	13	15	15	13	14	15	14	15	14	16	16	15	17	16	13	16	17	17	17	18	16	17	16	18	19	19	18	19	19	19	20	23	20	22	25	0	1	2	2	2	2	3	5	6	7	8	6	2	9	3	7	7	7	8	7	9	38	14	20	21	17	20	19	46	36	38	23	24	26	57	9	21	13	14	18	11	33	26	26	41	11	19	33	17	37	37	41	30	32	57	9	36	36	71	39	41	42	49	52	41	43	49	70	52	52	39	71	42	47	54	54	57	71	68	70	52	39	65	67	67	68	70	82	74	69	71	83	74	74	87	93	94	94	96	99	100	1	1	1	2	1	2	1	1	1	1	1	1	2	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	2	1	2	2	1	1	1	1	1	2	3	1	2	1	1	2	1	2	2	2	1	2	1	2	2	1	1	2	2	1	2	2	1	2	2	2	3	3	2	1	1	2	1	1	2	2	1	2	2	3	1	1	2	1	1	1
3500	-602.264953424000396	-600.314300812309853	-1.950652611690554	0.000010728488209	0.000023760954729	2.214753306002061	0.749149265705723	-1	1	3	2	3	6	5	5	6	6	6	6	8	7	5	6	9	8	8	9	8	10	9	8	13	10	9	9	12	10	11	8	10	11	12	10	10	9	9	12	11	13	12	14	10	11	13	13	11	13	12	12	14	14	14	12	12	13	14	12	15	14	14	14	14	13	13	14	14	16	13	14	14	15	15	15	13	14	17	16	16	15	16	15	15	19	16	17	16	17	17	20	18	18	20	20	21	20	19	22	27	0	1	2	2	2	2	3	5	5	7	5	8	8	9	3	7	16	16	8	7	9	38	14	16	23	17	16	11	46	21	22	14	24	17	36	21	21	13	14	33	28	24	34	26	28	19	46	24	17	56	37	41	30	57	77	21	21	36	60	39	41	42	49	52	41	43	49	52	52	52	39	71	33	47	54	54	36	71	68	52	52	60	65	67	67	68	52	72	74	70	71	83	74	74	87	93	94	94	93	99	100	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	2	2	1	2	3	2	2	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2
4000	-597.057189652267994	-595.053439753554812	-2.003749898713206	0.000011239453336	0.000026426409336	2.351218386330042	0.677026560833842	-1	1	3	3	3	5	4	5	6	6	5	6	6	7	9	8	7	9	8	7	10	9	9	8	12	8	9	12	14	11	11	9	10	10	12	10	10	7	11	10	10	12	12	12	11	11	12	13	12	12	12	11	13	12	13	13	11	13	16	13	15	15	14	13	13	14	14	15	14	15	13	14	14	14	14	14	15	16	16	16	15	15	16	17	16	18	16	18	15	18	19	19	18	18	20	19	19	22	20	21	25	0	1	2	2	2	2	3	5	6	7	5	6	6	6	3	7	7	7	11	7	9	38	14	7	23	17	7	19	19	19	22	14	24	17	9	9	23	13	14	24	19	24	34	26	8	6	6	27	17	37	21	41	30	32	57	36	9	35	71	39	41	42	49	52	41	43	49	69	52	52	39	39	42	47	54	54	21	71	68	69	52	60	65	63	63	68	69	72	74	68	71	83	74	29	87	93	94	94	93	99	100	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	2	2	2	2	2	1	1	2	1	1	3	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	3	2	2	2	3	1	1	1	1	2	1	2	2	1	2	1	3	2	2	2	2	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	2	2	1	2	1	2	1	2	3	2	2	2	2	1	1	2	1	1	2
4500	-621.680651746474041	-619.796089167661648	-1.884562578812387	0.000011593006927	0.000023741423161	2.047908994742115	0.673617883142264	0	1	3	3	4	5	4	3	5	6	6	6	6	7	8	7	8	9	8	9	8	10	9	8	14	10	10	12	13	10	11	9	10	12	12	9	10	8	10	12	10	11	12	14	10	11	11	13	13	11	13	11	12	12	12	11	12	13	16	12	13	14	14	13	13	14	14	14	16	15	13	13	15	14	13	15	14	16	15	17	14	16	16	18	17	18	17	17	16	18	17	20	18	18	20	19	20	22	20	22	26	0	1	2	2	8	2	3	2	2	7	5	6	5	9	2	7	16	7	5	7	9	38	14	16	21	17	20	11	47	36	22	14	16	17	9	9	21	13	14	24	11	24	26	34	19	19	8	33	34	37	37	41	30	56	50	9	36	32	71	39	41	42	49	52	52	43	49	52	52	52	60	39	42	47	54	54	55	71	68	68	52	60	65	85	67	79	81	72	74	68	71	83	74	89	87	74	94	94	93	99	100	1	1	1	1	1	2	1	1	2	1	1	1	1	1	3	2	1	2	2	3	2	1	1	1	3	1	1	2	1	1	1	1	3	2	2	2	1	1	2	2	2	1	1	1	1	2	5	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	2	2	1	1	2	2	1	1	1	1	1	2	2	2	2	1	1	2	2	2	1	2	2	2	2	1	2	3	1	2	1	1	1
5000	-596.106135105892236	-594.450878661081788	-1.655256444810413	0.000014297914138	0.000021259835798	1.486918692673363	0.725967143058368	-1	1	4	3	3	3	5	4	5	7	5	6	8	7	8	8	7	10	9	8	9	10	8	8	14	9	11	11	14	11	11	9	10	13	13	9	10	9	11	11	9	12	13	13	11	11	12	12	11	12	12	11	14	12	11	13	11	13	15	14	15	15	13	13	14	14	14	15	14	15	13	14	15	15	14	16	12	15	16	16	16	15	17	17	16	18	17	18	16	18	19	19	17	18	20	20	20	22	21	23	26	0	1	6	2	2	2	3	5	2	7	5	6	12	9	3	7	7	15	11	7	9	38	14	7	36	17	15	41	46	36	22	9	16	17	57	9	36	13	32	33	11	24	26	26	19	19	19	24	17	37	37	41	30	32	32	57	9	21	71	39	28	42	49	52	41	43	63	41	52	52	32	39	42	29	54	54	57	71	70	69	52	39	65	67	49	79	69	72	74	68	39	83	74	89	87	93	94	97	96	99	100	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	2	2	1	1	1	3	2	1	1	1	2	1	1	2	2	2	1	2	2	1	1	1	2	1	1	4	2	2	1	2	2	1	1	2	1	1	1	1	2	2	1	2	2	2	1	1	1	2	4	1	1	1	2	2	1	2	1	1	2
5500	-551.271211370007109	-549.849249761476358	-1.421961608530701	0.000024501518748	0.000021613208278	0.882117084273891	0.711127554887215	-1	1	3	3	2	7	5	5	6	7	5	6	7	8	7	8	9	9	8	7	9	10	9	6	13	10	11	10	13	11	11	9	10	13	12	10	10	9	11	12	10	12	13	13	11	11	13	12	12	12	13	11	13	13	13	12	11	13	15	13	15	14	14	13	13	13	14	15	15	16	13	14	15	15	14	15	16	14	14	17	15	16	17	17	15	19	15	17	16	18	18	20	18	17	19	19	20	23	19	22	25	0	1	2	2	2	12	3	5	2	7	5	2	8	9	3	7	16	7	11	7	6	38	14	7	14	20	18	11	11	21	22	14	20	17	36	21	9	13	23	33	15	33	26	17	19	11	11	33	17	37	37	41	30	32	21	21	37	36	71	39	65	42	49	52	41	26	49	79	52	52	39	71	42	47	54	75	58	71	52	69	52	39	65	67	67	68	79	72	79	69	59	83	74	89	87	93	94	94	93	99	100	1	1	1	1	1	1	1	1	2	1	1	2	1	1	3	2	1	2	2	1	1	1	1	1	2	1	1	2	3	1	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	2	3	1	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	2	1	2	1	1	2	3	1	1	2	1	1	1	2	1	2	1	2	2	2	1	1	2	1	2	1	2	2	1	2	1	2	1	2	3	1	1	2
6000	-559.538579371102173	-558.159540538014539	-1.379038833087611	0.000053240411943	0.000023897855325	0.448866837300509	0.649161363274531	-1	1	3	4	3	4	4	6	6	7	5	6	8	8	8	7	9	7	9	8	8	10	8	8	13	9	10	10	13	11	11	10	11	12	13	10	11	9	11	11	10	13	14	13	11	12	11	14	13	12	12	12	13	13	14	13	12	13	14	13	16	15	14	14	14	14	14	15	15	15	13	15	14	15	14	16	15	15	13	17	16	16	15	16	16	18	16	17	16	18	17	19	18	18	19	20	20	22	21	23	26	0	1	2	2	2	1	3	11	4	7	5	6	6	6	6	7	18	7	11	7	9	38	9	7	36	18	20	8	21	21	22	14	16	18	9	6	21	13	23	24	19	24	34	26	41	19	8	33	17	37	36	41	39	15	30	21	9	21	39	39	52	42	49	52	19	34	49	79	52	52	39	59	42	47	54	54	56	71	52	70	35	36	65	67	49	79	68	72	29	68	71	83	89	89	87	89	94	94	93	99	100	1	1	1	1	1	3	1	1	1	2	1	1	1	2	2	2	1	2	2	2	1	1	1	2	2	1	1	2	2	1	1	2	2	3	4	2	2	1	2	1	1	2	1	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	2	1	1	1	1	2	3	1	1	2	2	1	1	2	1	2	2	2	1	2	3	1	2	2	1	2
6500	-546.207832622619662	-544.678381234582162	-1.529451388037515	0.000097824161537	0.000026971169201	0.275710711721769	0.692066639162918	-1	1	2	3	3	6	5	6	5	6	5	7	7	7	7	7	9	8	8	9	8	9	8	9	12	10	10	10	11	10	10	8	10	12	12	10	11	11	12	11	10	12	13	13	11	11	12	13	14	13	12	12	13	13	13	12	12	14	16	14	15	13	13	14	13	11	13	16	15	16	15	15	15	15	15	15	14	16	16	16	15	15	16	17	16	18	16	17	15	18	18	20	16	18	19	19	21	23	20	22	26	0	1	2	2	2	4	3	5	2	7	5	6	9	9	3	7	16	7	5	7	6	13	4	18	28	20	18	19	6	9	22	14	24	17	36	21	21	15	29	33	8	24	20	26	28	19	41	20	17	37	6	41	36	29	15	21	21	46	71	39	65	42	17	52	29	17	34	52	65	52	60	55	42	47	54	54	35	57	29	57	52	30	65	49	49	68	41	82	56	68	71	83	74	74	87	93	94	94	93	99	100	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	3	1	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	1	2	1	1	2	1	1	2	1	3	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	2	1	1	1	2	3	2	1	3	1	2	1	1	3	1	1	2	2	2	1	2	2	2	2	3	2	1	2
7000	-559.273897958531052	-557.857462313501401	-1.416435645029631	0.000085541212194	0.000032125548834	0.375556389839586	0.687518910441951	-1	0	3	1	3	6	5	4	7	7	5	6	8	6	8	8	8	7	8	8	10	10	8	9	13	10	10	11	13	9	9	10	11	10	10	9	10	11	11	11	10	13	12	13	12	11	13	13	12	11	12	12	12	13	14	11	11	12	16	13	16	14	14	12	13	14	14	15	14	14	13	15	15	15	15	15	15	14	16	13	15	16	16	16	17	16	15	17	16	18	18	20	18	18	18	20	21	22	20	23	27	0	1	2	2	2	8	3	5	6	7	5	3	6	8	6	18	7	7	11	7	9	31	14	16	56	17	16	19	35	9	13	14	34	17	9	2	19	36	35	36	6	16	26	34	56	36	28	24	26	36	37	21	20	32	57	37	35	9	71	39	68	48	34	41	28	43	49	80	52	52	57	39	48	47	54	54	41	36	68	52	45	60	65	67	84	68	52	71	47	68	71	83	89	74	69	93	89	94	93	99	100	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	4	1	2	1	1	2	3	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2
