step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.14629	1.00000	0.36026	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.25200	0.85600	0.34683	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.29900	0.88000	0.33470	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98600	0.30533	0.84400	0.32429	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98400	0.31550	0.70800	0.31785	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98200	0.32000	0.60000	0.31272	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97400	0.32300	0.52400	0.30917	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.97000	0.32486	0.39800	0.30593	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.91400	0.32600	0.38600	0.30415	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.89000	0.32778	0.38600	0.30253	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.87600	0.32600	0.38750	0.30267	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.88400	0.32600	0.37520	0.30188	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.92200	0.32417	0.38467	0.30172	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.90600	0.32123	0.38686	0.30208	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.86800	0.31700	0.38850	0.30282	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.73400	0.31213	0.39044	0.30394	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.68800	0.30888	0.39220	0.30467	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.58400	0.30800	0.39164	0.30513	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.49000	0.30767	0.39217	0.30534	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.48600	0.30947	0.39031	0.30523	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.49667	0.30910	0.38871	0.30500	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.48050	0.30781	0.38933	0.30557	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.48360	0.30473	0.38912	0.30612	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.48167	0.30217	0.39071	0.30679	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.47971	0.30025	0.39011	0.30716	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.47575	0.29952	0.38684	0.30721	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.47822	0.29869	0.38720	0.30713	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.48100	0.29726	0.38771	0.30688	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.47909	0.29657	0.38718	0.30700	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.48417	0.29752	0.38748	0.30731	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.48677	0.29720	0.38750	0.30762	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.48571	0.29626	0.38736	0.30771	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.48427	0.29513	0.38700	0.30760	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.48450	0.29394	0.38748	0.30769	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.48129	0.29400	0.38771	0.30789	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.48111	0.29371	0.38752	0.30804	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.48232	0.29439	0.38713	0.30773	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.48390	0.29470	0.38690	0.30753	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.48371	0.29489	0.38644	0.30749	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.48464	0.29415	0.38576	0.30748	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.48461	0.29380	0.38482	0.30747	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.48433	0.29249	0.38560	0.30747	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.48376	0.29219	0.38517	0.30757	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.48300	0.29130	0.38492	0.30749	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.48341	0.28995	0.38521	0.30769	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.48464	0.28978	0.38492	0.30760	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.48372	0.28957	0.38525	0.30763	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.48320	0.28915	0.38634	0.30778	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.48297	0.28879	0.38667	0.30786	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.48219	0.28902	0.38707	0.30797	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.48297	0.28900	0.38723	0.30777	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.48376	0.28890	0.38702	0.30758	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.48560	0.28869	0.38643	0.30770	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.48433	0.28898	0.38660	0.30774	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.48351	0.28837	0.38683	0.30787	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.48416	0.28815	0.38669	0.30802	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.48492	0.28839	0.38664	0.30811	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.48465	0.28758	0.38663	0.30808	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.48502	0.28731	0.38608	0.30814	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.48567	0.28715	0.38551	0.30817	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.48591	0.28697	0.38607	0.30808	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.48564	0.28725	0.38585	0.30808	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.48693	0.28739	0.38564	0.30790	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.48796	0.28844	0.38526	0.30777	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.48847	0.28863	0.38517	0.30764	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.48850	0.28822	0.38492	0.30765	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.48931	0.28755	0.38517	0.30756	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.48952	0.28767	0.38561	0.30743	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.48973	0.28732	0.38516	0.30742	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.49023	0.28751	0.38587	0.30734	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.49042	0.28726	0.38600	0.30743	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.49011	0.28682	0.38600	0.30760	0.147789188003540	0.666666666666667	0.170859375000000	0
36500		0.49033	0.28667	0.38600	0.30756	0.147789188003540	0.666666666666667	0.170859375000000	0
37000		0.48979	0.28677	0.38672	0.30753	0.147789188003540	0.666666666666667	0.170859375000000	0
37500		0.49004	0.28635	0.38691	0.30754	0.147789188003540	0.666666666666667	0.170859375000000	0
38000		0.49052	0.28627	0.38678	0.30746	0.147789188003540	0.666666666666667	0.170859375000000	0
38500		0.49058	0.28626	0.38651	0.30747	0.147789188003540	0.666666666666667	0.170859375000000	0
39000		0.49053	0.28582	0.38639	0.30745	0.147789188003540	0.666666666666667	0.170859375000000	0
39500		0.49105	0.28562	0.38617	0.30747	0.147789188003540	0.666666666666667	0.170859375000000	0
40000		0.49129	0.28587	0.38638	0.30736	0.147789188003540	0.666666666666667	0.170859375000000	0
40500		0.49216	0.28625	0.38635	0.30727	0.147789188003540	0.666666666666667	0.170859375000000	0
41000		0.49216	0.28598	0.38677	0.30725	0.147789188003540	0.666666666666667	0.170859375000000	0
41500		0.49206	0.28580	0.38650	0.30727	0.147789188003540	0.666666666666667	0.170859375000000	0
42000		0.49218	0.28557	0.38652	0.30721	0.147789188003540	0.666666666666667	0.170859375000000	0
42500		0.49269	0.28564	0.38664	0.30717	0.147789188003540	0.666666666666667	0.170859375000000	0
43000		0.49253	0.28576	0.38666	0.30721	0.147789188003540	0.666666666666667	0.170859375000000	0
43500		0.49212	0.28635	0.38605	0.30724	0.147789188003540	0.666666666666667	0.170859375000000	0
