step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.22044	1.00000	0.35378	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.35200	0.94000	0.34151	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.34500	0.90200	0.33270	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99200	0.36000	0.77400	0.32480	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99000	0.36000	0.70800	0.31887	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97600	0.35720	0.62800	0.31692	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96800	0.35567	0.49600	0.31399	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.95800	0.35800	0.49200	0.31210	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.92800	0.35650	0.49600	0.31126	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.90000	0.35511	0.49500	0.30966	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.88400	0.35800	0.49760	0.30820	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.83400	0.35655	0.49433	0.30801	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.90000	0.35333	0.49029	0.30697	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.91600	0.35338	0.49050	0.30700	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.85600	0.34929	0.49156	0.30764	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.80200	0.34893	0.49260	0.30884	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.73600	0.34813	0.49600	0.30890	0.065684083557129	0.666666666666667	0.113906250000000	0
9000		0.65800	0.34812	0.50000	0.30942	0.098526125335693	0.666666666666667	0.113906250000000	0
9500		0.47600	0.34333	0.50292	0.31003	0.147789188003540	0.666666666666667	0.113906250000000	0
10000		0.49300	0.34347	0.38600	0.31014	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.48600	0.34270	0.38600	0.31046	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.50800	0.34057	0.39200	0.31073	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.51520	0.33918	0.38500	0.31092	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.51167	0.33748	0.38520	0.31141	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.50743	0.33658	0.38433	0.31165	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.50475	0.33464	0.38286	0.31183	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.50800	0.33438	0.38400	0.31203	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.50720	0.33289	0.38800	0.31225	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.50655	0.33121	0.38880	0.31251	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.50500	0.33152	0.39400	0.31272	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.50646	0.33220	0.39383	0.31253	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.50471	0.33123	0.39338	0.31268	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.50120	0.33094	0.38743	0.31260	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.50425	0.33018	0.38520	0.31241	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.50318	0.33100	0.38688	0.31244	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.50322	0.33149	0.38659	0.31226	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.50326	0.33100	0.38733	0.31233	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.50380	0.33016	0.38463	0.31210	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.50457	0.33095	0.38480	0.31208	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.50464	0.33179	0.38495	0.31217	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.50530	0.33075	0.38618	0.31227	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.50308	0.32951	0.38791	0.31242	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.50368	0.32990	0.38950	0.31237	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.50338	0.32916	0.38808	0.31243	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.50185	0.32950	0.38962	0.31284	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.50143	0.32871	0.39052	0.31307	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.50186	0.32835	0.38864	0.31301	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.50193	0.32762	0.38931	0.31305	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.50181	0.32721	0.39047	0.31312	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.50156	0.32678	0.39168	0.31321	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.50248	0.32664	0.39119	0.31320	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.50318	0.32643	0.39133	0.31331	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.50320	0.32635	0.39206	0.31332	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.50328	0.32604	0.39223	0.31337	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.50405	0.32630	0.39172	0.31338	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.50495	0.32600	0.39232	0.31347	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.50621	0.32611	0.39274	0.31354	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.50640	0.32593	0.39369	0.31360	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.50654	0.32566	0.39415	0.31346	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.50671	0.32593	0.39249	0.31325	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.50623	0.32570	0.39348	0.31320	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.50691	0.32570	0.39284	0.31302	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.50640	0.32535	0.39314	0.31297	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.50574	0.32562	0.39213	0.31303	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.50579	0.32609	0.39113	0.31299	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.50608	0.32582	0.39166	0.31298	0.147789188003540	0.666666666666667	0.170859375000000	0
