step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.96994	0.12024	1.00000	0.32523	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.97600	0.18800	0.90000	0.31027	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.97400	0.25600	0.87800	0.30175	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.95400	0.26900	0.82800	0.29736	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.95000	0.27400	0.70400	0.29472	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.93600	0.28500	0.54800	0.29210	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.89600	0.28680	0.46600	0.28836	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.85400	0.28667	0.47700	0.28629	0.001708593750000	0.444444444444444	0.113906250000000	0
4500		0.75000	0.28857	0.45200	0.28458	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.75400	0.28825	0.44250	0.28295	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.73000	0.28933	0.44880	0.28222	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.74800	0.28660	0.44767	0.28255	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.89000	0.28236	0.44257	0.28334	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.77000	0.27200	0.44950	0.28654	0.019461950683594	0.444444444444444	0.113906250000000	0
7500		0.62800	0.26092	0.45867	0.28968	0.029192926025391	0.444444444444444	0.113906250000000	0
8000		0.52000	0.25071	0.46200	0.29278	0.043789389038086	0.444444444444444	0.113906250000000	0
8500		0.39800	0.24400	0.46491	0.29527	0.065684083557129	0.444444444444444	0.113906250000000	0
9000		0.39800	0.19800	0.47233	0.29772	0.065684083557129	0.296296296296296	0.113906250000000	0
9500		0.40933	0.21000	0.47738	0.30007	0.065684083557129	0.296296296296296	0.113906250000000	0
10000		0.40850	0.20000	0.47929	0.30200	0.065684083557129	0.296296296296296	0.113906250000000	0
10500		0.40280	0.19750	0.48147	0.30379	0.065684083557129	0.296296296296296	0.113906250000000	0
11000		0.40167	0.19680	0.48313	0.30547	0.065684083557129	0.296296296296296	0.113906250000000	0
11500		0.40600	0.19867	0.48353	0.30655	0.065684083557129	0.296296296296296	0.113906250000000	0
12000		0.40900	0.20314	0.48711	0.30772	0.065684083557129	0.296296296296296	0.113906250000000	0
12500		0.40778	0.20475	0.48905	0.30885	0.065684083557129	0.296296296296296	0.113906250000000	0
13000		0.40840	0.20489	0.48880	0.31010	0.065684083557129	0.296296296296296	0.113906250000000	0
13500		0.40745	0.20440	0.49057	0.31113	0.065684083557129	0.296296296296296	0.113906250000000	0
14000		0.40517	0.20418	0.49291	0.31214	0.065684083557129	0.296296296296296	0.113906250000000	0
14500		0.40323	0.20350	0.49130	0.31288	0.065684083557129	0.296296296296296	0.113906250000000	0
15000		0.40329	0.20262	0.49117	0.31382	0.065684083557129	0.296296296296296	0.113906250000000	0
15500		0.40733	0.20114	0.49160	0.31471	0.065684083557129	0.296296296296296	0.113906250000000	0
16000		0.40587	0.20040	0.49269	0.31519	0.065684083557129	0.296296296296296	0.113906250000000	0
16500		0.40482	0.19975	0.49319	0.31575	0.065684083557129	0.296296296296296	0.113906250000000	0
17000		0.40489	0.19965	0.49300	0.31632	0.065684083557129	0.296296296296296	0.113906250000000	0
17500		0.40547	0.19867	0.49441	0.31667	0.065684083557129	0.296296296296296	0.113906250000000	0
18000		0.40410	0.20000	0.49440	0.31708	0.065684083557129	0.296296296296296	0.113906250000000	0
18500		0.40286	0.19970	0.49477	0.31756	0.065684083557129	0.296296296296296	0.113906250000000	0
19000		0.40273	0.19981	0.49494	0.31782	0.065684083557129	0.296296296296296	0.113906250000000	0
19500		0.40383	0.19927	0.49436	0.31810	0.065684083557129	0.296296296296296	0.113906250000000	0
20000		0.40225	0.19974	0.49606	0.31841	0.065684083557129	0.296296296296296	0.113906250000000	0
20500		0.40208	0.20175	0.49646	0.31887	0.065684083557129	0.296296296296296	0.113906250000000	0
21000		0.40177	0.20176	0.49656	0.31926	0.065684083557129	0.296296296296296	0.113906250000000	0
21500		0.40252	0.20154	0.49643	0.31963	0.065684083557129	0.296296296296296	0.113906250000000	0
22000		0.40264	0.20185	0.49647	0.31995	0.065684083557129	0.296296296296296	0.113906250000000	0
22500		0.40297	0.20229	0.49687	0.32023	0.065684083557129	0.296296296296296	0.113906250000000	0
23000		0.40300	0.20228	0.49715	0.32064	0.065684083557129	0.296296296296296	0.113906250000000	0
23500		0.40335	0.20187	0.49727	0.32089	0.065684083557129	0.296296296296296	0.113906250000000	0
24000		0.40281	0.20265	0.49700	0.32120	0.065684083557129	0.296296296296296	0.113906250000000	0
24500		0.40242	0.20200	0.49656	0.32151	0.065684083557129	0.296296296296296	0.113906250000000	0
25000		0.40171	0.20194	0.49650	0.32160	0.065684083557129	0.296296296296296	0.113906250000000	0
25500		0.40149	0.20159	0.49658	0.32193	0.065684083557129	0.296296296296296	0.113906250000000	0
26000		0.40167	0.20103	0.49639	0.32220	0.065684083557129	0.296296296296296	0.113906250000000	0
26500		0.40141	0.20078	0.49706	0.32252	0.065684083557129	0.296296296296296	0.113906250000000	0
27000		0.40216	0.19935	0.49754	0.32269	0.065684083557129	0.296296296296296	0.113906250000000	0
27500		0.40174	0.19926	0.49759	0.32287	0.065684083557129	0.296296296296296	0.113906250000000	0
28000		0.40240	0.19964	0.49788	0.32306	0.065684083557129	0.296296296296296	0.113906250000000	0
28500		0.40161	0.20025	0.49820	0.32338	0.065684083557129	0.296296296296296	0.113906250000000	0
29000		0.40176	0.19985	0.49838	0.32348	0.065684083557129	0.296296296296296	0.113906250000000	0
29500		0.40219	0.19990	0.49849	0.32354	0.065684083557129	0.296296296296296	0.113906250000000	0
30000		0.40255	0.20112	0.49915	0.32377	0.065684083557129	0.296296296296296	0.113906250000000	0
