step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98196	0.11824	1.00000	0.29109	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.97600	0.17600	0.91800	0.30067	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.97200	0.29000	0.86400	0.30602	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.94800	0.30000	0.87600	0.30786	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.95800	0.30867	0.74200	0.30952	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.94000	0.31250	0.61600	0.30705	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.91400	0.31560	0.47000	0.30550	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.89800	0.32200	0.47600	0.30362	0.001708593750000	0.444444444444444	0.113906250000000	0
4500		0.83000	0.32857	0.47067	0.30224	0.002562890625000	0.444444444444444	0.113906250000000	0
5000		0.78800	0.33075	0.47200	0.29968	0.003844335937500	0.444444444444444	0.113906250000000	0
5500		0.78600	0.33156	0.47280	0.29798	0.005766503906250	0.444444444444444	0.113906250000000	0
6000		0.74400	0.33220	0.46567	0.29789	0.008649755859375	0.444444444444444	0.113906250000000	0
6500		0.84200	0.33418	0.46371	0.29855	0.012974633789063	0.444444444444444	0.113906250000000	0
7000		0.87000	0.33400	0.46825	0.29998	0.019461950683594	0.444444444444444	0.113906250000000	0
7500		0.79800	0.33385	0.46689	0.30085	0.029192926025391	0.444444444444444	0.113906250000000	0
8000		0.71800	0.32900	0.46840	0.30232	0.043789389038086	0.444444444444444	0.113906250000000	0
8500		0.55200	0.32187	0.47855	0.30449	0.065684083557129	0.444444444444444	0.113906250000000	0
9000		0.40800	0.31138	0.48667	0.30758	0.098526125335693	0.444444444444444	0.113906250000000	0
9500		0.39300	0.30224	0.49477	0.31043	0.098526125335693	0.444444444444444	0.113906250000000	0
10000		0.37200	0.29411	0.49943	0.31275	0.098526125335693	0.444444444444444	0.113906250000000	0
10500		0.36050	0.28758	0.50227	0.31485	0.098526125335693	0.444444444444444	0.113906250000000	0
11000		0.36040	0.28260	0.50662	0.31676	0.098526125335693	0.444444444444444	0.113906250000000	0
