step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108
1	-9268.769172159576556	-9274.708369378662610	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.677087651437079	-1	4	2	4	4	5	4	5	6	6	6	7	11	9	12	11	15	15	15	17	17	14	17	17	18	18	16	16	18	19	18	21	21	20	21	21	21	21	21	22	23	22	23	23	24	23	24	23	25	25	25	23	24	26	25	24	25	24	25	25	25	26	26	28	28	27	29	29	28	28	29	28	28	28	31	30	29	30	30	31	31	30	32	32	31	31	32	33	34	33	32	34	35	35	34	35	35	35	38	36	38	39	39	39	40	41	41	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	3	3	3	4	4	4	4	6	5	7	6	8	8	8	9	9	8	9	9	10	10	9	9	10	10	10	11	11	11	11	11	11	11	11	12	12	12	12	12	13	12	13	12	13	13	13	12	13	14	13	13	13	13	13	13	13	14	14	15	15	14	15	15	15	15	15	15	15	15	16	16	15	16	16	16	16	16	17	17	16	16	17	17	18	17	17	18	18	18	18	18	18	18	20	19	20	20	20	20	21	21	21	21
500	-1729.369146580812185	-1735.308343799897330	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.143648152920865	0	4	2	2	4	4	5	4	6	6	6	8	12	6	10	8	15	12	12	17	14	14	14	17	19	19	13	16	18	19	18	18	19	20	19	22	22	18	18	19	24	22	23	23	25	23	22	23	26	25	26	21	24	27	26	25	25	25	25	24	26	27	26	28	29	28	29	30	29	28	30	29	29	27	32	31	30	31	30	31	32	31	32	32	31	31	32	33	34	32	33	35	36	36	34	35	36	34	39	37	39	40	40	40	40	42	41	41	0	3	1	1	3	1	1	4	2	8	7	5	11	8	14	14	15	16	16	18	12	15	19	17	24	17	19	18	21	24	14	27	19	21	21	21	19	14	16	19	28	35	33	19	15	30	32	28	38	23	18	18	46	21	30	23	18	23	21	23	27	21	21	23	21	21	28	40	23	27	35	39	23	18	21	23	39	33	18	27	32	21	39	57	21	21	39	58	39	31	39	39	18	33	50	18	39	33	39	38	39	38	48	18	32	18	39	39	1	1	1	1	2	2	3	2	1	1	1	2	2	1	2	1	2	3	3	2	3	2	1	1	1	2	1	3	3	1	9	2	3	4	3	8	5	8	9	3	5	2	2	6	12	2	2	4	5	6	8	5	1	6	4	6	12	7	11	5	9	9	10	10	11	8	6	7	12	11	6	10	13	13	13	14	12	9	14	14	11	13	11	3	11	10	12	4	14	9	13	15	15	14	5	14	13	10	19	12	13	17	12	23	19	21	16	17
1000	-1412.253874737808246	-1418.193071956893391	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.177285375522054	-1	3	1	4	4	5	5	6	6	7	7	7	11	9	12	11	14	12	15	17	17	14	14	16	19	19	15	17	17	19	16	18	20	20	22	21	19	21	19	21	21	23	23	20	24	22	24	21	25	23	25	22	25	26	24	24	26	23	25	26	25	26	26	28	26	28	29	28	29	29	30	27	28	28	32	31	29	29	31	32	31	29	32	32	32	31	32	34	35	34	32	35	35	35	32	36	36	35	39	37	38	38	39	40	41	42	41	41	0	1	1	3	1	3	3	4	5	2	4	4	6	12	14	14	14	16	15	14	17	16	16	17	24	24	23	23	24	31	17	16	39	29	31	29	20	27	27	39	20	29	33	18	30	30	37	20	52	44	43	27	42	30	25	37	27	32	35	56	27	55	31	61	31	31	52	44	52	23	35	48	33	44	42	32	32	57	27	32	52	17	44	32	46	42	32	72	32	63	39	32	48	32	58	48	48	32	32	32	48	44	58	32	32	32	74	58	1	2	2	2	4	2	2	1	1	2	2	2	4	1	2	2	2	1	1	3	1	1	1	1	1	2	1	1	1	1	2	4	1	2	3	3	1	3	3	1	2	4	2	5	3	3	2	2	2	2	1	3	1	4	2	2	5	3	2	1	5	2	9	1	5	7	5	4	4	11	4	3	7	4	7	8	8	2	14	12	5	10	8	9	9	5	9	5	8	5	9	14	11	10	4	7	7	11	16	12	10	13	12	21	20	17	9	11
1500	-1156.005497623244310	-1161.944694842329454	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.292201941453125	-1	5	2	1	4	5	3	4	4	6	7	6	11	10	12	11	15	12	13	16	18	14	17	17	17	19	16	16	19	20	17	18	20	20	21	21	21	21	19	22	23	22	23	23	25	22	23	23	25	24	26	23	23	27	25	23	26	22	23	25	25	26	26	29	27	27	28	29	28	25	29	27	29	28	31	31	30	30	31	29	28	30	33	32	31	31	33	34	34	33	32	34	34	34	33	33	35	34	39	35	38	39	39	40	41	42	42	40	0	9	1	1	1	1	1	4	4	8	5	9	5	12	16	12	14	16	16	15	20	16	18	15	17	21	17	16	17	25	17	18	20	29	25	29	33	28	16	39	28	25	33	18	46	24	37	32	33	27	43	38	35	42	42	32	47	39	35	37	27	53	25	48	45	59	32	43	58	18	66	48	48	32	54	72	23	70	32	58	39	24	70	77	24	42	39	72	67	86	23	70	70	81	78	81	70	74	81	39	70	80	70	39	18	70	74	39	1	1	2	1	2	4	1	1	2	1	1	1	5	2	1	2	4	1	1	3	2	2	4	4	1	1	1	3	2	1	1	4	2	1	2	1	1	3	5	1	3	2	1	6	1	2	1	2	2	3	1	1	1	4	2	3	2	1	1	3	4	2	6	2	1	2	5	3	2	9	1	3	3	5	2	3	5	3	10	4	4	8	4	1	7	4	10	4	3	1	9	5	5	3	2	3	5	3	8	8	8	7	11	17	25	17	7	10
2000	-1018.871067998217882	-1024.810265217303140	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.341034368944470	-1	2	1	4	4	5	4	4	6	6	6	7	12	9	12	11	15	15	15	16	16	15	16	18	18	18	16	16	18	18	19	21	22	20	21	20	20	21	20	22	23	20	24	22	22	24	24	22	26	25	25	23	25	26	25	24	26	24	24	26	25	26	26	29	28	27	29	29	29	27	30	28	27	29	31	30	30	31	31	32	31	31	32	32	32	29	32	33	34	32	33	34	35	35	33	35	34	36	39	36	39	40	39	40	41	42	41	41	0	1	1	2	3	3	1	2	7	2	5	10	11	12	12	14	14	14	14	15	18	14	15	21	21	18	16	16	21	21	19	27	32	29	42	29	28	18	28	39	48	31	48	28	35	35	48	32	37	48	43	33	30	45	35	37	47	39	35	47	39	55	42	73	54	55	39	51	48	39	59	50	50	19	53	67	73	69	39	70	67	46	70	50	63	63	67	70	67	75	74	76	70	73	78	80	83	67	89	80	84	80	58	58	18	19	80	67	1	1	1	2	2	2	3	1	1	4	1	1	4	2	2	2	3	4	5	2	1	3	1	1	1	1	2	3	1	2	1	2	1	1	1	1	2	4	2	1	1	1	2	3	1	2	1	1	3	3	1	1	4	1	3	2	2	2	2	1	2	1	3	1	2	2	4	2	4	4	4	1	1	7	3	1	2	1	6	3	2	7	3	4	5	1	2	3	2	1	3	3	5	3	1	2	1	3	3	1	5	5	11	13	23	14	4	9
2500	-916.215994287346234	-922.155191506431493	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.442144533180528	-1	5	2	4	4	4	5	5	6	7	7	6	11	9	13	11	15	14	15	18	17	14	16	16	17	18	16	17	18	19	18	19	21	20	20	20	22	22	21	22	23	22	23	22	22	23	24	23	24	25	25	24	24	26	25	24	25	23	26	26	26	26	27	26	28	28	27	28	28	27	28	27	27	29	31	31	30	31	30	30	32	31	33	31	31	30	31	33	31	32	32	34	34	35	33	34	35	35	37	37	38	39	39	39	41	41	41	41	0	4	1	3	3	3	3	4	4	8	5	8	11	12	16	14	15	16	16	27	24	14	18	17	24	21	18	23	24	25	25	18	22	29	31	24	18	32	23	14	39	30	33	18	35	35	38	32	33	33	43	23	42	42	46	33	44	27	46	47	38	53	46	48	42	59	48	51	50	40	53	50	48	69	63	72	39	80	67	50	74	71	72	52	63	63	72	76	69	63	72	87	76	84	89	74	91	73	95	89	94	99	74	58	27	94	96	96	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	3	5	2	3	7	1	3	1	3	2	1	1	2	2	3	1	5	2	2	2	1	2	3	2	1	2	1	3	1	3	2	2	1	1	3	4	1	2	1	2	2	3	1	2	3	2	2	3	3	2	2	2	1	1	2	2	2	2	1	2	3	2	5	2	2	1	1	7	9	21	5	3	4
3000	-875.659636473918567	-881.598833693003826	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.522331178687900	-1	4	2	2	4	4	3	5	6	7	7	7	12	9	13	11	15	15	15	17	17	14	17	17	19	19	15	17	18	19	18	21	21	21	22	22	22	22	21	20	23	22	23	24	21	23	25	22	25	25	26	23	24	24	24	24	26	24	24	25	25	26	25	28	27	27	29	28	27	29	29	28	28	26	28	30	29	30	31	31	32	30	31	31	31	31	32	32	32	33	32	35	36	36	34	35	36	34	38	35	37	39	39	39	41	42	41	39	0	7	1	1	3	1	1	4	3	8	5	8	11	12	12	14	14	16	16	15	17	16	27	17	17	21	15	18	21	31	21	27	18	29	25	29	33	33	27	19	39	45	33	23	30	30	37	40	44	40	43	39	45	45	42	37	44	32	25	56	33	46	35	32	46	63	48	51	58	64	35	44	50	50	46	72	50	74	67	74	80	75	72	77	75	66	72	72	80	75	83	87	76	98	89	80	91	67	89	89	98	100	69	74	27	101	102	99	1	1	1	1	1	3	3	1	3	1	2	1	3	2	3	1	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	3	3	2	1	2	1	1	2	3	1	1	2	3	1	2	1	1	1	2	2	1	2	2	1	2	1	1	3	1	2	3	1	2	2	2	4	1	2	1	4	2	2	1	2	2	2	2	1	2	1	1	1	1	1	2	2	2	1	2	1	2	3	1	1	3	2	2	4	1	1	2	7	10	23	2	1	1
3500	-872.449551094535764	-878.388748313621022	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.461013266839469	-1	3	2	5	4	5	5	5	7	5	7	7	11	8	13	10	14	12	16	14	18	15	18	15	18	18	15	16	18	19	19	22	21	21	21	21	21	19	22	23	24	22	23	24	24	23	24	22	24	25	25	23	24	27	26	24	26	24	25	24	25	26	27	27	28	26	29	27	28	28	29	28	28	28	31	31	29	31	30	30	31	31	32	32	31	30	30	34	34	33	33	34	34	36	34	35	34	33	38	37	38	39	39	40	41	42	42	39	0	1	1	2	3	1	3	2	4	2	5	8	11	12	14	14	15	16	22	14	24	15	18	17	17	24	18	27	17	25	26	18	38	29	25	26	23	27	23	28	33	35	48	33	42	30	37	23	32	48	32	33	35	45	35	33	47	48	35	32	44	53	55	32	54	35	39	43	50	50	55	64	50	58	63	67	50	80	73	74	74	86	67	79	71	54	72	87	81	82	83	87	87	84	74	78	91	79	89	95	94	96	96	74	20	94	99	96	1	2	2	1	1	3	2	2	1	2	2	1	2	1	2	1	1	1	1	3	2	2	3	1	2	2	2	1	1	1	1	4	1	1	2	1	2	2	2	3	1	1	1	2	2	2	1	2	1	2	2	1	1	2	3	2	1	1	2	1	1	1	1	3	1	2	5	1	2	1	2	1	1	2	2	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	3	2	2	3	2	1	2	3	2	2	2	2	7	25	3	2	2
4000	-859.621428497145871	-865.560625716231129	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.517290184811650	-2	3	1	4	3	5	4	5	5	7	7	7	11	10	13	11	14	15	15	17	16	15	17	17	19	18	14	17	18	20	18	20	22	20	21	22	22	21	22	22	23	23	24	20	23	22	23	23	24	23	25	24	25	27	25	24	26	24	25	24	26	27	26	27	29	27	29	29	27	29	28	28	28	28	32	29	29	30	31	31	32	31	30	32	31	30	32	34	34	34	32	33	35	35	35	33	35	33	37	36	38	39	39	39	41	41	42	40	0	3	1	2	3	1	3	2	2	8	3	4	5	12	14	14	15	27	16	17	17	15	27	21	31	21	16	18	24	25	21	19	27	29	30	29	23	27	32	27	23	35	33	18	35	35	33	39	33	39	41	40	46	45	46	37	47	40	46	47	44	53	46	50	54	55	41	51	58	73	55	44	40	58	86	64	64	74	64	67	80	86	72	41	86	71	67	76	74	82	83	87	88	67	80	80	91	79	80	74	94	96	89	80	16	98	102	103	1	1	1	1	1	3	2	1	1	1	4	2	5	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	4	1	1	2	2	3	1	4	3	1	1	3	1	1	1	1	2	1	1	2	2	2	2	1	2	1	1	1	3	2	1	2	1	1	4	1	1	1	2	5	3	2	1	1	1	1	3	1	1	1	1	5	1	1	2	2	3	2	2	1	1	4	2	1	2	1	3	4	2	3	3	5	21	4	1	1
4500	-824.756881865466198	-830.696079084551457	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.543585421912538	0	3	2	5	3	5	5	5	6	6	7	8	12	10	13	11	16	14	15	17	17	15	18	17	19	19	15	17	18	19	18	22	19	21	21	21	22	21	20	22	23	22	24	23	24	23	24	22	26	25	25	22	24	26	25	24	25	25	25	26	25	26	26	28	28	27	29	29	29	27	27	28	28	28	29	30	29	31	30	31	31	30	31	32	32	30	32	33	33	33	33	34	35	35	34	35	35	36	38	37	37	39	38	40	40	40	42	40	0	3	1	2	1	3	3	2	2	8	7	4	11	12	12	14	15	16	16	19	15	15	27	15	21	21	18	27	17	21	17	18	15	29	25	24	33	33	23	18	38	21	32	38	30	42	37	23	32	48	52	18	46	42	30	33	47	33	46	47	52	45	46	40	55	46	50	43	52	40	35	50	23	58	71	58	40	74	58	74	74	71	76	64	75	71	76	73	80	82	83	76	87	64	89	89	91	64	95	96	94	99	78	99	33	98	96	99	1	1	1	2	2	2	2	1	2	1	1	1	2	2	3	1	2	2	3	1	2	1	2	1	1	1	1	1	2	1	1	3	2	1	1	2	1	1	1	4	1	3	1	1	3	1	1	2	2	1	1	4	1	2	3	2	1	3	1	1	2	1	1	3	2	2	2	3	3	3	3	2	3	1	1	1	4	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	3	1	1	1	3	2	1	1	1	3	1	19	2	4	1
