step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.95391	0.11824	1.00000	0.23856	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.96400	0.16600	0.91200	0.21841	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.96200	0.31000	0.85000	0.22682	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.96400	0.30800	0.85000	0.23584	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.95200	0.31000	0.76200	0.24546	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.94000	0.32100	0.68600	0.25096	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.91200	0.32040	0.54400	0.25319	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.89600	0.33100	0.35200	0.25470	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.87000	0.33343	0.35400	0.25530	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.81600	0.33775	0.35733	0.25727	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.80400	0.33711	0.35350	0.25875	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.77800	0.34080	0.35240	0.25931	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.88200	0.34091	0.35800	0.26036	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.86800	0.33733	0.36229	0.26337	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.80800	0.33385	0.36325	0.26642	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.69200	0.32886	0.37578	0.26975	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.57200	0.32573	0.37860	0.27291	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.40200	0.32050	0.38691	0.27650	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.40900	0.31671	0.39317	0.28000	0.098526125335693	0.444444444444444	0.170859375000000	0
10000		0.41400	0.31178	0.39677	0.28320	0.098526125335693	0.444444444444444	0.170859375000000	0
10500		0.41750	0.31063	0.40386	0.28609	0.098526125335693	0.444444444444444	0.170859375000000	0
11000		0.41040	0.30560	0.41133	0.28884	0.098526125335693	0.444444444444444	0.170859375000000	0
11500		0.41133	0.30124	0.41600	0.29166	0.098526125335693	0.444444444444444	0.170859375000000	0
12000		0.41057	0.30073	0.41718	0.29377	0.098526125335693	0.444444444444444	0.170859375000000	0
12500		0.41775	0.29913	0.41844	0.29528	0.098526125335693	0.444444444444444	0.170859375000000	0
13000		0.41867	0.29633	0.42179	0.29736	0.098526125335693	0.444444444444444	0.170859375000000	0
13500		0.41820	0.29448	0.42410	0.29942	0.098526125335693	0.444444444444444	0.170859375000000	0
14000		0.41655	0.29215	0.42676	0.30142	0.098526125335693	0.444444444444444	0.170859375000000	0
14500		0.41700	0.29126	0.42764	0.30287	0.098526125335693	0.444444444444444	0.170859375000000	0
15000		0.41815	0.29014	0.42774	0.30381	0.098526125335693	0.444444444444444	0.170859375000000	0
15500		0.41786	0.29007	0.42967	0.30501	0.098526125335693	0.444444444444444	0.170859375000000	0
16000		0.41867	0.28947	0.43040	0.30620	0.098526125335693	0.444444444444444	0.170859375000000	0
16500		0.41850	0.28942	0.43154	0.30687	0.098526125335693	0.444444444444444	0.170859375000000	0
17000		0.41565	0.28813	0.43215	0.30769	0.098526125335693	0.444444444444444	0.170859375000000	0
17500		0.41622	0.28739	0.43336	0.30862	0.098526125335693	0.444444444444444	0.170859375000000	0
18000		0.41716	0.28606	0.43434	0.30968	0.098526125335693	0.444444444444444	0.170859375000000	0
18500		0.41830	0.28514	0.43460	0.31037	0.098526125335693	0.444444444444444	0.170859375000000	0
19000		0.41886	0.28506	0.43600	0.31142	0.098526125335693	0.444444444444444	0.170859375000000	0
19500		0.41891	0.28384	0.43650	0.31214	0.098526125335693	0.444444444444444	0.170859375000000	0
20000		0.42052	0.28389	0.43661	0.31255	0.098526125335693	0.444444444444444	0.170859375000000	0
20500		0.41942	0.28308	0.43800	0.31342	0.098526125335693	0.444444444444444	0.170859375000000	0
21000		0.41856	0.28295	0.43800	0.31407	0.098526125335693	0.444444444444444	0.170859375000000	0
21500		0.41931	0.28210	0.43811	0.31484	0.098526125335693	0.444444444444444	0.170859375000000	0
22000		0.42222	0.28148	0.43773	0.31477	0.098526125335693	0.444444444444444	0.170859375000000	0
22500		0.42429	0.28112	0.43647	0.31492	0.098526125335693	0.444444444444444	0.170859375000000	0
23000		0.42593	0.28064	0.43569	0.31483	0.098526125335693	0.444444444444444	0.170859375000000	0
23500		0.42573	0.28147	0.43455	0.31469	0.098526125335693	0.444444444444444	0.170859375000000	0
24000		0.42723	0.28213	0.43390	0.31520	0.098526125335693	0.444444444444444	0.170859375000000	0
24500		0.42862	0.28170	0.43486	0.31569	0.098526125335693	0.444444444444444	0.170859375000000	0
25000		0.42921	0.28137	0.43535	0.31620	0.098526125335693	0.444444444444444	0.170859375000000	0
25500		0.42912	0.28082	0.43582	0.31650	0.098526125335693	0.444444444444444	0.170859375000000	0
26000		0.42891	0.28012	0.43622	0.31713	0.098526125335693	0.444444444444444	0.170859375000000	0
26500		0.42828	0.28016	0.43622	0.31765	0.098526125335693	0.444444444444444	0.170859375000000	0
27000		0.42822	0.27965	0.43655	0.31818	0.098526125335693	0.444444444444444	0.170859375000000	0
27500		0.42705	0.27804	0.43767	0.31879	0.098526125335693	0.444444444444444	0.170859375000000	0
28000		0.42697	0.27733	0.43829	0.31935	0.098526125335693	0.444444444444444	0.170859375000000	0
28500		0.42755	0.27695	0.43864	0.31966	0.098526125335693	0.444444444444444	0.170859375000000	0
29000		0.42712	0.27657	0.43937	0.32022	0.098526125335693	0.444444444444444	0.170859375000000	0
29500		0.42624	0.27614	0.43962	0.32067	0.098526125335693	0.444444444444444	0.170859375000000	0
