step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.97796	0.12625	1.00000	0.33242	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98600	0.19000	0.90200	0.32267	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.95200	0.25400	0.86400	0.32060	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.95400	0.26400	0.86600	0.31523	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.94000	0.28733	0.76400	0.31235	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.92200	0.28750	0.65800	0.31214	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.89000	0.29360	0.54400	0.31109	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.89000	0.29900	0.35600	0.31031	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.82800	0.29657	0.38700	0.30953	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.80200	0.30500	0.38667	0.30912	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.79000	0.30978	0.36200	0.30710	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.84800	0.31000	0.36360	0.30628	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.91800	0.30255	0.36667	0.30618	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.80600	0.29833	0.36771	0.30722	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.73000	0.29769	0.37100	0.30773	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.59800	0.29114	0.37422	0.30956	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.44800	0.28453	0.37960	0.31241	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.45500	0.27800	0.38509	0.31539	0.065684083557129	0.444444444444444	0.170859375000000	0
9500		0.44333	0.27071	0.39350	0.31821	0.065684083557129	0.444444444444444	0.170859375000000	0
10000		0.42350	0.26400	0.39938	0.32050	0.065684083557129	0.444444444444444	0.170859375000000	0
10500		0.42080	0.25821	0.40614	0.32277	0.065684083557129	0.444444444444444	0.170859375000000	0
11000		0.42800	0.25250	0.40907	0.32548	0.065684083557129	0.444444444444444	0.170859375000000	0
11500		0.42257	0.24771	0.41037	0.32744	0.065684083557129	0.444444444444444	0.170859375000000	0
12000		0.41725	0.24355	0.41553	0.32923	0.065684083557129	0.444444444444444	0.170859375000000	0
12500		0.41244	0.24009	0.41833	0.33065	0.065684083557129	0.444444444444444	0.170859375000000	0
13000		0.41260	0.23608	0.41989	0.33205	0.065684083557129	0.444444444444444	0.170859375000000	0
13500		0.41255	0.23336	0.42270	0.33314	0.065684083557129	0.444444444444444	0.170859375000000	0
14000		0.41217	0.23062	0.42438	0.33452	0.065684083557129	0.444444444444444	0.170859375000000	0
14500		0.41123	0.22689	0.42727	0.33561	0.065684083557129	0.444444444444444	0.170859375000000	0
15000		0.40986	0.22471	0.42930	0.33630	0.065684083557129	0.444444444444444	0.170859375000000	0
15500		0.40787	0.22172	0.43058	0.33708	0.065684083557129	0.444444444444444	0.170859375000000	0
16000		0.40400	0.21853	0.43152	0.33786	0.065684083557129	0.444444444444444	0.170859375000000	0
16500		0.40271	0.21619	0.43331	0.33875	0.065684083557129	0.444444444444444	0.170859375000000	0
17000		0.40256	0.21369	0.43496	0.33960	0.065684083557129	0.444444444444444	0.170859375000000	0
17500		0.40211	0.21158	0.43614	0.34023	0.065684083557129	0.444444444444444	0.170859375000000	0
