step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.94790	0.09218	1.00000	0.27970	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.92800	0.14200	0.95600	0.27248	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.94200	0.19000	0.94600	0.28378	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.92000	0.33000	0.88000	0.28805	0.000337500000000	0.296296296296296	0.033750000000000	0
2500		0.91200	0.34000	0.80400	0.29119	0.000506250000000	0.296296296296296	0.050625000000000	0
3000		0.90200	0.34533	0.69600	0.29371	0.000759375000000	0.296296296296296	0.075937500000000	0
3500		0.89000	0.34700	0.58200	0.29814	0.001139062500000	0.296296296296296	0.113906250000000	0
4000		0.83400	0.35200	0.40000	0.30070	0.001708593750000	0.296296296296296	0.170859375000000	0
4500		0.78800	0.35567	0.40300	0.30127	0.002562890625000	0.296296296296296	0.170859375000000	0
5000		0.75200	0.35971	0.40333	0.30132	0.003844335937500	0.296296296296296	0.170859375000000	0
5500		0.70600	0.36575	0.38600	0.30121	0.005766503906250	0.296296296296296	0.170859375000000	0
6000		0.66800	0.36556	0.38960	0.30178	0.008649755859375	0.296296296296296	0.170859375000000	0
6500		0.76400	0.35580	0.38933	0.30543	0.012974633789063	0.296296296296296	0.170859375000000	0
7000		0.75200	0.34618	0.39943	0.31032	0.019461950683594	0.296296296296296	0.170859375000000	0
7500		0.66400	0.33950	0.40625	0.31566	0.029192926025391	0.296296296296296	0.170859375000000	0
8000		0.56400	0.32969	0.41578	0.32056	0.043789389038086	0.296296296296296	0.170859375000000	0
8500		0.42800	0.32514	0.42180	0.32491	0.065684083557129	0.296296296296296	0.170859375000000	0
9000		0.41500	0.31813	0.42782	0.32818	0.065684083557129	0.296296296296296	0.170859375000000	0
9500		0.41133	0.31388	0.42933	0.33059	0.065684083557129	0.296296296296296	0.170859375000000	0
10000		0.41700	0.30953	0.43277	0.33271	0.065684083557129	0.296296296296296	0.170859375000000	0
10500		0.41200	0.30456	0.43471	0.33484	0.065684083557129	0.296296296296296	0.170859375000000	0
11000		0.41267	0.30032	0.43773	0.33711	0.065684083557129	0.296296296296296	0.170859375000000	0
11500		0.41314	0.29690	0.43988	0.33920	0.065684083557129	0.296296296296296	0.170859375000000	0
12000		0.41700	0.29333	0.43776	0.34129	0.065684083557129	0.296296296296296	0.170859375000000	0
12500		0.41711	0.29091	0.43867	0.34272	0.065684083557129	0.296296296296296	0.170859375000000	0
13000		0.41960	0.28730	0.44200	0.34418	0.065684083557129	0.296296296296296	0.170859375000000	0
13500		0.41909	0.28550	0.44280	0.34603	0.065684083557129	0.296296296296296	0.170859375000000	0
14000		0.42150	0.28328	0.44419	0.34743	0.065684083557129	0.296296296296296	0.170859375000000	0
14500		0.42185	0.28169	0.44573	0.34871	0.065684083557129	0.296296296296296	0.170859375000000	0
15000		0.42386	0.28081	0.44913	0.34979	0.065684083557129	0.296296296296296	0.170859375000000	0
15500		0.42173	0.28021	0.44967	0.35074	0.065684083557129	0.296296296296296	0.170859375000000	0
16000		0.42212	0.27876	0.44920	0.35204	0.065684083557129	0.296296296296296	0.170859375000000	0
16500		0.41953	0.27633	0.44900	0.35317	0.065684083557129	0.296296296296296	0.170859375000000	0
17000		0.41867	0.27561	0.44896	0.35386	0.065684083557129	0.296296296296296	0.170859375000000	0
17500		0.41926	0.27563	0.44836	0.35474	0.065684083557129	0.296296296296296	0.170859375000000	0
18000		0.42040	0.27436	0.44972	0.35538	0.065684083557129	0.296296296296296	0.170859375000000	0
18500		0.42067	0.27353	0.45160	0.35604	0.065684083557129	0.296296296296296	0.170859375000000	0
19000		0.42027	0.27269	0.45219	0.35674	0.065684083557129	0.296296296296296	0.170859375000000	0
19500		0.41991	0.27250	0.45275	0.35764	0.065684083557129	0.296296296296296	0.170859375000000	0
20000		0.41975	0.27173	0.45285	0.35831	0.065684083557129	0.296296296296296	0.170859375000000	0
20500		0.41984	0.27032	0.45300	0.35902	0.065684083557129	0.296296296296296	0.170859375000000	0
21000		0.42031	0.26887	0.45440	0.35959	0.065684083557129	0.296296296296296	0.170859375000000	0
21500		0.42156	0.26840	0.45433	0.36022	0.065684083557129	0.296296296296296	0.170859375000000	0
22000		0.42314	0.26761	0.45497	0.36054	0.065684083557129	0.296296296296296	0.170859375000000	0
22500		0.42207	0.26743	0.45521	0.36117	0.065684083557129	0.296296296296296	0.170859375000000	0
23000		0.42320	0.26591	0.45615	0.36170	0.065684083557129	0.296296296296296	0.170859375000000	0
23500		0.42226	0.26505	0.45585	0.36225	0.065684083557129	0.296296296296296	0.170859375000000	0
24000		0.42225	0.26462	0.45624	0.36285	0.065684083557129	0.296296296296296	0.170859375000000	0
24500		0.42218	0.26413	0.45571	0.36336	0.065684083557129	0.296296296296296	0.170859375000000	0
25000		0.42182	0.26298	0.45749	0.36394	0.065684083557129	0.296296296296296	0.170859375000000	0
25500		0.42263	0.26262	0.45745	0.36412	0.065684083557129	0.296296296296296	0.170859375000000	0
26000		0.42133	0.26224	0.45844	0.36455	0.065684083557129	0.296296296296296	0.170859375000000	0
26500		0.42130	0.26252	0.45848	0.36492	0.065684083557129	0.296296296296296	0.170859375000000	0
27000		0.42105	0.26200	0.45868	0.36540	0.065684083557129	0.296296296296296	0.170859375000000	0
27500		0.41985	0.26096	0.45933	0.36579	0.065684083557129	0.296296296296296	0.170859375000000	0
28000		0.41995	0.26072	0.45841	0.36597	0.065684083557129	0.296296296296296	0.170859375000000	0
28500		0.42068	0.26022	0.45856	0.36632	0.065684083557129	0.296296296296296	0.170859375000000	0
29000		0.42071	0.25996	0.45867	0.36656	0.065684083557129	0.296296296296296	0.170859375000000	0
29500		0.42033	0.25957	0.45904	0.36683	0.065684083557129	0.296296296296296	0.170859375000000	0
30000		0.41995	0.25902	0.45909	0.36701	0.065684083557129	0.296296296296296	0.170859375000000	0
30500		0.41947	0.25862	0.45893	0.36724	0.065684083557129	0.296296296296296	0.170859375000000	0
31000		0.41909	0.25871	0.45891	0.36747	0.065684083557129	0.296296296296296	0.170859375000000	0
31500		0.41881	0.25827	0.45914	0.36766	0.065684083557129	0.296296296296296	0.170859375000000	0
32000		0.41887	0.25738	0.45947	0.36788	0.065684083557129	0.296296296296296	0.170859375000000	0
32500		0.41873	0.25706	0.45917	0.36800	0.065684083557129	0.296296296296296	0.170859375000000	0
33000		0.41900	0.25683	0.45919	0.36809	0.065684083557129	0.296296296296296	0.170859375000000	0
33500		0.41980	0.25712	0.45883	0.36806	0.065684083557129	0.296296296296296	0.170859375000000	0
34000		0.42062	0.25754	0.45836	0.36814	0.065684083557129	0.296296296296296	0.170859375000000	0
34500		0.42106	0.25712	0.45868	0.36836	0.065684083557129	0.296296296296296	0.170859375000000	0
35000		0.42167	0.25624	0.45883	0.36846	0.065684083557129	0.296296296296296	0.170859375000000	0
35500		0.42138	0.25582	0.45931	0.36854	0.065684083557129	0.296296296296296	0.170859375000000	0
36000		0.42154	0.25542	0.45868	0.36869	0.065684083557129	0.296296296296296	0.170859375000000	0
36500		0.42186	0.25534	0.45794	0.36898	0.065684083557129	0.296296296296296	0.170859375000000	0
37000		0.42169	0.25546	0.45803	0.36919	0.065684083557129	0.296296296296296	0.170859375000000	0
37500		0.42166	0.25497	0.45865	0.36932	0.065684083557129	0.296296296296296	0.170859375000000	0
38000		0.42207	0.25482	0.45881	0.36954	0.065684083557129	0.296296296296296	0.170859375000000	0
38500		0.42239	0.25446	0.45909	0.36980	0.065684083557129	0.296296296296296	0.170859375000000	0
39000		0.42229	0.25437	0.45918	0.36994	0.065684083557129	0.296296296296296	0.170859375000000	0
39500		0.42213	0.25387	0.45956	0.37010	0.065684083557129	0.296296296296296	0.170859375000000	0
40000		0.42188	0.25335	0.45953	0.37022	0.065684083557129	0.296296296296296	0.170859375000000	0
40500		0.42126	0.25290	0.45927	0.37040	0.065684083557129	0.296296296296296	0.170859375000000	0
41000		0.42139	0.25233	0.45947	0.37055	0.065684083557129	0.296296296296296	0.170859375000000	0
41500		0.42096	0.25165	0.45916	0.37055	0.065684083557129	0.296296296296296	0.170859375000000	0
42000		0.42065	0.25148	0.45909	0.37068	0.065684083557129	0.296296296296296	0.170859375000000	0
42500		0.42029	0.25076	0.45903	0.37087	0.065684083557129	0.296296296296296	0.170859375000000	0
