step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.42253	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.42557	0.31876	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.43203	0.32434	0.000150000000000	1.000000000000000	0.010000000000000	0
1500		-nan	-nan	0.43842	0.32178	0.000150000000000	1.000000000000000	0.010000000000000	0
2000		-nan	-nan	0.44434	0.32078	0.000150000000000	1.000000000000000	0.010000000000000	0
2500		-nan	-nan	0.45027	0.31782	0.000150000000000	1.000000000000000	0.010000000000000	0
3000		-nan	-nan	0.45585	0.31449	0.000150000000000	1.000000000000000	0.010000000000000	0
3500		-nan	-nan	0.46142	0.31095	0.000150000000000	1.000000000000000	0.010000000000000	0
4000		-nan	-nan	0.46673	0.30814	0.000150000000000	1.000000000000000	0.010000000000000	0
4500		-nan	-nan	0.47217	0.30600	0.000150000000000	1.000000000000000	0.010000000000000	0
5000		-nan	-nan	0.47718	0.30470	0.000150000000000	1.000000000000000	0.010000000000000	0
5500		-nan	-nan	0.48199	0.30312	0.000150000000000	1.000000000000000	0.010000000000000	0
6000		-nan	-nan	0.48689	0.30149	0.000150000000000	1.000000000000000	0.010000000000000	0
6500		-nan	-nan	0.49161	0.29989	0.000150000000000	1.000000000000000	0.010000000000000	0
7000		-nan	-nan	0.49628	0.29917	0.000150000000000	1.000000000000000	0.010000000000000	0
7500		-nan	-nan	0.50072	0.29887	0.000150000000000	1.000000000000000	0.010000000000000	0
8000		-nan	-nan	0.50525	0.29817	0.000150000000000	1.000000000000000	0.010000000000000	0
8500		-nan	-nan	0.50962	0.29743	0.000150000000000	1.000000000000000	0.010000000000000	0
9000		-nan	-nan	0.51401	0.29684	0.000150000000000	1.000000000000000	0.010000000000000	0
9500		-nan	-nan	0.51819	0.29675	0.000150000000000	1.000000000000000	0.010000000000000	0
10000		-nan	-nan	0.52221	0.29629	0.000150000000000	1.000000000000000	0.010000000000000	0
10500		-nan	-nan	0.52627	0.29551	0.000150000000000	1.000000000000000	0.010000000000000	0
11000		-nan	-nan	0.53013	0.29491	0.000150000000000	1.000000000000000	0.010000000000000	0
11500		-nan	-nan	0.53397	0.29445	0.000150000000000	1.000000000000000	0.010000000000000	0
12000		-nan	-nan	0.53788	0.29388	0.000150000000000	1.000000000000000	0.010000000000000	0
12500		-nan	-nan	0.54150	0.29345	0.000150000000000	1.000000000000000	0.010000000000000	0
13000		-nan	-nan	0.54513	0.29290	0.000150000000000	1.000000000000000	0.010000000000000	0
13500		-nan	-nan	0.54886	0.29276	0.000150000000000	1.000000000000000	0.010000000000000	0
14000		-nan	-nan	0.55247	0.29286	0.000150000000000	1.000000000000000	0.010000000000000	0
14500		-nan	-nan	0.55603	0.29282	0.000150000000000	1.000000000000000	0.010000000000000	0
15000		-nan	-nan	0.55920	0.29281	0.000150000000000	1.000000000000000	0.010000000000000	0
15500		-nan	-nan	0.56237	0.29265	0.000150000000000	1.000000000000000	0.010000000000000	0
16000		-nan	-nan	0.56569	0.29267	0.000150000000000	1.000000000000000	0.010000000000000	0
16500		-nan	-nan	0.56908	0.29256	0.000150000000000	1.000000000000000	0.010000000000000	0
17000		-nan	-nan	0.57222	0.29229	0.000150000000000	1.000000000000000	0.010000000000000	0
17500		-nan	-nan	0.57539	0.29197	0.000150000000000	1.000000000000000	0.010000000000000	0
18000		-nan	-nan	0.57828	0.29176	0.000150000000000	1.000000000000000	0.010000000000000	0
18500		-nan	-nan	0.58115	0.29135	0.000150000000000	1.000000000000000	0.010000000000000	0
19000		-nan	-nan	0.58416	0.29093	0.000150000000000	1.000000000000000	0.010000000000000	0
19500		-nan	-nan	0.58678	0.29056	0.000150000000000	1.000000000000000	0.010000000000000	0
20000		-nan	-nan	0.58968	0.29036	0.000150000000000	1.000000000000000	0.010000000000000	0
20500		-nan	-nan	0.59270	0.29039	0.000150000000000	1.000000000000000	0.010000000000000	0
21000		-nan	-nan	0.59546	0.29041	0.000150000000000	1.000000000000000	0.010000000000000	0
21500		-nan	-nan	0.59806	0.29027	0.000150000000000	1.000000000000000	0.010000000000000	0
22000		-nan	-nan	0.60071	0.29015	0.000150000000000	1.000000000000000	0.010000000000000	0
22500		-nan	-nan	0.60310	0.29006	0.000150000000000	1.000000000000000	0.010000000000000	0
23000		-nan	-nan	0.60574	0.29003	0.000150000000000	1.000000000000000	0.010000000000000	0
23500		-nan	-nan	0.60820	0.29003	0.000150000000000	1.000000000000000	0.010000000000000	0
24000		-nan	-nan	0.61058	0.29006	0.000150000000000	1.000000000000000	0.010000000000000	0
24500		-nan	-nan	0.61302	0.28989	0.000150000000000	1.000000000000000	0.010000000000000	0
25000		-nan	-nan	0.61541	0.28967	0.000150000000000	1.000000000000000	0.010000000000000	0
25500		-nan	-nan	0.61792	0.28966	0.000150000000000	1.000000000000000	0.010000000000000	0
26000		-nan	-nan	0.61999	0.28972	0.000150000000000	1.000000000000000	0.010000000000000	0
26500		-nan	-nan	0.62226	0.28967	0.000150000000000	1.000000000000000	0.010000000000000	0
