step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107
1	-16540.167593705438776	-16546.106790924524830	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.239571876483038	-1	3	5	3	4	6	6	6	7	7	7	6	8	8	9	9	9	9	10	10	11	10	11	11	12	12	12	11	13	13	12	14	13	13	13	13	14	13	13	13	14	14	14	15	14	14	15	15	17	16	15	17	15	15	18	18	17	19	18	17	17	17	18	18	17	18	19	17	18	19	19	18	20	21	20	19	21	20	21	21	20	21	22	21	22	23	23	24	23	25	24	26	27	30	28	29	31	30	29	35	38	38	39	41	45	50	53	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	4	4	4	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	6	7	7	7	6	7	7	7	8	7	7	7	7	8	7	7	7	8	8	8	8	8	8	8	8	9	9	8	9	8	8	10	10	9	10	10	9	9	9	10	10	9	10	10	9	10	10	10	10	11	11	11	10	11	11	11	11	11	11	12	11	12	12	12	13	12	13	13	14	14	16	15	15	16	16	15	18	20	20	20	21	23	26	27
500	-1822.639000180006406	-1828.578197399091550	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.180748661406945	-2	2	5	3	3	6	5	6	7	6	7	6	9	8	10	6	7	9	9	10	8	9	8	11	11	12	11	12	13	13	12	13	14	10	13	11	13	10	12	14	14	14	13	13	14	14	15	16	17	16	15	17	15	14	18	19	16	19	18	17	17	17	17	19	17	18	19	17	18	19	20	18	21	22	19	20	21	20	20	21	21	21	22	22	23	24	23	24	23	25	25	27	27	30	29	29	32	30	29	34	38	39	39	42	45	50	53	0	1	1	2	0	7	2	4	5	5	16	4	5	4	9	3	8	5	3	9	16	17	0	17	14	13	16	22	17	13	38	36	23	23	38	22	21	21	21	31	35	17	21	23	27	43	41	27	38	16	39	45	39	16	8	3	16	23	23	47	51	37	21	16	38	38	16	45	16	23	53	39	39	27	23	34	16	53	21	34	34	23	38	16	27	38	38	23	54	43	50	44	50	78	23	0	84	58	44	0	58	58	0	75	0	0	0	1	2	4	1	1	1	2	2	2	2	1	1	4	2	2	1	1	3	2	2	1	1	1	2	2	2	4	2	3	1	2	1	2	2	1	1	2	1	2	2	1	3	4	5	3	1	1	3	3	5	3	1	1	5	8	9	5	11	7	2	1	2	6	10	7	4	12	1	7	4	4	3	4	7	7	6	9	3	7	7	9	10	6	14	8	8	9	12	6	8	7	12	5	6	12	1	3	8	11	1	16	14	1	22	1	1	1
1000	-1442.583160361568616	-1448.522357580653761	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.263099297995105	-2	3	4	4	3	5	4	6	6	7	7	6	8	8	10	7	10	9	10	10	11	9	8	11	12	12	9	11	14	13	13	13	14	12	11	13	14	12	12	13	13	15	15	14	14	15	15	15	17	16	16	18	15	15	18	18	18	19	18	17	18	17	19	19	16	19	20	18	18	19	20	17	21	20	20	20	20	19	20	20	21	21	21	22	21	24	22	24	24	25	25	26	26	30	28	28	31	30	29	35	39	39	39	42	45	50	53	0	1	1	2	0	2	1	4	5	5	3	4	5	12	9	3	12	5	14	13	3	4	0	14	19	15	16	22	8	20	39	17	34	23	27	17	38	27	27	35	21	24	31	23	41	41	41	41	43	35	31	40	21	41	24	27	37	23	23	47	51	27	31	40	35	68	3	27	37	44	37	51	27	50	23	34	57	50	16	34	23	59	50	16	63	62	50	34	83	79	83	82	68	84	59	0	84	58	58	0	58	58	0	58	0	0	0	1	3	3	1	1	1	4	1	1	2	2	2	2	1	2	1	2	3	1	1	4	3	1	2	1	1	1	1	5	2	1	1	2	2	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	3	2	1	4	4	3	11	4	1	2	4	4	4	3	1	9	5	1	3	3	1	7	3	7	4	1	2	6	4	9	2	3	11	1	4	3	5	2	3	3	3	4	4	9	1	4	7	9	1	15	12	1	23	1	1	1
1500	-1464.353394334441873	-1470.292591553527018	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.396869826644662	0	3	5	4	3	7	6	5	6	7	7	6	8	8	9	9	9	9	10	11	12	11	8	9	12	13	12	10	12	13	13	15	13	13	14	13	14	10	11	13	14	14	14	14	14	15	15	16	18	16	15	18	15	16	18	19	17	17	18	17	18	17	18	18	18	18	19	18	18	19	19	18	20	20	19	20	21	19	21	22	20	21	22	22	22	23	23	24	24	24	24	25	26	29	28	29	31	31	30	36	39	39	40	42	46	51	54	0	1	2	2	0	3	3	2	5	5	3	4	5	4	9	11	12	13	12	15	38	8	0	4	19	20	38	17	28	20	39	36	23	23	27	12	16	16	38	21	40	36	27	34	21	41	41	41	38	31	21	40	27	47	24	50	21	23	44	47	38	37	21	40	40	62	69	43	50	59	49	21	69	49	23	34	49	49	52	44	23	59	57	21	43	61	83	80	78	77	87	75	57	89	76	0	94	58	58	0	81	81	0	58	0	0	0	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	2	1	2	1	2	3	1	2	1	1	2	1	1	1	1	2	2	2	1	6	3	1	1	1	1	1	1	1	1	1	1	1	5	2	2	4	1	1	4	2	3	9	2	1	4	2	2	3	1	1	1	2	1	1	1	4	1	1	6	4	1	1	2	5	10	2	2	5	4	2	1	2	1	3	1	3	4	2	4	1	1	6	9	1	12	14	1	23	1	1	1
2000	-1476.961337388768470	-1482.900534607853615	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.420957505349609	-1	3	5	4	4	7	6	6	6	8	7	7	8	7	9	9	9	9	11	10	9	11	9	11	12	12	11	10	14	14	12	13	14	13	13	13	14	12	13	14	13	15	13	16	14	15	15	16	18	16	14	15	15	16	19	18	15	19	17	17	15	17	19	18	16	18	19	16	17	20	20	16	21	20	20	20	21	21	22	22	19	20	22	21	23	22	24	24	24	24	25	25	27	30	28	30	31	30	30	36	37	38	39	42	45	50	52	0	1	1	2	0	2	2	4	5	5	3	4	9	8	5	3	14	9	8	10	3	17	0	17	3	20	21	17	24	20	27	22	34	23	16	22	43	3	31	43	38	2	21	33	38	41	41	41	61	37	39	40	27	41	24	68	37	23	34	47	27	50	72	40	35	61	53	21	21	34	43	51	68	57	59	44	43	69	84	44	23	59	77	37	79	61	77	76	83	67	78	76	89	91	88	0	94	58	81	0	81	81	0	58	0	0	0	1	3	3	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	3	2	1	1	1	1	2	1	2	1	2	2	1	1	1	2	2	1	1	3	1	1	1	5	1	2	1	1	1	1	2	1	1	1	2	1	4	1	1	9	2	1	2	1	1	2	2	1	3	3	3	4	4	1	3	2	1	3	4	2	1	3	9	1	1	5	1	4	2	2	1	2	2	2	1	2	3	1	1	6	8	1	11	14	1	23	1	1	1
2500	-1447.721198020473366	-1453.660395239558511	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.472775977864240	0	2	5	3	5	6	5	5	7	7	7	6	9	8	9	8	8	8	10	10	10	10	9	11	13	12	12	12	13	13	11	13	13	13	12	13	14	13	12	14	13	15	15	15	15	14	15	14	18	16	15	17	16	16	17	19	17	18	18	17	17	18	16	18	16	19	19	18	18	18	18	16	19	22	20	19	21	20	20	21	21	20	23	21	22	23	24	24	24	26	23	26	27	30	29	29	31	31	30	36	39	39	39	42	45	50	52	0	1	1	2	0	7	2	4	5	5	7	4	9	8	9	11	4	9	8	15	16	12	0	12	14	20	21	22	24	20	16	22	23	23	31	24	27	21	21	35	35	24	37	23	37	41	41	41	43	21	31	40	27	47	42	43	63	23	34	47	43	38	31	52	40	57	57	21	43	34	27	51	38	56	70	44	38	50	62	75	23	70	50	68	79	38	57	82	67	78	78	88	89	87	92	0	94	58	58	0	58	58	0	58	0	0	0	1	1	3	1	1	1	2	1	1	1	1	2	1	2	1	1	3	1	3	1	1	3	1	3	2	2	2	1	1	1	2	2	2	2	1	1	1	2	1	1	1	3	1	3	1	1	1	1	1	3	2	1	2	1	1	2	1	8	3	1	1	2	3	1	1	1	1	4	1	3	3	1	2	1	1	2	3	3	1	1	6	1	2	1	2	4	4	3	3	4	2	1	2	3	2	1	1	6	9	1	12	9	1	21	1	1	1
3000	-1888.570087610208702	-1894.509284829293847	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.515406394268440	-1	1	5	3	5	6	5	7	7	7	7	6	9	7	10	9	8	10	9	10	12	10	11	11	13	13	13	12	13	13	13	14	13	14	12	13	14	11	12	14	13	14	14	13	14	14	15	16	18	16	14	16	16	16	18	19	15	19	17	18	17	17	19	18	17	18	17	17	18	19	19	18	19	21	19	20	20	20	20	21	21	22	22	21	23	23	23	24	23	23	25	26	27	28	29	30	32	31	26	35	39	39	40	42	44	51	54	0	1	1	2	0	7	2	12	5	5	7	3	9	3	13	11	12	9	3	9	38	17	0	17	14	20	38	22	17	20	39	22	23	23	38	22	38	16	38	35	35	22	38	23	35	41	41	41	50	38	39	40	43	47	24	50	16	23	34	47	27	27	51	52	52	67	21	43	21	34	50	51	27	57	33	59	21	67	49	75	75	75	78	67	69	69	78	82	83	84	87	88	83	91	88	0	94	69	34	0	99	99	0	50	0	0	0	1	1	3	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	3	1	2	1	3	2	1	2	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	5	1	4	3	2	1	3	2	2	1	1	1	2	2	3	2	1	2	2	3	2	2	3	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	3	2	2	1	2	5	8	1	10	6	1	19	1	1	1
3500	-1602.936801003377468	-1608.875998222462613	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.438212738020469	-1	3	4	4	3	7	7	6	7	7	6	7	8	8	9	9	9	9	10	10	11	11	11	11	13	12	13	12	13	12	12	14	14	13	13	14	14	14	13	14	12	15	15	15	14	14	15	15	16	17	15	16	15	16	18	19	18	18	16	17	17	16	19	18	17	19	17	17	18	19	18	17	20	21	20	20	21	20	20	22	19	22	23	22	22	23	23	24	24	25	25	25	27	30	28	28	32	31	27	34	38	38	39	42	45	51	53	0	1	2	2	0	3	3	4	5	5	2	4	5	4	5	11	12	9	14	9	16	17	0	17	14	20	21	22	22	13	21	17	23	23	21	22	21	21	31	35	21	8	27	34	35	41	41	35	27	51	31	40	21	41	24	69	21	44	23	47	16	37	61	52	52	67	43	27	53	59	38	51	37	61	34	81	67	37	27	81	34	75	57	57	57	71	78	82	78	57	89	82	83	91	88	0	94	99	75	0	99	99	0	38	0	0	0	1	2	1	1	1	2	2	1	2	2	1	2	3	2	3	1	1	1	1	2	1	2	1	1	3	1	2	1	1	2	1	2	2	1	1	2	2	2	1	1	1	6	1	1	1	1	2	1	2	1	2	1	3	1	5	1	5	1	3	1	4	1	1	1	1	1	2	2	2	2	2	1	3	2	4	1	2	3	3	1	3	1	2	2	1	2	2	1	2	3	1	2	2	2	2	1	1	3	6	1	8	7	1	21	1	1	1
4000	-1434.688779760261241	-1440.627976979346386	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.553173390373019	0	3	6	4	3	6	6	6	8	6	7	5	8	6	8	8	7	9	10	10	10	9	11	12	11	12	11	10	13	14	12	14	14	13	12	12	14	13	13	13	13	14	14	15	14	15	15	15	18	17	16	16	15	16	19	18	15	19	17	17	17	17	19	19	18	18	18	17	17	19	19	19	21	22	18	19	21	20	22	22	21	21	21	21	23	21	24	25	23	24	24	26	28	29	28	29	31	30	28	35	38	38	38	42	45	50	53	0	1	2	2	0	2	2	4	10	5	7	4	5	4	5	11	4	13	3	15	16	17	0	17	19	20	21	22	22	20	27	36	23	23	27	22	21	27	31	35	35	8	27	34	35	41	41	41	38	37	39	40	43	35	24	69	38	44	23	47	37	37	37	52	52	57	38	37	38	44	43	61	38	67	34	59	67	69	69	75	23	59	78	69	79	50	78	81	83	84	83	81	87	87	92	0	94	96	42	0	99	99	0	42	0	0	0	1	1	2	1	1	2	1	2	1	2	1	1	3	1	2	1	2	1	2	2	1	1	1	3	1	1	1	1	3	1	1	1	2	1	1	2	2	2	1	1	1	5	2	1	1	2	2	1	3	2	2	1	1	1	3	1	1	2	3	1	3	1	3	2	1	2	2	2	3	2	3	1	3	2	2	1	2	2	3	2	5	2	1	3	1	2	2	2	1	2	1	2	2	3	1	1	2	1	7	1	5	6	1	19	1	1	1
4500	-1418.153503840401072	-1424.092701059486217	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.529646541337921	0	4	2	4	4	6	6	6	7	8	7	6	8	8	9	9	9	9	8	9	10	10	11	12	12	12	13	11	13	13	12	14	13	13	12	13	15	14	14	14	14	15	14	15	14	15	15	16	17	15	16	17	15	16	18	18	17	19	18	16	15	17	19	18	17	17	19	17	18	20	20	18	19	21	20	19	21	21	22	22	18	22	23	21	23	22	23	25	23	25	25	26	28	30	27	29	32	31	30	35	38	38	38	42	45	49	53	0	3	1	3	0	3	3	4	5	5	7	4	5	8	13	2	12	10	8	9	16	17	0	12	19	20	21	17	17	15	21	29	23	23	21	22	21	21	16	35	35	17	21	23	35	41	41	41	43	21	61	40	27	47	42	38	38	23	23	47	21	27	72	52	40	61	62	27	61	81	27	51	38	56	34	44	37	27	69	70	23	44	78	67	79	37	71	81	77	84	78	58	89	87	82	0	94	96	81	0	99	99	0	81	0	0	0	1	1	1	1	1	2	2	1	2	3	1	1	2	1	1	2	1	1	1	2	1	1	1	3	2	2	2	1	2	2	2	1	1	2	2	1	3	2	2	1	1	3	2	3	1	1	1	1	2	2	1	2	1	1	2	2	2	3	4	1	3	2	1	1	1	2	2	1	2	1	3	1	2	2	2	2	4	4	2	2	4	3	1	2	1	4	1	3	1	2	2	3	3	5	2	1	1	1	8	1	4	5	1	14	1	1	1
