step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.97395	0.09820	1.00000	0.31852	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.97400	0.16000	0.96800	0.31256	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.97200	0.20000	0.92800	0.30999	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.93200	0.29000	0.87400	0.30797	0.000337500000000	0.296296296296296	0.033750000000000	0
2500		0.92800	0.28600	0.78400	0.30508	0.000506250000000	0.296296296296296	0.050625000000000	0
3000		0.89600	0.30200	0.73000	0.30236	0.000759375000000	0.296296296296296	0.075937500000000	0
3500		0.85200	0.30700	0.59400	0.29870	0.001139062500000	0.296296296296296	0.113906250000000	0
4000		0.83200	0.31840	0.44400	0.29658	0.001708593750000	0.296296296296296	0.170859375000000	0
4500		0.76800	0.31667	0.44300	0.29396	0.002562890625000	0.296296296296296	0.170859375000000	0
5000		0.74800	0.32543	0.44667	0.29378	0.003844335937500	0.296296296296296	0.170859375000000	0
5500		0.68800	0.32700	0.43700	0.29392	0.005766503906250	0.296296296296296	0.170859375000000	0
6000		0.73800	0.32133	0.44400	0.29615	0.008649755859375	0.296296296296296	0.170859375000000	0
6500		0.80800	0.31100	0.44333	0.30146	0.012974633789063	0.296296296296296	0.170859375000000	0
7000		0.68800	0.29836	0.44686	0.30731	0.019461950683594	0.296296296296296	0.170859375000000	0
7500		0.63600	0.29000	0.44975	0.31251	0.029192926025391	0.296296296296296	0.170859375000000	0
8000		0.53400	0.28385	0.45600	0.31713	0.043789389038086	0.296296296296296	0.170859375000000	0
8500		0.41400	0.27614	0.45700	0.32097	0.065684083557129	0.296296296296296	0.170859375000000	0
9000		0.41500	0.27120	0.45964	0.32452	0.065684083557129	0.296296296296296	0.170859375000000	0
9500		0.40867	0.26525	0.46300	0.32780	0.065684083557129	0.296296296296296	0.170859375000000	0
10000		0.41950	0.26024	0.46662	0.33057	0.065684083557129	0.296296296296296	0.170859375000000	0
10500		0.42640	0.25644	0.47029	0.33271	0.065684083557129	0.296296296296296	0.170859375000000	0
11000		0.42533	0.25389	0.47040	0.33485	0.065684083557129	0.296296296296296	0.170859375000000	0
11500		0.43000	0.25260	0.47175	0.33647	0.065684083557129	0.296296296296296	0.170859375000000	0
12000		0.42500	0.25210	0.47141	0.33784	0.065684083557129	0.296296296296296	0.170859375000000	0
12500		0.42178	0.24964	0.47344	0.33913	0.065684083557129	0.296296296296296	0.170859375000000	0
13000		0.42280	0.24626	0.47495	0.34050	0.065684083557129	0.296296296296296	0.170859375000000	0
13500		0.42327	0.24542	0.47540	0.34150	0.065684083557129	0.296296296296296	0.170859375000000	0
14000		0.42600	0.24400	0.47505	0.34249	0.065684083557129	0.296296296296296	0.170859375000000	0
14500		0.42677	0.24192	0.47391	0.34342	0.065684083557129	0.296296296296296	0.170859375000000	0
15000		0.42657	0.23881	0.47252	0.34443	0.065684083557129	0.296296296296296	0.170859375000000	0
15500		0.42773	0.23714	0.47292	0.34543	0.065684083557129	0.296296296296296	0.170859375000000	0
16000		0.42675	0.23531	0.47360	0.34654	0.065684083557129	0.296296296296296	0.170859375000000	0
16500		0.42506	0.23407	0.47362	0.34764	0.065684083557129	0.296296296296296	0.170859375000000	0
17000		0.42622	0.23290	0.47230	0.34845	0.065684083557129	0.296296296296296	0.170859375000000	0
17500		0.42716	0.23256	0.47379	0.34929	0.065684083557129	0.296296296296296	0.170859375000000	0
18000		0.42590	0.23030	0.47434	0.34994	0.065684083557129	0.296296296296296	0.170859375000000	0
18500		0.42667	0.22829	0.47467	0.35081	0.065684083557129	0.296296296296296	0.170859375000000	0
19000		0.42700	0.22674	0.47555	0.35169	0.065684083557129	0.296296296296296	0.170859375000000	0
19500		0.42652	0.22706	0.47775	0.35235	0.065684083557129	0.296296296296296	0.170859375000000	0
20000		0.42608	0.22681	0.47927	0.35289	0.065684083557129	0.296296296296296	0.170859375000000	0
20500		0.42720	0.22653	0.47935	0.35351	0.065684083557129	0.296296296296296	0.170859375000000	0
21000		0.42731	0.22574	0.48097	0.35427	0.065684083557129	0.296296296296296	0.170859375000000	0
21500		0.42896	0.22465	0.48144	0.35501	0.065684083557129	0.296296296296296	0.170859375000000	0
22000		0.42957	0.22390	0.48146	0.35563	0.065684083557129	0.296296296296296	0.170859375000000	0
22500		0.42979	0.22381	0.48105	0.35596	0.065684083557129	0.296296296296296	0.170859375000000	0
23000		0.42993	0.22288	0.48133	0.35639	0.065684083557129	0.296296296296296	0.170859375000000	0
23500		0.42942	0.22209	0.48115	0.35688	0.065684083557129	0.296296296296296	0.170859375000000	0
24000		0.42938	0.22080	0.48161	0.35746	0.065684083557129	0.296296296296296	0.170859375000000	0
24500		0.42770	0.22017	0.48167	0.35799	0.065684083557129	0.296296296296296	0.170859375000000	0
25000		0.42712	0.21987	0.48186	0.35853	0.065684083557129	0.296296296296296	0.170859375000000	0
25500		0.42737	0.22033	0.48191	0.35887	0.065684083557129	0.296296296296296	0.170859375000000	0
26000		0.42661	0.21980	0.48200	0.35937	0.065684083557129	0.296296296296296	0.170859375000000	0
26500		0.42541	0.21952	0.48261	0.35978	0.065684083557129	0.296296296296296	0.170859375000000	0
27000		0.42463	0.21941	0.48243	0.36006	0.065684083557129	0.296296296296296	0.170859375000000	0
27500		0.42482	0.21927	0.48167	0.36054	0.065684083557129	0.296296296296296	0.170859375000000	0
28000		0.42500	0.21830	0.48114	0.36086	0.065684083557129	0.296296296296296	0.170859375000000	0
28500		0.42493	0.21856	0.48072	0.36124	0.065684083557129	0.296296296296296	0.170859375000000	0
29000		0.42548	0.21840	0.48114	0.36159	0.065684083557129	0.296296296296296	0.170859375000000	0
29500		0.42544	0.21814	0.48088	0.36203	0.065684083557129	0.296296296296296	0.170859375000000	0
30000		0.42573	0.21814	0.48068	0.36235	0.065684083557129	0.296296296296296	0.170859375000000	0
30500		0.42511	0.21776	0.48081	0.36272	0.065684083557129	0.296296296296296	0.170859375000000	0
31000		0.42465	0.21810	0.48047	0.36282	0.065684083557129	0.296296296296296	0.170859375000000	0
31500		0.42468	0.21783	0.47961	0.36304	0.065684083557129	0.296296296296296	0.170859375000000	0
32000		0.42421	0.21770	0.47944	0.36317	0.065684083557129	0.296296296296296	0.170859375000000	0
32500		0.42433	0.21713	0.47928	0.36341	0.065684083557129	0.296296296296296	0.170859375000000	0
33000		0.42436	0.21724	0.47956	0.36370	0.065684083557129	0.296296296296296	0.170859375000000	0
33500		0.42506	0.21719	0.47917	0.36383	0.065684083557129	0.296296296296296	0.170859375000000	0
34000		0.42550	0.21742	0.47938	0.36393	0.065684083557129	0.296296296296296	0.170859375000000	0
34500		0.42566	0.21758	0.47968	0.36409	0.065684083557129	0.296296296296296	0.170859375000000	0
35000		0.42641	0.21722	0.47908	0.36425	0.065684083557129	0.296296296296296	0.170859375000000	0
35500		0.42745	0.21721	0.47909	0.36439	0.065684083557129	0.296296296296296	0.170859375000000	0
