step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93
1	-14315.795437465329087	-14314.333355380809735	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.851452456573487	0	2	3	4	4	5	5	6	7	8	7	8	8	9	8	11	10	10	11	10	11	15	15	15	14	13	15	15	14	16	15	15	17	20	16	17	17	19	19	20	19	21	21	20	22	22	21	22	21	23	23	24	25	24	24	23	25	24	25	24	24	25	25	27	26	25	26	26	26	28	27	26	27	28	27	27	28	28	28	29	29	29	30	30	29	31	31	32	33	32	32	34	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	4	4	4	4	5	4	6	5	5	6	5	6	8	8	8	7	7	8	8	7	8	8	8	9	10	8	9	9	10	10	10	10	11	11	10	11	11	11	11	11	12	12	12	13	12	12	12	13	12	13	12	12	13	13	14	13	13	13	13	13	14	14	13	14	14	14	14	14	14	14	15	15	15	15	15	15	16	16	16	17	16	16	17	19
500	-3126.395502658518126	-3123.228920348486099	-3.166582310031814	0.000009983750642	0.000061188077209	6.128766573126301	0.176865163167160	0	1	4	2	3	5	5	6	5	7	7	9	9	9	8	11	7	10	9	9	8	15	12	14	14	13	12	12	15	13	14	14	17	21	16	15	14	20	16	17	19	21	22	21	23	22	22	22	22	23	24	25	26	24	25	24	26	23	26	25	24	25	26	28	27	26	27	27	27	29	28	27	28	29	27	27	29	29	29	29	29	30	30	31	29	31	32	33	33	32	33	35	39	0	1	5	1	2	5	4	5	4	6	7	9	10	9	10	14	9	0	15	17	17	20	19	21	20	20	21	15	24	27	27	28	0	23	27	19	30	27	17	30	28	21	27	39	37	30	28	37	37	30	39	39	39	28	39	39	40	40	39	40	39	39	37	39	36	37	39	27	39	40	37	36	23	37	49	27	37	37	39	40	36	27	40	37	58	39	39	39	39	39	39	77	42	1	1	1	1	1	1	3	2	1	1	1	3	1	2	1	1	2	1	1	1	1	3	2	4	4	2	2	2	1	1	1	1	1	8	2	6	1	6	8	2	5	11	6	4	9	5	8	8	6	4	8	8	9	6	8	8	9	4	10	6	5	6	11	8	8	11	8	12	8	10	11	9	14	10	5	7	15	14	13	11	11	15	9	13	5	13	13	15	11	11	13	4	13
1000	-2668.621340532353770	-2664.723349661406701	-3.897990870947133	0.000009985329295	0.000095049488822	9.518913799976810	0.207779231172854	0	2	3	4	4	6	6	6	5	7	8	6	8	8	8	12	7	10	11	10	10	15	14	14	14	14	13	15	15	14	15	16	17	21	15	17	16	19	16	17	16	21	22	21	23	21	21	23	20	21	24	24	25	23	23	23	24	25	26	24	24	26	26	28	27	25	25	27	27	29	28	26	28	29	27	27	29	29	28	30	29	30	30	30	29	32	32	33	33	33	33	35	39	0	1	2	1	3	5	4	5	4	6	7	9	10	17	10	14	9	0	15	17	17	26	19	21	20	20	21	23	24	27	27	28	0	23	27	28	30	27	30	30	28	39	27	39	39	40	41	37	39	40	39	39	39	41	39	39	50	46	39	50	42	48	39	44	41	39	56	46	39	46	39	41	41	39	49	58	39	39	39	40	41	39	46	39	58	39	39	39	39	46	39	69	66	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	5	1	1	1	4	2	2	1	4	5	3	4	3	3	7	2	2	8	6	7	3	5	5	2	2	9	2	2	3	8	6	8	8	2	4	7	7	7	7	9	10	5	1	12	9	10	10	11	13	6	9	2	13	11	14	11	8	12	5	11
1500	-2187.877910933770181	-2184.469819311926130	-3.408091621844089	0.000010117204100	0.000072320100380	7.148229853256304	0.320600017695465	0	1	3	4	4	6	6	6	6	8	7	8	9	9	9	11	8	10	12	10	10	14	14	14	15	13	13	15	15	14	15	16	16	20	17	17	15	18	16	18	16	18	22	17	21	20	21	19	19	24	23	24	22	25	25	23	26	23	25	23	25	26	25	27	27	25	26	26	27	29	26	26	28	29	28	27	29	25	29	29	30	30	31	30	30	31	32	33	34	33	32	34	38	0	1	2	1	3	5	4	5	4	6	7	9	10	9	10	14	9	0	15	17	17	20	19	21	20	20	21	23	24	27	27	28	0	23	27	28	30	27	37	30	28	39	31	39	39	40	41	42	42	46	39	48	44	47	48	49	50	46	39	46	51	55	44	53	41	42	56	46	44	58	48	41	47	42	67	68	63	44	48	46	47	49	58	44	80	53	63	51	78	70	44	77	74	1	1	2	3	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	3	1	2	2	2	2	1	1	1	2	1	1	4	2	1	1	3	1	2	1	1	4	1	2	1	2	1	1	4	6	2	3	2	4	3	1	2	6	1	1	1	8	4	8	6	1	3	7	5	5	6	3	9	2	1	4	7	8	8	7	9	5	7	1	9	7	9	7	3	9	2	3
2000	-1841.901226827176515	-1839.127932170238182	-2.773294656938300	0.000010267563315	0.000047819281526	4.657315475760323	0.452722872600475	-1	1	3	3	4	6	5	6	6	7	8	9	8	7	9	11	9	11	11	11	11	15	14	13	15	14	13	15	15	15	16	16	17	21	16	16	16	17	17	18	18	18	22	18	22	20	19	19	20	24	23	24	22	21	23	21	26	23	25	25	24	25	25	27	27	25	25	25	24	29	28	26	28	29	27	26	28	29	29	29	30	30	30	31	30	32	31	32	34	32	32	33	38	0	1	2	1	3	5	4	5	4	6	7	9	10	9	13	14	14	0	15	17	17	20	19	21	20	20	21	23	24	27	27	28	0	23	27	28	30	27	37	30	36	39	38	39	39	40	41	42	42	46	48	48	44	47	48	49	50	46	48	50	51	55	44	63	54	52	56	58	44	58	62	47	54	48	67	68	69	63	48	58	54	56	58	63	80	53	69	56	63	80	69	77	74	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	3	2	1	1	1	1	4	1	1	2	2	2	1	1	1	2	1	1	4	1	1	1	2	1	2	2	1	3	1	2	1	1	1	1	3	2	2	2	2	2	1	2	2	4	1	1	1	6	1	3	1	2	1	6	5	2	3	5	8	2	1	2	4	6	3	7	6	4	5	1	9	6	6	5	2	6	2	3
2500	-1723.630425907352446	-1720.992918325687924	-2.637507581664570	0.000010290255612	0.000043211144385	4.199229447183871	0.474868825795267	0	2	3	4	5	6	6	7	6	7	7	8	8	8	9	11	9	10	11	10	10	14	13	13	15	14	14	14	14	15	16	16	17	19	17	16	16	18	18	20	19	19	22	19	22	21	21	20	21	23	22	24	24	22	23	23	25	24	25	25	23	25	25	28	27	25	24	26	24	29	28	27	28	29	26	28	29	28	29	28	29	30	30	29	30	32	31	32	33	32	33	34	39	0	1	2	1	3	5	4	5	4	6	7	9	10	9	13	14	14	0	15	17	17	20	19	21	22	20	21	23	24	27	27	28	0	23	27	28	27	27	37	30	36	39	38	39	39	40	41	42	42	46	48	48	44	47	48	49	50	46	55	50	51	52	69	53	54	48	56	58	44	58	62	54	54	66	67	68	69	69	55	58	54	75	70	69	80	69	69	75	69	85	69	89	86	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	3	1	1	1	1	2	1	2	3	1	1	2	1	3	1	1	2	1	2	1	1	1	2	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	3	1	1	5	3	2	5	5	2	2	1	2	4	5	3	6	4	1	3	1	8	5	6	4	2	5	1	4
3000	-1669.359431453800426	-1666.439542338441015	-2.919889115359370	0.000010853760357	0.000056220665251	5.179832924310323	0.587279329493196	0	1	2	4	3	5	5	6	7	7	7	9	8	10	9	11	9	7	11	10	11	16	14	13	15	13	14	15	14	15	15	16	17	20	16	16	17	19	19	20	19	20	22	20	22	21	21	21	22	22	23	23	24	22	24	23	25	23	25	25	24	24	26	25	27	26	26	26	24	27	27	27	27	29	27	28	29	28	28	29	28	29	30	31	30	32	32	33	32	32	32	34	38	0	1	2	1	3	5	4	5	4	6	7	9	10	9	13	14	9	0	15	17	17	20	19	21	20	20	21	23	24	27	27	28	0	23	27	28	30	27	37	30	36	39	38	39	39	40	41	42	42	46	48	48	44	47	48	49	50	46	52	50	52	52	53	53	54	52	56	58	44	58	62	54	54	66	67	68	69	69	62	58	54	67	70	77	80	69	69	75	69	85	84	89	86	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	4	2	2	2	2	2	1	1	1	1	1	1	3	1	1	1	3	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	2	2	1	2	3	2	1	4	4	2	1	2	2	2	3	3	4	2	2	1	1	8	5	6	4	1	1	1	3
3500	-1489.601045250221887	-1486.318104414939398	-3.282940835282480	0.000012157819667	0.000080343169329	6.608353432587210	0.617351840999740	-1	1	3	4	4	5	6	6	7	7	8	8	8	9	9	11	10	10	11	11	12	14	14	14	15	13	14	15	15	15	15	16	17	20	17	17	18	19	19	20	20	21	21	20	21	22	22	22	22	23	23	23	25	24	24	23	26	23	24	25	25	24	26	27	27	25	24	26	24	27	25	25	28	27	26	28	28	28	27	28	26	28	29	30	30	32	32	33	34	33	33	35	38	0	1	2	1	3	5	4	5	4	6	7	9	10	9	13	14	14	0	15	17	17	20	19	21	22	20	21	23	24	27	27	28	0	23	27	28	30	27	37	30	36	39	38	39	39	40	41	42	42	46	48	48	69	47	48	49	60	46	48	50	51	48	53	53	72	48	56	58	44	58	62	54	72	66	67	68	69	69	71	70	72	67	70	77	80	69	77	75	84	85	87	89	86	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	3	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	1	1	1	2	1	1	1	8	2	6	2	1	1	1	3
4000	-1409.179304272042145	-1406.687799453790149	-2.491504818252030	0.000014043848300	0.000052426164558	3.733034097055311	0.704892416417234	0	2	3	2	4	6	5	6	7	7	7	8	8	8	9	10	10	9	11	11	11	15	14	13	14	12	14	15	14	16	15	16	15	19	16	18	17	19	19	20	19	20	20	20	23	22	20	21	21	23	24	24	25	23	24	23	25	24	26	25	25	25	26	27	26	25	24	26	23	27	27	25	28	28	27	28	27	28	29	28	28	29	30	30	29	32	31	33	32	32	33	34	37	0	1	2	1	3	5	4	5	4	6	7	9	10	9	13	14	14	0	15	17	17	20	19	21	20	20	21	23	24	27	27	28	0	23	27	28	27	27	37	30	36	39	38	39	39	40	41	42	42	46	48	48	69	47	48	49	50	46	55	50	51	48	53	53	72	48	56	58	44	58	62	54	65	66	67	68	69	69	71	70	72	75	70	77	80	69	84	82	84	85	87	89	86	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1	1	1	2	1	1	1	1	1	3	3	2	1	2	1	2	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	8	1	3	1	2	2	1	3
4500	-1323.393093871239898	-1321.153608166706817	-2.239485704533189	0.000018673280346	0.000055792361149	2.987817893471455	0.762822990036978	0	2	3	4	4	5	5	6	6	7	7	8	9	8	9	12	10	11	12	11	11	15	14	13	14	13	14	15	14	16	15	16	18	20	16	18	16	19	19	20	19	21	22	21	23	22	21	21	22	23	23	23	25	24	23	24	25	25	26	24	25	25	26	27	26	25	26	26	24	27	27	25	28	27	28	27	27	26	29	28	30	29	31	30	30	32	31	33	32	33	33	34	37	0	1	2	1	3	5	4	5	4	6	7	9	10	9	10	14	14	0	15	17	17	20	19	21	20	20	21	23	24	27	27	28	0	23	27	28	27	27	37	30	36	39	38	39	39	40	41	39	42	46	48	48	69	47	48	49	50	46	52	50	51	55	53	53	72	55	56	58	44	58	62	54	65	66	67	68	69	69	71	70	72	75	70	77	80	69	84	82	84	85	87	89	86	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	3	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	7	1	2	1	2	2	2	2
