step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.35044	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.96000	0.34876	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.92200	0.34635	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.85800	0.33910	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.76800	0.33355	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.67600	0.32896	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.51400	0.32424	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.35400	0.31892	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.35800	0.31667	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.37400	0.31488	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.37150	0.31336	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.37920	0.31205	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.37300	0.30952	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.37343	0.30753	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.37525	0.30643	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.37689	0.30517	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.37900	0.30476	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.37491	0.30451	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.37450	0.30389	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.37615	0.30339	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.37686	0.30289	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.37733	0.30237	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.37750	0.30154	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.38035	0.30102	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.38144	0.30080	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.38053	0.30057	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.37800	0.30020	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.37590	0.29975	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.37509	0.29940	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.37365	0.29909	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.37442	0.29893	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.37664	0.29877	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.37623	0.29877	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.37548	0.29877	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.37564	0.29878	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.37538	0.29868	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.37427	0.29844	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.37439	0.29864	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.37494	0.29849	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.37539	0.29822	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.37424	0.29809	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.37411	0.29781	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.37350	0.29758	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.37281	0.29731	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.37316	0.29728	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.37282	0.29706	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.37305	0.29704	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.37395	0.29655	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.37300	0.29644	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.37288	0.29639	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.37300	0.29600	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.37342	0.29584	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.37396	0.29570	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.37426	0.29594	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.37404	0.29600	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.37490	0.29588	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.37452	0.29569	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.37427	0.29564	0.000150000000000	1.000000000000000	0.170859375000000	0
