step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	-nan	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.90964	0.40176	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.89200	0.37839	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.85200	0.36315	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.78200	0.34641	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.53800	0.33575	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.39200	0.32645	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.39200	0.32069	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.40333	0.31578	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.40450	0.31195	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.41480	0.30954	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.40400	0.30720	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.42000	0.30598	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.43500	0.30522	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.43511	0.30345	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.43200	0.30273	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.43327	0.30138	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.43267	0.30071	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.43723	0.30034	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.43829	0.29948	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.43640	0.29892	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.43662	0.29865	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.43588	0.29790	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.43233	0.29692	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.42958	0.29630	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.43040	0.29584	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.43067	0.29543	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.43091	0.29511	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.43470	0.29516	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.43375	0.29481	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.43032	0.29420	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.42915	0.29358	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.42815	0.29290	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.42493	0.29250	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.42366	0.29233	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.41947	0.29175	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.41516	0.29134	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.41550	0.29116	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.41012	0.29085	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.40694	0.29057	0.000150000000000	1.000000000000000	0.075937500000000	0
