step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-431.170100832663024	-429.708018748144127	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.178987476825591	0	2	1	2	4	4	5	5	6	6	5	6	5	6	6	5	6	6	8	7	8	7	7	7	8	10	9	9	9	9	9	11	11	10	11	13	12	11	15	13	13	13	15	14	14	14	15	15	16	17	17	16	17	17	19	19	21	20	20	20	22	22	23	22	23	22	25	24	23	24	24	23	27	25	26	27	26	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	6	6	5	6	7	6	6	8	7	7	7	8	7	7	7	8	8	8	9	9	8	9	9	10	10	11	10	10	10	11	11	12	11	12	11	13	12	12	12	12	12	14	13	13	14	13	14	16
500	-359.030269009946835	-356.317473797502430	-2.712795212444392	0.000010019682473	0.000000730956708	0.072952083035142	0.335137360932508	0	2	2	2	4	4	5	5	6	7	5	6	5	5	7	5	6	7	8	7	8	7	8	8	9	11	9	9	9	9	9	11	12	10	10	13	11	12	15	14	13	11	15	14	14	14	14	14	16	17	17	14	18	17	18	20	21	19	20	20	23	23	24	22	21	22	26	24	23	24	25	23	26	25	25	26	26	26	31	0	1	1	1	1	2	2	1	7	16	6	2	4	3	17	5	11	7	16	4	17	4	14	15	15	29	14	21	11	9	6	29	18	21	25	22	30	8	31	31	3	35	36	26	27	38	20	5	18	43	13	4	44	30	6	33	21	54	58	44	26	52	39	56	33	58	8	41	44	72	48	66	35	66	64	68	8	49	59	1	1	1	1	2	1	1	4	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	2	1	2	1	1	3	1	4	3	3	5	1	1	2	2	1	3	6	4	1	6	5	2	3	7	3	6	1	1	3	6	5	4	1	5	1	10	7	4	1	7	1	9	2	1	2	10	5	6
1000	-326.710330232367426	-324.648504023995827	-2.061826208371601	0.000010032368977	0.000001301148004	0.129694991017273	0.468354376758618	0	2	1	2	4	5	6	5	5	5	4	7	6	7	6	5	5	5	7	7	9	8	8	6	7	9	9	7	8	9	10	11	8	10	10	12	12	12	16	12	13	13	15	14	13	15	14	15	16	16	18	16	17	17	18	18	21	20	19	19	22	22	22	22	23	22	24	23	23	23	24	23	28	25	26	27	26	28	31	0	3	1	3	3	4	2	11	4	4	4	9	1	16	11	11	11	4	10	5	14	17	20	11	6	19	8	16	14	19	23	20	5	23	9	33	26	26	47	29	31	35	47	32	28	4	10	45	43	47	50	43	49	47	53	52	60	38	50	54	49	39	52	51	43	55	72	59	50	53	57	15	70	68	48	63	15	74	66	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	2	2	2	1	2	1	2	4	7	3	1	1	1	1	1	1	1	1	1	1	5	2	1	3	3	2	2	3	2	1	3	4	3	2	8	2	1	5	3	8	1	6
1500	-231.746442863607001	-229.324418880252068	-2.422023983354932	0.000009950732528	0.000000917682081	0.092222565412918	0.877363375319995	0	2	2	3	4	2	5	5	6	7	4	5	5	7	6	4	6	7	9	8	8	7	7	7	8	9	9	10	9	10	10	11	12	11	11	12	13	12	15	13	13	14	14	14	14	14	15	16	15	17	16	17	16	18	18	20	21	19	21	20	23	20	24	22	23	22	24	24	22	24	25	23	28	24	26	27	26	28	32	0	1	1	3	6	1	3	2	16	13	6	16	5	17	12	2	2	13	18	8	22	6	4	8	10	21	22	23	14	21	24	30	31	29	28	20	32	28	46	31	28	33	26	37	38	36	45	45	42	46	43	47	44	52	53	55	55	53	55	54	59	39	57	56	59	62	64	69	50	65	61	59	77	72	65	67	61	68	72	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2
2000	-217.727423920904073	-215.495565866869413	-2.231858054034666	0.000009928933156	0.000001086669860	0.109444775511343	0.886769830620142	1	2	2	3	4	4	5	5	6	6	5	6	4	5	7	5	5	6	8	7	7	7	6	5	8	11	9	9	9	8	10	12	10	9	11	11	11	11	15	13	13	13	15	14	14	14	15	15	17	17	16	16	17	17	19	20	21	19	21	21	22	22	22	22	23	21	26	22	23	23	24	23	26	25	25	27	26	26	31	0	1	1	3	3	2	3	5	4	14	4	13	2	3	7	3	3	6	22	24	11	11	24	4	9	21	25	21	22	18	34	31	25	12	27	12	29	29	41	38	37	36	33	40	40	41	32	45	40	46	46	44	45	43	50	32	55	54	55	55	58	58	56	55	66	58	74	55	63	57	59	57	70	68	65	67	74	75	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
2500	-228.887152135528993	-227.502167589520667	-1.384984546008312	0.000009941840207	0.000004303903377	0.432908122356855	0.818990692494725	-1	3	1	3	3	4	5	5	7	6	5	7	5	6	7	6	7	5	9	6	7	8	8	7	8	10	10	8	8	10	8	12	12	10	11	14	12	12	16	12	14	13	15	14	15	14	15	15	15	17	18	17	17	18	20	19	22	20	21	20	22	23	24	22	23	22	25	25	24	23	24	24	27	25	26	26	25	28	32	0	1	1	3	3	5	5	4	10	11	4	3	5	11	18	13	20	2	2	18	13	11	20	16	16	22	21	16	9	15	16	34	35	28	22	38	26	30	44	27	38	35	35	40	46	33	42	42	30	48	53	48	37	52	52	53	56	53	56	52	60	60	55	55	66	55	55	64	66	60	61	65	67	71	63	57	66	65	78	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	2
3000	-262.983289711262501	-261.327806268517975	-1.655483442744531	0.000009792652329	0.000002137328442	0.218258380889556	0.750632135715101	0	2	2	3	4	4	5	4	6	6	5	6	6	6	5	5	4	4	8	8	7	6	8	8	9	10	7	9	10	10	8	12	10	10	12	14	12	11	14	14	12	12	15	14	15	15	16	15	15	17	18	16	18	18	20	20	21	20	20	20	22	22	22	23	22	22	24	25	22	24	25	24	28	25	26	26	26	27	32	0	1	1	1	1	3	4	3	16	8	6	3	16	8	5	4	3	2	13	11	15	6	5	10	23	10	8	11	31	19	16	30	13	19	26	37	20	34	37	32	34	19	32	32	36	41	32	41	40	33	52	36	39	36	54	48	50	53	44	54	60	55	60	57	60	55	69	62	52	60	67	55	75	54	72	65	67	70	73	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	1	4	1	1	3	2	1	2	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	1	1	4	1	2	1	1	2
3500	-260.061417415419498	-257.692180545246060	-2.369236870173423	0.000009470122735	0.000000914353160	0.096551352694156	0.822058217381792	1	2	2	3	5	5	4	5	7	6	4	6	6	4	7	5	5	7	8	7	8	8	7	8	8	9	9	9	9	9	10	12	11	10	11	14	13	10	14	14	12	14	13	13	14	15	12	15	16	17	17	17	17	17	19	20	22	19	20	18	21	21	23	22	23	21	25	24	22	24	24	23	28	25	24	27	26	28	31	0	1	1	1	7	7	3	3	17	5	2	17	7	1	16	7	14	10	4	13	13	15	16	20	9	22	21	21	1	13	21	34	20	21	22	47	32	9	37	41	30	37	24	31	37	39	34	36	40	37	48	48	12	27	53	51	62	51	51	52	59	49	61	56	59	50	63	63	62	57	57	64	74	75	64	74	72	76	69	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	4	3	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	3
4000	-245.228264142986262	-243.804541498849716	-1.423722644136534	0.000009046773715	0.000003308807240	0.365744445964652	0.833597529805497	1	3	2	3	3	4	6	6	6	6	4	7	5	6	6	4	6	7	8	7	8	6	6	8	8	10	9	8	8	9	10	11	12	9	11	13	12	11	15	13	14	13	15	14	12	13	16	14	16	17	17	17	17	17	19	19	22	20	20	21	21	21	22	22	24	23	25	24	24	24	24	22	26	25	26	25	26	27	32	0	1	1	3	1	3	5	13	11	6	3	4	11	3	16	3	5	7	7	8	14	16	6	7	22	21	14	9	12	18	10	30	30	10	21	32	18	22	33	35	24	31	40	33	20	32	41	33	46	43	42	43	39	49	51	47	55	55	47	44	52	55	54	58	63	58	65	64	72	72	61	59	70	57	71	55	71	56	78	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1
4500	-198.540984493457387	-197.136546722365523	-1.404437771091867	0.000008163941890	0.000003215820323	0.393905342039771	0.979178323102277	0	3	2	2	5	5	5	3	6	6	6	6	4	4	7	5	6	6	8	8	8	7	8	6	7	10	7	7	10	9	10	10	11	10	11	14	12	12	15	11	14	13	15	14	15	14	15	13	15	17	16	17	17	16	19	20	21	20	21	19	22	22	22	23	22	22	25	24	24	24	23	22	26	24	25	27	27	28	31	0	1	1	1	2	2	8	3	7	16	13	8	3	1	24	4	6	13	9	17	27	7	28	14	11	21	18	16	19	20	20	23	31	19	26	37	31	33	42	19	42	33	44	48	44	48	46	33	44	43	47	43	45	45	53	52	60	55	60	53	59	58	57	61	58	55	72	64	71	65	63	55	68	65	68	67	73	73	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
